"rownum","Id","BuffDefinitionsKey","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","rid","f32","bool","[rid]"
45,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1805,1,0,3310,0,0,0,0,3314,0,[],"",0,1,[]
46,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1805,1,0,214,0,0,0,0,3436,0,[],"",0,1,[]
47,"AuguryOfPenitenceRoyale",568,2,0,3486,0,30,1,0,3494,0,[],"",0,1,[]
48,"NearbyEnemiesChilledRoyale",1496,0,0,72,0,20,1,0,3554,0,[1],"",0,1,[]
49,"MonsterAuraPhysicalThorns1",81,1,0,3614,0,36,2,0,3618,0,[],"",0,1,[564]
50,"MonsterAuraElementalThorns1",82,1,0,3614,0,36,2,0,3700,0,[],"",0,1,[565]
51,"MonsterAuraMediumDamage1",85,1,0,3614,0,50,2,0,3776,0,[],"",0,1,[26]
52,"MonsterAuraLargeDamage1",86,1,0,3614,0,50,2,0,3850,0,[],"",0,1,[26]
53,"MonsterAuraLargeDamageUniqueMap",86,1,0,3614,0,50,1,0,3940,0,[],"",0,1,[26]
54,"MonsterAuraSpeed1",87,3,0,490,0,45,2,0,3998,0,[],"",0,1,"[70,216,177]"
55,"StrIntMissionAuraSpeed1",87,3,0,490,0,30,1,0,4104,0,[],"",0,1,"[70,216,177]"
56,"MonsterAuraSpeedUniqueMap1",87,3,0,490,0,50,1,0,4212,0,[],"",0,1,"[70,216,177]"
57,"MonsterAuraLifeRegen1",88,1,0,3614,0,50,2,0,4310,0,[],"",0,1,[451]
58,"MonsterAuraResists1",89,1,0,3614,0,50,2,0,4376,0,[],"",0,1,[141]
59,"MonsterAuraEnergyShield1",90,1,0,3614,0,50,2,0,4452,0,[],"",0,1,[563]
60,"StrIntMissionAuraEnergyShield1",90,1,0,3614,0,30,1,0,4540,0,[],"",0,1,[563]
61,"MonsterAuraAccuracyAndCrits1",92,2,0,4620,0,50,2,0,4628,0,[],"",0,1,"[84,554]"
62,"MonsterImplicitAuraAccuracyAndCrits",92,2,0,4620,0,50,2,0,4742,0,[],"",0,1,"[84,554]"
63,"MonsterImplicitAuraAccuracyAndCritsSextant",92,2,0,4620,0,140,2,0,4870,0,[],"",0,1,"[84,554]"
64,"MonsterAuraEnemyLifeDegen1",93,1,0,3614,0,50,1,0,4966,0,[],"",0,1,[452]
65,"MonsterAuraEnemyLifeDegen2_",93,1,0,3614,0,50,1,0,5044,0,[],"",0,1,[452]
66,"MonsterAuraEssenceEnemyLifeDegen1",98,1,0,3614,0,50,1,0,5134,0,[],"",0,1,[452]
67,"MonsterAuraEnemyLifeDegenDexMission",93,1,0,3614,0,50,1,0,5228,0,[],"",0,1,[452]
68,"MonsterAuraEnemyLifeDegenCold",587,1,0,3614,0,10,1,0,5310,0,[],"",0,1,[3884]
69,"MonsterAuraEnemyLifeDegenFire",586,1,0,3614,0,10,1,0,5392,0,[],"",0,1,[2543]
70,"MonsterAuraEnemyLifeDegenLightning",588,1,0,3614,0,10,1,0,5484,0,[],"",0,1,[3885]
71,"MonsterAuraElementalDamage1",97,1,0,3614,0,50,2,0,5562,0,[],"",0,1,[486]
72,"MonsterThornsPhysical1",987,0,0,72,0,0,0,0,5634,0,[],779,0,1,[]
73,"MonsterThornsElemental1",988,0,0,72,0,0,0,0,5684,0,[],780,0,1,[]
74,"MonsterThornsPhysical1Large",987,0,0,72,0,0,0,0,5742,0,[],781,0,1,[]
75,"MonsterThornsElemental1Large",988,0,0,72,0,0,0,0,5802,0,[],782,0,1,[]
76,"StrIntMissionAuraElementalDamage1",97,1,0,3614,0,30,1,0,5872,0,[],"",0,1,[486]
77,"MonsterImplicitAuraSpeed1",87,3,0,490,0,45,2,0,5946,0,[],"",0,1,"[70,216,177]"
78,"MonsterImplicitAuraSpeedSextant_",87,3,0,490,0,140,2,0,6070,0,[],"",0,1,"[70,216,177]"
79,"MonsterImplicitAuraLifeRegen1",88,1,0,3614,0,50,2,0,6188,0,[],"",0,1,[451]
80,"MonsterImplicitAuraLifeRegenBossStrIntMission",88,1,0,3614,0,75,2,0,6306,0,[],"",0,1,[451]
81,"MonsterImplicitAuraLifeRegenSextant",88,1,0,3614,0,140,2,0,6404,0,[],"",0,1,[451]
82,"MonsterImplicitAuraLargeDamage1",86,1,0,3614,0,50,2,0,6494,0,[],"",0,1,[26]
83,"MonsterImplicitAuraResists1",89,1,0,3614,0,50,2,0,6576,0,[],"",0,1,[141]
84,"MonsterImplicitAuraResistsSextant",89,1,0,3614,0,140,2,0,6670,0,[],"",0,1,[141]
85,"MonsterImplicitAuraMediumDamage1",85,1,0,3614,0,50,2,0,6762,0,[],"",0,1,[26]
86,"MonsterImplicitAuraEnergyShield1",90,1,0,3614,0,50,2,0,6854,0,[],"",0,1,[563]
87,"MonsterImplicitAuraEnergyShieldBubble1",91,1,0,3614,0,50,2,0,6958,0,[],"",0,1,[563]
88,"MonsterAuraCannotDie1",132,1,0,3614,0,50,1,0,7028,0,[],"",0,1,[398]
89,"MonsterAuraSlow1",133,1,0,3614,0,40,1,0,7084,0,[],"",0,1,[177]
90,"StrIntMissionAuraSlow1",133,1,0,3614,0,30,1,0,7152,0,[],"",0,1,[177]
91,"MonsterAuraSlowUniqueMap1",133,1,0,3614,0,50,1,0,7226,0,[],"",0,1,[177]
92,"MonsterImplicitAuraSlow1",133,1,0,3614,0,40,1,0,7298,0,[],"",0,1,[177]
93,"MonsterImplicitAuraSlow2",133,1,0,3614,0,40,1,0,7370,0,[],"",0,1,[177]
94,"MonsterImplicitAuraCannotDie1",132,1,0,3614,0,50,1,0,7452,0,[],"",0,1,[398]
95,"MonsterImplicitAuraCannotDie2",132,1,0,3614,0,16,1,0,7534,0,[],"",0,1,[398]
96,"MonsterImplicitDamageReductionAura",134,1,0,3614,0,40,1,0,7626,0,[],"",0,1,[477]
97,"MonsterImplicitDamageReductionAura2",134,1,0,3614,0,40,1,0,7720,0,[],"",0,1,[477]
98,"MonsterAuraAddedColdDamage",170,1,0,3614,0,50,2,0,7796,0,[],"",0,1,[448]
99,"StrIntMissionAuraAddedColdDamage",170,1,0,3614,0,30,1,0,7888,0,[],"",0,1,[448]
100,"MonsterAuraUniqueMapColdDamage",170,1,0,3614,0,60,1,0,7972,0,[],"",0,1,[448]
101,"MonsterAuraAddedFireDamage",171,1,0,3614,0,50,2,0,8048,0,[],"",0,1,[447]
102,"MonsterAmbrosiaAuraAddedFireDamage",173,1,0,3614,0,50,2,0,8144,0,[],"",0,1,[447]
103,"StrIntMissionAuraAddedFireDamage",171,1,0,3614,0,30,1,0,8236,0,[],"",0,1,[447]
104,"MonsterAuraUniqueMapFireDamage",171,1,0,3614,0,60,1,0,8320,0,[],"",0,1,[447]
105,"MonsterAuraAddedFireDamageSkeletonArmy",171,1,0,3614,0,50,2,0,8420,0,[],"",0,1,[447]
106,"MonsterAuraAddedLightningDamage",172,1,0,3614,0,50,2,0,8510,0,[],"",0,1,[449]
107,"MonsterAmarissaAuraAddedLightningDamage",174,1,0,3614,0,50,2,0,8616,0,[],"",0,1,[449]
108,"StrIntMissionAuraAddedLightningDamage",172,1,0,3614,0,30,1,0,8718,0,[],"",0,1,[449]
109,"MonsterAuraUniqueMapLightningDamage",172,1,0,3614,0,60,1,0,8812,0,[],"",0,1,[449]
110,"MonsterAuraAlwaysCrit1",176,1,0,3614,0,60,2,0,8880,0,[],"",0,1,[348]
111,"StrIntMissionAuraAlwaysCrit1",176,1,0,3614,0,30,1,0,8964,0,[],"",0,1,[348]
112,"MonsterAuraEvasion1",177,1,0,3614,0,50,2,0,9026,0,[],"",0,1,[119]
113,"MonsterAuraUniqueMapEvasion",177,1,0,3614,0,60,1,0,9108,0,[],"",0,1,[119]
114,"ChaosDegenerationAuraPlayersUniqueBodyStr3",214,1,0,3614,0,30,2,0,9216,0,[],"",0,1,[453]
115,"ChaosDegenerationAuraNonPlayersUniqueBodyStr3",214,1,0,3614,0,30,2,0,9334,0,[],"",0,1,[453]
116,"ChaosDegenerationAuraNonPlayersUnique__1",94,1,0,3614,0,30,2,0,9442,0,[],"",0,1,[453]
117,"ChaosDegenerationAuraPlayersUnique__1",94,1,0,3614,0,30,2,0,9544,0,[],"",0,1,[453]
118,"ChaosDegenerationAuraNonPlayersUnique__1Royale__",94,1,0,3614,0,30,2,0,9668,0,[],"",0,1,[453]
119,"ChaosDegenerationAuraPlayersUnique__1Royale",94,1,0,3614,0,30,2,0,9782,0,[],"",0,1,[453]
120,"DamageAuraUniqueHelmetDexInt2",217,1,0,3614,0,75,3,0,9868,0,[],"",0,1,[24]
121,"DamageAuraSkeletonMonster",383,1,0,3614,0,60,1,0,9950,0,[],"",0,1,[24]
122,"MonsterPhysicalThorns",81,1,0,3614,0,0,0,0,10016,0,[],"",0,1,[564]
123,"MonsterElementalThorns",82,1,0,3614,0,0,0,0,10080,0,[],"",0,1,[565]
124,"MonsterNemesisTransformed",264,4,0,10150,0,0,0,0,10166,0,[],"",0,1,"[718,477,1910,177]"
125,"MonsterNemesisSoulEater",267,5,0,10280,0,50,2,0,10300,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
126,"MonsterStrIntRelicSoulEater",267,5,0,10280,0,42,2,0,10446,0,[],263,0,1,"[1913,1914,1915,1916,3141]"
127,"MonsterIntMinionSoulEater",267,5,0,10280,0,70,2,0,10588,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
128,"MonsterDexMissionSoulEater",267,5,0,10280,0,50,2,0,10732,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
129,"MonsterImplicitNemesisSoulEaterDescent2",267,5,0,10280,0,30,2,0,10902,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
130,"MonsterImplicitNemesisSoulEaterInvasion",267,5,0,10280,0,30,2,0,11072,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
131,"MonsterNemesisSoulEaterSideAreaBoss",267,5,0,10280,0,70,2,0,11234,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
132,"MonsterNemesisSoulEaterMapAlira_",267,5,0,10280,0,150,2,0,11390,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
133,"MonsterBreachLightningSoulEater",805,5,0,10280,0,70,2,0,11544,0,[],"",0,1,"[1913,1914,1915,1916,3141]"
134,"MonsterNemesisStealthMode",270,3,0,490,0,0,0,0,11686,0,[],"",0,1,"[1937,1938,1939]"
135,"MonsterNemesisVines",1031,0,0,72,0,0,0,0,11776,0,[],"",0,1,[]
136,"MonsterNemesisVinesLarge",1032,0,0,72,0,0,0,0,11828,0,[],"",0,1,[]
137,"MonsterNemesisPhysicalProjectiles_",1024,0,0,72,0,0,0,0,11900,0,[],"",0,1,[]
138,"MonsterNemesisFireProjectiles",1022,0,0,72,0,0,0,0,11962,0,[],"",0,1,[]
139,"MonsterNemesisLightningClone",1038,0,0,72,0,0,0,0,12022,0,[],"",0,1,[]
140,"MonsterNemesisLightningCloneLarge",1039,0,0,72,0,0,0,0,12092,0,[],"",0,1,[]
141,"MonsterNemesisColdBeam",1058,0,0,72,0,0,0,0,12140,0,[],"",0,1,[]
142,"UndyingBreathCurseAuraUniqueStaff5",280,1,0,3614,0,75,1,0,12212,0,[],"",0,1,[1281]
143,"UndyingBreathDamageAuraUniqueStaff5",281,1,0,3614,0,75,2,0,12306,0,[],"",0,1,[24]
144,"UniqueSpecialCorruptionNearbyEnemiesBlinded",1496,0,0,72,0,30,1,0,12420,0,[9],"",0,1,[]
145,"UniqueSpecialCorruptionNearbyEnemiesMalediction",1496,0,0,72,0,30,1,0,12522,0,[12],"",0,1,[]
146,"UniqueSpecialCorruptionNearbyEnemiesCrushed",1496,0,0,72,0,30,1,0,12616,0,"[11,-15]","",0,1,[]
147,"StrDexMasterSlowAura",133,1,0,3614,0,30,1,0,12672,0,[],"",0,1,[177]
148,"MonsterCannotBeDamaged",336,1,0,3614,0,0,0,0,12740,0,[],"",0,1,[140]
149,"MonsterCannotBeDamagedUniqueMap",336,1,0,3614,0,0,0,0,12822,0,[],"",0,1,[140]
150,"DexMissionCorruptedBeastEffect1",341,0,0,72,0,0,0,0,12904,0,[],"",0,1,[]
151,"IntMissionDamageBoostAura",282,1,0,3614,0,50,3,0,12958,0,[],"",0,1,[24]
152,"StrIntMissionManaRegenRelic",338,1,0,3614,0,30,0,0,13044,0,[],"",0,1,[129]
153,"MonsterAddedFireDamageAndIgnite",347,2,0,4620,0,0,0,0,13126,0,[],"",0,1,"[447,611]"
154,"MonsterAddedColdDamageAndFreeze",348,2,0,4620,0,0,0,0,13224,0,[],"",0,1,"[448,455]"
155,"MonsterAddedLightningDamageAndShock",349,2,0,4620,0,0,0,0,13330,0,[],"",0,1,"[449,659]"
156,"MonsterAddedPhysicalDamageAndBleed",353,2,0,4620,0,0,0,0,13434,0,[],"",0,1,"[26,2370]"
157,"StrDexMissionAddedFireDamage",350,1,0,3614,0,0,0,0,13526,0,[],"",0,1,[447]
158,"StrDexMissionAddedColdDamage",351,1,0,3614,0,0,0,0,13602,0,[],"",0,1,[448]
159,"StrDexMissionAddedLightningDamage",352,1,0,3614,0,0,0,0,13688,0,[],"",0,1,[449]
160,"MonsterBloodlinesShrouded",359,2,0,4620,0,0,0,0,13758,0,[],341,0,1,"[2629,2578]"
161,"TormentSpiritExperimenter",368,1,0,3614,0,35,1,0,13844,0,[],"",0,1,[477]
162,"TormentSpiritCharlatanRegenerationAura",88,1,0,3614,0,40,2,0,13944,0,[],"",0,1,[451]
163,"TormentSpiritCharlatanDegenerationAura",95,1,0,3614,0,40,1,0,14048,0,[],"",0,1,[2576]
164,"TormentSpiritCutthroat",86,1,0,3614,0,45,2,0,14116,0,[],"",0,1,[26]
165,"TormentHauntedMonsterCutthroat",377,2,0,4620,0,45,2,0,14204,0,[],"",0,1,"[26,70]"
166,"TormentSpiritEmbezzler",379,3,0,490,0,40,1,0,14292,0,[],"",0,1,"[1014,1015,1016]"
167,"TormentSpiritSmuggler",90,1,0,3614,0,45,2,0,14390,0,[],"",0,1,[563]
168,"TormentHauntedSmuggler",90,1,0,3614,0,45,2,0,14462,0,[],"",0,1,[563]
169,"TormentSpiritShavronne",703,2,0,4620,0,45,2,0,14534,0,[],"",0,1,"[563,1205]"
170,"TormentHauntedMonsterShavronne",703,2,0,4620,0,45,2,0,14638,0,[],"",0,1,"[563,1205]"
171,"MonsterBloodlinesThorns",103,2,0,4620,0,0,0,0,14728,0,[],"",0,1,"[564,565]"
172,"MonsterBloodlinesThornsLargeModel",104,2,0,4620,0,0,0,0,14830,0,[],"",0,1,"[564,565]"
173,"MonsterBloodlinesBurningAura",366,1,0,3614,0,30,1,0,14922,0,[],"",0,1,[2543]
174,"MonsterBloodlinesBurningAura2",366,1,0,3614,0,30,1,0,15004,0,[],"",0,1,[2543]
175,"MonsterBloodlinesBurningAura3",366,1,0,3614,0,30,1,0,15086,0,[],"",0,1,[2543]
176,"MonsterBloodlinesBurningAura4",366,1,0,3614,0,30,1,0,15168,0,[],"",0,1,[2543]
177,"MonsterBloodlinesBurningAura5",366,1,0,3614,0,30,1,0,15250,0,[],"",0,1,[2543]
178,"MonsterBloodlinesBurningAura6",366,1,0,3614,0,30,1,0,15332,0,[],"",0,1,[2543]
179,"MonsterBloodlinesBurningAura7",366,1,0,3614,0,30,1,0,15414,0,[],"",0,1,[2543]
180,"MonsterBloodlinesChillingAura",367,1,0,3614,0,30,1,0,15496,0,[],"",0,1,[8444]
181,"MonsterBloodlinesShockingAura",368,1,0,3614,0,30,1,0,15578,0,[],"",0,1,[477]
182,"TormentTouchedEffect",374,0,0,72,0,0,0,0,15642,0,[],"",0,1,[]
183,"TormentPossessedEffect",375,0,0,72,0,0,0,0,15690,0,[],"",0,1,[]
184,"LifeRegenerationAuraUniqueAmulet21",389,2,0,4620,0,50,2,0,15762,0,[],"",0,1,"[451,130]"
185,"NearbyAlliesHaveCullingStrikeUniqueTwoHandAxe9",404,1,0,3614,0,50,2,0,15898,0,[],"",0,1,[589]
186,"NearbyAlliesHaveIncreasedItemRarityUniqueTwoHandAxe9",405,1,0,3614,0,50,2,0,16030,0,[],"",0,1,[153]
187,"NearbyAlliesHaveCullingStrikeUnique__1",404,1,0,3614,0,30,2,0,16134,0,[],"",0,1,[589]
188,"NearbyAlliesHaveIncreasedItemRarityUnique__1",405,1,0,3614,0,30,2,0,16250,0,[],"",0,1,[153]
189,"NearbyAlliesHaveCriticalStrikeMultiplierUnique__1",1237,1,0,3614,0,30,2,0,16376,0,[],"",0,1,[95]
190,"NearbyAlliesHaveFortifyUnique__1__",1449,0,0,72,0,30,2,0,16472,0,[],"",0,1,[]
191,"DoedreCurseZoneAuraVulnerability_",77,4,0,10150,0,52,2,0,16550,0,[],444,0,1,"[545,5248,12440,7286]"
192,"DoedreCurseZoneAuraTemporalChains",67,3,0,490,0,52,2,0,16692,0,[],443,0,1,"[3255,9175,532]"
193,"DoedreCurseZoneAuraEnfeeble",74,3,0,490,0,52,2,0,16806,0,[],442,0,1,"[84,648,9176]"
194,"DoedreCurseZoneAuraVulnerability2",77,4,0,10150,0,52,2,0,16932,0,[],444,0,1,"[545,5248,12440,7286]"
195,"DoedreCurseZoneAuraTemporalChains2",67,3,0,490,0,52,2,0,17076,0,[],443,0,1,"[3255,9175,532]"
196,"DoedreCurseZoneAuraEnfeeble2",74,3,0,490,0,52,2,0,17192,0,[],442,0,1,"[84,648,9176]"
197,"UniqueAnimateWeaponAura",461,2,0,4620,0,1,1,0,17298,0,[],"",0,1,"[3329,1755]"
198,"TalismanT2SacrificalBlades",281,1,0,3614,0,30,2,0,17390,0,[],"",0,1,[24]
199,"BlindAuraUnique__1",1496,0,0,72,0,25,1,0,17454,0,[9],175,0,1,[]
200,"NearbyEnemiesAreHinderedUnique__1",1498,1,0,3614,0,35,1,0,17528,0,[],1222,0,1,[11553]
201,"HearbyEnemiesAreHinderedHarbinger",1498,1,0,3614,0,50,1,0,17618,0,[],1222,0,1,[11553]
202,"LightningDegenAuraUnique__1",460,1,0,3614,0,32,1,0,17696,0,[],"",0,1,[4113]
203,"EssenceDaemonAlternatingBuffsSpeedDodge4",733,5,0,10280,0,0,0,0,17800,0,[],"",0,1,"[177,216,70,1938,1939]"
204,"EssenceDaemonAlternatingBuffsSpeedDodge5",733,5,0,10280,0,0,0,0,17964,0,[],"",0,1,"[177,216,70,1938,1939]"
205,"EssenceDaemonAlternatingBuffsSpeedDodge6",733,5,0,10280,0,0,0,0,18128,0,[],"",0,1,"[177,216,70,1938,1939]"
206,"EssenceDaemonAlternatingBuffsSpeedDodge7",733,5,0,10280,0,0,0,0,18292,0,[],"",0,1,"[177,216,70,1938,1939]"
207,"EssenceDaemonAlternatingBuffsDamage4",736,2,0,4620,0,0,0,0,18448,0,[],"",0,1,"[634,477]"
208,"EssenceDaemonAlternatingBuffsDamage5",736,2,0,4620,0,0,0,0,18556,0,[],"",0,1,"[634,477]"
209,"EssenceDaemonAlternatingBuffsDamage6",736,2,0,4620,0,0,0,0,18664,0,[],"",0,1,"[634,477]"
210,"EssenceDaemonAlternatingBuffsDamage7",736,2,0,4620,0,0,0,0,18772,0,[],"",0,1,"[634,477]"
211,"EssenceDaemonAlternatingBuffsCrit5",739,2,0,4620,0,0,0,0,18876,0,[],"",0,1,"[2550,348]"
212,"EssenceDaemonAlternatingBuffsCrit6",739,2,0,4620,0,0,0,0,18980,0,[],"",0,1,"[2550,348]"
213,"EssenceDaemonAlternatingBuffsCrit7_",739,2,0,4620,0,0,0,0,19086,0,[],"",0,1,"[2550,348]"
214,"EssenceHorrorCharges1",756,0,0,72,0,0,0,0,19164,0,[],"",0,1,[]
215,"ElementalDamageTakenWhileStationaryEssence1",729,1,0,3614,0,0,0,0,19254,0,[],"",0,1,[4843]
216,"BurningGroundWhileMovingEssence1",730,0,0,72,0,0,0,0,19338,0,[],"",0,1,[]
217,"MonsterGainFrenzyEnduranceChargeEvery5Seconds",750,0,0,72,0,0,0,0,19432,0,[],"",0,1,[]
218,"RemnantOfCorruptionMonsterAura",751,3,0,490,0,30,1,0,19496,0,[],"",0,1,"[177,2576,3071]"
219,"VaultTreasureDaemon",773,1,0,3614,0,12,1,0,19590,0,[],"",0,1,[5047]
220,"DaemonAlternatingBuffsStatueMaker",767,4,0,10150,0,0,0,0,19680,0,[],"",0,1,"[24,10,477,11]"
221,"VaultBossTreasurePileDamageBuff",773,1,0,3614,0,25,0,0,19810,0,[],"",0,1,[5047]
222,"ShaperTouched1",376,0,0,72,0,0,0,0,19858,0,[],635,0,1,[]
223,"ShaperHealed1",376,0,0,72,0,0,0,0,19888,0,[],635,0,1,[]
224,"ShaperDaemon1",376,0,0,72,0,0,0,0,19918,0,[],635,0,1,[]
225,"ShaperDaemon2",376,0,0,72,0,0,0,0,19948,0,[],635,0,1,[]
226,"ShaperDaemon3_",376,0,0,72,0,0,0,0,19980,0,[],635,0,1,[]
227,"ShaperDaemon4",376,0,0,72,0,0,0,0,20010,0,[],635,0,1,[]
228,"NearbyEnemiesAreIntimidatedUnique__1",1496,0,0,72,0,25,1,0,20086,0,[7],"",0,1,[]
229,"MonsterNearbyEnemiesAreIntimidated",895,1,0,3614,0,25,1,0,20166,0,[],"",0,1,[5707]
230,"NearbyAlliesMovementVelocityUnique__1",837,1,0,3614,0,50,3,0,20264,0,[],"",0,1,[177]
231,"PowerChargeOnManaSpentUnique__1",918,0,0,72,0,0,0,0,20358,0,[],"",0,1,[]
232,"EnemyPhysicalDamageTakenAuraUber1_",1167,1,0,3614,0,60,1,0,20430,0,[],"",0,1,[545]
233,"EnemyElementalDamageTakenAuraUber1",1505,1,0,3614,0,60,1,0,20522,0,[],"",0,1,[3504]
234,"PowerChargeOnManaSpentUber1",918,0,0,72,0,0,0,0,20600,0,[],"",0,1,[]
235,"GainCriticalStrikeChanceOnManaSpentUnique__1",957,0,0,72,0,0,0,0,20692,0,[],"",0,1,[]
236,"MaximumVoidArrowsUnique__1",1006,0,0,72,0,0,0,0,20748,0,[],"",0,1,[]
237,"BestiaryModAgileRhexAura1_",1076,3,0,490,0,0,0,0,20804,0,[],"",0,1,"[1938,1939,177]"
238,"BestiaryModUrsaeAura1",1079,3,0,490,0,0,0,0,20898,0,[],"",0,1,"[3398,702,24]"
239,"BestiaryModLynxAura1",1082,3,0,490,0,0,0,0,20990,0,[],"",0,1,"[70,84,554]"
240,"BestiaryModCrabAura1",1085,2,0,4620,0,50,2,0,21082,0,[],"",0,1,"[477,448]"
241,"BestiaryModSquidAura1",1086,2,0,4620,0,50,2,0,21168,0,[],"",0,1,"[449,977]"
242,"BestiaryModSpiderAura1",1087,2,0,4620,0,50,2,0,21256,0,[],"",0,1,"[2312,7156]"
