"rownum","Id","Name","Category","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance"
52,"DelveSocketableCurrency","Delve Socketable Currency","",38,"",[],[],"",1,"",2565,1155,"","","","","","","",""
53,"Incubator","Incubators","",39,"",[],[],"",1,"",2565,1155,"","","","","","","",""
54,"UniqueShard","Shards","","","",[],[],"","","",2565,1155,"","","","","","","",""
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","",2565,1155,"","","","","","","",""
56,"Rune Dagger","Rune Daggers","One Handed Weapon",3,"",[],[],"","",1,2565,1155,"",1,1,1,1,1,1,1
57,"Warstaff","Warstaves","Two Handed Weapon",4,"",[],[],"","",1,2565,1155,"",1,1,1,1,1,1,6
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency","",38,"",[],[],"",1,"",2565,1155,"","","","","","","",""
59,"AtlasRegionUpgradeItem","Atlas Region Upgrade Items","",40,"",[],[],"","","",2565,607,"","","","","","","",""
60,"MetamorphosisDNA","Metamorph Samples","",41,"",[],[],1,1,"",2565,1155,"","","","","","","",""
61,"HiddenItem","Hidden Items","","","",[],[],"","","",2565,1155,"","","","","","","",""
62,"DONOTUSE2","","","","",[],[],"","","",2565,1155,"","","","","","","",""
63,"DONOTUSE3","","","","",[],[],"","","",2565,1155,"","","","","","","",""
64,"DONOTUSE4","","","","",[],[],"","","",2565,1155,"","","","","","","",""
65,"HeistContract","Contracts","",42,"",[],[],"","","",2565,1155,"",1,"","","","","",""
66,"HeistEquipmentWeapon","Heist Gear","",43,"",[],[],"","","",2565,1155,"","","","","","",1,""
67,"HeistEquipmentTool","Heist Tools","",44,"",[],[],"","","",2565,1155,"","","","","","",1,""
68,"HeistEquipmentUtility","Heist Cloaks","",45,"",[],[],"","","",2565,1155,"","","","","","",1,""
69,"HeistEquipmentReward","Heist Brooches","",46,"",[],[],"","","",2565,1155,"","","","","","",1,""
70,"HeistBlueprint","Blueprints","",47,"",[],[],"","","",2565,1155,"",1,"","","","","",""
71,"Trinket","Trinkets","Jewellery",48,"",[],[],"","","",2565,1155,"",1,1,"","","","",""
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","",2565,1155,1,"","","","","","",""
73,"ExpeditionLogbook","Expedition Logbooks","",50,"",[],[],"","","",2565,1155,1,1,"","","","","",""
