"rownum","Id","AlternateTreeVersionsKey","SpawnWeight","StatsKeys","Stat1Min","Stat1Max","i32","i32","i32","i32","PassiveType","i32"
48,"karui_notable_add_fire_resistance",2,100,[144],20,20,0,0,0,0,[3],0
49,"karui_notable_add_melee_damage",2,100,[1364],20,20,0,0,0,0,[3],0
50,"karui_notable_add_damage_from_crits",2,100,[97],10,10,0,0,0,0,[3],0
51,"karui_notable_add_melee_crit_chance",2,100,[1357],30,30,0,0,0,0,[3],0
52,"karui_notable_add_burning_damage",2,100,[209],20,20,0,0,0,0,[3],0
53,"karui_notable_add_totem_damage",2,70,[1793],20,20,0,0,0,0,[3],0
54,"karui_notable_add_melee_crit_multi",2,70,[1297],15,15,0,0,0,0,[3],0
55,"karui_notable_add_physical_damage",2,70,[26],20,20,0,0,0,0,[3],0
56,"karui_notable_add_warcry_buff_effect",2,70,[5535],8,8,0,0,0,0,[3],0
57,"karui_notable_add_totem_placement_speed",2,70,[1345],12,12,0,0,0,0,[3],0
58,"karui_notable_add_stun_duration",2,70,[341],20,20,0,0,0,0,[3],0
59,"karui_notable_add_faster_burn",2,40,[1331],10,10,0,0,0,0,[3],0
60,"karui_notable_add_reduced_stun_threshold",2,40,[108],10,10,0,0,0,0,[3],0
61,"karui_notable_add_physical_added_as_fire",2,40,[447],5,5,0,0,0,0,[3],0
62,"karui_notable_add_physical_taken_as_fire",2,40,[1052],5,5,0,0,0,0,[3],0
63,"karui_notable_add_endurance_charge_on_kill",2,15,[3895],5,5,0,0,0,0,[3],0
64,"karui_notable_add_intimidate",2,15,[8208],10,10,0,0,0,0,[3],0
65,"maraketh_attribute_dex",3,100,[579],2,2,0,0,0,0,[1],0
66,"maraketh_small_dex",3,100,[579],4,4,0,0,0,0,[2],0
67,"maraketh_notable_add_dexterity",3,100,[579],20,20,0,0,0,0,[3],0
68,"maraketh_notable_add_percent_dexterity",3,100,[2037],5,5,0,0,0,0,[3],0
69,"maraketh_notable_add_evasion",3,100,[120],20,20,0,0,0,0,[3],0
70,"maraketh_notable_add_flask_charges",3,100,[460],10,10,0,0,0,0,[3],0
71,"maraketh_notable_add_speed",3,70,[1910],5,5,0,0,0,0,[3],0
72,"maraketh_notable_add_life",3,100,[124],4,4,0,0,0,0,[3],0
73,"maraketh_notable_add_blind",3,100,[977],5,5,0,0,0,0,[3],0
74,"maraketh_notable_add_movement_speed",3,100,[177],5,5,0,0,0,0,[3],0
75,"maraketh_notable_add_cold_resistance",3,100,[146],20,20,0,0,0,0,[3],0
76,"maraketh_notable_add_projectile_damage",3,100,[498],20,20,0,0,0,0,[3],0
77,"maraketh_notable_add_ailment_avoid",3,100,[6108],10,10,0,0,0,0,[3],0
78,"maraketh_notable_add_global_crit_chance",3,100,[554],25,25,0,0,0,0,[3],0
79,"maraketh_notable_add_poison_damage",3,100,[3376],20,20,0,0,0,0,[3],0
80,"maraketh_notable_add_minion_damage",3,70,[488],20,20,0,0,0,0,[3],0
81,"maraketh_notable_add_accuracy",3,70,[84],5,5,0,0,0,0,[3],0
82,"maraketh_notable_add_elemental_damage",3,70,[486],20,20,0,0,0,0,[3],0
83,"maraketh_notable_add_aura_effect",3,40,[3857],10,10,0,0,0,0,[3],0
84,"maraketh_notable_add_minion_movement_speed",3,70,[617],15,15,0,0,0,0,[3],0
85,"maraketh_notable_add_ailment_duration",3,70,[2671],10,10,0,0,0,0,[3],0
86,"maraketh_notable_add_faster_poison",3,40,[9126],10,10,0,0,0,0,[3],0
87,"maraketh_notable_add_ailment_effect",3,70,[6333],10,10,0,0,0,0,[3],0
88,"maraketh_notable_add_physical_added_as_cold",3,40,[448],5,5,0,0,0,0,[3],0
89,"maraketh_notable_add_flask_effect",3,40,[12146],25,25,0,0,0,0,[3],0
90,"maraketh_notable_add_frenzy_charge_on_kill",3,15,[1355],5,5,0,0,0,0,[3],0
91,"maraketh_notable_add_onslaught",3,15,[1407],8000,8000,0,0,0,0,[3],0
92,"templar_small_devotion",4,100,[9659],5,5,0,0,0,0,[2],0
93,"templar_notable_devotion",4,100,[9659],5,5,0,0,0,0,[3],0
