"rownum","Level","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
75,76,"",9,10,5,7,7,72,0,0,0,28000,0,32,0
76,77,"",9,10,5,7,7,72,0,0,0,29500,0,32,0
77,78,"",10,10,5,8,8,78,0,0,0,31500,0,32,0
78,79,"",10,10,5,8,8,78,0,0,0,32500,0,32,0
79,80,"",10,10,5,8,8,78,0,0,0,33500,0,32,0
80,81,"",10,11,5,9,9,78,0,0,0,34500,0,32,0
81,82,"",10,11,5,9,9,78,0,0,0,35500,0,32,0
82,83,"",10,11,5,9,9,78,0,0,0,36500,0,32,0
83,1,1,35,11,12,20,20,135,0,0,0,0,0,0,0
84,2,1,35,11,12,20,20,135,0,0,0,250,0,0,0
85,3,1,35,11,12,20,20,135,0,0,0,500,0,6,0
86,4,1,35,11,12,20,20,135,0,0,0,750,0,6,0
87,5,1,35,11,12,20,20,135,0,0,0,1000,0,6,0
88,6,1,35,11,12,20,20,135,0,0,0,1250,0,6,0
89,7,1,35,11,12,20,20,135,0,0,0,1500,0,6,0
90,8,1,35,11,12,20,20,135,0,0,0,1750,0,10,2
91,9,1,35,11,12,20,20,135,0,0,0,2000,0,10,2
92,10,1,35,11,12,20,20,135,0,0,0,2250,0,10,4
93,11,1,35,11,12,20,20,135,0,0,0,2500,0,10,4
94,12,1,35,11,12,20,20,135,0,0,0,2750,0,10,4
95,13,1,35,11,12,20,20,135,0,0,0,3000,0,10,8
96,14,1,35,11,12,20,20,135,0,0,0,3250,0,10,8
97,15,1,35,11,12,20,20,135,0,0,0,3500,0,10,8
98,16,1,35,11,12,20,20,135,0,0,0,3750,0,10,8
99,17,1,35,11,12,20,20,135,0,0,0,4000,0,10,8
100,18,1,35,11,12,20,20,135,0,0,0,4250,0,10,8
101,19,1,35,11,12,20,20,135,0,0,0,4500,0,10,8
102,20,1,35,11,12,20,20,135,0,0,0,4750,0,10,8
103,21,1,35,11,12,20,20,135,0,0,0,5000,0,10,8
104,22,1,35,11,12,20,20,135,0,0,0,5250,0,10,8
105,23,1,35,11,12,20,20,135,0,0,0,5500,0,12,8
106,24,1,35,11,12,20,20,135,0,0,0,5750,0,12,10
107,25,1,35,11,12,20,20,135,0,0,0,6000,0,12,10
108,26,1,35,11,12,20,20,135,0,0,0,6250,0,12,10
109,27,1,35,11,12,20,20,135,0,0,0,6500,0,12,10
110,28,1,35,11,12,20,20,135,0,0,0,6750,0,12,10
111,29,1,35,11,12,20,20,135,0,0,0,7000,0,12,10
112,30,1,35,11,12,20,20,135,0,0,0,7250,0,12,10
113,31,1,35,11,12,20,20,135,0,0,0,7500,0,12,10
114,32,1,35,11,12,20,20,135,0,0,0,7750,0,12,10
115,33,1,35,11,12,20,20,135,0,0,0,8000,0,12,10
116,34,1,35,11,12,20,20,135,0,0,0,8250,0,12,10
117,35,1,35,11,12,20,20,135,0,0,0,8500,0,12,10
118,36,1,35,11,12,20,20,135,0,0,0,8750,0,12,10
119,37,1,35,11,12,20,20,135,0,0,0,9000,0,12,10
120,38,1,35,11,12,20,20,135,0,0,0,9250,0,12,10
121,39,1,35,11,12,20,20,135,0,0,0,9500,0,12,10
122,40,1,35,11,12,20,20,135,0,0,0,9750,0,12,10
123,41,1,35,11,12,20,20,135,0,0,0,10000,0,12,10
124,42,1,35,11,12,20,20,135,0,0,0,10250,0,12,10
125,43,1,35,11,12,20,20,135,0,0,0,10500,0,12,10
126,44,1,35,11,12,20,20,135,0,0,0,10750,0,12,10
127,45,1,35,11,15,20,20,135,0,0,1,11000,0,14,10
128,46,1,35,11,15,20,20,135,0,0,1,11250,0,14,10
129,47,1,35,11,15,20,20,135,0,0,1,11500,0,14,10
130,48,1,35,11,15,20,20,135,0,0,1,11750,0,14,10
131,49,1,35,11,15,20,20,135,0,0,1,12000,0,14,10
132,50,1,35,11,15,20,20,135,0,0,1,12250,0,16,10
133,51,1,35,11,15,20,20,135,0,0,1,12500,0,16,12
134,52,1,35,11,15,20,20,135,0,0,1,12750,0,18,12
135,53,1,35,11,15,20,20,135,0,0,1,13000,0,18,12
136,54,1,35,11,15,20,20,135,0,0,1,13250,0,18,12
137,55,1,35,11,15,20,20,135,0,0,1,13500,0,18,12
138,56,1,35,11,15,20,20,135,0,0,1,13750,0,18,12
139,57,1,35,11,15,20,20,135,0,0,1,14000,0,18,12
140,58,1,35,11,15,20,20,135,0,0,1,14250,0,18,12
141,59,1,35,11,15,20,20,135,0,0,1,14500,0,18,12
142,60,1,35,11,15,20,20,135,0,0,1,14750,0,18,12
143,61,1,35,11,15,20,20,135,0,0,1,15000,0,20,14
144,62,1,35,11,15,20,20,135,0,0,1,15250,0,20,14
145,63,1,35,11,15,20,20,135,0,0,1,15500,0,20,14
146,64,1,35,11,15,20,20,135,0,0,1,15750,0,20,14
147,65,1,35,11,15,20,20,135,0,0,1,16000,0,22,14
148,66,1,35,11,15,20,20,135,0,0,1,16250,0,22,14
149,67,1,35,11,15,20,20,135,0,0,1,16500,0,22,14
150,68,1,35,11,18,21,21,135,150,0,2,18000,2,32,20
151,69,1,35,11,18,21,21,135,150,0,2,19000,2,32,20
152,70,1,35,11,18,21,21,135,150,0,2,20000,2,32,20
153,71,1,35,11,18,21,21,135,150,0,2,21000,2,32,20
154,72,1,35,11,18,21,21,135,150,0,2,22000,2,32,20
155,73,1,36,11,19,22,22,135,300,0,2,23500,4,32,20
156,74,1,36,11,19,22,22,135,300,0,2,25000,4,32,20
157,75,1,36,11,19,22,22,135,300,0,2,26500,4,32,20
158,76,1,36,11,19,22,22,135,300,0,2,28000,4,32,20
159,77,1,36,11,19,22,22,135,300,0,2,29500,4,32,20
160,78,1,37,11,20,23,23,135,450,0,2,31500,6,32,20
161,79,1,37,11,20,23,23,135,450,0,2,32500,6,32,20
162,80,1,37,11,20,23,23,135,450,0,2,33500,6,32,20
163,81,1,38,11,20,24,24,135,600,1,2,34500,8,32,20
164,82,1,38,11,20,24,24,135,600,1,2,35500,8,32,20
165,83,1,39,11,20,25,25,135,600,1,2,36500,8,32,20
