"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasRegionsKey","AtlasNodeKeys0","AtlasNodeKeys1","AtlasNodeKeys2","AtlasNodeKeys3","AtlasNodeKeys4","Tier0","Tier1","Tier2","Tier3","Tier4","X0","X1","X2","X3","X4","Y0","Y1","Y2","Y3","Y4","f32","f32","f32","f32","f32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","DDSFile"
10,1219,6058,"",458,1872,1,[],[],[],"[102,47]","[102,129,47,66]",0,0,0,11,14,487.62,487.62,487.62,342.957,349.257,251.169,251.169,251.169,186.383,201.607,20,20,20,127,145,0,0,0,11,23,0,0,0,3,-1,""
11,1225,6076,"",464,1878,6,"[108,151,43]","[131,151,152,17]","[131,146,151,152,17]","[131,146,159,151,17]","[131,146,151,65]",3,6,9,11,14,586.287,570.18,567.774,572.071,560.367,484.531,441.583,444.771,440.021,428.204,158,210,191,197,161,-15,19,15,5,10,-22,-7,-15,-11,-2,""
12,1220,6098,"",459,1873,7,"[127,105,51,13]","[127,103,64,51]","[127,103,82,51]","[127,103,82,51]","[127,103,82,51]",5,9,12,14,16,813.122,812.186,814.136,813.397,811.787,335.367,337.057,313.288,315.134,311.27,247,265,185,184,181,-12,-2,-4,-8,-5,12,16,14,11,14,""
13,1226,6071,"",465,1879,7,"[156,92,83,51,12]","[156,103,92,51]","[156,105,103,55,51]","[156,103,55,51]","[156,103,55,51]",4,7,10,12,15,790.781,743.236,758.49,750.302,749.764,382.509,352.818,343.609,339.242,339.791,201,159,178,123,123,-29,6,2,1,3,-24,0,7,-1,-1,""
14,1216,6056,"",455,1869,7,"[151,83,67]","[105,151,83,67]","[151,95,83,67]","[151,95,83,67]","[151,95,83,67]",3,6,10,12,14,686.734,672.29,687.073,683.38,689.268,450.527,438.258,443.953,440.261,441.543,162,180,156,152,156,3,18,0,1,-2,7,9,10,11,12,""
15,1222,6094,"",461,1875,2,[],[],"[136,112,101,19,37]","[112,42,163]","[112,42,163]",0,0,10,12,14,542.612,542.612,686.112,670.435,656.952,57.384,57.384,263.496,271.097,264.728,20,20,203,130,118,0,0,-18,-6,0,0,0,1,8,13,""
16,1213,6051,"",452,1866,1,"[142,61,18]","[142,102,18]","[142,102,18]","[142,139,18]","[142,161,18]",3,6,10,12,16,314.102,286.491,288.125,267.537,265.991,224.487,207.376,206.987,201.282,192.211,241,190,186,167,127,-14,-5,-6,7,-7,-9,3,4,7,8,""
17,1214,6015,"",453,1867,6,"[113,63,43,153]","[113,43,11,153]","[134,43,11,153]","[134,43,11,153]","[134,146,43,153]",2,5,9,11,14,521.321,526.264,521.094,513.123,500.105,375.939,368.769,375.237,372.408,368.885,193,179,176,179,130,17,-3,-4,4,7,2,12,13,13,7,""
18,1212,6041,"",451,1865,1,"[149,16]","[149,16]","[149,102,16]","[139,149,16]","[148,149,16]",3,7,10,13,16,264.546,264.546,264.546,274.886,262.976,230.358,230.358,230.358,231.835,231.577,118,96,176,158,126,2,-6,19,2,3,0,-6,-4,-8,-6,""
19,1211,6017,"",450,1864,2,[],"[79,35,26]","[87,79,35,15]","[87,79,35]","[120,87,79,35]",0,5,9,11,14,552.953,583.937,605.565,607.53,590.855,68.612,210.058,237.219,236.686,232.615,20,176,188,137,157,0,14,10,-8,1,0,-10,-13,-23,-22,""
20,1206,7317,"",445,1859,1,[25],[25],[25],[25],[25],3,6,10,12,14,312.917,301.067,299.157,292.832,292.72,208.118,198.067,197.248,195.442,179.653,41,41,40,43,47,3,0,5,8,8,-9,-10,-8,-8,-10,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds"
21,1204,7103,"",383,1857,6,[97],[97],[97],[97],[97],0,0,0,0,16,594.514,594.514,594.514,594.514,557.031,526.493,526.493,526.493,526.493,474.786,65,65,65,65,39,-20,-20,-20,-20,-6,5,5,5,5,-7,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds"
22,1210,6082,"",449,1863,1,"[140,61,71]","[102,61,71,66]","[102,61,71,66]","[102,61,71,66]","[102,61,71,66]",1,4,8,10,14,451.509,451.509,451.509,451.509,451.509,230.993,230.993,230.993,230.993,230.993,137,147,160,119,94,-13,-29,-25,-18,-14,-28,-3,-5,-10,-4,""
23,1209,5952,"",448,1862,5,[],[],[],[],"[124,106]",0,0,0,0,15,502.582,487.136,484.889,476.147,278.162,253.61,183.174,177.78,177.499,313.704,20,20,20,20,102,0,0,0,0,1,0,0,0,0,0,""
24,1208,6054,"",447,1861,5,"[147,61,45,3]","[147,61,45]","[147,61,50]","[147,61,50]","[147,61,50]",2,5,9,11,14,393.916,393.527,395.959,417.249,417.249,305.242,295.52,307.276,302.909,302.909,170,164,167,147,143,-5,7,0,-9,-5,-4,-12,-19,-14,-13,""
25,1205,6032,"",445,1858,1,"[142,109,61,47,20]","[142,109,102,47,20]","[142,109,102,47,20]","[142,139,109,102,47,20]","[142,109,129,47,20]",3,6,10,12,14,320.585,301.666,309.203,308.969,310.073,188.71,177.142,179.902,179.092,159.585,254,220,226,234,184,-13,-6,-12,-3,-20,-14,-1,-1,0,0,""
26,1207,5980,"",446,1860,2,"[107,77,49,34,9]","[107,77,49,34,19]","[107,87,49,34]","[107,87,49,34]","[107,87,49,34]",3,6,10,11,14,593.066,607.844,607.844,607.844,607.844,120.842,125.12,125.12,125.12,125.12,283,205,171,181,161,8,17,36,34,35,3,5,-1,-2,-4,""
27,1227,6012,"",466,1880,4,[],[],[],[],"[144,130,93]",0,0,0,0,15,143.973,143.973,143.973,143.973,235.482,524.321,524.321,524.321,524.321,481.245,20,20,20,20,118,0,0,0,0,-14,0,0,0,0,-8,""
28,1202,5966,"",443,1855,6,[],[],"[108,43]","[108,75,43]","[108,75,43]",0,0,10,12,15,487.382,487.382,479.638,475.794,475.635,539.058,539.058,447.459,452.975,455.195,20,20,81,94,92,0,0,26,32,32,0,0,-12,-15,-11,""
29,1201,5947,"",442,1854,4,[],[],[],[],"[143,157,93]",0,0,0,0,16,123.575,123.575,123.575,123.575,169.659,518.057,518.057,518.057,518.057,433.741,20,20,20,20,123,0,0,0,0,9,0,0,0,0,-3,""
30,1200,5989,"",441,1853,5,[],[],"[145,119,3]","[147,145,119,3]","[147,145,138,119,114,3]",0,0,9,11,14,196.471,196.471,390.881,396.766,389.727,264.711,264.711,386.701,374.147,382.133,20,20,110,152,148,0,0,-15,0,21,0,0,1,-7,-3,""
31,1199,7049,"",440,1852,1,[32],[32],[32],[32],[32],2,6,9,11,14,396.821,405.043,396.821,396.821,396.821,118.323,112.369,118.323,118.323,118.323,53,67,47,47,47,15,21,12,12,12,-3,5,-5,-5,-5,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds"
32,1198,6010,"",440,1851,1,"[140,33,31,9]","[140,33,31,9]","[140,158,33,31,9]","[140,158,33,31,9]","[140,158,33,31,9]",2,6,9,11,14,428.732,448.862,420.962,420.962,420.962,111.328,123.802,108.312,108.312,108.312,159,167,174,165,163,-4,-27,-7,-3,-2,13,-1,17,19,20,""
33,1196,6077,"",438,1849,0,"[53,52,32]","[53,52,32]","[53,52,32]","[53,52,32]","[53,52,32]",3,6,10,12,14,391.817,393.027,394.236,399.538,399.28,79.467,76.645,75.839,73.623,78.02,253,223,182,181,172,11,14,20,17,18,19,24,25,25,25,""
34,1194,5972,"",436,1848,3,"[135,107,84,26]","[135,107,84,26]","[135,107,84,26,155]","[135,107,150,26]","[150,48,26]",4,7,10,12,14,693.635,704.125,694.89,687.842,664.812,106.138,89.127,109.831,106.169,108.31,206,205,236,193,164,-12,-24,2,-11,-2,-2,12,4,3,5,""
35,1193,5971,"",435,1847,2,"[137,136,79]","[137,136,19]","[137,136,87,19]","[137,87,42,19]","[137,120,42,19]",1,4,8,10,14,550.693,550.693,550.693,550.693,550.693,229.444,229.444,229.444,229.444,229.444,159,175,176,136,137,16,19,22,27,19,3,0,-6,-10,-3,""
36,1217,6055,"",456,1870,5,[],[],[],[],"[124,106,81,1]",0,0,0,0,14,189.401,189.401,189.401,189.401,309.363,252.763,252.763,252.763,252.763,347.293,20,20,20,20,150,0,0,0,0,-2,0,0,0,0,-4,""
37,1218,5962,"",457,1871,2,"[136,135,112,101,91,79,44]","[135,112,111,101,91,79,44]","[135,91,79,44,15]","[135,111,91,79,44,163]","[135,133,91,79,44,163]",3,6,10,12,14,678.814,695.531,706.332,706.332,706.332,241.942,243.643,216.429,216.429,209.447,253,252,162,170,157,6,5,-1,0,6,-16,-27,-18,-21,-6,""
38,1192,5951,"",434,1846,0,[],[],[],[],"[142,126,125]",0,0,0,0,15,502.582,486.569,485.435,479.567,204.938,253.61,182.89,177.78,177.499,166.336,20,20,20,20,108,0,0,0,0,2,0,0,0,0,-4,""
39,1189,5983,"",431,1843,3,"[127,101,91,84,44]","[101,91,62,54]","[101,91,62,54]","[101,94,91,84,62,54]","[101,94,91,62,54]",5,8,11,13,15,827.24,796.644,797.223,797.979,790.092,165.352,201.458,191.961,212.471,200.782,254,189,190,223,193,-53,-11,-12,-6,-2,16,-8,0,-35,-8,""
40,1190,6005,"",432,1844,2,[],[],[],"[77,72]","[77,72]",0,0,0,13,16,565.726,565.726,565.726,554.191,550.934,63.598,63.598,63.598,105.549,107.85,20,20,20,82,87,0,0,0,-18,-19,0,0,0,20,23,""
41,1188,5974,"",430,1842,0,[],[],"[109,69,53,7]","[109,69,53,7]","[128,69,53,7]",0,0,11,13,15,72.416,72.416,277.383,278.475,278.886,87.717,87.717,68.979,81.808,69.898,20,20,177,158,163,0,0,5,11,13,0,0,19,8,20,""
42,1187,5992,"",429,1841,2,[],[],[],"[136,79,35,15]","[136,79,35,15]",0,0,0,11,14,538.29,516.46,552.604,614.327,614.327,270.425,278.647,66.35,261.92,261.92,20,20,20,169,164,0,0,0,2,0,0,0,0,-4,-3,""
43,1186,6038,"",428,1840,6,"[108,115,151,152,17,11]","[131,108,115,17]","[131,115,28,17]","[131,108,115,28,17]","[131,108,115,28,17]",2,6,9,11,14,554.479,510.639,513.539,518.091,521.809,438.996,402.071,408.088,404.725,412.139,223,198,204,183,174,3,6,-1,-6,-11,0,18,15,18,12,""
44,1184,6011,"",427,1838,3,"[135,39,37]","[135,91,54,37]","[135,91,84,54,37]","[135,91,84,37]","[135,91,84,54,37]",4,7,11,12,15,743.75,741.7,757.405,747.987,741.585,157.39,172.539,175.481,162.23,175.937,208,218,213,191,191,-6,-6,-13,-14,-7,19,4,0,18,4,""
45,1183,6008,"",426,1837,5,"[132,124,61,24]","[132,119,61,24]","[162,61,50]","[162,61,50]","[162,61,50]",3,6,9,12,14,339.799,354.076,364.038,364.38,366.863,281.948,274.918,259.639,260.655,267.833,202,209,166,144,136,2,13,-10,0,3,8,16,5,6,2,""
46,1182,7006,"",425,1836,1,[47],[47],[47],[47],[47],3,6,10,12,14,346.388,352.329,347.828,351.159,356.765,184.488,142.967,155.176,165.77,137.807,55,65,63,42,40,-4,-6,-1,-8,-5,-16,21,20,-7,7,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds"
47,1181,6006,"",425,1835,1,"[140,109,69,46,25]","[140,109,102,69,46,66,25]","[140,109,102,69,46,66,25]","[140,109,69,46,25,10]","[140,109,69,46,25,10]",3,6,10,12,14,337.18,339.622,345.617,334.998,344.964,151.623,185.306,196.639,151.699,153.731,225,253,258,216,217,-2,1,-3,-5,-12,-6,-25,-33,-5,-11,""
48,1180,6002,"",424,1834,3,[],[],[],[],"[34,155]",0,0,0,0,14,502.582,487.42,483.524,477.989,692.981,253.61,182.607,178.326,177.499,98.228,20,20,20,20,85,0,0,0,0,0,0,0,0,0,-2,""
49,1179,5997,"",423,1833,2,"[135,79,77,26]","[135,79,26]","[135,87,79,26]","[135,87,79,26]","[135,87,79,26]",3,7,10,11,14,609.74,653.313,653.815,647.925,649.504,151.571,155.329,158.437,149.836,156.151,233,164,174,173,169,2,3,-11,-6,-5,8,9,4,11,4,""
50,1178,6025,"",422,1832,5,[],[],"[162,45,24,1]","[119,106,45,24]","[106,45,24,1]",0,0,9,12,14,217.203,217.203,328.421,357.061,375.711,249.954,249.954,281.399,288.683,292.424,20,20,145,189,140,0,0,9,5,-7,0,0,8,8,8,""
51,1177,6029,"",421,1831,7,"[156,12,13]","[156,12,13]","[156,103,12,13]","[156,103,12,13]","[156,103,12,13]",4,8,11,13,15,780.62,780.62,780.62,780.62,780.62,316.629,316.629,316.629,316.629,316.629,152,123,144,136,135,-4,-17,-6,-11,-11,18,11,13,14,13,""
52,1176,5988,"",420,1830,2,"[33,9]","[33,9]","[33,9]","[72,33,9]","[72,33,9]",3,6,10,12,15,467.034,467.034,471.465,472.647,477.624,103.265,103.634,107.327,120.815,123.433,148,148,152,190,194,-21,-21,-24,-8,-15,6,6,4,-3,0,""
53,1175,6075,"",419,1829,0,"[141,69,33]","[69,33,7]","[69,41,33]","[69,41,33]","[69,41,33]",4,7,10,12,14,294.713,312.132,338.584,343.152,346.053,69.929,82.17,83.282,76.631,88.649,252,173,150,155,150,7,8,-6,-7,-7,16,9,2,9,0,""
54,1173,6083,"",417,1827,3,[],"[84,62,44,39]","[84,62,44,39,155]","[94,84,39,155]","[160,94,84,80,44,39]",0,8,12,13,15,877.014,814.852,813.85,817.241,788.544,47.904,125.07,126.796,95.151,155.627,20,192,177,189,169,0,-25,-26,-18,-2,0,23,22,35,-16,""
55,1172,6043,"",416,1826,7,[],[],"[92,13]","[92,13]","[92,13]",0,0,10,11,14,761.345,782.28,724.877,724.346,730.773,510.158,516.791,345.431,349.527,353,20,20,75,72,69,0,0,8,5,2,0,0,8,4,2,""
56,1174,6036,"",418,1828,4,"[118,117,81,58,3,6]","[117,81,58,3,6]","[117,81,58,3,6]","[117,81,58,3,6]","[117,81,58,3,6]",3,7,10,12,14,317.351,323.724,323.291,323.291,323.291,433.565,433.543,429.213,429.213,429.213,198,161,153,151,151,-1,1,1,0,2,-3,-13,-13,-16,-14,""
57,1171,9673,"",415,1825,4,[58],[58],[58],[58],[58],3,7,10,12,14,316.884,309.036,298.822,299.93,318.215,456.054,453.324,451.313,450.943,450.101,46,44,48,45,54,11,10,12,10,13,5,4,5,5,9,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds"
58,1170,6007,"",415,1824,4,"[118,117,104,57,56]","[118,117,104,57,56]","[118,117,104,57,56]","[118,117,104,57,56]","[118,117,104,57,56]",3,7,10,12,14,339.789,330.927,324.753,321.325,345.612,466.616,462.924,461.608,462.185,469.335,124,163,152,159,146,-7,-2,1,6,-5,-14,-9,-9,-9,-17,""
59,1169,5996,"",414,1823,6,"[136,113,63]","[136,113,63]","[136,113,63]","[136,113,63]","[136,113,65,63]",2,5,9,11,14,578.343,589.121,589.121,589.121,590.764,357.476,358.979,358.979,358.979,356.926,122,122,129,128,141,7,-3,0,-1,-9,-16,-18,-16,-16,-8,""
60,1128,9674,"",382,1783,1,[61],[61],[61],[61],[61],2,5,9,11,14,418.014,401.164,401.164,401.164,401.164,212.433,244.289,244.289,244.289,244.289,43,46,46,46,46,-6,11,11,11,11,9,6,6,6,6,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds"
61,1127,5998,"",382,1782,1,"[60,45,25,24,22,16]","[60,45,24,22]","[60,45,24,22]","[60,45,24,22]","[60,45,24,22]",2,5,9,11,14,404.89,423.168,423.168,423.168,423.168,230.595,256.43,256.43,256.43,256.43,179,155,155,155,155,-27,-20,-20,-20,-20,8,7,7,7,7,""
62,1166,6037,"",412,1820,3,[],"[127,54,39]","[127,54,39]","[127,94,39]","[127,94,39]",0,9,12,14,16,890.028,832.864,831.083,832.214,831.004,54.538,174.433,176.716,195.418,195.418,20,149,151,166,145,0,-16,-14,-11,-11,0,13,9,0,0,""
63,1165,6031,"",411,1819,6,"[112,152,76,59,17]","[112,152,76,59]","[146,112,152,76,59]","[146,159,112,76,59]","[159,112,76,59]",2,6,9,11,14,611.636,608.113,619.467,617.901,610.008,381.423,379.536,384.791,384.928,379.189,201,155,170,178,159,-2,20,0,-2,16,-9,-9,-11,-9,-8,""
64,1164,6033,"",410,1818,7,[],"[105,103,12]","[105,95,82]","[95,83,5]","[95,85,5,154]",0,9,12,13,16,830.413,830.328,826.87,825.114,828.57,525.786,469.735,467.545,478.137,477.939,20,181,157,195,129,0,-27,-31,-52,-40,0,-55,-28,-28,-27,""
65,1163,5967,"",409,1817,6,[],[],[],[],"[116,59,11]",0,0,0,0,14,582.793,582.793,582.793,582.793,559.637,540.653,540.653,540.653,540.653,383.549,20,20,20,20,115,0,0,0,0,5,0,0,0,0,0,""
66,1191,6046,"",433,1845,1,[],"[158,47,22]","[158,47,22]","[158,22]","[158,22,10]",0,5,9,11,14,502.582,409.948,429.569,439.307,432.495,253.61,217.66,205.956,184.604,209.131,20,171,162,110,160,0,0,-15,1,-15,0,-14,-10,4,-9,""
67,1161,6099,"",407,1815,7,"[105,151,14]","[105,151,14]","[151,95,14]","[151,95,14]","[151,95,14]",3,7,10,12,15,714.343,699.579,682.265,681.568,680.402,474.156,463.449,465.661,464.824,473.116,213,180,144,142,146,-8,-9,0,0,2,-11,-7,-3,-3,-9,""
68,1160,9904,"",406,1814,0,[69],[69],[69],[69],[69],3,7,10,12,14,348.846,349.697,349.697,349.697,328.459,99.796,102.915,102.915,102.915,99.557,43,48,54,51,41,-8,-10,-15,-14,0,8,9,6,4,10,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds"
69,1159,6084,"",406,1813,0,"[140,109,68,53,47]","[140,109,68,53,47]","[140,109,68,53,47,41]","[140,109,68,53,47,41]","[140,128,109,68,53,47,41]",3,7,10,12,14,332.697,329.578,318.469,321.1,330.134,116.263,122.217,115.155,111.997,120.054,227,204,232,225,233,1,13,14,14,1,3,8,1,5,0,""
70,1158,6048,"",405,1812,0,[],[],[],"[141,125,4]","[96,126,125]",0,0,0,14,16,76.459,76.459,76.459,171.112,170.152,72.522,72.522,72.522,129.829,131.404,20,20,20,114,101,0,0,0,14,10,0,0,0,-6,5,""
71,1156,6004,"",404,1811,1,"[137,22,9]","[137,22,9]","[137,22,9]","[137,22,9]","[137,22,9]",2,5,9,11,14,465.929,465.929,465.929,465.929,463.407,201.842,201.842,201.842,201.842,202.283,139,139,139,139,141,17,17,17,17,19,-11,-11,-11,-11,-11,""
72,1154,6003,"",403,1809,2,[0],[0],[0],"[0,52,40]","[0,52,40]",0,0,0,13,16,567.774,567.774,567.774,518.206,508.886,34.124,34.124,34.124,116.33,122.002,67,67,67,111,113,-22,-22,-22,-6,0,-4,-4,-4,2,2,""
73,1153,5994,"",402,1808,4,"[123,124,89]","[123,124,157,89]","[143,123,124,89]","[143,123,124,89]","[143,123,124,89]",5,9,12,14,16,172.225,177.281,184.674,188.736,188.736,373.197,357.252,346.985,341.446,341.446,180,243,177,162,150,40,41,31,27,26,-17,10,10,9,5,""
74,1152,8074,"",401,1807,6,[75],[75],[75],[75],[75],0,0,0,13,16,504.948,504.948,504.948,534.662,537.097,540.313,540.313,540.313,468.614,478.393,54,54,54,42,46,16,16,16,-9,-11,0,0,0,-5,-5,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheVinktarSquare.dds"
75,1151,6016,"",401,1806,6,[74],[74],[74],"[108,74,28]","[108,97,74,28]",0,0,0,13,16,538.111,538.111,538.111,515.765,513.763,541.642,541.642,541.642,458.611,466.976,54,54,54,95,110,-16,-16,-16,-3,5,0,0,0,-5,-6,""
76,1150,6014,"",400,1805,2,"[152,63,99]","[152,63,99]","[152,63,99]","[152,63,99]","[152,63,99]",2,6,9,11,14,648.899,648.899,648.899,648.899,648.899,376.085,376.085,376.085,376.085,376.085,103,103,103,103,103,-5,-5,-5,-5,-5,16,16,16,16,16,""
77,1149,5979,"",399,1804,2,"[137,49,26]","[137,26,9]","[137,87,9]","[137,87,40,9]","[137,40]",2,6,10,12,15,557.621,536.292,536.292,533.273,533.662,161.255,131.084,131.084,156.243,163.3,127,166,138,152,127,15,4,-3,2,2,-6,15,26,1,-5,""
78,1148,6103,"",398,1803,2,[79],[79],[79],[79],[79],2,6,9,11,14,615.541,624.289,663.968,663.968,663.968,245.561,238.117,237.72,237.72,237.72,56,48,45,48,38,-13,13,-7,-3,-3,-11,-2,-9,-13,-8,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds"
79,1147,5960,"",398,1802,2,"[111,78,49,35,37]","[136,111,78,49,19,37]","[111,78,49,19,37]","[111,78,49,42,19,37]","[111,78,49,42,19,37]",2,6,9,11,14,588.906,650.944,648.402,656.1,657.409,223.333,233.88,218.84,211.655,221.297,159,187,144,153,149,28,-9,10,-3,-6,-5,-10,-10,2,-6,""
80,1146,6059,"",397,1801,3,[],[],[],[],"[160,54,155]",0,0,0,0,15,913.102,913.102,913.102,913.102,779.626,70.573,70.573,70.573,70.573,75.912,20,20,20,20,147,0,0,0,0,0,0,0,0,0,23,""
81,1145,6090,"",396,1800,5,"[124,89,56,3,6]","[124,89,56,3,6]","[124,89,56,3,6]","[124,89,56,3,6]","[124,89,56,3,36,6]",3,7,10,12,15,293.023,293.023,293.023,293.023,293.023,388.191,388.191,388.191,388.191,388.191,225,217,217,219,229,-14,-18,-17,-17,-13,14,18,18,17,11,""
82,1144,6096,"",395,1799,7,[],[],"[105,103,64,12]","[103,12,5]","[103,12,5]",0,0,12,14,16,727.918,727.918,832.14,825.698,828.976,530.924,530.924,392.09,376.582,373.801,20,20,185,146,147,0,0,-21,-11,-14,0,0,0,-1,-1,""
83,1143,6021,"",394,1798,7,"[105,152,99,14,13]","[152,92,99,14]","[105,152,95,92,99,14]","[105,152,95,92,64,99,14]","[105,152,95,92,85,99,14]",4,7,10,12,14,738.317,689.851,705.192,696.803,701.766,442.042,412.016,425.202,412.264,414.991,199,114,179,263,177,-16,-13,1,22,9,-17,0,-3,15,10,""
84,1142,5995,"",393,1797,3,"[135,39,34]","[135,54,34]","[135,54,44,34]","[54,44,39]","[135,54,44,155]",5,8,11,12,15,758.271,763.04,754.966,781.939,736.19,69.811,70.095,150.387,147.169,147.263,215,172,163,158,152,-13,-19,-8,4,3,51,35,-7,7,-4,""
85,1141,6019,"",392,1796,7,[],[],[],[],"[105,83,64]",0,0,0,0,15,761.063,761.063,761.063,761.063,751.86,523.824,523.824,523.824,523.824,451.83,20,20,20,20,171,0,0,0,0,11,0,0,0,0,-6,""
86,1140,9287,"",391,1795,2,[87],[87],[87],[87],[87],0,0,9,11,14,579.122,579.122,572.511,569.492,569.492,18.506,18.506,119.617,138.402,138.402,67,67,74,60,51,1,1,7,7,10,22,22,24,18,10,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds"
87,1139,6020,"",391,1794,2,[86],[86],"[86,77,49,35,26,19]","[86,77,49,35,26,19]","[137,120,86,49,26,19]",0,0,9,11,14,581.876,581.876,587.306,583.657,591.022,64.381,64.381,169.534,174.509,159.275,67,67,170,160,159,-1,-1,0,2,-4,-22,-22,-2,-1,14,""
88,1138,7163,"",390,1793,4,[89],[89],[89],[89],[89],4,8,11,13,15,197.784,221.195,221.195,221.195,221.195,386.356,359.995,359.995,359.995,359.995,64,58,59,46,46,-7,10,2,1,1,19,15,18,12,12,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds"
89,1137,5990,"",390,1792,4,"[124,88,81,73,6]","[124,157,88,81,73,6]","[143,124,157,88,81,73,6]","[143,124,157,88,81,73,6]","[143,124,157,88,81,73,6]",4,8,11,13,15,182.107,242.078,225.932,223.716,223.716,426.13,390.449,397.573,385.387,385.387,195,219,219,171,163,45,-3,5,7,6,-29,1,-2,0,-5,""
90,1136,9906,"",389,1791,3,[91],[91],[91],[91],[91],4,7,11,12,15,763.49,767.768,772.981,773.618,763.607,210.783,184.727,187.805,194.873,187.075,44,52,54,51,47,-5,-10,-13,-13,-8,-10,11,9,6,9,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds"
91,1135,5970,"",389,1790,3,"[90,39,37]","[90,44,39,37]","[90,44,39,37]","[90,44,39,37]","[90,44,39,37]",4,7,11,12,15,753.357,746.357,746.357,746.357,746.357,189.918,207.029,207.029,207.029,207.029,200,183,191,186,178,2,0,4,2,-2,12,-5,-6,-3,-4,""
