"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","i32","i32","i32","i32","i32","rid","i32","[rid]","string","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","[rid]","rid","bool","bool","string","rid","rid","string","i32","i32","i32","i32"
27,0,5,"Brutus Reward",[6],[7],[16],"",16,6,0,0,0,7,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1226,0,41
28,0,6,"Lioneye's Watch",[],[],[287],"",2565,3,0,0,0,"",287,[24],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1246,0,41
29,0,7,"Drowned Dead",[],[],[288],"",2565,3,0,0,0,"",288,[25],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1294,0,41
30,0,8,"Merveil",[9],[10],[289],"",2565,3,0,0,0,"",289,[26],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1322,0,41
31,0,9,"Rhoas",[31],[],[30],"",2565,3,0,0,0,"",30,[27],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1346,0,41
32,0,10,"Cannibals",[127],[],[291],"",2565,3,0,0,0,"",291,[28],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1392,0,41
33,0,11,"Bestel",[32],[],[292],"",2565,3,0,0,0,"",292,[29],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1416,0,41
34,0,12,"Merveil",[10],[],[33],"",33,3,0,0,0,"",33,[30],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1440,0,41
35,0,13,"Nessa",[14],[],[293],"",2565,3,0,0,0,"",293,[31],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1478,0,41
36,0,14,"Glyph Wall",[26],[25],[294],"",294,5,0,0,0,"",294,[32],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1530,0,41
37,0,15,"Strange Glyphs",[24],[25],[295],"",295,5,0,0,0,"",295,[33],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1590,0,41
38,0,16,"Dweller of the Deep",[25],[117],[114],"",114,5,0,0,0,"",114,[34],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1660,0,41
39,0,17,"Glyph Reward",[25],[37],[36],"",36,6,0,0,0,3,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1700,0,41
40,0,18,"Glyph Reward 2",[25],[2149],[2148],"",2148,6,0,0,0,4,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1744,0,41
41,0,19,"Dweller of the Deep",[116],"[495,117]",[359],"",359,5,0,0,0,"",359,[35],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1776,0,41
42,0,20,"Dweller Reward",[359],"[495,117]",[360],"",360,6,0,0,0,6,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1824,0,41
43,0,21,"The Fetid Pool",[224],"[41,228]",[225],"",225,5,0,0,0,"",225,[36],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1888,0,41
44,0,22,"The Fetid Pool",[128],"[41,228,224]",[225],"",225,5,0,0,0,"",225,[37],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1924,0,41
45,0,23,"The Fetid Pool",[41],[228],[225],"",225,5,0,0,0,"",225,[36],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1952,0,41
46,0,24,"The Necromancer",[228],"[508,229]",[507],"",507,5,0,0,0,"",507,[38],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2018,0,41
47,0,25,"Necromancer Reward",[507],"[508,229]",[509],"",509,6,0,0,0,5,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2074,0,41
48,0,26,"The Blocked Road",[231],[234],[296],"",2565,5,0,0,0,"",296,[39],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2138,0,41
49,0,27,"Reaching the Forest",[509],"[11,231,4]",[230],"",230,5,0,0,0,"",230,[40],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2216,0,41
50,0,28,"Reaching the Forest",[4],"[11,231]",[230],"",230,5,0,0,0,"",230,[40],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2248,0,41
51,0,29,"Reopened Passage",[234],[],[297],"",2565,3,0,0,0,"",297,[41],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2272,0,41
52,0,30,"Goatmen",[4],[],[348],"",2565,3,0,0,0,"",348,[42],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2314,0,41
53,0,31,"Letters of Exile",[],[],[372],"",2565,3,0,0,0,"",372,[43],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2370,0,41
54,0,32,"Medicine Chest",[43],[],[379],"",2565,3,0,0,0,"",379,[44],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2426,0,41
55,0,33,"Purchase Items",[],[],[],"",2565,25,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",1,"","",0,2426,0,41
56,0,34,"Sell Items",[],[],[],"",2565,26,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",0,"","",0,2426,0,41
57,2,0,"Introduction",[],[],[32],"",32,3,0,0,0,"",32,"[45,46,47,48,49,50,51]","",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2542,0,41
58,2,1,"Merveil",[10],[],[49],"",49,3,0,0,0,"",49,[52],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2566,0,41
59,2,2,"Marceus Lioneye",[419],[],[299],"",2565,3,0,0,0,"",299,[53],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2624,0,41
60,2,3,"Nessa",[14],[],[301],"",2565,3,0,0,0,"",301,[54],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2648,0,41
61,2,4,"The Medicine Chest",[40],"[43,50]",[45],"",45,5,0,0,0,"",45,[55],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2680,0,41
62,2,5,"Tarkleigh",[15],[],[302],"",2565,3,0,0,0,"",302,[56],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2704,0,41
63,2,6,"Drowned Dead",[],[],[303],"",2565,3,0,0,0,"",303,[57],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2724,0,41
64,2,7,"Merveil",[9],[10],[304],"",2565,3,0,0,0,"",304,[58],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2752,0,41
65,2,8,"Brutus",[5],[6],[305],"",2565,3,0,0,0,"",305,[59],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2780,0,41
66,2,9,"Undead Rhoas",[224],[229],[306],"",2565,3,0,0,0,"",306,[60],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2836,0,41
67,2,10,"Captain Fairgraves",[48],"[499,47]",[500],"",500,5,0,0,0,"",500,[61],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2908,0,41
68,2,11,"Captain Fairgraves",[46],[48],[69],"",2565,3,0,0,0,"",69,[62],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,2936,0,41
69,2,12,"Fairgraves Reward",[500],"[499,47]",[66],"",66,6,0,0,0,9,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,2990,0,41
70,2,13,"Prisoner's Gate",[232],[234],[483],"",2565,3,0,0,0,"",483,[66],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3052,0,41
71,2,14,"Inspirational Poem",[234],[],[269],"",269,3,0,0,0,"",269,[63],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3116,0,41
72,2,15,"Reopened Passage",[269],"[501,264]",[503],"",503,5,0,0,0,"",503,[64],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3148,0,41
73,2,16,"Road Reward",[269],"[501,264]",[67],"",67,6,0,0,0,11,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3190,0,41
74,2,17,"Medicine Chest",[43],[234],[118],"",118,3,0,0,0,"",118,[65],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3218,0,41
75,2,18,"Surviving Wraeclast",[230],[232],[300],"",2565,3,0,0,0,"",300,[67],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3288,0,41
76,9,0,"Introduction",[],[],[76],"",76,3,0,0,0,"",76,[75],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3308,0,41
77,9,1,"The Azmeri",[],[],[307],"",2565,3,0,0,0,"",307,[76],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3352,0,41
78,9,2,"Yeena",[92],[],[308],"",2565,3,0,0,0,"",308,[77],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3390,0,41
79,9,3,"Greust",[93],[],[309],"",2565,3,0,0,0,"",309,[78],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3430,0,41
80,9,4,"Silk",[94],[],[310],"",2565,3,0,0,0,"",310,[79],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3466,0,41
81,9,5,"Helena",[244],[],[311],"",2565,3,0,0,0,"",311,[80],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3506,0,41
82,9,6,"Blackguards",[98],[244],[312],"",2565,3,0,0,0,"",312,[81],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3560,0,41
83,9,7,"The Bandit Scourge",[],"[84,17,18,19]",[54],"",54,5,0,0,0,"",54,[82],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3636,0,41
84,9,8,"The Bandit Scourge",[18],"[84,17,19]",[54],"",54,5,0,0,0,"",54,[83],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3672,0,41
85,9,9,"The Bandit Scourge",[17],"[84,18,19]",[54],"",54,5,0,0,0,"",54,[84],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3708,0,41
86,9,10,"The Bandit Scourge","[17,18]","[84,19]",[54],"",54,5,0,0,0,"",54,[85],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3744,0,41
87,9,11,"The Bandit Scourge",[19],"[84,17,18]",[54],"",54,5,0,0,0,"",54,[86],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3780,0,41
88,9,12,"The Bandit Scourge","[19,17]","[84,18]",[54],"",54,5,0,0,0,"",54,[87],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3816,0,41
89,9,13,"The Bandit Scourge","[19,18]","[84,17]",[54],"",54,5,0,0,0,"",54,[88],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,3852,0,41
90,9,14,"Bandit Lords","[17,18,19]","[55,57,90]",[58],"",58,3,0,0,0,"",58,[89],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,3924,0,41
91,9,15,"Bandit Amulets","[78,79,80,58]","[123,261]",[809],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );\r\ntriggerer.SetQuestFlag(a2q7minusQuestRewardTaken, a2bminusDeliveredAmulets);",123,5,0,0,0,"",123,[90],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,4310,0,41
92,9,16,"Bandit Amulets",[123],[261],[261],"",261,5,0,0,0,"",261,[91],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,4338,0,41
93,9,17,"Take the Apex","[17,18,19,84]","[77,85]",[70],"",70,6,0,0,0,20,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,4396,0,41
94,9,18,"Oak",[19],"[17,18]",[313],"",2565,3,0,0,0,"",313,[92],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4438,0,41
95,9,19,"Alira",[18],"[17,19]",[313],"",2565,3,0,0,0,"",313,[93],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4484,0,41
96,9,20,"Kraityn",[17],"[18,19]",[313],"",2565,3,0,0,0,"",313,[94],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4534,0,41
97,9,21,"Oak","[17,18]",[19],[316],"",2565,3,0,0,0,"",316,[95],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4566,0,41
98,9,22,"Alira","[17,19]",[18],[316],"",2565,3,0,0,0,"",316,[96],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4598,0,41
99,9,23,"Kraityn","[18,19]",[17],[316],"",2565,3,0,0,0,"",316,[97],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4630,0,41
100,9,24,"The Darkness",[89],[86],[236],"",236,3,0,0,0,"",236,[98],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4686,0,41
101,9,25,"The Light",[86],[],[319],"",319,3,0,0,0,"",319,[99],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4732,0,41
102,9,26,"The Baleful Gem",[99],[],[320],"",2565,3,0,0,0,"",320,[100],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4790,0,41
103,9,27,"Maligaro's Spike",[96],[100],[321],"",2565,3,0,0,0,"",321,[101],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4854,0,41
104,9,28,"Maligaro's Creations","[99,95]",[],[322],"",2565,3,0,0,0,"",322,[102],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4926,0,41
105,9,29,"Ancient Gateway",[101],[],[323],"",2565,3,0,0,0,"",323,[103],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,4984,0,41
106,9,30,"Lorrata",[100],[],[324],"",2565,3,0,0,0,"",324,[104],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5026,0,41
107,9,31,"Fellshrine Ruins",[139],[],[325],"",2565,3,0,0,0,"",325,[105],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5086,0,41
108,9,32,"The Dark Altar",[235],[77],[263],"",263,5,0,0,0,"",263,[106],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5146,0,41
109,9,33,"Yeena's Vision",[254],[86],[255],"",255,5,0,0,0,"",255,[107],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5206,0,41
110,9,34,"Blocked Passage",[231],[234],[326],"",2565,3,0,0,0,"",326,[108],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5268,0,41
111,9,35,"The Chamber of Sins",[98],[],[154],"",2565,3,0,0,0,"",154,[109],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5334,0,41
112,9,36,"Dominus",[],[],[161],"",2565,3,0,0,0,"",161,[110],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5372,0,41
113,9,37,"Claim Passive Skill Point",[84],"[55,57,90,123]",[123],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",123,5,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5604,0,41
114,9,38,"Change Bandit Reward",[],[],[],"",2565,8,0,0,0,40,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,5648,0,41
115,10,0,"Introduction",[],[],[92],"",92,3,0,0,0,"",92,[111],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5668,0,41
116,10,1,"Eramir",[76],[],[328],"",2565,3,0,0,0,"",328,[112],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5708,0,41
117,10,2,"Greust",[93],[],[329],"",2565,3,0,0,0,"",329,[113],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5732,0,41
118,10,3,"Silk",[94],[],[330],"",2565,3,0,0,0,"",330,[114],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5756,0,41
119,10,4,"Helena",[244],[],[331],"",2565,3,0,0,0,"",331,[115],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5780,0,41
120,10,5,"Blood Apes",[],[],[332],"",2565,3,0,0,0,"",332,[116],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5824,0,41
121,10,6,"Vipers",[140],[],[333],"",2565,3,0,0,0,"",333,[117],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5864,0,41
122,10,7,"Elementals",[135],[],[334],"",2565,3,0,0,0,"",334,[118],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5912,0,41
123,10,8,"Maligaro's Spike",[259],"[95,100]",[335],"",2565,3,0,0,0,"",335,[119],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5944,0,41
124,10,9,"Lorrata",[100],[],[336],"",2565,3,0,0,0,"",336,[120],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,5968,0,41
125,10,10,"Chamber of Sins",[102],"[100,99]",[337],"",2565,3,0,0,0,"",337,[121],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6034,0,41
126,10,11,"The Great White Beast",[],[247],[245],"",245,5,0,0,0,"",245,[122],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6104,0,41
127,10,12,"The Great White Beast",[247],[249],[250],"",250,5,0,0,0,"",250,[123],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6132,0,41
128,10,13,"Great White Beast Reward",[250],[249],[248],"",248,6,0,0,0,15,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6196,0,41
129,10,14,"The Fellshrine Hand","[248,244]",[88],[97],"",97,5,0,0,0,"",97,[124],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6270,0,41
130,10,15,"The Fellshrine Hand",[87],[88],"[71,88]","",88,5,0,0,0,"",88,[125],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6302,0,41
131,10,16,"The Fellshrine Hand",[88],"[104,511]",[],"",2565,5,0,0,0,"",88,[125],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6330,0,41
132,10,17,"Jewel Reward",[88],[825],[824],"",824,6,0,0,0,13,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6370,0,41
133,10,18,"Fellshrine Reward","[88,824]","[104,511]",[103],"",103,6,0,0,0,12,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6428,0,41
134,10,19,"The Darkness","[85,89]",[86],[254],"",254,5,0,0,0,"",254,[126],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6460,0,41
135,10,20,"The Darkness",[77],[86],[254],"",254,5,0,0,0,"",254,[126],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6488,0,41
136,10,21,"The Darkness",[89],"[86,85,77]",[237],"",237,3,0,0,0,"",237,[127],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6524,0,41
137,10,22,"The Light",[86],[],[422],"",422,3,0,0,0,"",422,[128],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6548,0,41
138,10,23,"Purchase Items",[],[],[],"",2565,25,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",1,"","",0,6548,0,41
139,10,24,"Sell Items",[],[],[],"",2565,26,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",0,"","",0,6548,0,41
140,11,0,"Introduction",[],[],[93],"",93,3,0,0,0,"",93,[129],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6568,0,41
141,11,1,"Eramir",[76],[],[338],"",2565,3,0,0,0,"",338,[130],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6592,0,41
142,11,2,"Yeena",[92],[],[339],"",2565,3,0,0,0,"",339,[131],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6616,0,41
143,11,3,"Silk",[94],[],[340],"",2565,3,0,0,0,"",340,[132],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6640,0,41
144,11,4,"Blood Apes",[],[],[341],"",2565,3,0,0,0,"",341,[133],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6660,0,41
145,11,5,"Vipers",[140],[],[342],"",2565,3,0,0,0,"",342,[134],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6684,0,41
146,11,6,"Elementals",[135],[],[343],"",2565,3,0,0,0,"",343,[135],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6708,0,41
147,11,7,"Maligaro's Spike",[259],"[100,95]",[344],"",2565,3,0,0,0,"",344,[136],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6740,0,41
148,11,8,"Blackguards",[809],[244],[98],"",98,5,0,0,0,"",98,[137],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6768,0,41
149,11,9,"Helena",[244],[109],[111],"",111,5,0,0,0,"",111,[138],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6796,0,41
150,11,10,"Helena",[109],[],[345],"",2565,3,0,0,0,"",345,[139],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6820,0,41
151,11,11,"Blackguard Reward",[111],[109],[108],"",108,6,0,0,0,14,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,6870,0,41
152,11,12,"Chamber of Sins",[98],"[99,100]",[346],"",2565,3,0,0,0,"",346,[140],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6902,0,41
153,11,13,"Bandit Lords",[54],[123],[347],"",2565,3,0,0,0,"",347,[141],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6930,0,41
154,11,14,"Bandit Lords",[123],[],[365],"",2565,3,0,0,0,"",365,[142],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6954,0,41
155,11,15,"The Darkness",[89],[86],[238],"",238,3,0,0,0,"",238,[143],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,6982,0,41
156,11,16,"The Light",[86],[],[421],"",421,3,0,0,0,"",421,[144],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,7006,0,41
157,11,17,"Purchase Items",[],[],[],"",2565,25,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",1,"","",0,7006,0,41
158,11,18,"Sell Items",[],[],[],"",2565,26,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",0,"","",0,7006,0,41
159,11,19,"Join PvP",[],[],[],"",2565,29,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,7026,0,41
160,4,0,"Introduction",[],[],[63],"",63,5,0,0,0,"",63,[145],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,7046,0,41
161,4,1,"Marooned",[],[],[350],"triggerer.SetQuestFlag(a1q6minusReceivedQuest);\r\ntriggerer.ClearQuestFlag(a1q6minusDeliveredAllFlame);",46,5,0,0,0,"",350,[146],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,7294,0,41
162,4,2,"The Allflame",[],[],[351],"",2565,3,0,0,0,"",351,[147],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,7342,0,41
163,4,3,"The Real Fairgraves",[69],[],[352],"",2565,3,0,0,0,"",352,[148],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,7408,0,41
164,4,4,"Merveil",[],[10],[68],"",2565,3,0,0,0,"",68,[149],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,7432,0,41
165,4,5,"Merveil's Necklace",[68],[],[353],"",2565,3,0,0,0,"",353,[150],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,7496,0,41
