"rownum","Id","SmallWorldAreasKey","i32","HideoutFile","[rid]","LargeWorldAreasKey","HideoutImage","IsEnabled","Weight","rid","bool","Name","[i32]","bool"
31,"HideoutHighGardens",1510,61074,"Metadata/Terrain/Missions/Hideouts/HighGardens/decoration.hideout",[1212],1511,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HighGardensHideout",1,33,3,1,"Arboreal Hideout",[],""
32,"HideoutHauntedMansion",1558,23230,"Metadata/Terrain/Missions/Hideouts/HauntedMansion/decoration.hideout",[1108],1559,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HauntedHideout",1,33,3,1,"Haunted Hideout",[],""
33,"HideoutPrisonTower",1500,38628,"Metadata/Terrain/Missions/Hideouts/PrisonTower/decoration.hideout",[1162],1501,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrisonTowerHideout",1,100,2,1,"Brutal Hideout",[],""
34,"HideoutCrimsonTemple",1552,39182,"Metadata/Terrain/Missions/Hideouts/CrimsonTemple/decoration.hideout",[1220],1553,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrimsonTempleHideout",1,33,3,1,"Sanguine Hideout",[],""
35,"HideoutIceberg",1550,64285,"Metadata/Terrain/Missions/Hideouts/Glacier/decoration.hideout",[1084],1551,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IcebergHideout",1,100,2,1,"Glacial Hideout",[],""
36,"HideoutMountain",1556,9587,"Metadata/Terrain/Missions/Hideouts/Mountain/decoration.hideout",[1197],1557,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MountainHideout",1,100,2,1,"Alpine Hideout",[],""
37,"HideoutDoomguard",1564,54370,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout",1,0,0,1,"Doomguard Hideout",[],""
38,"HideoutSunspire",1565,37893,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout",1,0,0,1,"Sunspire Hideout",[],""
39,"HideoutDarkwood",1566,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout",1,0,0,1,"Glimmerwood Hideout",[],""
40,"HideoutSpace",1517,35022,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout",1,0,0,1,"Celestial Nebula Hideout",[],""
41,"HideoutArenaGraveyardTrio",1518,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout",1,0,0,1,"Entombed Hideout",[],""
42,"HideoutArenaElder",1567,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout",1,0,0,1,"Void Hideout",[],""
43,"HideoutChiyouSpring",1568,63882,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout",1,0,0,1,"Chiyou Hideout",[],1
44,"HideoutBlankAbyss",1569,32865,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss",1,0,0,1,"Infinite Abyss Hideout",[],""
45,"HideoutBlankCity",1570,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity",1,0,0,1,"Urban Sprawl Hideout",[],""
46,"HideoutBlankClouds",1571,61767,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds",1,0,0,1,"Boundless Skies Hideout",[],""
47,"HideoutBlankDesert",1572,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert",1,0,0,1,"Endless Sands Hideout",[],""
48,"HideoutBlankDirt",1573,34522,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt",1,0,0,1,"Eternal Wasteland Hideout",[],""
49,"HideoutBlankGrass",1574,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass",1,0,0,1,"Vast Plains Hideout",[],""
50,"HideoutBlankSea",1575,58314,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea",1,0,0,1,"All at Sea Hideout",[],""
51,"HideoutBlankSnow",1576,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow",1,0,0,1,"Glacial Expanse Hideout",[],""
52,"HideoutThaumaturgy",1577,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout",1,0,0,1,"Thaumaturgical Hideout",[],""
53,"HideoutYaochi",1578,53842,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout",1,0,0,1,"Yaochi Hideout",[],1
54,"HideoutHumanoidPet",1579,65094,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout",1,0,0,1,"Humanoid Pet Hideout",[],1
55,"HideoutMoonTemple",1560,51846,"Metadata/Terrain/Missions/Hideouts/LunarisWater/decoration.hideout",[1159],1561,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MoonTempleHideout",1,33,3,1,"Nocturnal Hideout",[],""
56,"HideoutPrimevalRuins",1562,61278,"Metadata/Terrain/Missions/Hideouts/Primeval/decoration.hideout",[1203],1563,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrimevalRuinsHideout",1,33,3,1,"Primeval Hideout",[20],""
57,"HideoutRitualLeague",1580,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout",1,0,0,1,"Ritualist's Hideout",[],1
58,"HideoutArenaMaven",1581,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout",1,0,0,1,"Crucible Hideout",[],""
59,"HideoutHasina",1582,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout",1,0,0,1,"Tavern Hideout",[],""
60,"HideoutAzuriteCave",1583,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout",1,0,0,1,"Azurite Cavern Hideout",[],""
