"rownum","rid","string"
143,5216,"StormblastMineMtx"
144,5167,"StormBrandMtx"
145,4989,"StormCallMtx"
146,5208,"SummonCarrionGolemMtx"
147,5060,"SummonChaosGolemMtx"
148,5062,"SummonFlameGolemMtx"
149,5061,"SummonIceGolemMtx"
150,5063,"SummonLightningGolemMtx"
151,4996,"SummonRagingSpiritMtx"
152,5161,"HolyRelicMtx"
153,5091,"SummonStoneGolemMtx"
154,4883,"SummonSkeletonsMtx"
155,5217,"SummonSkitterbotsMtx"
156,5104,"SunderMtx"
157,5137,"TectonicSlamMtx"
158,4903,"TempestShieldMtx"
159,4795,"SpectralShieldThrowMtx"
160,4975,"ThrownWeaponMtx"
161,5041,"TornadoShotMtx"
162,5160,"ToxicRainMtx"
163,5156,"VaalAncestralWarchiefMtx"
164,5006,"VaalArcMtx"
165,5088,"VaalBladeVortexMtx"
166,5153,"VaalBlightMtx"
167,5030,"VaalClarityMtx"
168,4986,"VaalPurityOfIceMtx"
169,5019,"VaalColdSnapMtx"
170,5013,"VaalCycloneMtx"
171,5016,"VaalDetonateDeadMtx"
172,5032,"VaalDisciplineMtx"
173,5023,"VaalDoubleStrikeMtx"
174,5152,"VaalEarthquakeMtx"
175,5005,"VaalFireballMtx"
176,4984,"VaalPurityOfFireMtx"
177,5039,"VaalFlameblastMtx"
178,5031,"VaalGraceMtx"
179,5017,"VaalGroundSlamMtx"
180,5033,"VaalHasteMtx"
181,5014,"VaalIceNovaMtx"
182,5011,"VaalImmortalCall"
183,4988,"VaalPurityOfLightningMtx"
184,5042,"VaalLightningTrapMtx"
185,5010,"VaalLightningWarpMtx"
186,5009,"VaalMoltenShellMtx"
187,5012,"VaalPowerSiphonMtx"
188,5018,"VaalRainOfArrowsMtx"
189,5028,"VaalReaveMtx"
190,5036,"VaalRighteousFireMtx"
191,5007,"VaalSparkMtx"
192,5026,"VaalStormCallMtx"
193,5025,"VaalSummonSkeletonsMtx"
194,5020,"VaalThrownWeaponMtx"
195,4911,"VitalityMtx"
196,5284,"VoidSphereMtx"
197,4817,"VolatileDeadMtx"
198,5168,"WarBannerMtx"
199,4812,"WhirlingBladesMtx"
200,5164,"WinterOrbMtx"
201,5096,"WitherMtx"
202,5209,"WitheringStepMtx"
203,4917,"WrathMtx"
204,5064,"BlasphemyMtx"
205,5250,"BlasphemyPlusMtx"
206,5273,"FistOfWarMtx"
207,5218,"HighImpactMineMtx"
208,5143,"MirageArcherMtx"
209,4944,"RangedAttackTotemMtx"
210,4929,"BlastChainMineMtx"
211,4928,"SpellTotemMtx"
212,5141,"AncestralCallMtx"
213,5312,"EarthbreakerMtx"
