"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
50,"51",154.63,2332,146,2059,5808,692,7964,2,155.88,1673,154.63,154.63,1766,3243,2059
51,"52",163.14,2435,152,2200,6064,730,8674,2,164.38,1800,163.14,163.14,1900,3388,2200
52,"53",172.07,2541,159,2350,6324,769,9444,2,173.3,1937,172.07,172.07,2044,3537,2350
53,"54",181.45,2652,165,2509,6585,810,10279,2,182.66,2083,181.45,181.45,2199,3692,2509
54,"55",191.3,2766,172,2678,6859,853,11185,2,192.49,2240,191.3,191.3,2364,3853,2678
55,"56",201.63,2885,179,2858,7134,899,12166,2,202.81,2408,201.63,201.63,2541,4019,2858
56,"57",212.48,3008,187,3050,7413,946,13230,2,213.63,2587,212.48,212.48,2731,4192,3050
57,"58",223.87,3135,195,3253,7703,996,14382,2,225,2780,223.87,223.87,2934,4370,3253
58,"59",235.83,3267,203,3469,7996,1048,15631,2,236.92,2986,235.83,235.83,3151,4555,3469
59,"60",248.37,3403,211,3698,8265,1102,16983,2,249.42,3206,248.37,248.37,3384,4746,3698
60,"61",261.53,3544,220,3942,8525,1159,18448,2,262.54,3442,261.53,261.53,3633,4945,3942
61,"62",275.33,3690,229,4201,8781,1219,20034,2,276.3,3694,275.33,275.33,3900,5150,4201
62,"63",289.82,3842,238,4476,9032,1281,21751,2,290.74,3963,289.82,289.82,4185,5362,4476
63,"64",305.01,3998,247,4768,9283,1346,23610,2,305.87,4252,305.01,305.01,4490,5582,4768
64,"65",320.94,4160,257,5078,9532,1415,25621,2,321.75,4560,320.94,320.94,4816,5809,5078
65,"66",337.65,4328,268,5407,9773,1486,27798,2,338.39,4890,337.65,337.65,5165,6045,5407
66,"67",355.18,4501,279,5756,10014,1561,30153,2,355.84,5243,355.18,355.18,5539,6288,5756
67,"68",373.55,4681,290,6127,10255,1640,32700,3,374.13,5620,373.55,373.55,5938,6540,6127
68,"69",392.81,4867,301,6520,10487,1722,35456,3,393.31,6022,392.81,392.81,6364,6801,6520
69,"70",413.01,5059,314,6937,10720,1807,38436,3,413.41,6453,413.01,413.01,6820,7071,6937
70,"71",434.18,5258,326,7380,10949,1897,41659,3,434.47,6913,434.18,434.18,7308,7350,7380
71,"72",456.37,5463,339,7850,11170,1991,45144,3,456.55,7404,456.37,456.37,7829,7639,7850
72,"73",479.62,5676,352,8348,11388,2089,48911,3,479.69,7929,479.62,479.62,8386,7937,8348
73,"74",504,5895,366,8876,11601,2192,52983,3,503.93,8490,504,504,8980,8246,8876
74,"75",529.54,6123,381,9436,11804,2299,57384,3,529.33,9089,529.54,529.54,9616,8565,9436
75,"76",556.3,6358,396,10030,12004,2411,62140,3,555.94,9729,556.3,556.3,10295,8896,10030
76,"77",584.35,6601,412,10660,12192,2528,67279,3,583.82,10412,584.35,584.35,11020,9237,10660
77,"78",613.73,6852,428,11328,12377,2651,72832,3,613.03,11141,613.73,613.73,11795,9590,11328
78,"79",644.5,7112,444,12036,12549,2779,78830,3,643.62,11920,644.5,644.5,12622,9955,12036
79,"80",676.75,7380,462,12787,12712,2913,85310,3,675.66,12751,676.75,676.75,13506,10332,12787
80,"81",710.52,7658,480,13582,12863,3053,92309,3,709.22,13638,710.52,710.52,14449,10723,13582
81,"82",745.89,7945,499,14425,13006,3199,99867,3,744.36,14585,745.89,745.89,15456,11126,14425
82,"83",782.94,8241,518,15319,13132,3352,108029,3,781.16,15596,782.94,782.94,16531,11542,15319
83,"84",821.73,8548,538,16265,13250,3511,116841,3,819.69,16675,821.73,821.73,17679,11973,16265
84,"85",862.36,8864,559,17268,13352,3678,126356,3,860.04,17825,862.36,862.36,18904,12418,17268
85,"86",904.9,9191,580,18331,13440,3853,136627,3,902.28,19053,904.9,904.9,20211,12878,18331
86,"87",949.44,9529,603,19457,13512,4035,147714,3,946.5,20363,949.44,949.44,21607,13353,19457
87,"88",996.07,9879,626,20649,13569,4225,159680,3,992.79,21760,996.07,996.07,23096,13844,20649
88,"89",1044.89,10239,650,21913,13609,4424,172595,3,1041.25,23250,1044.89,1044.89,24684,14352,21913
89,"90",1096,10612,675,23250,13633,4631,186531,3,1091.98,24840,1096,1096,26380,14876,23250
90,"91",1149.5,10997,701,24667,13639,4848,201569,3,1145.0699,26535,1149.5,1149.5,28188,15418,24667
91,"92",1205.5,11395,728,26168,13627,5074,217794,3,1200.63,28343,1205.5,1205.5,30117,15977,26168
92,"93",1264.11,11806,755,27756,13598,5310,235299,3,1258.78,30270,1264.11,1264.11,32175,16555,27756
93,"94",1325.45,12230,784,29438,13549,5557,254182,3,1319.63,32326,1325.45,1325.45,34370,17152,29438
94,"95",1389.64,12668,814,31220,13483,5815,274551,3,1383.3,34517,1389.64,1389.64,36711,17768,31220
95,"96",1456.8199,13121,845,33105,13396,6084,296521,3,1449.9301,36853,1456.8199,1456.8199,39207,18405,33105
96,"97",1527.12,13588,877,35101,13293,6364,320216,3,1519.65,39343,1527.12,1527.12,41870,19062,35101
97,"98",1600.6801,14071,910,37214,13170,6658,345768,3,1592.58,41997,1600.6801,1600.6801,44708,19741,37214
98,"99",1677.64,14569,945,39450,13029,6964,373323,3,1668.89,44826,1677.64,1677.64,47735,20442,39450
99,"100",1758.17,15084,980,41817,0,7283,403033,3,1748.72,47841,1758.17,1758.17,50962,21166,41817
