"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
41,43,808,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,809,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,810,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,811,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,114,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,841,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,870,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,873,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,874,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
50,52,932,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,937,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,970,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,972,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,1001,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1025,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1029,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1036,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,187,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1047,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1048,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1046,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1082,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1098,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1101,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1106,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1115,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1115,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1115,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1116,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1118,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1124,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1127,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1147,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,562,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1173,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1186,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1186,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1186,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1186,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
83,85,1036,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
84,86,1036,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
85,87,1025,1,0,"",4,6,"",0,20,60,"",0,0,307201,"","","","","","",0
86,88,1125,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
87,89,1126,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
88,90,1224,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
89,91,1224,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
90,92,1224,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
91,93,1224,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
92,94,1126,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
93,95,1249,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
94,96,1250,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
95,97,1029,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
96,98,1279,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
97,99,1291,1,0,"",2,4,1,0,10,0,"",0,0,1,"",1,"","","","",0
98,100,1293,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
99,101,154,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
100,102,154,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
101,103,154,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
102,104,154,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
