"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
24,"Act2DefaultOutdoor",5,30,12,4,0,516,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,100,100,18,100,12,0,0,0
25,"Act2DefaultIndoor",5,30,12,4,0,516,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,100,100,18,100,0,0,0,0
26,"1_2_11",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,100,100,18,100,0,0,0,0
27,"1_2_12",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0,100,0,100,100,18,100,12,0,0,0
28,"1_2_13",5,30,12,4,0,94,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0,100,0,100,100,18,100,12,0,0,0
29,"1_2_14_2",5,30,12,4,0,94,0,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,0,100,100,18,100,0,0,0,0
30,"1_2_14_3",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,0,100,100,18,100,0,0,0,0
31,"1_2_15",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,0,15,51,18,0,100,0,100,100,18,100,12,0,0,0
32,"1_3_1",5,14,0,4,0,94,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,51,18,0,100,0,100,100,16,100,9,0,0,0
33,"Act3DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,16,100,9,0,0,0
34,"Act3DefaultIndoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,16,100,0,0,0,0
35,"1_3_18_1",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,0,100,100,16,100,0,0,0,0
36,"1_3_18_2",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,0,100,100,16,100,0,0,0,0
37,"1_4_1",5,14,0,4,0,94,0,0,0,0,0,0,10,0,0,0,0,0,0,0,100,100,18,20,0,0,100,0,100,100,15,100,8,0,0,0
38,"1_4_2",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,15,100,8,0,0,0
39,"Act4Mines",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,15,100,0,0,12,0
40,"Act4Dreams",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,8,51,18,0,100,0,100,100,15,100,8,0,0,0
41,"Act4Belly",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,0,100,100,15,100,0,0,0,0
42,"1_4_7",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,15,100,8,0,0,0
43,"1_5_1",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,0,100,100,14,100,0,0,8,0
44,"Act5FirstHalfDefaultOutdoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,14,100,8,0,8,0
45,"Act5FirstHalfDefaultIndoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,14,100,0,0,8,0
46,"Act5SecondHalfDefaultOutdoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,14,100,8,0,8,0
47,"Act5SecondHalfDefaultIndoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,100,100,14,100,0,0,8,0
48,"2_6_1",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,100,0,51,18,0,100,0,100,100,14,100,8,0,8,0
49,"Act6EarlyDefault",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,100,12,51,18,0,100,0,100,100,14,100,8,0,8,0
50,"Act6DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0,100,0,100,100,14,100,8,0,8,0
51,"Act6DefaultIndoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0,100,0,100,100,14,100,0,0,8,0
52,"Act7DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0,100,0,100,100,12,100,6,10,6,0
53,"Act7DefaultIndoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0,100,0,100,100,12,100,0,10,6,0
54,"2_7_5_map",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,0,51,18,0,100,0,100,100,12,100,6,10,6,0
55,"2_7_3",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,0,0,51,18,0,100,0,100,100,12,100,6,10,6,0
56,"Act8DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,0,100,100,12,100,8,8,8,0
57,"Act8DefaultIndoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,0,100,100,12,100,0,8,8,0
58,"Act9DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,100,12,100,6,6,6,10
59,"Act9DefaultIndoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,100,12,100,0,6,6,10
60,"Act10DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,100,12,100,8,8,8,8
61,"Act10DefaultIndoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,100,12,100,0,8,8,8
62,"2_10_9",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,100,12,100,0,8,8,8
63,"2_10_6",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,100,0,0,100,8,8,8,8
64,"Incursion",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
65,"Delve_Hub",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
66,"Delve_Endless",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
67,"Delve_Main",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
68,"Delve_Empty",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
69,"Delve1",5,10,10,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
70,"Delve2",5,15,15,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
71,"Delve3",5,20,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
72,"Delve4",5,25,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
73,"Delve5",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
74,"DelveCity1",5,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
75,"DelveCity2",5,15,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
76,"DelveCity3",5,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
77,"DelveCity4",5,25,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
78,"DelveCity5",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
79,"BetrayalStoryVault",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
80,"BetrayalLaboratory",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
81,"BetrayalSafeHouse",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,100,0,0,0,0,0,0
82,"BetrayalMastermindFight",0,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
83,"Synthesis_Main2",5,15,10,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
84,"Synthesis_Main3",5,30,20,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
85,"Synthesis_Main4",5,30,20,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,0,0,0,0,0,0,0
86,"Synthesis_Main5",5,30,20,4,0,94,0,20,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,51,18,0,0,0,0,0,0,0,0,0,0,0
87,"Synthesis_Single2",0,15,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Synthesis_Single3",0,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"SynthesisBoss",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"MapAtziri",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,66,36,0,0,0,0,100,0,0,0,0,0,0
91,"MapTierLess",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,100,100,10,100,2,2,2,2
92,"OldAtlasDefault",5,24,16,4,0,94,0,16,8,8,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,100,100,10,100,2,2,2,2
93,"UniqueMapCowardsTrial",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"MapTier1_7Unique",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"UniqueMapMaelstromOfChaos",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
96,"MapTier3_3Unique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"UniqueMapMaoKun",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
98,"MapTier4_1Unique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
99,"UniqueMapActonsNightmare",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
100,"UniqueMapPoorjoysAsylum",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
101,"UniqueMapWhakawairuaTuahu",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
102,"UniqueMapBlackguardSalute",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
103,"UniqueMapObasCursedTrove",5,24,16,4,0,3034,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"UniqueMapOlmecsSanctum",5,24,16,4,0,94,0,4,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
105,"UniqueMapDeathAndTaxes",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"UniqueMapWraeclastPantheon",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
107,"Map2TierLess",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,100,100,10,100,2,2,2,2
108,"UniqueMapUntaintedParadise",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"UniqueMapVaultsOfAtziri",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"UniqueMapCaerBlaidd",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
111,"UniqueMapPerandusManor",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"UniqueMapVinktarSquare",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
113,"UniqueMapHallowedGround",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"MapAtlasVaalPyramid",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,100,100,10,100,2,2,2,2
115,"UniqueMapPutridCloister",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"MapAtlasPitUnique",5,24,16,4,0,94,0,16,8,8,0,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0,0,0,0,0,0,0,0
117,"MapAtlasScriptorium",5,50,33,4,0,94,0,16,8,8,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,100,100,10,100,2,2,2,2
118,"ShapersRealm",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"BreachBoss",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
120,"MapHarbinger",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"MapWorldsDefault",5,24,16,4,0,94,0,16,8,8,8,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,100,100,10,100,2,2,2,2
122,"MapWorldsMazeUnique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"MapWorldsDunesUnique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,0,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
124,"MapWorldsMoonTempleUnique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0
125,"MapWorldsPitUnique",5,24,16,4,0,94,0,16,8,8,8,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0,0,0,0,0,0,0,0
126,"Master_TH_Shipgraveyard",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
127,"Master_SP_Volcano",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
128,"MapWorldsDefaultHardMode",3,5,3,4,0,4132,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,5,100,0,100,0,0,100,0,0,0,0
129,"EarlyAct1HardMode",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0
130,"MidAct1HardMode",0,0,0,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0
131,"Act2HardMode",0,5,3,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0
132,"Act3HardMode",0,5,3,4,0,4132,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,100,0,0,100,0,0,0,0
133,"CampaignDefaultHardMode",3,5,3,4,0,4132,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,100,0,0,100,0,0,0,0
134,"Sanctum",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
135,"LakeLeague",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
