"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot"
33,"Metadata/Items/Currency/CurrencyEssenceSorrow6",107,44,547,33,1,1,""
34,"Metadata/Items/Currency/CurrencyEssenceAnger1",108,408,402,34,1,1,1
35,"Metadata/Items/Currency/CurrencyEssenceAnger2",109,335,402,35,1,1,1
36,"Metadata/Items/Currency/CurrencyEssenceAnger3",110,263,402,36,1,1,1
37,"Metadata/Items/Currency/CurrencyEssenceAnger4",111,190,402,37,1,1,1
38,"Metadata/Items/Currency/CurrencyEssenceAnger5",112,117,402,38,1,1,1
39,"Metadata/Items/Currency/CurrencyEssenceAnger6",113,44,402,39,1,1,""
40,"Metadata/Items/Currency/CurrencyEssenceTorment1",114,408,474,40,1,1,1
41,"Metadata/Items/Currency/CurrencyEssenceTorment2",115,335,474,41,1,1,1
42,"Metadata/Items/Currency/CurrencyEssenceTorment3",116,263,474,42,1,1,1
43,"Metadata/Items/Currency/CurrencyEssenceTorment4",117,190,474,43,1,1,1
44,"Metadata/Items/Currency/CurrencyEssenceTorment5",118,117,474,44,1,1,1
45,"Metadata/Items/Currency/CurrencyEssenceTorment6",119,44,474,45,1,1,""
46,"Metadata/Items/Currency/CurrencyEssenceFear1",120,408,329,46,1,1,1
47,"Metadata/Items/Currency/CurrencyEssenceFear2",121,335,329,47,1,1,1
48,"Metadata/Items/Currency/CurrencyEssenceFear3",122,263,329,48,1,1,1
49,"Metadata/Items/Currency/CurrencyEssenceFear4",123,190,329,49,1,1,1
50,"Metadata/Items/Currency/CurrencyEssenceFear5",124,117,329,50,1,1,1
51,"Metadata/Items/Currency/CurrencyEssenceFear6",125,44,329,51,1,1,""
52,"Metadata/Items/Currency/CurrencyEssenceSuffering1",126,335,692,52,1,1,1
53,"Metadata/Items/Currency/CurrencyEssenceSuffering2",127,263,692,53,1,1,1
54,"Metadata/Items/Currency/CurrencyEssenceSuffering3",128,190,692,54,1,1,1
55,"Metadata/Items/Currency/CurrencyEssenceSuffering4",129,117,692,55,1,1,1
56,"Metadata/Items/Currency/CurrencyEssenceSuffering5",130,44,692,56,1,1,""
57,"Metadata/Items/Currency/CurrencyEssenceRage1",131,335,619,57,1,1,1
58,"Metadata/Items/Currency/CurrencyEssenceRage2",132,263,619,58,1,1,1
59,"Metadata/Items/Currency/CurrencyEssenceRage3",133,190,619,59,1,1,1
60,"Metadata/Items/Currency/CurrencyEssenceRage4",134,117,619,60,1,1,1
61,"Metadata/Items/Currency/CurrencyEssenceRage5",135,44,618,61,1,1,""
62,"Metadata/Items/Currency/CurrencyEssenceWrath1",136,335,764,62,1,1,1
63,"Metadata/Items/Currency/CurrencyEssenceWrath2",137,263,764,63,1,1,1
64,"Metadata/Items/Currency/CurrencyEssenceWrath3",138,190,764,64,1,1,1
65,"Metadata/Items/Currency/CurrencyEssenceWrath4",139,117,764,65,1,1,1
66,"Metadata/Items/Currency/CurrencyEssenceWrath5",140,44,764,66,1,1,""
67,"Metadata/Items/Currency/CurrencyEssenceDoubt1",141,335,837,67,1,1,1
68,"Metadata/Items/Currency/CurrencyEssenceDoubt2",142,263,837,68,1,1,1
69,"Metadata/Items/Currency/CurrencyEssenceDoubt3",143,190,837,69,1,1,1
70,"Metadata/Items/Currency/CurrencyEssenceDoubt4",144,117,837,70,1,1,1
71,"Metadata/Items/Currency/CurrencyEssenceDoubt5",145,44,837,71,1,1,""
72,"Metadata/Items/Currency/CurrencyEssenceAnguish1",146,613,182,72,1,1,1
73,"Metadata/Items/Currency/CurrencyEssenceAnguish2",147,685,182,73,1,1,1
74,"Metadata/Items/Currency/CurrencyEssenceAnguish3",148,760,182,74,1,1,1
75,"Metadata/Items/Currency/CurrencyEssenceAnguish4",149,833,182,75,1,1,""
76,"Metadata/Items/Currency/CurrencyEssenceLoathing1",150,613,38,76,1,1,1
77,"Metadata/Items/Currency/CurrencyEssenceLoathing2",151,685,38,77,1,1,1
78,"Metadata/Items/Currency/CurrencyEssenceLoathing3",152,760,38,78,1,1,1
79,"Metadata/Items/Currency/CurrencyEssenceLoathing4",153,833,38,79,1,1,""
80,"Metadata/Items/Currency/CurrencyEssenceSpite1",154,613,256,80,1,1,1
81,"Metadata/Items/Currency/CurrencyEssenceSpite2",155,686,256,81,1,1,1
82,"Metadata/Items/Currency/CurrencyEssenceSpite3",156,760,256,82,1,1,1
83,"Metadata/Items/Currency/CurrencyEssenceSpite4",157,833,256,83,1,1,""
84,"Metadata/Items/Currency/CurrencyEssenceZeal1",158,613,111,84,1,1,1
85,"Metadata/Items/Currency/CurrencyEssenceZeal2",159,686,111,85,1,1,1
86,"Metadata/Items/Currency/CurrencyEssenceZeal3",160,760,111,86,1,1,1
87,"Metadata/Items/Currency/CurrencyEssenceZeal4",161,833,111,87,1,1,""
88,"Metadata/Items/Currency/CurrencyEssenceMisery1",162,686,474,88,1,1,1
89,"Metadata/Items/Currency/CurrencyEssenceMisery2",163,760,474,89,1,1,1
90,"Metadata/Items/Currency/CurrencyEssenceMisery3",164,833,474,90,1,1,""
91,"Metadata/Items/Currency/CurrencyEssenceDread1",165,686,547,91,1,1,1
92,"Metadata/Items/Currency/CurrencyEssenceDread2",166,760,547,92,1,1,1
93,"Metadata/Items/Currency/CurrencyEssenceDread3",167,833,547,93,1,1,""
94,"Metadata/Items/Currency/CurrencyEssenceScorn1",168,686,329,94,1,1,1
95,"Metadata/Items/Currency/CurrencyEssenceScorn2",169,760,329,95,1,1,1
96,"Metadata/Items/Currency/CurrencyEssenceScorn3",170,833,329,96,1,1,""
97,"Metadata/Items/Currency/CurrencyEssenceEnvy1",171,686,402,97,1,1,1
98,"Metadata/Items/Currency/CurrencyEssenceEnvy2",172,760,402,98,1,1,1
99,"Metadata/Items/Currency/CurrencyEssenceEnvy3",173,833,402,99,1,1,""
100,"Metadata/Items/Currency/CurrencyEssenceHysteria1",174,833,838,100,1,1,""
101,"Metadata/Items/Currency/CurrencyEssenceInsanity1",175,833,620,101,1,1,""
102,"Metadata/Items/Currency/CurrencyEssenceHorror1",176,833,693,102,1,1,""
103,"Metadata/Items/Currency/CurrencyEssenceDelirium1",177,833,765,103,1,1,""
104,"Metadata/Items/Currency/CurrencyCorruptMonolith",178,760,620,104,1,1,""
105,"GenericSlot1","",760,693,105,1,1,""
106,"GenericSlot2","",760,765,106,1,1,""
107,"GenericSlot3","",760,838,107,1,1,""
108,"CraftingSlot","",514,653,108,2,4,""
