"rownum","Id","Tag","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
17,"curse","Curse","Malédiction","Fluch","呪い","저주","Maldição","Проклятие","Maldición","คำสาป","詛咒",2021,"","",17303
18,"chaining","Chaining","Ricochet","Verkettung","連鎖","연쇄의","Ricochete","Цепь","Encadenamiento","ชิ่ง","連鎖","","","",""
19,"totem","Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰","","","",10664
20,"trap","Trap","Piège","Falle","トラップ","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱",7987,"","",""
21,"mine","Mine","Mine","Mine","マイン","지뢰","Mina","Мина","Mina","ทุ่นระเบิด","地雷","","","",""
22,"movement","Movement","Déplacement","Bewegung","移動","이동","Movimento","Движение","Movimiento","เคลื่อนที่","位移",1256,"","",""
23,"cast","Cast","Incantation","Zauber","キャスト","시전","Conjuração","Сотворение","Lanzamiento","ร่าย","施放","","","",""
24,"vaal","Vaal","Vaal","Vaal","ヴァール","바알","Vaal","Ваал","Vaal","วาล์","瓦爾",2137,"","",10663
25,"grants_active_skill","","","","","","","","","","","","","",""
26,"trigger","Trigger","Déclenchement","Auslöser","トリガー","발동","Ativação","Активатор","Activación","ทริกเกอร์","觸發","","","",""
27,"warcry","Warcry","Cri de guerre","Kriegsschrei","ウォークライ","함성","Clamor","Боевой клич","Grito de guerra","คำราม","戰吼",3163,"","",""
28,"golem","Golem","Golem","Golem","ゴーレム","골렘","Golem","Голем","Gólem","โกเลม","魔像",3167,"","",""
29,"low_max_level","","","","","","","","","","","","","",""
30,"channelling","Channelling","Canalisation","Kanalisieren","チャネリング","집중 유지","Canalização","Поддерживаемое","Canalización","แชนเนล","引導","","","",""
31,"herald","Herald","Héraut","Herold","ヘラルド","전령","Arauto","Вестник","Heraldo","สาสน์","捷光環",6135,"","",20833
32,"brand","Brand","Symbole","Zeichen","ブランド","낙인","Runa","Клеймо","Marca","ตราเวท","烙印","","","",""
33,"physical","Physical","Physique","Physisch","物理","물리","Físico","Физический","Físico","กายภาพ","物理","","",10203,10659
34,"guard","Guard","Protection","Wächter","ガード","수호","Guarda","Оборона","Protección","ตั้งรับ","守護","","","",""
35,"travel","Travel","Trajet","Fortbewegung","トラベル","이동 전용","Viajar","Смещение","Viaje","เดินทาง","快行","","","",""
36,"strike","Strike","Frappe","Schlag","ストライク","타격","Golpear","Удар","Golpe","ฟาด","打擊","","","",""
37,"blink","Blink","Transfert","Spurt","ブリンク","점멸","Ilusão","Скачок","Traslación","ก้าวพริบตา","閃現","","","",""
38,"nova","Nova","Nova","Nova","ノヴァ","폭발","Nova","Кольцо","Nova","กระจาย","新星","","","",""
39,"banner","","","","","","","","","","","","","",""
40,"slam","Slam","Fracas","Hieb","スラム","강타","Impacto","Мощный","Embate","ทุบ","重擊","","","",""
41,"stance","Stance","Posture","Haltung","スタンス","태세","Postura","Стойка","Postura","กระบวนท่า","姿態","","","",""
42,"hex","Hex","Calamité","Verhexung","呪術","사술","Feitiço","Порча","Maleficio","สาปสะกด","咒術",13030,"","",""
43,"mark","Mark","Marque","Mal","呪印","징표","Marca","Метка","Señal","สาปแช่ง","印記","","","",""
44,"orb","Orb","Orbe","Sphäre","オーブ","보주","Orbe","Сфера","Orbe","ลูกแก้ว","球體","","","",""
45,"random_element","Prismatic","Prismatique","Prismatisch","プリズマティック","분광","Prismático","Радужный","Prismática","สุ่มธาตุ","三相","","","",""
46,"arcane","Arcane","Arcane","Arkan","アーケイン","비전","Arcana","Колдовской","Arcana","อาคม","秘能","","","",""
47,"critical","Critical","Critique","Kritisch","クリティカル","치명타","Crítico","Критический","Crítico","คริติคอล","暴擊","","","",""
48,"exceptional","Exceptional","Exceptionnel","Außergewöhnlich","希少","특출난","Excepcional","Исключительный","Excepcional","ดีเด่น","卓越","","","",""
49,"link","Link","Lien","Verbindung","リンク","연결","Vínculo","Связь","Vínculo","ประสาน","連結","","","",17730
50,"blessing","Blessing","Bénédiction","Segnung","ブレッシング","축복","Bênção","Благословение","Bendición","พร","祝福","","","",""
51,"awakened","","","","","","","","","","","","","",""
52,"retaliation","Retaliation","Riposte","Gegenschlag","報復","보복","Retaliação","Ответный удар","Represalia","โต้กลับ","復仇","","","",""
