"rownum","Id","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","i32_100","i32_104","i32_108","i32_112","i32_116","i32_120","i32_124","i32_128","i32_132","i32_136","i32_140","i32_144","i32_148","i32_152"
18,"1_1_8",0,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,8,100,20,100,0,0,0,0,8
19,"1_1_9",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,16,36,12,0,100,0,8,100,20,100,0,0,0,0,8
20,"1_1_9a",5,0,0,4,0,320,0,20,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,36,12,0,100,0,8,100,20,100,0,0,0,0,8
21,"1_1_11_1",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,8,100,20,100,0,0,0,0,8
22,"1_1_11_2",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,8,100,20,100,0,0,0,0,8
23,"1_2_1",5,0,0,4,0,516,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,18,100,12,0,0,0,8
24,"Act2DefaultOutdoor",5,30,12,4,0,516,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,8,100,18,100,12,0,0,0,8
25,"Act2DefaultIndoor",5,30,12,4,0,516,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,8,100,18,100,0,0,0,0,8
26,"1_2_11",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0,100,0,8,100,18,100,0,0,0,0,8
27,"1_2_12",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0,100,0,8,100,18,100,12,0,0,0,8
28,"1_2_13",5,30,12,4,0,94,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0,100,0,8,100,18,100,12,0,0,0,8
29,"1_2_14_2",5,30,12,4,0,94,0,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,0,8,100,18,100,0,0,0,0,8
30,"1_2_14_3",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0,100,0,8,100,18,100,0,0,0,0,8
31,"1_2_15",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,0,15,51,18,0,100,0,8,100,18,100,12,0,0,0,8
32,"1_3_1",5,14,0,4,0,94,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,51,18,0,100,0,8,100,16,100,9,0,0,0,8
33,"Act3DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,16,100,9,0,0,0,8
34,"Act3DefaultIndoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,16,100,0,0,0,0,8
35,"1_3_15",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,100,0,0,0,100,100,18,51,18,0,100,0,8,100,16,100,9,0,0,0,8
36,"1_3_18_1",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,0,8,100,16,100,0,0,0,0,8
37,"1_3_18_2",5,30,12,4,0,94,0,7,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0,100,0,8,100,16,100,0,0,0,0,8
38,"1_4_1",5,14,0,4,0,94,0,0,0,0,0,0,10,0,0,0,0,0,0,0,100,100,18,20,0,0,100,0,8,100,15,100,8,0,0,0,8
39,"1_4_2",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,15,100,8,0,0,0,8
40,"Act4Mines",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,15,100,0,0,12,0,8
41,"Act4Dreams",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,8,51,18,0,100,0,8,100,15,100,8,0,0,0,8
42,"Act4Belly",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,0,8,100,15,100,0,0,0,0,8
43,"1_4_7",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,15,100,8,0,0,0,8
44,"1_5_1",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0,100,0,8,100,14,100,0,0,8,0,8
45,"Act5FirstHalfDefaultOutdoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,14,100,8,0,8,0,8
46,"Act5FirstHalfDefaultIndoor",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,14,100,0,0,8,0,8
47,"Act5SecondHalfDefaultOutdoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,14,100,8,0,8,0,8
48,"Act5SecondHalfDefaultIndoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0,100,0,8,100,14,100,0,0,8,0,8
49,"2_6_1",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,100,0,51,18,0,100,0,8,100,14,100,8,0,8,0,8
50,"Act6EarlyDefault",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,100,12,51,18,0,100,0,8,100,14,100,8,0,8,0,8
51,"Act6DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0,100,0,8,100,14,100,8,0,8,0,8
52,"Act6DefaultIndoor",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0,100,0,8,100,14,100,0,0,8,0,8
53,"Act7DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0,100,0,8,100,12,100,6,10,6,0,8
54,"Act7DefaultIndoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0,100,0,8,100,12,100,0,10,6,0,8
55,"2_7_5_map",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,14,100,100,0,51,18,0,100,0,8,100,12,100,6,10,6,0,8
56,"2_7_3",5,30,12,4,0,94,0,20,10,0,10,0,13,10,0,10,0,15,0,15,100,0,0,51,18,0,100,0,8,100,12,100,6,10,6,0,8
57,"Act8DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,0,8,100,12,100,8,8,8,0,8
58,"Act8DefaultIndoor",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,0,8,100,12,100,0,8,8,0,8
59,"Act8Underbelly",5,30,12,4,0,94,0,20,10,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0,100,0,8,100,12,0,0,8,8,0,8
60,"Act9DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,100,12,100,6,6,6,10,8
61,"Act9DefaultIndoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,100,12,100,0,6,6,10,8
62,"Act10DefaultOutdoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,100,12,100,8,8,8,8,8
63,"Act10DefaultIndoor",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,100,12,100,0,8,8,8,8
64,"2_10_9",5,30,12,4,0,94,0,20,10,0,0,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,100,12,100,0,8,8,8,8
65,"2_10_6",5,30,12,4,0,94,0,20,10,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0,100,0,8,0,0,100,8,8,8,8,8
66,"Incursion",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
67,"Delve_Hub",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
68,"Delve_Endless",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
69,"Delve_Main",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
70,"Delve_Empty",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
71,"Delve1",5,10,10,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
72,"Delve2",5,15,15,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
73,"Delve3",5,20,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
74,"Delve4",5,25,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
75,"Delve5",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
76,"DelveCity1",5,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
77,"DelveCity2",5,15,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
78,"DelveCity3",5,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
79,"DelveCity4",5,25,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
80,"DelveCity5",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
81,"BetrayalStoryVault",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
82,"BetrayalLaboratory",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
83,"BetrayalSafeHouse",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,100,0,0,0,0,0,0,0
84,"BetrayalMastermindFight",0,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
85,"Synthesis_Main2",5,15,10,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Synthesis_Main3",5,30,20,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"Synthesis_Main4",5,30,20,4,0,94,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,0,0,0,0,0,0,0,0
88,"Synthesis_Main5",5,30,20,4,0,94,0,20,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,51,18,0,0,0,0,0,0,0,0,0,0,0,0
89,"Synthesis_Single2",0,15,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Synthesis_Single3",0,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"SynthesisBoss",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"MapAtziri",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,66,36,0,0,0,0,100,0,0,0,0,0,0,0
93,"MapTierLess",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,8,100,10,100,2,2,2,2,8
94,"OldAtlasDefault",5,24,16,4,0,94,0,16,8,8,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,8,100,10,100,2,2,2,2,8
95,"UniqueMapCowardsTrial",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"MapTier1_7Unique",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"UniqueMapMaelstromOfChaos",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
98,"MapTier3_3Unique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"UniqueMapMaoKun",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
100,"MapTier4_1Unique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
101,"UniqueMapActonsNightmare",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
102,"UniqueMapPoorjoysAsylum",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
103,"UniqueMapWhakawairuaTuahu",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
104,"UniqueMapBlackguardSalute",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
105,"UniqueMapObasCursedTrove",5,24,16,4,0,3082,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"UniqueMapOlmecsSanctum",5,24,16,4,0,94,0,4,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
107,"UniqueMapDeathAndTaxes",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"UniqueMapWraeclastPantheon",5,24,16,4,0,94,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
109,"Map2TierLess",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,8,100,10,100,2,2,2,2,8
110,"UniqueMapUntaintedParadise",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"UniqueMapVaultsOfAtziri",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"UniqueMapCaerBlaidd",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
113,"UniqueMapPerandusManor",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"UniqueMapVinktarSquare",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
115,"UniqueMapHallowedGround",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"MapAtlasVaalPyramid",5,24,16,4,0,94,0,6,0,8,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10,100,8,8,100,10,100,2,2,2,2,8
117,"UniqueMapPutridCloister",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"MapAtlasPitUnique",5,24,16,4,0,94,0,16,8,8,0,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0,0,0,0,0,0,0,0,0
119,"MapAtlasScriptorium",5,50,33,4,0,94,0,16,8,8,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,8,100,10,100,2,2,2,2,8
120,"ShapersRealm",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"BreachBoss",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
122,"MapHarbinger",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"MapWorldsDefault",5,24,16,4,0,94,0,16,8,8,8,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10,100,8,8,100,10,100,2,2,2,2,8
124,"MapWorldsMazeUnique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"MapWorldsDunesUnique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,0,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
126,"MapWorldsMoonTempleUnique",5,24,16,4,0,94,0,16,8,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0
127,"MapWorldsPitUnique",5,24,16,4,0,94,0,16,8,8,8,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10,0,0,0,0,0,0,0,0,0,0,0
128,"Master_TH_Shipgraveyard",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
129,"Master_SP_Volcano",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
130,"MapWorldsDefaultHardMode",3,5,3,4,0,4180,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,5,100,0,8,0,0,100,0,0,0,0,8
131,"EarlyAct1HardMode",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,8,0,0,100,0,0,0,0,8
132,"MidAct1HardMode",0,0,0,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,8,0,0,100,0,0,0,0,8
133,"Act2HardMode",0,5,3,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,8,0,0,100,0,0,0,0,8
134,"Act3HardMode",0,5,3,4,0,4180,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,8,0,0,100,0,0,0,0,8
135,"1_3_15_HardMode",0,5,3,4,0,4180,0,5,3,0,0,0,0,0,0,0,100,0,0,0,0,100,0,7,3,0,100,0,8,0,0,100,0,0,0,0,8
136,"CampaignDefaultHardMode",3,5,3,4,0,4180,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0,100,0,8,0,0,100,0,0,0,0,8
137,"Sanctum",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
138,"LakeLeague",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
