"rownum","i32_0","[rid]_4","[rid]_20","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","bool_68","string_69","i32_77","bool_81","i32_82"
49,51,[400],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
50,52,[400],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
51,53,[400],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
52,54,[401],[],5,0,0,0,0,1,0,4,"","vine_trap",2,"",0
53,55,[400],[],4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",0
54,56,[404],[],4,0,0,0,0,1,0,7,"","",2,"",0
55,57,[410],[],4,0,0,0,0,1,0,7,"","",2,"",0
56,58,[411],[],4,0,0,0,0,1,0,7,"","",2,"",0
57,59,[412],[],4,0,0,0,0,1,0,7,"","",2,"",0
58,60,[413],[],4,0,0,0,0,1,0,7,"","",2,"",0
59,61,[427],[],3,0,0,0,0,1,0,2,"","ice_fissures",2,1,0
60,64,[430],[],4,0,0,0,0,1,0,2,"","",2,"",0
61,65,[431],[],5,0,0,0,0,1,0,7,"","",2,"",0
62,66,[433],[],4,0,0,0,0,1,0,2,"","",2,"",0
63,67,[434],[],5,0,0,0,0,1,0,2,"","",2,"",0
64,68,[435],[],4,0,0,0,0,1,0,2,"","",2,"",0
65,69,[437],[],3,0,0,0,0,1,0,7,"","placed_bomb",2,"",0
66,70,[438],[],4,0,0,0,0,1,0,7,"","grid_mine",2,1,0
67,71,[448],[],5,0,0,0,0,1,0,2,"","",2,"",0
68,72,[1498],[],4,0,0,0,0,1,0,7,"","",2,"",0
69,73,[445],[],4,0,0,0,0,1,0,7,"","",2,1,0
70,74,[446],[],4,0,0,0,0,1,0,7,"","",2,1,0
71,75,[453],[],4,0,0,0,0,1,0,7,"","",2,"",0
72,76,[457],[],4,0,0,0,0,1,0,7,"","",2,1,0
73,77,[462],[],4,0,0,0,0,1,0,7,"","",2,"",0
74,78,[465],[],4,10,0,0,0,1,0,7,"","dominus_spawner",2,1,0
75,79,[466],[],4,0,0,0,0,1,0,7,"","",2,"",0
76,80,[468],[],4,0,0,0,0,1,0,7,"","",2,"",0
77,81,[470],[],4,0,0,0,0,1,0,7,"","standalone_shav_telemark",2,1,0
78,82,[471],[],4,0,0,0,180,1,0,2,"","turret_group1",2,1,0
79,83,[472],[],4,0,0,0,0,1,0,2,"","turret_group2",2,1,0
80,84,"[474,475]",[],4,0,0,0,0,1,0,7,"","cracks",2,1,0
81,85,[476],[],4,0,0,0,0,1,0,7,"","adus_pillar",2,1,0
82,86,"[479,480,481]",[],4,3,7,0,0,1,0,7,"","pods",2,1,0
83,87,[483],[],4,0,0,0,0,1,0,7,"","xnuke",2,1,0
84,88,[491],[],4,0,0,0,0,1,0,7,"","",2,"",0
85,89,[519],[],4,0,0,0,0,2,10,7,"","",2,"",0
86,90,[526],[],4,0,0,0,0,2,10,7,"","",2,"",0
87,91,[551],[],4,0,0,0,0,2,0,2,"","",2,"",0
88,92,[552],[],4,0,0,0,0,1,0,7,"","",2,"",0
89,93,[554],[],4,0,0,0,0,1,0,7,"","",2,"",0
90,94,[560],[],4,0,0,0,0,1,0,7,"","",2,"",0
91,95,[561],[],4,12,12,0,0,2,13,2,"","",2,"",0
92,96,[572],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
93,97,[573],[],4,0,0,0,0,1,0,7,"","fissure",2,1,0
94,98,[587],[],4,0,0,0,0,1,0,7,"","",2,"",0
95,99,[588],[],4,0,0,0,0,1,0,2,"","target_rune",2,"",0
96,100,[350],[],4,0,0,0,0,1,0,4,"","",2,"",0
97,101,[351],[],4,0,0,0,0,1,0,4,"","",2,"",0
98,102,"[595,597,598,599]",[],4,0,0,0,0,1,0,7,"","walls",2,1,0
99,103,[617],[],4,0,0,0,0,1,0,7,"","",2,"",0
100,104,[622],[],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
101,105,[622],[],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
102,106,[622],[],4,0,0,0,180,1,0,4,"","",2,"",0
103,107,[1183],[],4,0,0,0,0,1,0,2,"","target_marker",2,"",0
104,108,[293],[],4,0,0,0,0,1,0,2,"","",2,"",0
105,109,"[1304,1305,1306]",[],4,3,7,0,0,1,0,7,"","pods",2,1,0
106,110,[463],[],4,0,0,0,0,1,0,7,"","",2,"",0
107,111,[1333],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
108,112,[1335],[],4,0,0,0,0,1,0,7,"","pods",2,1,0
109,113,[1359],[],4,0,0,0,0,1,0,7,"","",2,"",0
110,114,[1366],[],4,0,0,0,0,1,0,7,"","",2,"",0
111,115,[1403],[],4,0,0,0,-90,1,0,4,"","",2,"",0
112,116,[1403],[],4,0,0,0,90,1,0,4,"","",2,"",0
113,117,[1424],[],4,0,0,0,0,1,0,4,"","",2,"",0
114,118,[1425],[],4,0,0,0,0,1,0,4,"","",2,"",0
115,119,[1426],[],4,0,0,0,0,1,0,4,"","",2,"",0
116,120,[1427],[],4,0,0,0,0,1,0,4,"","",2,"",0
117,121,[1428],[],4,0,0,0,0,1,0,4,"","",2,"",0
118,122,[1429],[],4,0,0,0,0,1,0,4,"","",2,"",0
119,123,[1430],[],4,0,0,0,0,1,0,4,"","",2,"",0
120,124,[1431],[],4,0,0,0,0,1,0,4,"","",2,"",0
121,125,[1454],[],5,0,0,0,0,1,0,2,"","",2,"",0
122,126,[1455],[],4,0,0,0,0,2,0,4,"","",2,"",0
123,127,[1471],[],4,0,0,0,0,1,0,7,"","",2,"",0
124,128,[1496],[],4,0,0,0,0,1,0,2,"","",2,"",0
125,129,[1506],[],4,0,0,0,0,1,0,7,"","bombs",2,1,0
126,130,[1508],[],4,0,0,0,0,1,0,7,"","laserpillar",2,1,0
127,131,[1509],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
