"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","MinAreaLevel","i32_62","MapFragmentLimit","bool_70","[rid]_71"
176,3645,[18695],[],77,1,"","","","","",1,100,1,"",[1]
177,3646,[18696],[],78,1,"","","","","",1,100,2,"",[]
178,3648,[18697],[],79,1,"","","","","",1,100,1,"",[]
179,3647,[18698],[],80,1,"","","","","",1,100,1,"",[]
180,3649,[18699],[],12,1,"","","","","",1,100,1,"",[]
181,3650,[18700],[],81,1,"","","","","",1,100,2,"",[]
182,3651,[18701],[],82,1,"","","","","",1,100,1,"",[]
183,3652,[18702],[],83,1,"","","","","",1,100,1,"",[]
184,3653,[18703],[],84,1,"","","","","",1,100,1,"",[]
185,3654,[18704],[],85,1,"","","","","",1,100,1,"",[]
186,3655,[18705],[],86,1,"","","","","",1,100,2,"",[]
187,3656,[18706],[],87,1,"","","","","",1,100,5,"",[]
188,3657,[18707],[],88,1,"","","","","",78,100,1,"",[]
189,3658,[18708],[],89,1,"","","","","",1,100,1,"",[]
190,3659,[18709],[],13,1,"","","","","",1,100,1,"",[]
191,3660,[18710],[],90,1,"","","","","",1,100,2,"",[1]
192,3661,[18711],[],91,1,"","","","","",1,100,1,"",[]
193,3662,[18712],[],92,1,"","","","","",1,100,1,"",[]
194,3663,[18713],[],135,1,"","","","","",1,100,1,"",[]
195,3664,[18714],[],107,1,"","","","","",1,100,1,"",[]
196,3665,[18715],[],108,1,"","","","","",1,100,2,"",[]
197,3666,[18730],[],112,1,"","","","","",1,100,2,"",[]
198,3667,[18717],[],110,1,"","","","","",1,100,1,"",[]
199,3668,[18718],[],111,1,"","","","","",1,100,1,"",[]
200,3669,[18724],[],128,1,"","","","","",1,100,1,"",[]
201,3670,[18725],[],129,1,"","","","","",1,100,1,"",[]
202,3671,[18726],[],130,1,"","","","","",1,100,2,"",[]
203,3672,[18727],[],131,1,"","","","","",1,100,1,"",[]
204,3673,[18728],[],132,1,"","","","","",1,100,1,"",[1]
205,3674,[18729],[],133,1,"","","","","",1,100,1,"",[]
206,3675,[18731],[],113,1,"","","","","",1,100,1,"",[]
207,3676,[18732],[],114,1,"","","","","",1,100,1,"",[]
208,3677,[18733],[],115,1,"","","","","",1,100,1,"",[]
209,3678,[18734],[],116,1,"","","","","",1,100,1,"",[]
210,3679,[18735],[],117,1,"","","","","",1,100,1,"",[]
211,3680,[18736],[],118,1,"","","","","",1,100,1,"",[]
212,3681,[18737],[],119,1,"","","","","",1,100,1,"",[]
213,2896,"[20575,20580]",[],15,"","","",1,"","",1,100,1,"",[]
214,2897,"[20576,20581]",[],16,"","","",1,"","",1,100,1,"",[]
215,2898,"[20577,20582]",[],17,"","","",1,"","",1,100,1,"",[]
216,2899,"[20578,20583]",[],18,"","","",1,"","",1,100,1,"",[]
217,2900,"[20579,20584]",[],19,"","","",1,"","",1,100,1,"",[]
218,2901,"[20585,20590]",[],15,"","","",1,"","",1,100,1,"",[]
219,2902,"[20586,20591]",[],16,"","","",1,"","",1,100,1,"",[]
220,2903,"[20587,20592]",[],17,"","","",1,"","",1,100,1,"",[]
221,2904,"[20588,20593]",[],18,"","","",1,"","",1,100,1,"",[]
222,2905,"[20589,20594]",[],19,"","","",1,"","",1,100,1,"",[]
223,3685,[20940],[],139,"","","","","","",1,100,1,"",[]
224,3686,[20941],[],139,"","","","","","",1,100,1,"",[]
225,3687,[20942],[],139,"","","","","","",1,100,1,"",[]
226,3688,[20943],[],139,"","","","","","",1,100,1,"",[]
227,3689,[20944],[],139,"","","","","","",1,100,1,"",[]
228,3690,[20945],[],139,"","","","","","",1,100,1,"",[]
229,3691,[20947],[],139,"","","","","","",1,100,1,"",[]
230,3692,[20948],[],139,"","","","","","",1,100,1,"",[]
231,3693,[20949],[],139,"","","","","","",1,100,1,"",[]
232,3694,[20951],[],139,"","","","","","",1,100,1,"",[]
233,3695,[20952],[],139,"","","","","","",1,100,1,"",[]
234,3696,[20954],[],139,"","","","","","",1,100,1,"",[]
235,3697,[20955],[],139,"","","","","","",1,100,1,"",[]
236,2906,[8347],[],139,"","","",1,"","",1,100,1,"",[]
237,2923,[24356],[9592],139,1,"","","","","",1,100,4,"",[]
