"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32_48","MiscAnimatedKey","i32_68","i32_72","[i32]_76","[i32]_92","[i32]_108","[i32]_124","[i32]_140","[i32]_156","i32_172","i32_176","[rid]_180","MonsterVarietiesKey2"
23,7643,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7647,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7646
25,7650,4,0,0,[3097],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7651,4,0,0,[3097],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7652,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7662,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7663,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7670,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7673,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7676,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7679,1,0,0,[3101],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7680,1,0,0,[3101],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7681,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7691,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7695,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7698,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7700,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7703,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7706,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7709,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7570,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7571,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7572,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7573,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7574,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7586,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7587,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7588,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7599,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7608,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7609,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7627,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7628,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7637,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7638,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7639,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7653,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7654,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7655,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7664,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7665,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7682,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7683,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7684,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7692,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7696,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7701,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7702,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
