"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","[rid]_16","i32_32","i32_36","i32_40","bool_44","i32_45","i32_49","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_53","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_57","u16_61","bool_63"
10,"Lose75%AllResourcesOutgoing","<kalguurred>{The King decided to institute a one-time tax of three-quarters of our entire outgoing shipment!}","<kalguurred>{Le Roi a décidé d'instituer une taxe exceptionnelle représentant les trois quarts de l'intégralité de notre cargaison en partance !}","<kalguurred>{Der König hat beschlossen, eine einmalige Steuer in Höhe von drei Vierteln unserer gesamten ausgehenden Ladung zu erheben!}","<kalguurred>{王は、我々の出荷する積荷全体の四分の三を1回限りの税として徴収することを決定しました！}","<kalguurred>{왕이 수출하는 수송품 전체의 3/4에 해당하는 일회성 세금을 부과했습니다!}","<kalguurred>{O Rei decidiu instituir um imposto único de três-quartos de todo o nosso carregamento exportado!}","<kalguurred>{Король решил учредить разовый налог в размере трёх четвертей всего нашего отправленного груза!}","<kalguurred>{¡El rey ha decidido implementar un impuesto de aplicación única que se lleva tres cuartas partes de nuestro cargamento saliente!}","<kalguurred>{กษัตริย์​ทรง​เรียกภาษี​ครั้ง​เดียว ที่​ต้อง​จ่าย​ด้วย​สาม​ใน​สี่​ของ​สินค้า​ทุก​อย่าง​ที่เรา​​ขนส่ง​ไป!}","<kalguurred>{帝王決定要收取我們貨物四分之三的一次性稅款！}",[],75,0,0,"",16777216,-1610612736,-603979776,-939524096,-1207959552,402653184,-1744830464,1040187392,0,1342177280,1207959552,14,16,16,9,10,15,14,17,15,8,16777216,0,""
11,"Lose50%RewardsAtPort","<kalguurred>{Trade disruptions at port caused economic shocks. We only received half of what we expected.}","<kalguurred>{Des perturbations commerciales ont provoqué des chocs économiques au port. Nous n'avons reçû que la moitié de ce que nous espérions.}","<kalguurred>{Handelsstörungen am Hafen haben zu einer wirtschaftlichen Erschütterung geführt. Wir haben nur die Hälfte dessen erhalten, was wir erwartet hatten.}","<kalguurred>{港での貿易の混乱は経済的ショックを引き起こし、期待される収益の半分しか受けると事ができませんでした。}","<kalguurred>{항만에서 교역에 차질이 생기면서 경기가 침체됐습니다. 예상한 수익의 절반만 얻었습니다.}","<kalguurred>{Problemas com o comércio no porto causaram choques econômicos. Nós só recebemos metade do que foi prometido!}","<kalguurred>{Нарушения торговли в порту вызвали экономические потрясения. Мы получили только половину от того, что ожидали.}","<kalguurred>{Unos problemas comerciales en el puerto han provocado una crisis económica. Solo hemos recibido la mitad de lo esperado.}","<kalguurred>{การ​ค้าขาย​ที่​หยุด​ชะงัก​ใน​เมือง​ท่า​ทำให้​เกิด​วิกฤต​ทาง​เศรษฐกิจ เรา​ได้​รับ​เพียง​ครึ่ง​เดียว​จาก​ที่​คาด​ไว้}","<kalguurred>{港口的交易騷動引起了經濟動盪。我們只收到預計一半的獎勵。}",[],0,50,0,"",16777216,939524096,-536870912,-603979776,-1241513984,369098752,1174405120,-469762048,-637534208,268435456,100663296,16,18,18,10,11,17,15,18,17,9,16777216,0,""
12,"Lose50%RewardsReturning","<kalguurred>{Pirates seized half of our profits on the voyage back!}","<kalguurred>{Des pirates ont saisi la moitié de nos profits lors du voyage retour !}","<kalguurred>{Piraten haben die Hälfte unseres Gewinns auf der Rückreise erbeutet!}","<kalguurred>{帰りの航海で海賊に利益の半分を奪われました！}","<kalguurred>{돌아오는 길에 해적에게 수익 절반을 빼앗겼습니다!}","<kalguurred>{Piradas tomaram metade dos nossos lucros na viagem de volta!}","<kalguurred>{Пираты захватили половину наших доходов на обратном пути!}","<kalguurred>{¡Los piratas se han quedado con la mitad de nuestros beneficios en el viaje de vuelta!}","<kalguurred>{โจร​สลัด​ยึด​ผล​กำไร​ของ​เรา​ไป​ครึ่ง​หนึ่ง​ขณะ​ที่​เดิน​ทาง​กลับ​มา!}","<kalguurred>{海盜搶走一半我們帶回的獎勵！}",[],0,50,0,"",16777216,939524096,-536870912,-603979776,-1241513984,369098752,1174405120,-469762048,-637534208,268435456,100663296,16,18,18,10,11,17,15,18,17,9,16777216,0,""
13,"Lose25%RewardsAtPort","<kalguurred>{We were out-negotiated at port, and have received a quarter less than we expected.}","<kalguurred>{Les négociations se sont mal passées au port, nous avons reçu un quart de moins que ce que nous espérions !}","<kalguurred>{Wir wurden am Hafen unterboten und haben ein Viertel weniger erhalten, als wir erwartet hatten.}","<kalguurred>{港で交渉に負け、期待よりも四分の一少ない収益を受け取りました。}","<kalguurred>{항만에서 협상에 실패해, 예상한 수익의 3/4만 얻었습니다.}","<kalguurred>{Nós negociamos mal no porto e recebemos um quarto menos do que esperávamos!}","<kalguurred>{Мы проиграли переговоры в порту и получили на четверть меньше ожидаемого.}","<kalguurred>{Un competidor ganó la negociación en el puerto, y hemos recibido una cuarta parte menos de lo esperado.}","<kalguurred>{เรา​แพ้​การ​ต่อรอง​ผล​ประโยชน์​ใน​เมือง​ท่า แล้ว​ได้​รับ​มา​น้อย​กว่า​ที่​คาด​ไว้​หนึ่ง​ใน​สี่}","<kalguurred>{我們在港口被殺價了，所以收到的比預期還少四分之一。}",[],0,25,0,"",16777216,1577058304,1744830464,1207959552,201326592,2013265920,-2147483648,33554432,-2013265920,1778384896,738197504,18,21,21,12,12,19,18,21,19,10,16777216,0,""
14,"Lose75%RewardsReturning","<kalguurred>{The ship experienced a tremendous storm at sea, and three-quarters of our returns have been lost.}","<kalguurred>{Le navire a été frappé par une terrible tempête en mer, les trois quarts de nos profits ont été perdus.}","<kalguurred>{Das Schiff geriet auf See in einen gewaltigen Sturm und drei Viertel unserer Profite sind verloren gegangen.}","<kalguurred>{船は海上で猛烈な嵐に見舞われ、収益の四分の三が失われました。}","<kalguurred>{선박이 항해 도중 거대한 폭풍에 휘말려, 예상 수익의 3/4을 잃었습니다.}","<kalguurred>{O navio passou por uma tormenta gigantesca no mar e três-quartos do nosso lucro foi perdido.}","<kalguurred>{Судно попало в сильнейший шторм на море и три четверти обратного груза было потеряно.}","<kalguurred>{El barco ha atravesado una tormenta terrible en el mar, y hemos perdido tres cuartas partes de los beneficios.}","<kalguurred>{เรือ​เผชิญ​กับ​มรสุม​มหึมา​ขณะ​ที่​อยู่​ใน​ทะเล เรา​เสีย​ผล​กำไร​ไป​สาม​ใน​สี่}","<kalguurred>{我們的船在海上遇到劇烈風暴，有四分之三的獎勵都不見了。}",[],0,75,0,"",16777216,100663296,335544320,436207616,-335544320,1845493760,603979776,2080374784,1577058304,-805306368,-234881024,20,23,23,12,13,21,19,23,20,10,16777216,0,""
15,"LoseCrewMemberPubBrawl","<kalguurred>{Unfortunately, a crew member was killed in a tavern brawl.}","<kalguurred>{Un membre d'équipage a malheureusement été tué dans une bagarre de taverne.}","<kalguurred>{Unglücklicherweise wurde ein Besatzungsmitglied bei einer Kneipenschlägerei getötet.}","<kalguurred>{残念ながら、酒場での乱闘で船員が一人が死亡しました。}","<kalguurred>{안타깝게도 선술집에서 싸움이 벌어져 선원 1명이 사망했습니다.}","<kalguurred>{Infelizmente, um membro da Tripulação foi morto em uma briga na taverna.}","<kalguurred>{К несчастью, член команды был убит во время драки в таверне.}","<kalguurred>{Lamentablemente, un miembro de la tripulación ha muerto a consecuencia de una pelea de taberna.}","<kalguurred>{โชคร้าย​ที่​มี​ลูก​เรือ​คน​หนึ่ง​ถูก​ฆ่า​ตาย​ขณะ​ทะเลาะ​วิวาท​ใน​โรงเหล้า}","<kalguurred>{不幸的是，有一位船員在酒館鬥毆中被殺了。}",[],0,0,0,1,16777216,1744830464,-1879048192,-1140850688,-1040187392,1409286144,-1543503872,-905969664,503316480,637534208,-1476395008,21,24,24,13,14,22,20,25,22,11,83886080,0,""
16,"LoseCrewMemberOverboardOutgoing","<kalguurred>{A storm knocked a crewmember overboard on the voyage out.}","<kalguurred>{Une tempête a projeté un membre d'équipage par-dessus bord lors du voyage aller.}","<kalguurred>{Ein Sturm riss ein Besatzungsmitglied auf der Hinfahrt über Bord.}","<kalguurred>{航海中、嵐により船員の一人が船外に転落しました。}","<kalguurred>{목적지로 가는 도중 선원 1명이 폭풍에 휘말려 바다에 빠졌습니다.}","<kalguurred>{Uma tempestade derrubou um membro da tripulação no mar na viagem de volta.}","<kalguurred>{Шторм выбросил члена команды за борт по пути в пункт назначения.}","<kalguurred>{Una tormenta ha lanzado a un miembro de la tripulación por la borda en el viaje de ida.}","<kalguurred>{มรสุม​ซัด​ลูก​เรือ​ของ​เรา​คน​หนึ่ง​ออก​ไป​นอก​เรือ​ขณะ​ที่​ออก​เรือ}","<kalguurred>{出海的過程中有風暴把一名船員吹出船外了。}",[],0,0,0,1,16777216,1744830464,-1879048192,-1140850688,-1040187392,1409286144,-1543503872,-905969664,503316480,637534208,-1476395008,21,24,24,13,14,22,20,25,22,11,83886080,0,""
17,"LoseCrewMemberOverboardReturning","<kalguurred>{One of our crew decided to stay at port and start a new life.}","<kalguurred>{L'un de nos membres d'équipage a décidé de rester au port et de commencer une nouvelle vie.}","<kalguurred>{Ein Mitglied unserer Besatzung hat beschlossen, im Hafen zu bleiben und ein neues Leben zu beginnen.}","<kalguurred>{船員の一人が港に留まり、新しい生活を始めることにしました。}","<kalguurred>{선원 1명이 항만에 남아 새로운 삶을 개척하기로 했습니다.}","<kalguurred>{Um membro da nossa tripulações decidiu ficar no porto e começar uma vida nova.}","<kalguurred>{Один из членов экипажа решил остаться в порту и начать новую жизнь.}","<kalguurred>{Uno de nuestros tripulantes ha decidido quedarse en el puerto e iniciar una nueva vida.}","<kalguurred>{ลูก​เรือ​เรา​คน​หนึ่ง​เลือก​ที่​จะ​เริ่ม​ชีวิต​ใหม่​ใน​เมือง​ท่า​นั้น}","<kalguurred>(其中一名船員決定留在港口並開始新的人生。)",[],0,0,0,1,16777216,1744830464,-1879048192,-1140850688,-1040187392,1409286144,-1543503872,-905969664,503316480,637534208,-1476395008,21,24,24,13,14,22,20,25,22,11,83886080,0,""
18,"ShipmentDelayed100%","<kalguurred>{Dangerous weather has caused a delay.}","<kalguurred>{Des conditions météorologiques dangereuses ont entraîné un retard.}","<kalguurred>{Gefährliche Wetterbedingungen haben zu einer Verzögerung geführt.}","<kalguurred>{荒天により遅れが発生しました。}","<kalguurred>{악천후로 인해 일정이 지연되었습니다.}","<kalguurred>{O clima perigoso causou um atraso.}","<kalguurred>{Опасная погода вызвала задержку.}","<kalguurred>{Las condiciones meteorológicas adversas han ocasionado un retraso.}","<kalguurred>{สภาพ​อากาศ​อันตราย​ทำให้​เกิด​ความ​ล่าช้า}","<kalguurred>{惡劣的天氣讓貨物延遲送達了。}",[],0,0,100,"",16777216,603979776,-134217728,704643072,-1509949440,1509949440,-1577058304,-1979711488,-1811939328,201326592,1711276032,24,27,28,15,16,25,23,28,25,13,16777216,0,""
19,"LoseAllRewardsOutgoing","<kalguurred>{Our ship was seized by a pirate fleet on the way to port. The entire shipment has been lost.}","<kalguurred>{Notre navire a été saisi par une flotte pirate alors qu'il se dirigeait vers le port. L'intégralité de la cargaison a été perdue.}","<kalguurred>{Unser Schiff wurde auf dem Weg zum Hafen von einer Piratenflotte gekapert. Die gesamte Ladung ist verloren gegangen.}","<kalguurred>{我々の船は港に向かう途中で海賊の艦隊に捕まり、積荷全体が失われました。}","<kalguurred>{선박이 항만으로 이동하던 중 해적 함대에 나포되었습니다. 수송품을 전부 잃었습니다.}","<kalguurred>{Nosso navio foi tomado por uma frota pirata no caminho até o porto. Todo o carregamento foi perdido.}","<kalguurred>{Наше судно было захвачено пиратским флотом по пути в порт. Весь груз потерян.}","<kalguurred>{Una flota pirata ha secuestrado nuestro barco en su camino hacia el puerto. Hemos perdido todo el cargamento.}","<kalguurred>{เรือ​ถูก​กอง​เรือ​โจร​สลัด​ยึด​ไป​ขณะ​ที่​เดิน​ทาง​ไป​ยัง​เมือง​ท่า เรา​เสีย​สินค้า​ทุก​อย่าง​ที่​เรา​ขนส่ง​ไป​หมด}","<kalguurred>{我們的船在前往港口的過程中被海盜掠奪了。整船的貨物都不見了。}",[],100,0,0,"",0,-1946157056,-1375731712,-704643072,-2147483648,1476395008,436207616,-738197504,671088640,-1811939328,603979776,25,29,29,16,17,27,24,30,26,14,167772160,0,""
20,"LoseAllRewardsReturning","<kalguurred>{A mysterious green light surrounded the ship on its voyage home. When it passed, everything was gone.}","<kalguurred>{Une mystérieuse lumière verte a encerclé le navire lors de son voyage retour, après quoi, tout avait disparu.}","<kalguurred>{Ein geheimnisvolles grünes Licht umgab das Schiff auf seiner Heimreise. Als es verschwand, war alles weg.}","<kalguurred>{戻りの船を緑色の謎の光が包みました。それが通り過ぎた後、すべてが消えてしまいました。}","<kalguurred>{선박이 돌아오던 중 정체불명의 녹색 빛에 휩싸였습니다. 빛이 가시자 아무것도 남아있지 않았습니다.}","<kalguurred>{Uma misteriosa luz verde cercou o navio na viagem de volta. Quando ela passou, tudo havia sumido.}","<kalguurred>{Загадочный зелёный свет окружил корабль на пути домой. Когда он пропал, всё исчезло.}","<kalguurred>{Una luz verde misteriosa ha rodeado el barco en su regreso a casa. Cuando se disipó, todo había desaparecido.}","<kalguurred>{มี​แสง​สี​เขียว​ลี้ลับ​ล้อม​รอบ​เรือ​ขณะ​ที่​เดิน​ทาง​กลับ เมื่อ​แสง​นั้น​หาย​ไป ทุก​อย่าง​ก็​อันตรธาน​ไป​หมด}","<kalguurred>{我們的船在回程的過程中被一道神祕的綠光包圍。過了不久，所有的東西都不見了。}",[],0,100,0,"",0,-1946157056,-1375731712,-704643072,-2147483648,1476395008,436207616,-738197504,671088640,-1811939328,603979776,25,29,29,16,17,27,24,30,26,14,167772160,0,""
