"rownum","string_0","rid_8","[rid]_24","i32_40","[rid]_44","i32_60","[rid]_64","i32_80","[rid]_84","[rid]_100","[rid]_116","string_132","i32_140","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_144","rid_148","rid_164","i32_180","i32_184","i32_188","i32_192","i32_196","i32_200","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_204","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_208","i32_212","i32_216","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_220","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","u16_224","bool_226"
10,"ChaosMinionWitchChaosHitNoble",1,"[76,71]",2,"[72,70,69,75,74,73]",0,[],2,"[78,9,21,22,77]",[],"[1207,1212,1199,1213]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchChaosHit.ais",352730777,356269721,358497945,346439321,344080025,356400793,355221145,356794009,355090073,340803225,0,0,0,0,-637534208,0,33554432,0,939524096,1879048192,-1744830464,-973078528,-1610612736,1778384896,1711276032,1744830464,1577058304,1610612736,21,21,21,20,20,21,21,21,21,20,33554432,0,1476395008,-1879048192,-1207959552,-436207616,-1073741824,-1979711488,-2046820352,-2013265920,2113929216,-2147483648,21,21,21,20,20,21,21,21,21,20,0,""
11,"TrapsMinesShadowAttack",2,"[87,83]",2,"[84,85]",0,[],2,"[79,22,80,81,86]",[],"[1214,1215]","Metadata/Monsters/Mercenaries/MercenaryShadow/TrapsMinesShadowAttack.ais",384598348,388268364,390889804,377127244,374636876,387875148,387613004,387744076,387088716,370442572,0,65536,0,0,-637534208,0,0,0,201326592,1140850688,1811939328,-1811939328,1677721600,1275068416,1040187392,1308622848,805306368,570425344,23,23,23,22,22,23,23,23,23,22,83886080,0,201326592,1140850688,1811939328,-1811939328,1677721600,1275068416,1040187392,1308622848,805306368,570425344,23,23,23,22,22,23,23,23,23,22,0,""
12,"TrapsMinesShadowAttackNoble",2,"[87,83]",2,"[84,85]",0,[],2,"[79,22,80,81,86]",[],"[1214,1215,1199,1216]","Metadata/Monsters/Mercenaries/MercenaryShadow/TrapsMinesShadowAttack.ais",409395840,413065856,415687296,401531520,398385792,413590144,412672640,413721216,411755136,394060416,0,65536,0,0,-637534208,0,33554432,0,-1744830464,-872415232,0,268435456,-637534208,-503316480,-771751936,-402653184,-1107296256,-1912602624,24,24,25,24,23,24,24,24,24,23,83886080,0,-1207959552,-335544320,536870912,805306368,-100663296,33554432,-234881024,134217728,-570425344,-1375731712,24,24,25,24,23,25,24,25,24,23,0,""
13,"TrapsMinesShadowLightning",2,"[2,82]",2,"[91,90,88,89]",0,[],2,"[22,21,79,81,78]",[],"[1214,1217]","Metadata/Monsters/Mercenaries/MercenaryShadow/TrapsMinesShadowLightning.ais",447222809,450630681,454038553,438309913,434770969,452072473,451023897,452465689,449713177,429790233,0,65536,0,0,-637534208,0,0,0,-939524096,33554432,805306368,973078528,-100663296,503316480,67108864,771751936,-268435456,-1409286144,26,27,27,26,25,27,27,27,26,25,67108864,0,-939524096,33554432,805306368,973078528,-100663296,503316480,67108864,771751936,-268435456,-1409286144,26,27,27,26,25,27,27,27,26,25,0,""
14,"TrapsMinesShadowLightningNoble",2,"[2,82]",2,"[91,90,88,89]",0,[],2,"[22,21,79,81,78]",[],"[1214,1217,1199,1218]","Metadata/Monsters/Mercenaries/MercenaryShadow/TrapsMinesShadowLightning.ais",473468154,477269242,480283898,464162042,459967738,479104250,477400314,480152826,476089594,454855930,0,65536,0,0,-637534208,0,33554432,0,1778384896,-1509949440,-637534208,-872415232,-2046820352,-939524096,-1409286144,-503316480,-1744830464,771751936,28,28,28,27,27,28,28,28,28,27,67108864,0,-1979711488,-973078528,-100663296,-335544320,-1509949440,-402653184,-872415232,33554432,-1207959552,1308622848,28,28,28,27,27,28,28,29,28,27,0,""
15,"TrapsMinesShadowCold",2,"[96,100]",1,"[97,101]",0,[],2,"[81,22,21,80,95,98]",[],"[1214,1219]","Metadata/Monsters/Mercenaries/MercenaryShadow/TrapsMinesShadowCold.ais",507918950,511851110,515258982,497564262,492976742,514079334,512244326,515783270,510933606,487209574,0,196608,0,0,-637534208,0,0,0,1711276032,-1577058304,-738197504,-1040187392,1912602624,-872415232,-1442840576,-301989888,-1711276032,402653184,30,30,30,29,29,30,30,30,30,29,83886080,0,1711276032,-1577058304,-738197504,-1040187392,1912602624,-872415232,-1442840576,-301989888,-1711276032,402653184,30,30,30,29,29,30,30,30,30,29,0,""
16,"Crit1HShadowSpectral",3,[0],0,[],0,[],0,[],[],"[1221,1222]","Metadata/Monsters/Mercenaries/MercenaryShadow/Crit1HShadowSpectral.ais",530712084,534644244,537921044,519964180,514721300,537396756,535168532,539624980,534119956,508823060,0,65536,0,0,-637534208,0,0,0,-1174405120,-134217728,805306368,268435456,-1174405120,704643072,67108864,1442840576,-335544320,1543503872,31,31,32,31,30,32,32,32,31,30,0,0,-1174405120,-134217728,805306368,268435456,-1174405120,704643072,67108864,1442840576,-335544320,1543503872,31,31,32,31,30,32,32,32,31,30,0,""
17,"Crit1HShadowPhysSpell",3,"[233,229]",2,"[228,234,230,231,235]",0,[],2,"[261,80,22,232,96]",[],"[1221,1224]","Metadata/Monsters/Mercenaries/MercenaryShadow/Crit1HShadowPhysSpell.ais",559564808,563628040,567298056,548423688,542787592,566904840,564414472,569788424,562841608,536627208,0,131072,0,0,-637534208,0,0,0,1946157056,-1308622848,-234881024,-973078528,1744830464,-134217728,-905969664,603979776,-1543503872,134217728,33,33,33,32,32,33,33,34,33,32,67108864,0,1946157056,-1308622848,-234881024,-973078528,1744830464,-134217728,-905969664,603979776,-1543503872,134217728,33,33,33,32,32,33,33,34,33,32,0,""
18,"Crit1HShadowPhysSpellNoble",3,"[233,229]",2,"[228,234,230,231,235]",0,[],2,"[261,80,22,232,96]",[],"[1221,1224,1199,1225]","Metadata/Monsters/Mercenaries/MercenaryShadow/Crit1HShadowPhysSpell.ais",585931196,589994428,594188732,574527932,568367548,594581948,591567292,597465532,589076924,562076092,0,131072,0,0,-637534208,0,33554432,0,402653184,1375731712,-1509949440,1543503872,-100663296,-1409286144,2113929216,-671088640,1241513984,-1879048192,35,35,35,34,33,35,35,35,35,33,67108864,0,939524096,1912602624,-973078528,2080374784,436207616,-872415232,-1644167168,-134217728,1778384896,-1342177280,35,35,35,34,34,35,35,35,35,33,0,""
19,"Crit1HShadowPoison",3,"[223,227]",2,"[222,226,225,224]",0,[],2,"[221,261,45,42,80]",[],"[1221,1226]","Metadata/Monsters/Mercenaries/MercenaryShadow/Crit1HShadowPoison.ais",620518048,624319136,629824160,608197280,601774752,630217376,627202720,633100960,623794848,594827936,0,65536,0,0,-637534208,0,0,0,369098752,1275068416,-1375731712,1409286144,-369098752,-1308622848,-1979711488,-570425344,1174405120,-2113929216,37,37,37,36,35,37,37,37,37,35,83886080,0,369098752,1275068416,-1375731712,1409286144,-369098752,-1308622848,-1979711488,-570425344,1174405120,-2113929216,37,37,37,36,35,37,37,37,37,35,0,""
20,"Crit1HShadowPoisonNoble",3,"[223,227]",2,"[222,226,225,224]",0,[],2,"[221,261,45,42,80]",[],"[1221,1226,1199,1227]","Metadata/Monsters/Mercenaries/MercenaryShadow/Crit1HShadowPoison.ais",646490394,650029338,656451866,633776410,626829594,656714010,654092570,659597594,649636122,620013850,0,65536,0,0,-637534208,0,33554432,0,-1275068416,-503316480,1577058304,-503316480,1946157056,1409286144,973078528,-2147483648,-436207616,100663296,38,38,39,37,37,39,39,39,38,37,83886080,0,-738197504,33554432,2113929216,33554432,-1811939328,1946157056,1509949440,-1610612736,100663296,637534208,38,39,39,38,37,39,39,39,39,37,0,""
21,"MeleeAOEMarauderFireSlam",4,"[130,121,135]",2,"[131,134,136,133]",0,[],1,"[122,128,32,106,132]",[],"[1228,1229]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderFireSlam.ais",684999755,688014411,696140875,671237195,664028235,695485515,693781579,698369099,688276555,656819275,0,0,0,0,-637534208,0,0,0,-436207616,369098752,-1778384896,268435456,-1644167168,-2046820352,1946157056,-1275068416,402653184,805306368,40,41,41,40,39,41,41,41,41,39,33554432,0,-436207616,369098752,-1778384896,268435456,-1644167168,-2046820352,1946157056,-1275068416,402653184,805306368,40,41,41,40,39,41,41,41,41,39,0,""
22,"MeleeAOEMarauderFireSlamNoble",4,"[130,121,135]",2,"[131,134,136,133]",0,[],1,"[122,128,32,106,132]",[],"[1228,1229,1199,1230]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderFireSlam.ais",709115667,712261395,720650003,695090963,687619859,719601427,718421779,722616083,712392467,680410899,0,0,0,0,-637534208,0,33554432,0,1744830464,-1778384896,637534208,-2080374784,301989888,67108864,33554432,872415232,-1644167168,-1677721600,42,42,43,41,41,43,43,43,42,40,33554432,0,-2013265920,-1241513984,1174405120,-1543503872,838860800,603979776,570425344,1409286144,-1107296256,-1140850688,42,42,43,41,41,43,43,43,42,40,0,""
23,"MeleeAOEMarauderNonSlam",4,"[197,202]",2,"[189,203,204,205,190]",0,[],2,"[122,128,121,196]",[],"[1228,1231]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderNonSlam.ais",742711569,745726225,755163409,727769361,720298257,752935185,752804113,756080913,746250513,712565009,0,65536,0,0,-637534208,0,0,0,1409286144,-2013265920,503316480,1811939328,-134217728,-134217728,-134217728,704643072,-1879048192,-2113929216,44,44,45,43,42,44,44,45,44,42,50331648,0,1409286144,-2013265920,503316480,1811939328,-134217728,-134217728,-134217728,704643072,-1879048192,-2113929216,44,44,45,43,42,44,44,45,44,42,0,""
24,"MeleeAOEMarauderNonSlamNoble",4,"[197,202]",2,"[189,203,204,205,190]",0,[],2,"[122,128,121,196]",[],"[1228,1231,1199,1232]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderNonSlam.ais",766526192,769934064,779764464,751321840,743719664,777274096,777274096,780550896,770458352,735986416,0,65536,0,0,-637534208,0,33554432,0,-771751936,134217728,-1342177280,-603979776,1778384896,2046820352,-2080374784,-1375731712,402653184,-335544320,45,46,46,44,44,46,46,46,46,43,50331648,0,-234881024,671088640,-805306368,-67108864,-1979711488,-1711276032,-1543503872,-838860800,939524096,201326592,45,46,46,44,44,46,46,46,46,44,0,""
25,"MeleeAOEMarauderPhysSlam",4,"[119,121]",2,"[129,120,127,126,125]",0,[],2,"[128,122,124,123,53]",[],"[1228,1233]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderPhysSlam.ais",802323871,805862815,816872863,786202015,778730911,813333919,813989279,816741791,806911391,770473375,0,0,0,0,-637534208,0,0,0,-335544320,536870912,-939524096,-268435456,1979711488,-1476395008,-1442840576,-838860800,872415232,-167772160,47,48,48,46,46,48,48,48,48,45,33554432,0,-335544320,536870912,-939524096,-268435456,1979711488,-1476395008,-1442840576,-838860800,872415232,-167772160,47,48,48,46,46,48,48,48,48,45,0,""
26,"MeleeAOEMarauderPhysSlamNoble",4,"[119,121]",2,"[129,120,127,126,125]",0,[],2,"[128,122,124,123,53]",[],"[1228,1233,1199,1234]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeAOEMarauderPhysSlam.ais",826985640,830393512,841403560,810470568,802475176,839306408,839437480,841796776,831704232,794086568,0,0,0,0,-637534208,0,33554432,0,1979711488,-1543503872,1476395008,1778384896,-335544320,1107296256,1140850688,1509949440,-1006632960,1644167168,49,49,50,48,47,50,50,50,49,47,33554432,0,-1778384896,-1006632960,2013265920,-1979711488,201326592,1644167168,1677721600,2046820352,-469762048,-2113929216,49,49,50,48,48,50,50,50,49,47,0,""
27,"MeleeStrikesMarauderFire",5,"[238,242]",2,"[239,241,240,243]",0,[],2,"[31,121,122,26,130]",[],"[1235,1236]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeStrikesMarauderFire.ais",861328252,864342908,876139388,843764604,835507068,874697596,874828668,876270460,866440060,826463100,0,131072,0,0,-637534208,0,0,0,1979711488,-1610612736,1409286144,1644167168,-570425344,1174405120,1073741824,1509949440,-973078528,1308622848,51,51,52,50,49,52,52,52,51,49,83886080,0,1979711488,-1610612736,1409286144,1644167168,-570425344,1174405120,1073741824,1509949440,-973078528,1308622848,51,51,52,50,49,52,52,52,51,49,0,""
28,"MeleeStrikesMaraduerPhys",5,"[191,198,199]",1,"[192,193,142]",0,[],2,"[128,121,122,196,195,194]",[],"[1235,1238]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeStrikesMarauderPhys.ais",896949585,899702097,911498577,878861649,870210897,910581073,910187857,911891793,902192465,860773713,0,65536,0,0,-637534208,0,0,0,-2013265920,-1308622848,1744830464,1912602624,-402653184,1543503872,1509949440,1879048192,-704643072,1476395008,53,53,54,52,51,54,54,54,53,51,33554432,0,-2013265920,-1308622848,1744830464,1912602624,-402653184,1543503872,1509949440,1879048192,-704643072,1476395008,53,53,54,52,51,54,54,54,53,51,0,""
29,"MeleeStrikesMaraduerPhysNoble",5,"[191,198,199]",1,"[192,193,142]",0,[],2,"[128,121,122,196,195,194]",[],"[1235,1238,1199,1239]","Metadata/Monsters/Mercenaries/MercenaryMarauder/MeleeStrikesMarauderPhys.ais",921064859,923817371,935744923,902845851,893801883,934958491,934827419,936269211,926176667,884364699,0,65536,0,0,-637534208,0,33554432,0,167772160,805306368,-201326592,-402653184,1543503872,-570425344,-402653184,-234881024,1509949440,-1006632960,55,55,55,53,53,55,55,55,55,52,33554432,0,704643072,1342177280,335544320,134217728,2080374784,-33554432,134217728,301989888,2046820352,-469762048,55,55,56,54,53,55,56,56,55,52,0,""
30,"MiscScionPhysDot",6,"[58,236,51]",1,"[57,56,54,55]",0,[],2,"[22,9,52,41,53]",[],"[1240,1241]","Metadata/Monsters/Mercenaries/MercenaryScion/MiscScionPhysDot.ais",953453414,955943782,968788838,934447974,925272934,967347046,968002406,968657766,958696294,915311462,0,65536,0,0,-637534208,0,0,0,-268435456,536870912,-637534208,-973078528,838860800,-1107296256,-939524096,-704643072,1073741824,-1711276032,56,57,57,55,55,57,57,57,57,54,33554432,0,-268435456,536870912,-637534208,-973078528,838860800,-1107296256,-939524096,-704643072,1073741824,-1711276032,56,57,57,55,55,57,57,57,57,54,0,""
31,"MiscScionPhysDotNoble",6,"[58,236,51]",1,"[57,56,54,55]",0,[],2,"[22,9,52,41,53]",[],"[1240,1241,1199,1242]","Metadata/Monsters/Mercenaries/MercenaryScion/MiscScionPhysDot.ais",977178461,980324189,992513885,957648733,947949405,990678877,991334237,992251741,982421341,937987933,0,65536,0,0,-637534208,0,33554432,0,1811939328,-1577058304,1543503872,805306368,-1744830464,805306368,1107296256,1275068416,-1073741824,-134217728,58,58,59,57,56,59,59,59,58,55,33554432,0,-1946157056,-1040187392,2080374784,1342177280,-1207959552,1342177280,1644167168,1811939328,-536870912,402653184,58,58,59,57,56,59,59,59,58,56,0,""
32,"MiscScionWandAttacks",6,"[172,15]",2,"[166,168,169,170,167]",0,[],2,"[22,21,263,171]",[],"[1240,1243]","Metadata/Monsters/Mercenaries/MercenaryScion/MiscScionWandAttacks.ais",1010217896,1013756840,1025946536,989508520,979547048,1023062952,1024242600,1024897960,1015722920,969061288,0,196608,0,0,-637534208,0,0,0,1308622848,-2013265920,1073741824,201326592,1845493760,335544320,503316480,704643072,-1509949440,-872415232,60,60,61,59,58,61,61,61,60,57,33554432,0,1308622848,-2013265920,1073741824,201326592,1845493760,335544320,503316480,704643072,-1509949440,-872415232,60,60,61,59,58,61,61,61,60,57,0,""
33,"MiscScionWandAttacksNoble",6,"[172,15]",2,"[166,168,169,170,167]",0,[],2,"[22,21,263,171]",[],"[1240,1243,1199,1244]","Metadata/Monsters/Mercenaries/MercenaryScion/MiscScionWandAttacks.ais",1033163887,1036964975,1049023599,1012061295,1001706607,1046140015,1046795375,1047581807,1038931055,991089775,0,196608,0,0,-637534208,0,33554432,0,-1107296256,-134217728,-1207959552,1811939328,-872415232,-2113929216,-1946157056,-1845493760,503316480,536870912,61,61,62,60,59,62,62,62,62,59,33554432,0,-570425344,402653184,-671088640,-1946157056,-335544320,-1577058304,-1409286144,-1308622848,1040187392,1073741824,61,62,62,60,59,62,62,62,62,59,0,""
34,"AurasMinionsTemplarSmite",7,"[210,208]",2,"[211,209,200,206,207]",0,[],2,"[34,22,134,201]",[],"[1245,1246]","Metadata/Monsters/Mercenaries/MercenaryTemplar/AuraMinionsTemplarSmite.ais",1067087171,1070888259,1083471171,1044936003,1034450243,1079932227,1080587587,1080980803,1073378627,1023178051,0,196608,0,0,-637534208,0,0,0,-1342177280,-134217728,-1275068416,1543503872,-1275068416,-2013265920,-2147483648,-1811939328,301989888,134217728,63,63,64,62,61,64,64,64,64,61,50331648,0,-1342177280,-134217728,-1275068416,1543503872,-1275068416,-2013265920,-2147483648,-1811939328,301989888,134217728,63,63,64,62,61,64,64,64,64,61,0,""
35,"AurasMinionsTemplarSmiteNoble",7,"[210,208]",2,"[211,209,200,206,207]",0,[],2,"[34,22,134,201]",[],"[1245,1246,1199,1247]","Metadata/Monsters/Mercenaries/MercenaryTemplar/AuraMinionsTemplarSmite.ais",1091490798,1096209390,1108530158,1069208558,1058198510,1105646574,1105122286,1106433006,1097913326,1046926318,0,196608,0,0,-637534208,0,33554432,0,905969664,-2013265920,1275068416,-704643072,704643072,503316480,201326592,637534208,-1644167168,1979711488,65,65,66,63,63,66,66,66,65,62,50331648,0,1442840576,-1476395008,1811939328,-167772160,1241513984,1040187392,738197504,1174405120,-1107296256,-1778384896,65,65,66,63,63,66,66,66,65,62,0,""
36,"AurasMinionsTemplarSmiteRuckusNoble",7,"[210,208]",2,"[211,209,200,206,207]",0,[],2,"[34,22,134,201]",[],"[1245,1246,1199,1247,1250]","Metadata/Monsters/Mercenaries/MercenaryTemplar/AuraMinionsTemplarSmite.ais",1120936363,1126310315,1139155371,1097867691,1086595499,1136140715,1134961067,1136665003,1127752107,1074799019,0,196608,0,0,-637534208,0,33554432,0,335544320,1744830464,973078528,-1845493760,-436207616,100663296,-469762048,234881024,1912602624,637534208,67,67,68,65,64,68,67,68,67,64,50331648,0,872415232,-2013265920,1509949440,-1308622848,100663296,637534208,67108864,771751936,-1845493760,1174405120,67,67,68,65,65,68,68,68,67,64,0,""
37,"AurasMinionsTemplarSpectres",7,"[249,251,61]",1,"[252,253,254]",0,[],2,"[38,78,250,22,21]",[],"[1245,1248]","Metadata/Monsters/Mercenaries/MercenaryTemplar/AuraMinionsTemplarSpectres.ais",1158455832,1163960856,1177723416,1133158936,1121886744,1174315544,1172087320,1174839832,1164616216,1109303832,0,131072,0,0,-637534208,0,0,0,771751936,-2147483648,1543503872,-1543503872,-301989888,536870912,67108864,671088640,-1778384896,704643072,69,69,70,67,66,70,70,70,69,66,50331648,0,771751936,-2147483648,1543503872,-1543503872,-301989888,536870912,67108864,671088640,-1778384896,704643072,69,69,70,67,66,70,70,70,69,66,0,""
