"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
10,"ReminderTextOnslaught","(Onslaught grants 20% increased Attack, Cast, and Movement Speed)","(Assaut octroie 20% d'Augmentation de Vitesse d'attaque, d'incantation et de déplacement)","(Ansturm gewährt 20% erhöhte Angriffs-, Zauber- und Bewegungsgeschwindigkeit)","(Onslaught: 猛攻はアタックスピード、キャストスピード、移動スピードを20%増加させる)","(\""맹공\""은 공격, 시전, 이동 속도를 20% 증가시킵니다)","(Agressividade concede um aumento de 20% das Velocidades de Ataque, Conjuração e Movimento)","(Боевой раж дарует 20% повышение скорости атаки, сотворения чар и передвижения)","(Fervor otorga un 20% de aumento a las velocidades de ataque, de lanzamiento de hechizos y de movimiento)","(เร่งราวี เพิ่มความเร็วในการโจมตี, ร่าย, เคลื่อนที่ 20%)","( 猛攻增加你 20% 攻擊速度、施放速度，和移動速度 )","(Onslaught grants 20% increased Attack and Cast Speed)","(Assaut octroie 20% d'Augmentation de Vitesse d'attaque et d'incantation)","(Ansturm gewährt 20% erhöhte Angriffs- und Zaubergeschwindigkeit)","(猛攻はアタックスピードおよびキャストスピードを20%増加させる)","(\""맹공\""은 공격 및 시전 속도를 20% 증가시킵니다.)","(Agressividade concede Velocidade de Ataque e Conjuração aumentados em 20%)","(Боевой раж дарует 20% повышение скорости атаки и сотворения чар)","(Fervor otorga un 20% de aumento a las velocidades de ataque y de lanzamiento de hechizos)","(เร่งราวี เพิ่มความเร็วในการโจมตีและร่าย 20%)","( 猛攻增加你 20% 攻擊速度和施放速度 )"
11,"ReminderTextPoison","(Poison deals Chaos Damage over time, based on the base Physical and Chaos Damage of the Skill. Multiple instances of Poison stack)","(Le Poison inflige des Dégâts de chaos sur la durée, en fonction des Dégâts physiques et des Dégâts de chaos de l'Aptitude. Le Poison est cumulable.)","(Gift verursacht Chaosschaden über Zeit, basierend auf dem gesamten physischen Schaden und Chaosschaden der Fertigkeit. Mehrere Instanzen von Gift werden gestapelt)","(Poison: 毒は、スキルの基礎物理ダメージと基礎混沌ダメージに基づいて混沌継続ダメージを与える。複数インスタンスの毒がスタックできる)","(\""중독\""은 지속 카오스 피해를 가하며, 피해량은 해당 스킬의 기본 물리 및 카오스 피해에 의해 결정됩니다. 중독은 다회 적용될 시에 중첩됩니다.)","(Veneno causa Dano Degenerativo de Caos baseado no Dano base Físico e de Caos da Habilidade. Múltiplas instâncias de Veneno acumulam)","(Яд наносит постепенный урон хаосом, основанный на сумме базового физического урона и урона хаосом от удара. Урон от нескольких зарядов яда складывается)","(El veneno inflige daño de caos degenerativo en función del daño físico y de caos base de la habilidad. El veneno es acumulativo)","(พิษ สร้างความเสียหาย เคออส ต่อเนื่อง ตามความเสียหาย กายภาพและเคออส พื้นฐาน ของสกิล โดยพิษสามารถซ้อนทับเพิ่มเติมได้)","( 中毒造成持續性混沌傷害，傷害取決於初始的物理和混沌傷害總和。中毒效果可以疊加 )","","","","","","","","","",""
12,"ReminderTextBleeding","(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is 200% higher while moving)","(Le Saignement inflige des Dégâts physiques sur la durée, en fonction des Dégâts physiques de l'Aptitude. Les Dégâts sont 200% plus importants lorsque la victime se déplace)","(Bluten verursacht physischen Schaden über Zeit, basierend auf dem physischen Schaden der Fertigkeit. Der Schaden ist bei Bewegung 200% höher)","(Bleed: 出血は物理継続ダメージを与える。ダメージはスキルの基礎物理ダメージに基づく。移動中はダメージが200%上がる)","(\""출혈\""은 지속 물리 피해를 주며, 피해량은 해당 스킬의 기본 물리 피해에 의해 결정됩니다. 출혈 피해는 이동할 때 200% 더 높아집니다)","(Sangramento causa Dano Físico degenerativo baseado no Dano Físico base da Habilidade. O Dano é 200% maior enquanto em movimento)","(Кровотечение наносит постепенный физический урон, основанный на базовом физическом уроне от удара. Во время перемещения урон увеличен на 200%)","(El sangrado inflige daño físico degenerativo en función del daño físico base de la habilidad. El daño es un 200% mayor si estás en movimiento)","(เลือดไหล สร้างความเสียหาย กายภาพ ต่อเนื่อง ตามความเสียหาย กายภาพ พื้นฐาน ของสกิล โดยความเสียหายจะสูงขึ้น 200% ขณะเคลื่อนที่)","( 流血造成持續性物理傷害，傷害取決於初始的物理傷害。移動時受到的流血傷害增加 200% )","","","","","","","","","",""
13,"ReminderTextAggravatedBleeding","(Bleeding which has been Aggravated always deals higher Damage as though the target was moving)","(Le Saignement qui a été Aggravé inflige toujours des Dégâts plus élevé, comme si la cible se déplaçait)","(Bluten, welches verschlimmert wurde, verursacht immer den höheren Schaden, als ob das Ziel in Bewegung wäre)","(Aggravated Bleed: 悪化した出血は、対象が動いているとみなして常に高いダメージを与える)","(가중된 출혈은 항상 대상이 이동 중이었던 것처럼 더 많은 피해를 줍니다.)","(Sangramento que foi Agravado sempre causa Dano maior como se o alvo estivesse se movendo)","(Усугублённое кровотечение всегда наносит повышенный урон как если бы цель двигалась)","(El sangrado que está agravado siempre inflige mayor daño, como si el objetivo se estuviera moviendo)","(สถานะ เลือดไหล ที่เลือดไหลรุนแรง จะสร้างความเสียหายสูงขึ้นราวกับเป้าหมายเคลื่อนที่อยู่)","（加劇的流血效果宛如對方在移動一樣，總是會造成更高的傷害）","","","","","","","","","",""
14,"ReminderTextCullingStrike","(Culling Strike means enemies that are on 10% or lower life after your Hit are Killed)","(Coup de grâce vous permet de tuer instantanément les ennemis que vous Touchez s'il leur reste 10% de Vie ou moins).","(Todesstoß tötet Gegner, die nach einem Treffer 10% oder weniger Leben haben)","(Culling Strike: カリングストライクのヒット後、ライフが10%以下の敵は倒される)","(\""마무리 타격\""은 플레이어에게 피격되어 10% 이하의 생명력이 남은 적을 처치하는 것을 의미합니다)","(Golpe Abatedor significa que inimigos que estiverem com 10% ou menos de vida Morrem depois que você os Acertar)","(Добивание означает, что враги с 10% здоровья или ниже умирают после вашего удара)","(Golpe de gracia significa que los enemigos que estén a un 10% o menos de vida después de que los golpees, mueren)","(จู่โจมปลิดชีพ แปลว่าศัตรูที่มี พลังชีวิต 10% หรือต่ำกว่า หลังจากได้รับการปะทะจากคุณ จะถูกสังหารโดยทันที)","( 對生命等於或少於 10% 最大生命的敵人可以造成撲殺，敵人將直接死亡 )","","","","","","","","","",""
15,"ReminderTextPhasing","(While you have Phasing, your movement is not blocked by Enemies)","(Le Déphasage vous permet de traverser les ennemis en vous déplaçant)","(In der Schemenform kann Eure Bewegung nicht von Gegnern geblockt werden)","(Phasing: 透明化中は、敵により移動を阻害されない)","(\""차원 능력\"" 상태에서는 적에 의해 이동이 가로막히지 않습니다)","(Enquanto Trespassando, seu movimento não é bloqueado por Inimigos)","(В форме призрака ваше передвижение не блокируется врагами)","(Cuando tienes Traspasar, los enemigos no pueden bloquear tu movimiento)","(ขณะที่มีสถานะ ทะลุมิติ คุณสามารถเคลื่อนที่ผ่านศัตรูได้โดยที่ไม่ถูกขัดขวาง)","( 當你進入迷蹤狀態時，你將不會被敵人所阻擋 )","","","","","","","","","",""
16,"ReminderTextBlind","(Being Blinded causes 20% less Accuracy Rating and Evasion Rating, for 4 seconds)","(Étre Aveuglé fait subir 20% de Perte de Score de Précision et d'Évasion pendant 4 secondes)","(Geblendet sein bewirkt 20% weniger Treffgenauigkeit und Ausweichwert, für 4 Sekunden)","(Blind: 盲目は、命中率と回避力を20%低下させる。持続時間は4秒)","(실명은 4초 동안 정확도와 회피를 20% 감폭시킵니다.)","(Estar Cego causa perda de 20% menos Precisão e Evasão, por 4 segundos)","(Ослепление даёт на 20% меньше меткости и уклонения на 4 секунды)","(La ceguera otorga un 20% menos de precisión y de evasión, durante 4 segundos)","(สถานะ ตาบอด ลดอัตราความแม่นยำและอัตราการหลบหลีก อีก 20% 4 วินาที)","( 被致盲有20%更少命中率和閃避值，持續4秒 )","","","","","","","","","",""
17,"ReminderTextMaim","(Maimed enemies have 30% reduced Movement Speed)","(Les ennemis Mutilés ont 30% de Réduction de Vitesse de déplacement)","(Verstümmelte Gegner haben 30% verringerte Bewegungsgeschwindigkeit)","(Maim: 重傷の敵は移動スピードが30%減少する)","(\""힘줄 절단\""된 적은 이동 속도가 30% 감소합니다)","(Inimigos Mutilados têm 30% da Velocidade de Movimento reduzida)","(У изувеченных врагов скорость передвижения снижена на 30%)","(Los enemigos lisiados tienen la velocidad de movimiento reducida un 30%)","(ศัตรูที่ ขาหัก มีความเร็วในการเคลื่อนที่ ลดลง 30%)","( 被癱瘓的敵人減少 30% 移動速度 )","","","","","","","","","",""
18,"ReminderTextFortification","(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification. Fortification lasts 6 seconds)","(Le Renforcement dure 6 secondes et octroie 1% de Perte de Dégâts au Toucher subis par cumul de Renforcement. Le Renforcement se cumule jusqu'à 20 fois)","(Erleidet 1% weniger Schaden von Treffern pro Verstärkung. Maximal 20 Verstärkung. Verstärkung hält 6 Sekunden an)","(Fortify: 堅牢化1につき、ヒットから受けるダメージ1%が低下する。堅牢化の最大数は20で、持続時間は6秒間)","(피격 시 받는 피해가 방어 상승 1당 1% 감폭됩니다. 방어 상승은 최대 20까지 중첩되며 6초 지속됩니다.)","(Sofre 1% menos Dano de Acertos por Fortificação. Máximo de 20 Fortificações. Fortificação dura 6 segundos)","(На 1% меньше получаемого урона от ударов за каждый заряд Укрепления. Максимум 20 Укрепления. Укрепление длится 6 секунд)","(Recibes un 1% menos de daño de los golpes por cada Fortificación. El máximo de Fortificación es 20. Fortificación dura 6 segundos)","(ลดความเสียหาย ปะทะ ที่ได้รับ อีก 1% ต่อจำนวนสถานะ การตั้งมั่น, สถานะ การตั้งมั่น มีจำนวนสูงสุด 20 ระดับ, สถานะ การตั้งมั่น คงอยู่ 6 วินาที)","( 每 1 層護體承受 1% 更少擊中傷害。最大 20 層護體。護體持續 5 秒)","","","","","","","","","",""
19,"ReminderTextFortificationNoDuration","(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification)","(Chaque cumul de Renforcement octroie 1% de Perte de Dégâts au Toucher subis. Cumulable jusqu'à 20 fois)","(Erleidet 1% weniger Schaden von Treffern pro Verstärkung. Maximal 20 Verstärkung.)","(Fortify: 堅牢化1につき、ヒットから受けるダメージ1%が低下する。堅牢化の最大数は20)","(피격 시 받는 피해가 방어 상승 1당 1% 감폭됩니다. 방어 상승은 최대 20까지 중첩됩니다.)","(Sofre 1% menos Dano de Acertos por Fortificação. Máximo de 20 Fortificações)","(На 1% меньше получаемого урона от ударов за каждый заряд Укрепления. Максимум 20 Укрепления)","(Recibes un 1% menos de daño de los golpes por cada Fortificación. El máximo de Fortificación es 20)","(ลดความเสียหาย ปะทะ ที่ได้รับ อีก 1% ต่อจำนวนสถานะ การตั้งมั่น, สถานะ การตั้งมั่น มีจำนวนสูงสุด 20 ระดับ)","( 每 1 層護體承受 1% 更少擊中傷害。最大 20 層護體)","","","","","","","","","",""
20,"ReminderTextSmokeCloud","(Enemies standing in Smoke Clouds are Blinded)","(Les ennemis présents dans les Nuages de fumée sont Aveuglés)","(Gegner, die in Rauchwolken stehen, werden geblendet)","(Smoke Cloud: 煙幕内の敵は盲目となる)","(\""연막\"" 속에 있는 적은 실명 상태가 됩니다)","(Inimigos dentro de Nuvens de Fumaça ficam Cegos)","(Находящиеся в облаке дыма враги ослеплены)","(Los enemigos que se encuentran en nubes de humo están cegados)","(ศัตรูที่ยืนอยู่ใน ม่านควัน ติดสถานะ ตาบอด)","( 站在迷霧中的敵人被致盲 )","","","","","","","","","",""
21,"ReminderTextConsecratedGround","(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second, and Curses have 50% reduced effect on them)","(Les Alliés présents sur votre Sol consacré Régénèrent un pourcentage de leur Vie maximale chaque seconde et les Malédictions ont 50% de Réduction d'Effet sur eux)","(Verbündete, die auf Eurem geweihtem Boden stehen, regenerieren eine Prozentzahl ihres maximalen Lebens pro Sekunde, und Flüche haben 50% verringerte Wirkung auf sie)","(Consecrated Ground: プレイヤーの神聖領域上の味方は毎秒最大ライフの1%のライフ自動回復を獲得し、受けている呪いの効果が50%減少する)","(\""신성화 지대\""에서는 동료의 생명력이 1초당 최대 생명력의 정해진 비율만큼 차오르며, 동료에게 적용되는 저주의 효과가 50% 감소합니다.)","(Aliados sobre Solo Sagrado Regeneram uma porcentagem do seu Máximo de Vida por segundo e Maldições tem efeito reduzido em 50% neles)","(Союзники, находящиеся на вашей освящённой земле, регенерируют часть от их максимума здоровья в секунду, и эффект проклятий на них ослабляется на 50%)","(Los aliados que se encuentren sobre tu Suelo consagrado regeneran un porcentaje de su vida máxima por segundo, y las maldiciones tienen su efecto reducido un 50% sobre ellos)","(เพื่อนที่ยืนบน พื้นศักดิ์สิทธิ์ ของคุณจะ ฟื้นฟูพลังชีวิต ต่อวินาที เป็นเปอร์เซ็นต์ของ พลังชีวิตสูงสุดของเขา และคำสาปมีผลต่อเขา ลดลง 50%)","( 站在奉獻地面上的友方每秒回復他們最大生命的百分比，且減少 50% 他們身上的詛咒效果 )","","","","","","","","","",""
22,"ReminderTextDefences","(Armour, Evasion Rating and Energy Shield are the standard Defences)","(Les Défenses de base sont l'Armure, l'Évasion et le Bouclier d'énergie)","(Zu den standardmäßigen Defensiven zählen Rüstung, Ausweichwert und Energieschild)","(アーマー、回避力、エナジーシールドは標準的な防御力である)","(방어는 일반적으로 방어도, 회피, 에너지 보호막으로 구성됩니다)","(Defesas são Armadura, Evasão e Escudo de Energia)","(Обычной защитой являются броня, уклонение и энергетический щит)","(Las defensas estándar son armadura, evasión y escudo de energía)","ค่าป้องกันมาตรฐาน คือ ค่าเกราะ, อัตราการหลบหลีก, โล่พลังงาน","(護甲、閃避和能量護盾是標準防禦)","","","","","","","","","",""
23,"ReminderTextDebilitatingPresence","(Nearby Enemies will be afflicted with Malignant Madness, reducing their Damage and Action Speed by 10%)","(La Folie pernicieuse affecte les ennemis à proximité. Les Ennemis affectés ont 10% de Réduction de Dégâts et de Vitesse d'action)","(Wendet 'Bösartiger Wahnsinn' auf Gegner im Umkreis an und verringert ihren Schaden und Aktionsgeschwindigkeit um 10%)","(Malignant Madness: 悪意ある狂気は近くの敵を侵し、ダメージとアクションスピードが10%低下させる)","(주변의 적들이 \""불길한 광기\""에 영향을 받으면, 피해와 동작 속도가 10% 감소합니다)","(Inimigos próximos serão afetados por Presença Maligna, Desacelerando - os em 10% e reduzindo seu Dano em 10%)","(На ближайших врагов будет действовать Пагубное сумасшествие, уменьшающее их урон и скорость действий на 10%)","(Los enemigos cercanos estarán afectados por Locura maligna, lo cual reduce su daño y su velocidad de acción un 10%)","(ศัตรูที่อยู่ใกล้จะได้รับผลของ ความบ้าคลั่งอันร้ายแรง ทำให้ความเสียหายและความเร็วในการกระทำของมัน ลดลง 10%)","(附近的敵人被惡之狂亂影響，減少他們 10% 傷害和行動速度 )","","","","","","","","","",""
24,"ReminderTextIntimidate","(Intimidated enemies take 10% increased Attack Damage)","(Les ennemis Intimidés ont 10% d'Augmentation des Dégâts d'Attaque subis)","(Eingeschüchterte Gegner erleiden 10% erhöhten Angriffsschaden)","(Intimidate: 威嚇された敵は受けるアタックダメージが10%増加する)","(\""위협\"" 당한 적은 받는 공격 피해가 10% 증가합니다)","(Inimigos Intimidados recebem 10% de Dano aumentado)","(Устрашённые враги получают увеличенный на 10% урон от атак)","(Los enemigos intimidados reciben daño aumentado un 10%)","(ศัตรูที่ติดสถานะ ข่มขู่ ได้รับความเสียหายจากการโจมตี เพิ่มขึ้น 10%)","(被威嚇的敵人增加 10% 承受的攻擊傷害)","","","","","","","","","",""
25,"ReminderTextTailwind","(Tailwind increases Action Speed by 8%)","(Vent porteur vous octroie 8% d'Augmentation de Vitesse d'action)","(Rückenwind erhöht die Aktionsgeschwindigkeit um 8%)","(Tailwind: 追い風はアクションスピードを8％増加させる)","(\""순풍\""으로 동작 속도가 8% 증가합니다)","(Vento Favorável aumenta a Velocidade de Ação em 8%)","(Попутный ветер повышает скорость действий на 8%)","(Viento a favor aumenta la velocidad de acción en un 8%)","(ลมหนุน เพิ่มความเร็วในการกระทำ 8%)","( 流順之風增加 8%  行動速度 )","","","","","","","","","",""
26,"ReminderTextLastBreath","(Last Breath recovers an amount of life per second based on mana cost. It lasts for 4 seconds, but is removed if you are hit)","(Dernier soupir vous octroie une Récupération de Vie par seconde en fonction du coût en Mana. Cet effet dure 4 secondes, mais vous le perdez si vous vous faites toucher)","(Letzter Atemzug stellt einen Teil des Lebens wieder her, basierend auf den Manakosten. Der Effekt dauert 4 Sekunden an, wird aber bei erlittenem Treffer entfernt)","(Last Breath: 最期の一息はマナコストに応じてライフを回復させる。持続時間は4秒で、ヒットを受けた際効果を失う)","(\""마지막 숨결\""은 마나 소모에 기반하여 생명력을 초당 회복시킵니다. 기본 4초 지속이지만, 피격당하면 사라집니다)","(Último Suspiro recupera vida com o tempo. Dura 4 segundos, mas é removido caso você seja atingido)","(Последний вздох восстанавливает здоровье в секунду в зависимости от затрат маны. Эффект длится 4 секунды, но снимается, как только вы получаете удар)","(Último aliento recupera una cantidad de vida por segundo basada en el costo de maná. Dura 4 segundos, pero lo pierdes si te golpean)","(ลมหายใจสุดท้าย เติมพลังชีวิต ต่อวินาทีตาม ค่าใช้งานมานา สถานะนี้คงอยู่ 4 วินาที แต่จะถูกกำจัดเมื่อคุณถูกปะทะ)","( 瀕死之息根據魔力消耗每秒回復生命的總量。持續 4 秒，若你被擊中效果將被移除 )","","","","","","","","","",""
