"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string","rid","rid"
129,567,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/volcanic_fissure/kitava/epk/weapon_surge.epk","","","",""
130,169,0,370,49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
131,169,3,1858,10,11,12,13,16,14,15,"","","","","",""
132,169,5,4222,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
133,571,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
134,425,0,"","","","","","","","","","","","","",""
135,355,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
136,570,0,"","","","","","","","","","","","","",""
137,577,0,"","","","","","","","","","","","","",""
138,578,0,"","","","","","","","","","","","","",""
139,579,0,"","","","","","","","","","","","","",""
140,580,0,"","","","","","","","","","","","","",""
141,585,0,"","","","","","","","","","","","","",""
142,589,0,"","","","","","","","",1,"","","","",""
143,590,0,"","","","","","","","","","","","","",""
144,1,0,"","","","","","","","","","","","","",""
145,609,0,"","","","","","","","",1,"","","","",""
146,610,0,"","","","","","",192,192,1,"","","","",""
147,612,0,"","","","","","","","",1,"","","","",""
148,615,0,"","","","","","","","",1,"","","","",""
149,617,0,"","","","","","","","",1,"","","","",""
150,618,0,"","","","","","","","",1,"","","","",""
151,619,0,"","","","","","","","",1,"","","","",""
152,622,0,"","","","","","","","",1,"","","","",""
153,627,0,"","","","","","","","",1,"","","","",""
154,633,0,"","","","","","","","",1,"","","","",""
155,628,0,"","","","","","",184,184,1,"","","","",""
156,628,1,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","","","",""
157,628,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/MyrmidonLightningStrike/weaponsurge.epk","","","",""
158,628,3,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/VulcanLightningStrike/weaponsurge.epk","","","",""
159,628,4,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/void_emperor/epk/weaponsurge.epk","","","",""
160,636,0,"",217,217,"","","","","",1,"","","","",""
161,640,0,"","","","","","","","",1,"","","","",""
162,639,0,"",195,195,195,195,195,195,195,1,"Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
163,645,0,"","","","","","","","",1,"","","","",""
164,650,0,"","","","","","","","",1,"","","","",""
165,561,0,"","","",208,208,201,"","",1,"","","","",""
166,236,0,"","","",208,208,201,"","",1,"","","","",""
167,528,0,"","","","","",218,"","",1,"","","",218,""
168,656,0,"","","","","","","","",1,"","","","",""
169,527,0,8042,"","","","","","","",1,"","","","",""
170,676,0,"","","","","","","","",1,"","","","",""
171,695,0,"","","",220,220,220,220,"",1,"","","","",""
172,701,0,"","","","","","","","",1,"","","","",""
173,702,0,"","","","","","","","",1,"","","","",""
174,708,0,"","","","","","","","",1,"","","","",""
175,709,0,"","","","","","","","",1,"","","","",""
176,711,0,"","","","","","","","",1,"","","","",""
177,10,0,"","","","","","","","",1,"","","","",""
178,792,0,"","","",186,186,186,"","",1,"","","","",""
179,803,0,"","","","","","","","",1,"","","","",""
180,815,0,"","","","","","","","",1,"","","","",""
181,816,0,"","","","","","","","",1,"","","","",""
182,878,0,"","","","","","","","",1,"","","","",""
183,879,0,"","","","","","","","",1,"","","","",""
184,900,0,"",221,221,221,221,221,221,221,1,"","","","",""
185,893,0,"",222,222,222,222,222,222,222,1,"","","",222,221
186,776,0,"","","","","","","","",1,"","","","",""
187,224,14,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/Earthquake/kitava/epk/weapon_surge.epk","","","",""
188,731,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/mace_perfect_strike/kitava/epk/charge.epk","","","",""
189,907,0,"",223,223,223,223,223,223,223,1,"","","",223,223
190,798,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/warrior_molten_blast/kitava/epk/weapon_surge.epk","","","",""
191,835,0,"","","","","","","","",1,"","","","",""
192,732,0,"","","","","","","","",1,"","","","",""
193,908,0,"","","","","","","","",1,"","","","",""
