"rownum","Id","Name","TradeMarketCategory","ItemClassCategory","RemovedIfLeavesArea","[rid]","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool","InventoryDimensions","ItemClassFlags","Unmodfiable","CanBeFractured","EquipAchievement","UsableInMapDevice","bool"
54,"UniqueShard","Shards","","","",[],[],"","","","",4205,"","","","","","","","","","",1,"[1,1]",[],"","","","",""
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","","",4205,"","","","","","","","","","",1,"[2,1]",[],"","","","",""
56,"DONOTUSE11","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
57,"Warstaff","Quarterstaves",18,5,"",[],[8711],"","",1,"",4205,"",1,1,1,1,1,1,5,1,1,1,"[2,4]","[2,0]","",1,"","",1
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency",43,39,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[2,2]",[],"","","","",""
59,"AtlasUpgradeItem","Atlas Upgrade Items","",41,"",[],[],"","","","",607,"","","","","","","","","","",1,"[1,1]",[],"","","","",""
60,"DONOTUSE4","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
61,"HiddenItem","Hidden Items","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
62,"DONOTUSE1","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
63,"DONOTUSE2","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
64,"DONOTUSE3","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
65,"HeistContract","Contracts",48,42,"",[],[8711],"",1,"","",4205,"",1,"","","","","","","","",1,"[1,1]",[],"",1,"","",""
66,"HeistEquipmentWeapon","Heist Gear",48,43,"",[],[8711],"","","","",4205,"","","","","","",1,"","","",1,"[2,2]",[],"",1,"","",""
67,"HeistEquipmentTool","Heist Tools",48,44,"",[],[8711],"","","","",4205,"","","","","","",1,"","","",1,"[2,2]",[],"",1,"","",""
68,"HeistEquipmentUtility","Heist Cloaks",48,45,"",[],[8711],"","","","",4205,"","","","","","",1,"","","",1,"[2,2]",[],"",1,"","",""
69,"HeistEquipmentReward","Heist Brooches",48,46,"",[],[8711],"","","","",4205,"","","","","","",1,"","","",1,"[1,1]",[],"",1,"","",""
70,"HeistBlueprint","Blueprints",48,47,"",[],[8711],"",1,"","",4205,"",1,"","","","","","","","",1,"[1,1]",[],"",1,"","",""
71,"Trinket","Trinkets",25,48,"",[],[],"","","","",4205,"",1,1,"","","","","","","",1,"[1,1]",[],"","","","",""
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","","",4205,1,"","","","","","","","","","","[2,2]",[],"","","","",""
73,"ExpeditionLogbook","Expedition Logbooks",49,50,"",[],[8711],"","","",77,4141,"","","","","","","","","","","","[1,1]",[],"","","","",""
74,"IncubatorStackable","Incubators",45,40,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
75,"ArchnemesisMod","Archnemesis Mods","","","",[],[],"",1,"","",4205,1,"","","","","","","","","","","[1,1]",[],"","","","",""
76,"Meta Skill Gem","","",64,"",[],[],"","","","",4205,"",1,"","","","","","","","","","[1,1]",[],"","","","",""
77,"Spear","Spears",55,57,"",[],[],"","","","",4205,"",1,1,1,1,1,1,10,"",1,1,"[2,4]","[1,2,0]","",1,"","",1
78,"Crossbow","Crossbows",56,58,"",[],[],"","","","",4205,"",1,1,1,1,1,1,12,1,1,1,"[2,4]",[0],"",1,"","",1
79,"Focus","Foci","",59,"",[],[],"","","","",4205,"",1,1,1,1,1,1,11,1,1,1,"[2,2]","[3,5]","",1,"","",1
80,"InstanceLocalItem","Instance Local Items","",51,1,[],[],"","","","",4205,1,"","","","","","","","","","",[],[],"","","","",""
81,"SentinelDrone","Sentinels",51,52,"",[],[],"","","","",4205,"",1,"","","","","","","","","","[2,2]",[],1,"","","",""
82,"MemoryLine","Memories",52,54,"",[],[],"","","","",4205,"","","","","","","","","","","","[1,1]",[],1,"","","",""
83,"Flail","Flails","",60,"",[],[],"","","","",4205,"",1,1,1,1,1,1,14,1,1,1,[],"[1,2,0]","",1,"","",1
84,"Relic","Relics",54,53,"",[],[],1,1,"","",4205,1,"","","","","","","","","","","[4,4]",[],"","","","",""
85,"SanctumSpecialRelic","Sanctified Relics","",53,"",[],[],1,1,"","",4205,1,1,"","","","","","","","","","[1,2]",[],1,"","","",""
86,"Breachstone","Breachstones",37,55,"",[],[],1,1,"",67,4121,"","","","","","","","","","","","[1,1]",[],"","","",1,""
87,"GiftBox","","","","",[],[],"","","","",4205,1,"","","","","","","","","","",[],[],"","","","",""
88,"VaultKey","Vault Keys",38,56,"",[],[],"",1,"","",4205,1,"","","","","","","","","","","[1,1]",[],"","","",1,""
89,"ItemisedSanctum","Trial Coins",38,33,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
90,"DONOTUSE12","","","","",[],[],"","","","",4205,"","","","","","","","","","","","[1,2]",[],"","","","",""
91,"UncutSkillGem","","",65,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
92,"Buckler","Bucklers",57,62,"",[],[],"","","","",4205,"",1,1,1,1,1,1,15,1,1,1,"[2,2]","[3,5]","",1,"","",1
93,"Thrown One Hand Axe","","","","",[],[],"","","","",4205,"","","","","","","",16,"","","",[],[],"","","","",""
94,"Thrown Two Hand Axe","","","","",[],[],"","","","",4205,"","","","","","","",17,"","","",[],[],"","","","",""
95,"ConventionTreasure","","","","",[],[],"",1,"","",4205,1,"","","","","","","","","","",[],[],"","","","",""
96,"TrapTool","Traps","",63,"",[],[],"","","","",4205,"",1,1,1,1,1,1,2,1,1,1,[],[],"",1,"","",1
97,"Crossbow Attachment REMOVE","","","","",[],[],"","","","",4205,"","","","","","","","","","","",[],[],"","","","",""
98,"SkillGemToken","Currency",39,6,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[7],"","","","",""
99,"Nothing","","","","",[],[],"","","","",4205,"","","","","","",1,"","","","",[],[],"","","","",""
100,"UltimatumKey","Inscribed Ultimatum",38,33,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
101,"UncutSupportGem","","",65,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
102,"UncutReservationGem","","",65,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
103,"Thrown Shield","","","","",[],[],"","","","",4205,"","","","","","","",18,"","","",[],[],"","","","",""
104,"SoulCore","Socketable","",67,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
105,"TowerAugmentation","Tablet","",68,"",[],[],"",1,"","",4205,"","","","","","","","","","","",[],[],"","","","",""
106,"Omen","Omen","",70,"",[],[],"",1,"","",4205,"","","","","","","","","","","","[1,1]",[],"","","","",""
107,"PinnacleKey","Pinnacle Keys","",71,"",[],[],1,1,"","",4205,"","","","","","","","","","","",[],[],"","","","",""
