"rownum","Id","Description","SetId","Objective","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
19,"FinishNormalHC","Fearless",2,"Complete the Labyrinth in a Hardcore league.",9203,"",1,"",0,1,"","","",1,"",""
20,"FinishCruelHC","Dauntless",2,"Complete the Cruel Labyrinth in a Hardcore league.",35230,"",1,"",0,1,"","","",1,"",""
21,"FinishMercilessHC","Indomitable",2,"Complete the Merciless Labyrinth in a Hardcore league.",14083,"",1,"",0,1,"","","",1,"",""
22,"KillBrutus","Mercy Killing",2,"Kill Brutus, Warden of Axiom Prison.",9880,"",1,"",0,1,"","87","","","",""
23,"KillMerveil","The Star of Wraeclast",2,"Kill Merveil, the Siren.",56916,"",1,"",0,1,"","88","","","","1"
24,"KillVaal","A New Dawn",2,"Vanquish the Vaal Oversoul.",61039,"",1,"",0,1,"","89","","","","2"
25,"KillPiety","Rest for the Wicked",2,"Defeat Piety in her laboratory.",27675,"",1,"",0,1,"","","","","",""
26,"KillDominusRanger","Hunter",2,"Kill Dominus as the Ranger.",2576,"",1,"",0,1,"","","","","",""
27,"KillDominusTemplar","Saviour",2,"Kill Dominus as the Templar.",5981,"",1,"",0,1,"","","","","",""
28,"KillDominusWitch","Usurper",2,"Kill Dominus as the Witch.",818,"",1,"",0,1,"","","","","",""
29,"KillDominusShadow","Assassin",2,"Kill Dominus as the Shadow.",58727,"",1,"",0,1,"","","","","",""
30,"KillDominusDuelist","Champion",2,"Kill Dominus as the Duelist.",19848,"",1,"",0,1,"","","","","",""
31,"KillDominusMarauder","Conqueror",2,"Kill Dominus as the Marauder.",48949,"",1,"",0,1,"","","","","",""
32,"KillDominusScion","Seeker",2,"Kill Dominus as the Scion.",19957,"",1,"",0,1,"","","","","",""
33,"UnlockScion","Freedom",2,"Free the Scion.",41215,"",1,"",0,1,"","102","","","","11"
34,"Level60","Beginning of the End",2,"Reach level 60 as a non-Hardcore character.",57843,"",1,"",0,1,"","103",1,"","",""
35,"Level70","Foot of the Mountain",2,"Reach level 70 as a non-Hardcore character.",35458,"",1,"",0,1,"","104",1,"","",""
36,"Level80","Scaling the Ladder",2,"Reach level 80 as a non-Hardcore character.",38055,"",1,"",0,1,"","105",1,"","","13"
37,"Level90","Diminishing Returns",2,"Reach level 90 as a non-Hardcore character.",58192,"",1,"",0,1,"","106",1,"","","14"
38,"Level60HC","Survivor",2,"Reach level 60 as a Hardcore character.",53991,"",1,"",0,1,"","","",1,"",""
39,"Level70HC","Undying",2,"Reach level 70 as a Hardcore character.",63854,"",1,"",0,1,"","","",1,"",""
40,"Level80HC","Immortal",2,"Reach level 80 as a Hardcore character.",41129,"",1,"",0,1,"","","",1,"",""
41,"Level90HC","Eternal",2,"Reach level 90 as a Hardcore character.",51495,"",1,"",0,1,"","","",1,"",""
42,"AllWaypoints","Locomancer",2,"Tag every waypoint as one character.",55042,"",1,"",0,1,"","107","","","","17"
43,"AllOptionalQuests","No Loose Ends",2,"Complete every side-quest as one character.",717,"",1,"",0,1,"","108","","","","18"
44,"AllOptionalDialogue","All Ears",2,"Listen to all optional NPC dialogue as one character.",29200,"",1,"",0,1,"","","","","",""
45,"AllEnvironmentLore","No Stone Unturned",2,"Discover all environmental lore as one character.",34027,"",1,"",0,1,"","","","","","19"
46,"ChanceUnique","Left to Chance",2,"Create a Unique item using an Orb of Chance.",64494,"",1,"",0,1,"","111","","","",""
47,"RollSixLink","Well-Connected",2,"Create an item with six linked sockets using an Orb of Fusing.",29560,"",1,"",0,1,"","112","","","","20"
48,"Level20Gem","Gemling",2,"Have a Skill Gem reach level 20.",40587,"",1,"",0,1,"","113","","","","21"
49,"Have15Charges","Overcharged",2,"Have 15 combined Endurance, Frenzy, and Power Charges active simultaneously.",11792,"",1,"",0,1,"","114","","","",""
50,"SlayBurningShockedFrozen","Elemental Trinity",2,"Slay an enemy that is simultaneously Ignited, Shocked, and Frozen.",52459,"",1,"",0,1,"","115","","","",""
51,"EquipRareEachSlot","Geared Up",2,"Equip a Rare or Unique item in every non-Flask slot.",51479,"",1,"",0,1,"","116","","","","22"
52,"ShatterFiveInOne","Cryomancer",2,"Shatter 5 monsters with a single action.",59016,"",1,"",0,1,"","117","","","",""
53,"EquipUnique","One of a Kind",2,"Equip a Unique item.",15491,"",1,"",0,1,"","118","","","","15"
54,"AllocateKeystone","Paradigm Shift",2,"Allocate a Keystone Passive Skill.",37501,"",1,"",0,1,"","119","","","","23"
55,"FullClearMap","Explorer",2,"Fully clear an end-game Map area.",9285,"",1,"",0,1,"","120","","","","24"
56,"SideWithBandits","Traitor",2,"Help all three Bandit Lords.",37353,"","","",0,"","","121","","","",""
57,"OpenGoldenChest","Golden Touch",2,"Open a Large Chest.",14253,"",1,"",0,1,"","","","","",""
58,"HaveThreeTotems","Ancestral Power",2,"Have 3 Totems alive at one time.",42047,"",1,"",0,1,"","122","","","",""
59,"Level8InRace","Out of the Gate",2,"Reach level 8 in any Race Event.",7257,"",1,"",0,1,"","","","","",""
60,"FillerSpace","UNUSED",2,"UNUSED",21665,"","",1,0,1,"","","","","",""
61,"MemberCompletedPersonalAchievements","",4,"",45273,"","","",0,1,"","","","","",""
62,"FullClearRareUnidMaps","",4,"",32273,"","","",0,1,"","","","","",""
63,"HaveSeasonRaceRewards","",4,"",36037,"","","",0,1,"","","","","",""
64,"HaveSeasonPvPRewards","",4,"",61959,"","","",0,1,"","","","","",""
65,"EachClassFirstInRace","",4,"",62135,"","","",0,1,"","","","","",""
66,"OneOfEachCurrencyItem","",4,"",21803,"","","",0,1,"","","","","",""
67,"Level95EachClass","",4,"",54299,"","","",0,1,"","","","","",""
68,"HaveAllUniques","",4,"",37434,"","","",0,1,"","","","","",""
69,"CaptureAFlag","Capture the Flag",2,"Capture a Flag in PvP.",17006,"",1,"",0,1,"","","","","",""
70,"Have9Zombies","Zombie Horde",2,"Have 9 Raised Zombies at the same time.",16353,"",1,"",0,1,"","123","","","",""
71,"ResistAllElements75%","Elemental Aegis",2,"Have at least 75% resistance to Fire, Cold, and Lightning.",15232,"",1,"",0,1,"","124","","","","25"
72,"UniqueMapFromUniqueMap","Dream within a Dream",2,"Have a Unique Map drop within a Unique Map.",17745,"",1,"",0,1,"","125","","","",""
73,"UniqueFromNormalTwilightStrand","Beginner's Luck",2,"Have a Unique Item drop in the Twilight Strand in Act 1.",24717,"",1,"",0,1,"","","","","",""
74,"FullClearDreadThicket","Full Clear: Dread Thicket",2,"Fully clear the Dread Thicket.",25220,"",1,"",0,1,"","","","","",""
75,"Allocate4Keystones","Specialist",2,"Allocate a character's fourth Keystone Passive.",16132,"",1,"",0,1,"","126","","","",""
76,"FullClearCatacombs","Full Clear: Catacombs",2,"Fully clear the Catacombs.",60887,"",1,"",0,1,"","","","","",""
77,"ResistAnyElement90%","Raise the Bar",2,"Have 90% resistance to any Element.",64476,"",1,"",0,1,"","127","","","",""
78,"FullClearArchives","Full Clear: Archives",2,"Fully clear the Archives.",62651,"",1,"",0,1,"","","","","",""
79,"JoinPublicParty","Band Together",2,"Join a public party.",875,"",1,"",0,1,"","","","","",""
80,"FullClearShipGraveyardCave","Full Clear: Ship Graveyard Cave",2,"Fully clear the Ship Graveyard Cave.",65037,"",1,"",0,1,"","","","","",""
81,"AllVaalItems","Have these Vaal Items",5,"Own 44 specific items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the items again. Items in both Ambush and Invasion leagues are counted for this challenge.",5330,1,"","",0,1,"","","","","",""
82,"StrongboxMods","Open Strongboxes",5,"Open Strongboxes with each of the following properties. Strongboxes do not need to be identified to complete the challenge. The ambushers must be defeated before it is counted as open.",15270,1,"","",0,1,"","","","","",""
83,"InvaderUniqueKills","Kill these Unique Invaders",5,"Kill each of the following Unique bosses.",4172,1,"","",0,1,"","","","","",""
84,"Level90Leagues","Reach Level 90",5,"Attain character level 90 in each challenge league. This challenge still counts even if a character dies after reaching level 90.",56690,"","","",0,1,"","","","","",""
85,"ClearCorruptedAreas","Clear these Corrupted Areas",5,"Kill all the monsters in every side area in Ambush or Invasion. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",14960,1,"","",0,1,"","","","","",""
86,"KillAtziriBosses","Kill Atziri and her Guardians",5,"Kill each of the following Unique bosses.",36505,"","","",0,1,"","","","","",""
87,"UseCurrencyAmbushInvasion","Use these Currency Items",5,"Use the following 24 currency items in either Ambush or Invasion.",13072,1,"","",0,1,"","","","","",""
88,"RecipesAmbushInvasion","Items from Vendor Recipes",5,"Complete vendor recipes in either Ambush or Invasion to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",8994,1,"","",0,1,"","","","","",""
89,"Level20VaalGem","Vaal Gemling",2,"Have a Vaal Skill Gem reach level 20.",54161,"",1,"",0,1,"","129","","","",""
90,"CorruptItemWhiteSocket","Full Spectrum",2,"Corrupt an item to have a white socket.",30968,"",1,"",0,1,"","130","","","",""
91,"Have60Minions","Behold My Army",2,"Have 60 Minions at the same time.",62889,"",1,"",0,1,"","131","","","","26"
92,"CorruptMap8Mods","Hostile Territory",2,"Corrupt a map to have eight mods.",45482,"",1,"",0,1,"","132","","","","27"
93,"CorruptMapTier14","Dream Corruption",2,"Corrupt a map into a Vaal Temple map.",21948,"",1,"",0,1,"","133","","","",""
94,"KillPlayerInCutthroat","Cut-throat",2,"Kill another player in any mode or league.",36109,"",1,"",0,1,"","","","","",""
95,"CorruptGemVaalGem","Virtue Corruption",2,"Corrupt a skill gem into a Vaal skill gem.",20280,"",1,"",0,1,"","135","","","",""
96,"EnhanceMapWithFragment","Dream Enrichment",2,"Enhance a map with a Vaal fragment.",62115,"",1,"",0,1,"","136","","","",""
97,"CorruptItemNewImplicit","Identity Corruption",2,"Corrupt an item to have a new implicit mod.",42590,"",1,"",0,1,"","137","","","","28"
98,"FullClearApexOfSacrifice","Queen of Sacrifice",2,"Kill Atziri in the Apex of Sacrifice.",57142,"",1,"",0,1,"","138","","","","44"
99,"ClearAllAreasRampageBeyond","Full-clear in any Difficulty",6,"Kill all the monsters in every Act 1, 2 and 3 area of the game in Rampage or Beyond. You can complete this in any difficulty level. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",23969,"","","",0,1,"","","","","",""
100,"65AllClassesRampageBeyond","Reach level 65",6,"Attain character level 65 with each class in the Rampage or Beyond leagues. This challenge still counts even if a character dies after reaching level 65.",24294,"","","",0,1,"","","","","",""
101,"RampageTiers","Reach these Rampage Tiers",6,"Achieve each of these Rampage tiers in the Rampage League.",29588,"","","",0,1,"","","","","",""
102,"UseCurrencyRampageBeyond","Use these Currency Items",6,"Use the following 23 currency items in either Rampage or Beyond.",23110,1,"","",0,1,"","","","","",""
103,"DefeatBeyondFoes","Kill these foes from Beyond",6,"Defend Wraeclast by defeating these 13 interdimensional monstrosities:",36468,"","","",0,1,"","","","","",""
104,"MaxLevelMasters","Reach level 8 with the Masters",6,"Reach reputation level 8 with each of the following masters:",18522,1,"","",0,1,"","","","","",""
105,"FindUniquesRampageBeyond","Own these Unique Items",6,"Own 44 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Rampage and Beyond leagues are counted for this challenge.",38615,1,"","",0,1,"","","","","",""
106,"KillUniqueBossesRampageBeyond","Kill these Unique Bosses",6,"Kill each of the following Unique bosses:",41351,1,"","",0,1,"","","","","",""
107,"85ThreeClassesTormentBloodlines","Reach Level 85",7,"Attain character level 85 with at least three different classes in the Torment or Bloodlines leagues. This challenge still counts even if a character dies after reaching level 85.",18683,"","","",3,1,"","","","","",""
108,"IdentifyUniquesTormentBloodlines","Identify these Unique Items",7,"Identify these specific Unique Items to complete this challenge. Uniques in both the Torment and Bloodlines leagues are counted for this challenge. You can trade the item away afterwards.",56548,1,"","",0,1,"","","","","",""
109,"KillBloodlinePacks","Kill Packs from these Bloodlines",7,"Kill packs of Magic monsters with each of these Bloodline Mods.",45954,1,"","",0,1,"","","","","",""
110,"KillTormentSpirits","Kill these Tormented Spirits",7,"Kill each of these Tormented Spirits or Rare/Unique monsters possessed by them.",29661,1,"","",0,1,"","","","","",""
111,"ClearMapsTormentBloodlines","Full-clear these Maps",7,"Kill all the monsters in each of these End-Game Map areas in the Torment or Bloodlines leagues. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",39037,"","","",0,1,"","","","","",""
112,"UseRecipesTormentBloodlines","Items from Vendor Recipes",7,"Complete vendor recipes in either Torment or Bloodlines to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",56845,"","","",0,1,"","","","","",""
113,"CompleteEncountersTormentBloodlines","Complete these Encounters",7,"Kill these Rogue Exiles, open Strongboxes with these properties, touch these Shrines and kill Rare Monsters with these Nemesis mods in the Torment or Bloodlines leagues. Strongboxes do not need to be identified to count, but their ambushers must be defeated.",34539,"","","",0,1,"","","","","",""
114,"CompleteMissionsTormentBloodlines","Complete these Missions",7,"Complete these missions for the Forsaken Masters in the Torment or Bloodlines leagues.",23250,"","","",0,"","","","","","",""
115,"Level80TOBLSoftcore","Reach Level 80",8,"Attain character level 80 in the One Month Torment/Bloodlines Event. This challenge still counts even if a character dies after reaching level 80.",58221,"","","",0,1,"","","","","",""
116,"KillUniqueBossTOBLSoftcore","Kill One of these Unique Bosses",8,"Kill at least one of the following six Unique Bosses in the One Month Torment/Bloodlines Event.",45983,"","","",1,"","","","","","",""
117,"CompleteEncountersTOBLSoftcore","Complete Forty Encounters",8,"Kill at least 40 of these 46 Tormented Spirits and packs of Magic monsters with Bloodline Mods in the One Month Torment/Bloodlines Event. Killing Rare or Unique monsters possessed by Tormented Spirits still counts.",3701,1,"","",40,"","","","","","",""
118,"CompleteMissionsTOBLSoftcore","Complete Eighteen Missions",8,"Complete at least 18 of these 21 missions for the Forsaken Masters in the One Month Torment/Bloodlines Event.",31557,"","","",18,"","","","","","",""
119,"Level80TOBLHardcore","Reach Level 80",9,"Attain character level 80 in the One Month Torment/Bloodlines Hardcore Event. This challenge still counts even if a character dies after reaching level 80.",51011,"","","",0,1,"","","","","",""
120,"KillUniqueBossTOBLHardcore","Kill One of these Unique Bosses",9,"Kill at least one of the following six Unique Bosses in the One Month Torment/Bloodlines Hardcore Event.",29791,"","","",1,"","","","","","",""
121,"CompleteEncountersTOBLHardcore","Complete Forty Encounters",9,"Kill at least 40 of these 46 Tormented Spirits and packs of Magic monsters with Bloodline Mods in the One Month Torment/Bloodlines Hardcore Event. Killing Rare or Unique monsters possessed by Tormented Spirits still counts.",53355,1,"","",40,"","","","","","",""
122,"CompleteMissionsTOBLHardcore","Complete Eighteen Missions",9,"Complete at least 18 of these 21 missions for the Forsaken Masters in the One Month Torment/Bloodlines Hardcore Event.",56226,"","","",18,"","","","","","",""
123,"82ThreeClassesWarbandsTempest","Reach Level 82",10,"Attain character level 82 with at least three different classes in the Warbands or Tempest leagues. This challenge still counts even if a character dies after reaching level 82.",16383,"","","",3,1,"","","","","",""
124,"DivinationCardsWarbandsTempest","Redeem Divination Card Sets",10,"Turn in sets of at least 32 of the following 47 Divination card types to Tasuni:",55323,1,"","",32,1,"","","","","",""
125,"KillWarbandMembersWarbandsTempest","Kill these Warband Members",10,"Kill each of the following Warband Members:",16121,"","","",0,1,"","","","","",""
126,"ClearTempestAreasWarbandsTempest","Clear Areas with Tempests",10,"Kill all the monsters in areas affected by at least 50 of these 54 Tempests. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",61681,"","","",50,1,"","","","","",""
127,"KillUniqueMonstersWarbandsTempest","Kill these Unique Bosses",10,"Kill each of the following Unique bosses:",38764,1,"","",0,1,"","","","","",""
128,"UseRecipesWarbandsTempest","Items from Vendor Recipes",10,"Complete vendor recipes in either Warbands or Tempest to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",14915,"","","",0,1,"","","","","",""
129,"CorruptJewelsWarbandsTempest","Corrupt these Unique Jewels",10,"Corrupt 36 of these 41 specific Unique Jewels to complete this challenge. Jewels in both the Warbands and Tempest leagues are counted for this challenge. You can trade the item away afterwards.",1616,1,"","",36,1,"","","","","",""
130,"PerformFeatsWarbandsTempest","Knowledge and Power",10,"Identify these Unique Items, kill a Rare Monster of each of these types, and kill all the monsters in the following areas in Warbands or Tempest. Character Uniques are any Unique Item named after that Character. 30 of these 33 deeds are required.",32555,1,"","",30,"","","","","","",""
131,"FullClearColosseum","Gladiator",2,"Fully clear the Colosseum end-game Map.",52817,"",1,"",0,1,"","","","","",""
132,"FullClearTheHarvest","Cleanser",2,"Fully clear The Harvest.",42694,"",1,"",0,1,"","","","","",""
133,"KillVollBoss","Purifier",2,"Kill Voll, Emperor of Purity.",25416,"",1,"",0,1,"","","","","",""
134,"KillShavronne","Umbra Slayer",2,"Kill Shavronne of Umbra.",16095,"",1,"",0,1,"","","","","",""
135,"KillDoedre","Dispelling the Curse",2,"Kill Doedre Darktongue.",50712,"",1,"",0,1,"","","","","",""
136,"KillMaligaro","Bringer of Pain",2,"Kill Maligaro, The Inquisitor.",15242,"",1,"",0,1,"","","","","",""
137,"KillMalachaiMapBoss","Releaser of Souls",2,"Kill the Eater of Souls in the Core end-game Map.",65294,"",1,"",0,1,"","","","","",""
138,"HandInFullSetDivinationCards","Soothsaying",2,"Hand in a full set of Divination Cards.",17931,"",1,"",0,1,"","139","","","","29"
139,"KillMalachaiAllCharacters","End of the Nightmare",2,"Kill Malachai, The Nightmare.",51792,"",1,"",0,1,"","91","","","","4"
140,"LifeReservedNinetyFivePercent","Invested with Blood",2,"Reserve 95% or more of your Life.",20558,"",1,"",0,1,"","140","","","",""
141,"VaalOversoulKilledWithFortify","Defence Against the Darkness",2,"Land the killing blow on the Vaal Oversoul while you have the Fortify Buff active.",57610,"",1,"",0,1,"","","","","",""
142,"KillExileKaomsStronghold","Stranger in a Strange Land",2,"Kill a Rogue Exile in Kaom's Stronghold.",118,"",1,"",0,1,"","","","","",""
143,"KillBurningManWhileBurning","Engulfed in Flames",2,"Land the killing blow on the Burning Man while you are burning.",29256,"",1,"",0,1,"","","","","",""
144,"OpenAVaalVessel","Time Capsule",2,"Open a Vaal Vessel in a corrupted zone.",44468,"",1,"",0,1,"","141","","","",""
145,"EquipMarakethWeapons","Maraketh Steel",2,"Equip each Maraketh Weapon type.",55533,1,"","",0,"","","142","","","",""
146,"MakeFourModJewelWithAlchemy","Alchemist's Stone",2,"Craft a Jewel with four mods using an Orb of Alchemy.",60502,"",1,"",0,1,"","143","","","",""
147,"CorruptToCorruptUniqueJewel","Imperfections",2,"Corrupt a Unique Jewel into a different Unique Jewel.",61953,"",1,"",0,1,"","144","","","",""
148,"EquipUniqueJewelRadius","Unique Influence",2,"Equip a Unique Jewel with a radius.",25352,"",1,"",0,1,"","145","","","","30"
149,"TalismanKillNormalBosses","Kill these Normal Act Bosses",12,"Kill each of the following Unique bosses in Normal Difficulty.",21321,"","","",0,"","","","","","",""
150,"TalismanCraftMasterMods","Master-craft these Item Types",12,"Use a Master's Crafting Bench to add a mod to each of the following types of item.",62276,1,"","",0,1,"","","","","",""
151,"TalismanSummonUsingRares","Use these Rare Talismans",12,"Summon monsters at the Altars within Stone Circles using Rare Talismans of each of the following types.",49776,1,"","",0,1,"","","","","",""
152,"TalismanKillCruelBosses","Kill these Cruel Act Bosses",12,"Kill each of the following Unique bosses in Cruel Difficulty.",14048,"","","",0,"","","","","","",""
153,"TalismanLevelMasters","Level these Masters",12,"Reach Reputation Level 3 with at least 6 of these 7 Forsaken Masters.",25602,"","","",6,"","","","","","",""
154,"TalismanKillCruelUniques","Kill Unique Monsters in Cruel",12,"Kill each of the following Unique monsters in Cruel Difficulty or higher.",11571,1,"","",0,"","","","","","",""
155,"TalismanUseCurrency","Use these Currency Items",12,"Use each of the following Currency Items.",41945,1,"","",0,1,"","","","","",""
156,"TalismanUseStoneCircles","Use Talismans at Stone Circles",12,"Summon monsters at the Altars within Stone Circles using each of the following Talisman combinations.",46043,"","","",0,"","","","","","",""
157,"FlashbackClearFetidPool","Full Clear: The Fetid Pool",11,"Fully clear the Fetid Pool. ",45352,"",1,"",0,1,"","","","","",""
158,"FlashbackIdentifyUnique","Identify a Unique Item",11,"Identify any Unique Item. You can trade it away afterwards. ",22367,"",1,"",0,1,"","","","","",""
159,"FlashbackKillCruelKole","Kole the Cruel",11,"Kill Kole in Cruel difficulty or higher. ",64087,"",1,"",0,1,"","","","","",""
160,"FlashbackUpgradeHideout","Room to Grow",11,"Create a medium-sized Hideout. ",24594,"",1,"",0,1,"","","","","",""
161,"FlashbackGoldenHand","The Golden Hand",11,"Complete the quest \""Through Sacred Ground\"" in Merciless difficulty.",55540,"",1,"",0,1,"","","","","",""
162,"FlashbackClearVaalArea","Full Clear: Vaal Fragment",11,"Fully clear a Vaal Side Area that was created using a Map Device. ",30231,"",1,"",0,1,"","","","","",""
163,"FlashbackKillUniqueMapBoss","Kill a Unique Map Boss",11,"Kill the boss of a Unique Map. ",20725,"",1,"",0,1,"","","","","",""
164,"FlashbackReachLevel85","Reach level 85",11,"Reach level 85. ",28641,"",1,"",0,1,"","","","","",""
165,"FlashbackKillInvader","Defender",11,"Kill any Invasion Boss. ",53366,"",1,"",0,1,"","","","","",""
166,"FlashbackKillTormentedUnique","Exorcist",11,"Kill a Unique monster that has been possessed by a Tormented spirit. ",9900,"",1,"",0,1,"","","","","",""
167,"FlashbackOpenStrongbox","Bait",11,"Open an unidentified Rare Strongbox. ",2690,"",1,"",0,1,"","","","","",""
168,"FlashbackKillStreak","Unstoppable",11,"Reach the fifth Rampage tier. ",54258,"",1,"",0,1,"","","","","",""
169,"FlashbackKillKeepers","Finder of the Trove",11,"Kill a pack of Magic monsters with the Keepers of the Trove Bloodline mod. ",18298,"",1,"",0,1,"","","","","",""
170,"FlashbackKillWarbandLeader","Assassination",11,"Kill any Warband Leader. ",27386,"",1,"",0,1,"","","","","",""
171,"FlashbackKillOnslaughtBoss","A Worthy Foe",11,"Kill the Boss of a Tier 8 or higher Map while it has Onslaught. ",12387,"",1,"",0,1,"","","","","",""
172,"FlashbackKillBeyondBoss","Seal the Portal",11,"Kill a Unique Beyond boss. ",61337,"",1,"",0,1,"","","","","",""
173,"FlashbackClearTempest","Weather the Storm",11,"Fully clear a Rare map that is affected by both a Tempest prefix and suffix. ",53214,"",1,"",0,1,"","","","","",""
174,"FlashbackKillInnerTreasure","Treasure Hunter",11,"Kill a Rare monster with the Inner Treasure Nemesis mod. ",26594,"",1,"",0,1,"","","","","",""
175,"FlashbackKillIgnaPhoenix","Fall of the Phoenix",11,"Kill Igna Phoenix. ",43518,"",1,"",0,1,"","","","","",""
176,"FlashbackTouchDivineShrine","Reach Out and Touch Faith",11,"Touch a Divine Shrine.",7570,"",1,"",0,1,"","","","","",""
177,"TalismanKillMercilessBosses","Kill these Merciless Act Bosses",12,"Kill each of the following Unique bosses in Merciless Difficulty.",27580,"","","",0,"","","","","","",""
178,"TalismanMercilessSideQuests","Complete Merciless Quests",12,"Complete each of the following quests in Merciless Difficulty.",20543,"","","",0,1,"","","","","",""
179,"TalismanClearCorruptedSideAreas","Full Clear: Vaal Side Areas",12,"Fully clear each of the following Corrupted Side Areas. Use the /remaining command to see how many monsters remain, once you're getting close. Everyone in the area will receive credit for the clear.",60763,"","","",0,"","","","","","",""
180,"TalismanKillBearers","Claim these Talismans",12,"Encounter, then kill monsters bearing twelve of these fourteen Talismans.",28784,1,"","",12,1,"","","","","",""
181,"TalismanKillTalismanBosses","Kill Bosses with Talismans",12,"Kill each of the following Unique bosses while they bear Talismans.",40661,1,"","",0,1,"","","","","",""
182,"TalismanEncounterKillUniqueWithTier1","A Coveted Prize",12,"Encounter, then kill a Unique monster bearing a Tier 1 Talisman.",1875,"",1,"",0,1,"","","","","",""
