"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
34,10775,9561,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,10776,9562,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,10777,9566,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,10778,9567,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,10779,9568,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,10780,9632,"",5
40,10781,9633,"",5
41,10782,9634,"",5
42,10783,9635,"Throws Poisonous Concoction",5
43,10784,9636,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,10785,9637,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,10786,9586,"",2
46,10787,9587,"",2
47,10788,9588,"",2
48,10789,9644,"Creates moving Cursed Ground",3
49,10790,9645,"Creates moving Cursed Ground\r\nUses Smite",3
50,10791,9646,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,10792,9598,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,10793,9599,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,10794,9600,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,10795,9613,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,10796,9614,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,10797,9615,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,10798,9592,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,10799,9593,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,10800,9594,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,10801,9557,"Casts Lightning Burst",0
61,10802,9558,"Casts Lightning Burst\r\nCasts Clarity",0
62,10803,9559,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,10804,9604,"20% increased Physical Weapon Damage per 10 Strength",3
64,10805,9605,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
65,10806,9606,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage",3
66,10807,9641,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call",5
67,10808,9642,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality",5
68,10809,9643,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies",5
69,10810,9601,"Causes Bleeding",3
70,10811,9602,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate",3
71,10812,9603,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving",3
72,10813,9595,"Summons constructs\r\n5% increased Attack Damage per 450 Armour",2
73,10814,9596,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed",2
74,10815,9597,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed\r\nNearby allies gain 20% of Physical Damage as Extra Lightning Damage",2
75,10816,9572,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life",1
76,10817,9573,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent",1
77,10818,9574,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage",1
78,10819,9575,"",1
79,10820,9576,"",1
80,10821,9577,"",1
81,10822,9616,"Summons Spiders\r\n",4
82,10823,9617,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks",4
83,10824,9618,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks\r\nOwner gains 20% increased Effect of Withered",4
84,10825,9589,"Must be linked to be powered",2
85,10826,9590,"Must be Linked to be powered\r\n100% effects of Links on this",2
86,10827,9591,"Must be linked to be powered\r\n100% effects of Links on this\r\nOwner gains 20% increased Skill Effect Duration",2
87,10828,9610,"High Life",3
88,10829,9611,"Higher Life\r\nReleases a caustic cloud when hit",3
89,10830,9612,"Highest Life\r\nReleases a caustic cloud when hit\r\nOwner's minions have 40% increased maximum Life",3
90,10831,9554,"Casts channelled Lightning Beam\r\nCannot inflict Shock",0
91,10832,9555,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion",0
92,10833,9556,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning",0
93,10834,9619,"5% increased Attack Damage per 450 Evasion Rating",4
94,10835,9620,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit",4
95,10836,9621,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste",4
96,10837,9622,"Buffs Owner with Rongokurai's Boon",4
97,10838,9623,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction",4
98,10839,9624,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination",4
99,10840,9583,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams",2
100,10841,9584,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite",2
101,10842,9585,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock",2
102,10843,9625,"Cyclones\r\nUses Molten Fissure",5
103,10844,9626,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike",5
104,10845,9627,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught",5
