"rownum","Mod","Value","i32","i32","i32","Tags","SpawnWeight","CraftableType","[rid]"
73,73,652,20,4363,26174,"[7,2,3,26,0]","[1,1,1,1,0]",9,[]
74,74,1054,20,20224,141564,"[7,2,3,26,0]","[1,1,1,1,0]",9,[]
75,75,1569,20,69716,557724,"[7,2,3,26,0]","[1,1,1,1,0]",9,[]
76,76,2100,20,234043,2106387,"[7,2,3,26,0]","[1,1,1,1,0]",9,[]
77,77,3492,20,782117,8603280,"[7,2,3,26,0]","[1,1,1,1,0]",9,[]
78,78,112,30,15,30,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
79,79,142,30,44,87,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
80,80,212,30,136,272,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
81,81,322,30,266,796,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
82,82,426,30,605,1813,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
83,83,558,30,1309,3926,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
84,84,720,30,2740,8219,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
85,85,1002,30,5309,21234,"[16,1,25,22,4,26,3,2,0]","[1,1,1,1,1,1,1,1,0]",10,[]
86,86,1494,30,20915,83658,"[16,1,25,22,4,26,3,0]","[1,1,1,1,1,1,1,0]",10,[]
87,87,2203,30,63192,315958,"[16,1,25,26,0]","[1,1,1,1,0]",10,[]
88,88,3109,30,121408,607040,"[1,16,0]","[1,1,0]",10,[]
89,89,4209,30,186988,934938,"[16,0]","[1,0]",10,[]
90,90,5083,30,287288,1436440,"[16,0]","[1,0]",10,[]
91,91,1417,20,7611,45666,"[3,0]","[1,0]",11,[]
92,92,3203,20,90217,811951,"[3,0]","[1,0]",11,[]
93,93,6851,20,585459,6440046,"[3,0]","[1,0]",11,[]
94,94,118,30,15,30,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
95,95,189,30,54,108,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
96,96,272,30,160,320,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
97,97,390,30,306,917,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
98,98,513,30,690,2068,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
99,99,667,30,1483,4449,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
100,100,872,30,2740,8219,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
101,101,1232,30,4724,18893,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
102,102,1792,30,14915,59658,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
103,103,2583,30,45593,182369,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
104,104,3434,30,70490,352449,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
105,105,4316,30,167890,839450,"[2,3,26,25,22,4,45,37,9,1019,0]","[1,1,1,1,1,1,1,1,1,1,0]",12,[]
106,106,5072,30,287288,1436440,"[2,3,0]","[1,1,0]",12,[]
107,107,118,30,15,30,"[10,0]","[1,0]",12,[]
108,108,221,30,54,108,"[10,0]","[1,0]",12,[]
109,109,317,30,160,320,"[10,0]","[1,0]",12,[]
110,110,421,30,306,917,"[10,0]","[1,0]",12,[]
111,111,551,30,690,2068,"[10,0]","[1,0]",12,[]
112,112,713,30,1483,4449,"[10,0]","[1,0]",12,[]
113,113,953,30,2740,8219,"[10,0]","[1,0]",12,[]
114,114,1370,30,4724,18893,"[10,0]","[1,0]",12,[]
115,115,1951,30,14915,59658,"[10,0]","[1,0]",12,[]
116,116,2760,30,45593,182369,"[10,0]","[1,0]",12,[]
117,117,3471,30,70490,352449,"[10,0]","[1,0]",12,[]
118,118,4360,30,167890,839450,"[10,0]","[1,0]",12,[]
119,119,1424,20,6742,40450,"[3,0]","[1,0]",13,[]
120,120,3217,20,80734,726603,"[3,0]","[1,0]",13,[]
121,121,6885,20,525823,5784050,"[3,0]","[1,0]",13,[]
122,122,99,20,13,50,"[26,0]","[1,0]",14,[]
123,123,178,20,91,453,"[26,0]","[1,0]",14,[]
124,124,252,20,230,1148,"[26,0]","[1,0]",14,[]
125,125,415,20,847,5080,"[26,0]","[1,0]",14,[]
126,126,610,20,2208,15456,"[26,0]","[1,0]",14,[]
127,127,957,20,8033,56225,"[26,0]","[1,0]",14,[]
128,128,1369,20,19497,155973,"[26,0]","[1,0]",14,[]
129,129,2106,20,46994,422944,"[26,0]","[1,0]",14,[]
130,130,2981,20,101174,1011734,"[26,0]","[1,0]",14,[]
131,131,4213,20,217643,2394067,"[26,0]","[1,0]",14,[]
132,132,99,20,13,50,"[2,0]","[1,0]",15,[]
133,133,178,20,91,453,"[2,0]","[1,0]",15,[]
134,134,252,20,230,1148,"[2,0]","[1,0]",15,[]
135,135,415,20,847,5080,"[2,0]","[1,0]",15,[]
136,136,610,20,2208,15456,"[2,0]","[1,0]",15,[]
137,137,957,20,8033,56225,"[2,0]","[1,0]",15,[]
138,138,1369,20,19497,155973,"[2,0]","[1,0]",15,[]
139,139,2106,20,46994,422944,"[2,0]","[1,0]",15,[]
140,140,2981,20,101174,1011734,"[2,0]","[1,0]",15,[]
141,141,99,20,13,50,"[3,0]","[1,0]",16,[]
142,142,178,20,91,453,"[3,0]","[1,0]",16,[]
143,143,252,20,230,1148,"[3,0]","[1,0]",16,[]
144,144,415,20,847,5080,"[3,0]","[1,0]",16,[]
145,145,610,20,2208,15456,"[3,0]","[1,0]",16,[]
146,146,957,20,8033,56225,"[3,0]","[1,0]",16,[]
147,147,1369,20,19497,155973,"[3,0]","[1,0]",16,[]
148,148,2106,20,46994,422944,"[3,0]","[1,0]",16,[]
149,149,2981,20,101174,1011734,"[3,0]","[1,0]",16,[]
150,150,4213,20,217643,2394067,"[3,0]","[1,0]",16,[]
151,151,197,20,21,41,"[3,0]","[1,0]",17,[]
152,152,391,20,266,796,"[3,0]","[1,0]",17,[]
153,153,604,20,1309,3926,"[3,0]","[1,0]",17,[]
154,154,916,20,5601,16802,"[3,0]","[1,0]",17,[]
155,155,1462,20,20915,83658,"[3,0]","[1,0]",17,[]
156,156,2298,20,78616,393078,"[3,0]","[1,0]",17,[]
157,157,2871,20,167890,839450,"[3,0]","[1,0]",17,[]
158,158,197,20,21,41,"[3,0]","[1,0]",18,[]
159,159,391,20,266,796,"[3,0]","[1,0]",18,[]
160,160,604,20,1309,3926,"[3,0]","[1,0]",18,[]
161,161,916,20,5601,16802,"[3,0]","[1,0]",18,[]
162,162,1462,20,20915,83658,"[3,0]","[1,0]",18,[]
163,163,2298,20,78616,393078,"[3,0]","[1,0]",18,[]
164,164,2871,20,167890,839450,"[3,0]","[1,0]",18,[]
165,165,197,20,21,41,"[3,0]","[1,0]",19,[]
166,166,391,20,266,796,"[3,0]","[1,0]",19,[]
167,167,604,20,1309,3926,"[3,0]","[1,0]",19,[]
168,168,916,20,5601,16802,"[3,0]","[1,0]",19,[]
169,169,1462,20,20915,83658,"[3,0]","[1,0]",19,[]
170,170,2298,20,78616,393078,"[3,0]","[1,0]",19,[]
171,171,2871,20,167890,839450,"[3,0]","[1,0]",19,[]
172,172,99,20,15,30,"[38,44,0]","[1,1,0]",20,"[0,6]"
173,173,178,20,136,272,"[38,44,0]","[1,1,0]",20,"[0,6]"
174,174,252,20,230,689,"[38,44,0]","[1,1,0]",20,"[0,6]"
175,175,332,20,529,1587,"[38,44,0]","[1,1,0]",20,"[0,6]"
176,176,434,20,1154,3461,"[38,44,0]","[1,1,0]",20,"[0,6]"
177,177,560,20,2427,7281,"[38,44,0]","[1,1,0]",20,"[0,6]"
178,178,781,20,7517,30067,"[38,44,0]","[1,1,0]",20,"[0,6]"
179,179,1080,20,29253,117011,"[22,4,38,44,0]","[0,0,1,1,0]",20,"[0,6]"
180,180,1541,20,50754,253766,"[25,22,4,38,44,0]","[0,0,0,1,1,0]",20,"[0,6]"
181,181,2189,20,121408,607040,"[25,22,4,38,44,0]","[0,0,0,1,1,0]",20,"[0,6]"
182,182,2981,20,208226,1041129,"[1,25,22,4,38,44,0]","[0,0,0,0,1,1,0]",20,"[0,6]"
183,183,99,20,15,30,"[39,44,0]","[1,1,0]",21,"[1,6]"
184,184,178,20,136,272,"[39,44,0]","[1,1,0]",21,"[1,6]"
185,185,252,20,230,689,"[39,44,0]","[1,1,0]",21,"[1,6]"
186,186,332,20,529,1587,"[39,44,0]","[1,1,0]",21,"[1,6]"
187,187,434,20,1154,3461,"[39,44,0]","[1,1,0]",21,"[1,6]"
188,188,560,20,2427,7281,"[39,44,0]","[1,1,0]",21,"[1,6]"
189,189,781,20,7517,30067,"[39,44,0]","[1,1,0]",21,"[1,6]"
190,190,1080,20,29253,117011,"[22,4,39,44,0]","[0,0,1,1,0]",21,"[1,6]"
191,191,1541,20,50754,253766,"[25,22,4,39,44,0]","[0,0,0,1,1,0]",21,"[1,6]"
192,192,2189,20,121408,607040,"[25,22,4,39,44,0]","[0,0,0,1,1,0]",21,"[1,6]"
193,193,2981,20,208226,1041129,"[1,25,22,4,39,44,0]","[0,0,0,0,1,1,0]",21,"[1,6]"
194,194,99,20,15,30,"[40,44,0]","[1,1,0]",22,"[2,6]"
195,195,178,20,136,272,"[40,44,0]","[1,1,0]",22,"[2,6]"
196,196,252,20,230,689,"[40,44,0]","[1,1,0]",22,"[2,6]"
197,197,332,20,529,1587,"[40,44,0]","[1,1,0]",22,"[2,6]"
198,198,434,20,1154,3461,"[40,44,0]","[1,1,0]",22,"[2,6]"
199,199,560,20,2427,7281,"[40,44,0]","[1,1,0]",22,"[2,6]"
200,200,781,20,7517,30067,"[40,44,0]","[1,1,0]",22,"[2,6]"
201,201,1080,20,29253,117011,"[22,4,40,44,0]","[0,0,1,1,0]",22,"[2,6]"
202,202,1541,20,50754,253766,"[25,22,4,40,44,0]","[0,0,0,1,1,0]",22,"[2,6]"
203,203,2189,20,121408,607040,"[25,22,4,40,44,0]","[0,0,0,1,1,0]",22,"[2,6]"
204,204,2921,20,208226,1041129,"[45,1,25,22,4,40,44,0]","[0,0,0,0,0,1,1,0]",22,"[2,6]"
205,205,99,20,15,30,"[41,44,0]","[1,1,0]",23,"[3,6]"
206,206,264,20,266,796,"[41,44,0]","[1,1,0]",23,"[3,6]"
207,207,453,20,1309,3926,"[41,44,0]","[1,1,0]",23,"[3,6]"
208,208,635,20,3486,10456,"[41,44,0]","[1,1,0]",23,"[3,6]"
209,209,883,20,6697,26787,"[4,22,41,44,0]","[0,0,1,1,0]",23,"[3,6]"
210,210,1425,20,26165,104658,"[4,22,25,41,44,0]","[0,0,0,1,1,0]",23,"[3,6]"
211,211,2189,20,70490,352449,"[4,22,25,41,44,0]","[0,0,0,1,1,0]",23,"[3,6]"
212,212,3220,20,208226,1041129,"[1,4,22,25,41,44,0]","[0,0,0,0,1,1,0]",23,"[3,6]"
213,213,99,20,15,30,"[42,44,0]","[1,1,0]",24,"[4,6]"
214,214,264,20,266,796,"[42,44,0]","[1,1,0]",24,"[4,6]"
215,215,453,20,1309,3926,"[42,44,0]","[1,1,0]",24,"[4,6]"
216,216,635,20,3486,10456,"[42,44,0]","[1,1,0]",24,"[4,6]"
217,217,883,20,6697,26787,"[4,22,42,44,0]","[0,0,1,1,0]",24,"[4,6]"
218,218,1425,20,26165,104658,"[4,22,25,42,44,0]","[0,0,0,1,1,0]",24,"[4,6]"
219,219,2189,20,70490,352449,"[4,22,25,42,44,0]","[0,0,0,1,1,0]",24,"[4,6]"
220,220,3220,20,208226,1041129,"[1,4,22,25,42,44,0]","[0,0,0,0,1,1,0]",24,"[4,6]"
221,221,99,20,15,30,"[43,44,0]","[1,1,0]",25,"[5,6]"
222,222,264,20,266,796,"[43,44,0]","[1,1,0]",25,"[5,6]"
223,223,453,20,1309,3926,"[43,44,0]","[1,1,0]",25,"[5,6]"
224,224,635,20,3486,10456,"[43,44,0]","[1,1,0]",25,"[5,6]"
225,225,883,20,6697,26787,"[4,22,43,44,0]","[0,0,1,1,0]",25,"[5,6]"
226,226,1425,20,26165,104658,"[4,22,25,43,44,0]","[0,0,0,1,1,0]",25,"[5,6]"
227,227,2189,20,70490,352449,"[4,22,25,43,44,0]","[0,0,0,1,1,0]",25,"[5,6]"
228,228,3220,20,208226,1041129,"[1,4,22,25,43,44,0]","[0,0,0,0,1,1,0]",25,"[5,6]"
229,229,99,75,21,41,"[38,0]","[1,0]",26,[0]
230,230,396,75,256,512,"[38,0]","[1,0]",26,[0]
231,231,722,75,894,2681,"[38,0]","[1,0]",26,[0]
232,232,1265,75,3928,11782,"[38,0]","[1,0]",26,[0]
233,233,2524,75,11886,47543,"[38,0]","[1,0]",26,[0]
234,234,3881,75,50754,253766,"[38,0]","[1,0]",26,[0]
235,235,5884,75,135284,676417,"[38,0]","[1,0]",26,[0]
236,236,6300,75,287288,1436440,"[40,41,42,39,43,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",26,[0]
237,237,99,75,21,41,"[39,0]","[1,0]",27,[1]
238,238,430,75,256,512,"[39,0]","[1,0]",27,[1]
239,239,749,75,894,2681,"[39,0]","[1,0]",27,[1]
240,240,1341,75,3928,11782,"[39,0]","[1,0]",27,[1]
241,241,2524,75,11886,47543,"[39,0]","[1,0]",27,[1]
242,242,3881,75,50754,253766,"[39,0]","[1,0]",27,[1]
243,243,5884,75,135284,676417,"[39,0]","[1,0]",27,[1]
244,244,6300,75,287288,1436440,"[40,41,42,38,43,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",27,[1]
245,245,99,75,21,41,"[40,0]","[1,0]",28,[2]
246,246,412,75,256,512,"[40,0]","[1,0]",28,[2]
247,247,749,75,894,2681,"[40,0]","[1,0]",28,[2]
248,248,1341,75,3928,11782,"[40,0]","[1,0]",28,[2]
249,249,2524,75,11886,47543,"[40,0]","[1,0]",28,[2]
250,250,3881,75,50754,253766,"[40,0]","[1,0]",28,[2]
251,251,5884,75,135284,676417,"[40,0]","[1,0]",28,[2]
252,252,6300,75,287288,1436440,"[38,41,42,39,43,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",28,[2]
253,253,99,75,21,41,"[41,0]","[1,0]",29,[3]
254,254,430,75,256,512,"[41,0]","[1,0]",29,[3]
255,255,749,75,894,2681,"[41,0]","[1,0]",29,[3]
256,256,1341,75,3928,11782,"[41,0]","[1,0]",29,[3]
257,257,2524,75,11886,47543,"[41,0]","[1,0]",29,[3]
258,258,3881,75,50754,253766,"[41,0]","[1,0]",29,[3]
259,259,5884,75,135284,676417,"[41,0]","[1,0]",29,[3]
260,260,6300,75,287288,1436440,"[40,42,39,38,43,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",29,[3]
261,261,99,75,21,41,"[42,0]","[1,0]",30,[4]
262,262,430,75,256,512,"[42,0]","[1,0]",30,[4]
263,263,749,75,894,2681,"[42,0]","[1,0]",30,[4]
264,264,1341,75,3928,11782,"[42,0]","[1,0]",30,[4]
265,265,2524,75,11886,47543,"[42,0]","[1,0]",30,[4]
266,266,3881,75,50754,253766,"[42,0]","[1,0]",30,[4]
267,267,5884,75,135284,676417,"[42,0]","[1,0]",30,[4]
268,268,6300,75,287288,1436440,"[40,41,39,38,43,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",30,[4]
269,269,99,75,21,41,"[43,0]","[1,0]",31,[5]
270,270,430,75,256,512,"[43,0]","[1,0]",31,[5]
271,271,749,75,894,2681,"[43,0]","[1,0]",31,[5]
272,272,1341,75,3928,11782,"[43,0]","[1,0]",31,[5]
273,273,2524,75,11886,47543,"[43,0]","[1,0]",31,[5]
274,274,3881,75,50754,253766,"[43,0]","[1,0]",31,[5]
275,275,5884,75,135284,676417,"[43,0]","[1,0]",31,[5]
276,276,6300,75,287288,1436440,"[40,42,39,38,41,44,16,1,0]","[0,0,0,0,0,0,1,1,0]",31,[5]
277,277,165,40,102,306,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
278,278,295,40,306,1223,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
279,279,477,40,1309,5234,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
280,280,820,40,5663,28312,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
281,281,1438,40,29064,174384,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
282,282,2583,40,155823,1246584,"[16,25,22,38,0]","[0,0,0,1,0]",32,[0]
283,283,165,40,102,306,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
284,284,295,40,306,1223,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
285,285,477,40,1309,5234,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
286,286,820,40,5663,28312,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
287,287,1438,40,29064,174384,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
288,288,2583,40,155823,1246584,"[16,25,22,39,0]","[0,0,0,1,0]",33,[1]
289,289,165,40,102,306,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
290,290,295,40,306,1223,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
291,291,477,40,1309,5234,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
292,292,820,40,5663,28312,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
293,293,1438,40,29064,174384,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
294,294,2583,40,155823,1246584,"[16,25,22,45,40,0]","[0,0,0,0,1,0]",34,[2]
295,295,165,40,102,306,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
296,296,295,40,306,1223,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
297,297,477,40,1309,5234,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
298,298,820,40,5663,28312,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
299,299,1438,40,29064,174384,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
300,300,2583,40,155823,1246584,"[16,25,22,41,0]","[0,0,0,1,0]",35,[3]
301,301,165,40,102,306,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
302,302,295,40,306,1223,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
303,303,477,40,1309,5234,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
304,304,820,40,5663,28312,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
305,305,1438,40,29064,174384,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
306,306,2583,40,155823,1246584,"[16,25,22,42,0]","[0,0,0,1,0]",36,[4]
307,307,165,40,102,306,"[16,25,22,43,0]","[0,0,0,1,0]",37,[5]
308,308,295,40,306,1223,"[16,25,22,43,0]","[0,0,0,1,0]",37,[5]
309,309,477,40,1309,5234,"[16,25,22,43,0]","[0,0,0,1,0]",37,[5]
