"rownum","string","string","[i32]","i32","[i32]"
10,"DeathScreenRespawnConfirmationTitle","Respawn in New Area","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-931107,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
11,"DeathScreenRespawnConfirmationText","If you Respawn into a new area, you will be unable to rejoin your party members here. Wait for them to revive you, or else you will be separated and have to wait for them to follow you.\r\n\r\nRespawn in new area?","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-1040083418,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
12,"DeathScreenRespawnConfirmationTextMaps","If you Respawn out of this area, you will be unable to rejoin your party members here. Wait for the Map Owner to initiate a party revive, or else you will be separated.\r\n\r\nAre you sure you want to Respawn?","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",964372996,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
13,"DeathScreenRespawnLimited1","1 attempt remaining","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-1749358251,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
14,"DeathScreenRespawnLimitedN","{} attempts remaining","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-984988353,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
15,"DeathScreenRespawnWaitForMapOwner","Wait for the Map Owner to respawn the party","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",24909824,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
16,"GamepadActionSocketJewelInPassiveTree","Socket In Passive Tree","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",675109749,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
17,"MtxOptionBuyMore","Buy More","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-2031315751,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
18,"ConsoleActionClearSearch","Clear Search","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",447930731,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
19,"EquipErrorSkillAlreadyHasSupport","Skill already has this Support socketed","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",1644618209,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
20,"OptionUseCompactMinionDisplayOnLocalPlayerListName","Use compact minion display","[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]",-84127433,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,2818080,2097201,7274612,5046304,7209071,7602291,7471205,4980768,7733349,7077989,6357024,6553710,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574]"
