"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool","Radius","Name","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
27,"GraveyardDaemon2Trial","[14,22]",[],[15],50,26,"",0,"Restless Ground II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",32369,[],0,5259,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11202,""
28,"GraveyardDaemon3Trial","[14,22,26]",[],[15],51,27,"",0,"Restless Ground III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",46867,[],0,5259,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"","[7898,7828]",11148,""
29,"GraveyardDaemon4Trial","[14,22,26]",[],[15],52,28,"",0,"Restless Ground IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",35231,[],0,5259,[],4,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"",[],16685,""
30,"RevenantDaemon1","[15,26]",[],[14],53,"","",0,"Stalking Ruin","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",7958,[],0,5259,[],1,1,"An invulnerable shade stalks you, inflicting Ruin with its Melee Attacks\r\nFail on reaching 7 Ruin",[],"",[7829],11136,31589
31,"RevenantDaemon2","[15,22,26]",[],[14],54,30,"",0,"Stalking Ruin II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",32061,[],0,5259,[],2,1,"An invulnerable shade stalks you, gaining speed and inflicting Ruin with Melee Attacks and Spells\r\nFail on reaching 7 Ruin",[],"",[7829],11139,31589
32,"RevenantDaemon3","[15,22,26]",[],[14],55,31,"",0,"Stalking Ruin III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",47172,[],0,5259,[],3,1,"An invulnerable shade stalks you, gaining further speed and inflicting Ruin with Melee Attacks and powerful Spells\r\nFail on reaching 7 Ruin",[],"","[7899,7829]",16691,31589
33,"RevenantDaemon4","[15,22,26]",[],[14],56,32,"",0,"Stalking Ruin IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",49847,[],0,5259,[],4,1,"An invulnerable shade stalks you, aggressively casting Spells that inflict Ruin while teleporting to random locations\r\nFail on reaching 7 Ruin",[],"",[],16697,31589
34,"SawbladeDaemon1",[16],[],[],57,"","",0,"Razor Dance","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",7052,[],0,5447,[],1,0,"Blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"",[7830],11316,31590
35,"SawbladeDaemon2",[16],[],[],58,34,"",0,"Razor Dance II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",45148,[],0,5447,[],2,0,"Many blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"",[7830],11319,31590
36,"SawbladeDaemon3",[16],[],[],59,35,"",0,"Razor Dance III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",22941,[],0,5447,[],3,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"","[7900,7830]",11322,31590
37,"SawbladeDaemon4",[16],[],[],60,36,"",0,"Razor Dance IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",15044,[],0,5447,[],4,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit and leaving a trail of Blood ground",[],"",[],16703,31590
38,"PhysTotemDaemon","[17,19,8]",[],[18],61,"","",0,"Totem of Costly Might","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PhysicalTotem",8887,[],0,5259,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Physical Damage benefits, but causes enemies to take 10% of their maximum Life and Energy Shield as Physical Damage per second",[],"",[7831],11313,31591
39,"EleTotemDaemon","[18,19,8]",[],[17],62,"","",0,"Totem of Costly Potency","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ElementalTotem",58910,[],0,5259,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Elemental Damage benefits, but causes enemies to take 15% of their maximum Life and Energy Shield as Fire Damage per second",[],"",[7832],11292,31592
40,"AltarDaemon1",[27],[],[],63,"","",0,"Blood Altar","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodAltar",50169,[],0,5447,[],1,0,"A ring of Blood surrounds the Altar, dealing heavy Physical Damage over time",[],"",[],16715,""
41,"AltarDaemon2",[27],[],[],64,40,"",0,"Blood Altar II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodAltar",16245,[],0,5447,[],2,0,"A large ring of Blood surrounds the Altar, dealing heavy Physical Damage over time",[],"",[],16721,""
42,"BossTrialMaster",[7],[],[],"","","",0,"The Trialmaster","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EncounterDaemonEffect",58468,[],0,"",[],1,0,"",[],"",[],"",""
43,"Radius1",[6],[],[11],"","","",55,"Limited Arena","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CantLeaveArea",5539,[22],0,"",[],1,0,"The encounter area will be much smaller",[],"",[7833],11334,""
44,"MonstersApplyRuin1","[2,26]",[],[],"","","",0,"Ruin","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",21525,[10],1,"",[],1,1,"A Monster type will apply Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11133,""
45,"MonstersApplyRuin2","[2,26]",[],[],"",44,"",0,"Ruin II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",24728,[10],1,"",[],2,2,"A Monster type will apply double Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11139,""
46,"MonstersApplyRuin3","[2,26]",[],[],"",45,"",0,"Ruin III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",35694,[10],2,"",[],3,2,"Two Monster types will apply double Ruin with their special abilities\r\nFail on reaching 7 Ruin",[],"","[7901,7936]",11145,""
47,"MonstersApplyRuin4","[2,26]",[],[],"",46,"",0,"Ruin IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",60794,[10],2,"",[],4,4,"Two Monster types will apply quadruple Ruin with their special abilities\r\nFail on reaching 7 Ruin",[],"",[],16709,""
48,"PlayerDebuffRecoveryReduction1",[8],[],[],"","","",0,"Reduced Recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,[],0,"",[0],1,0,"60% Reduced Life, Mana, and Energy Shield Recovery Rate",[],"",[7834],11352,31593
49,"PlayerDebuffRecoveryReduction2",[8],[],[],"",48,"",0,"Reduced Recovery II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,[],0,"",[47],2,0,"90% Reduced Life, Mana, and Energy Shield Recovery Rate",[],"",[7834],11355,""
50,"PlayerDebuffAreaAndProjectileSpeed","[8,20]",[],[20],"","","",0,"Lessened Reach","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,[],0,"",[1],1,0,"Players have 60% less Area of Effect and Projectile Speed",[],"",[7835],11376,31594
51,"PlayerDebuffBuffsExpireFaster",[8],[],[],"","","",0,"Buffs Expire Faster","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",29421,[],0,"",[2],1,0,"Buffs expire five times faster on Players",[],"",[7836],11154,31595
52,"PlayerDebuffCooldownSpeed",[8],[],[],"","","",0,"Less Cooldown Recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessCooldownRecovery",39295,[],0,"",[3],1,0,"Cooldowns take five times longer to recharge",[],"",[7837],11199,31596
53,"PlayerDebuffIncreasingVulnerability",[8],[],[],"","","",0,"Escalating Damage Taken","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingDamageTaken",57621,[],0,"",[4],1,0,"For the remainder of the encounter, damage taken will slowly increase by 2% per second, up to 50%",[],"",[7838],11163,31597
54,"MonsterBuffAcceleratingSpeed",[8],[24912],[],"","","",0,"Escalating Monster Speed","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingMonsterSpeed",7961,[],0,"",[],1,0,"Monsters gain 5% increased attack, cast, and movement speed per second they are alive, up to 50%",[],"",[7839],11181,31598
55,"MonsterBuffNonChaosDamageToAddAsChaosDamage",[8],[24947],[],"","","",0,"Profane Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",18354,[],0,"",[],1,0,"Monsters deal 80% of Physical Damage Added as Chaos Damage",[],"",[7840],11307,31599
56,"PlayerDebuffExtraCriticalRolls",[8],[24923],[],"","","",0,"Unlucky Criticals","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnluckyCrits",40124,[],0,"",[8],1,0,"Your Critical Strike Chance is Unlucky\r\nMonsters take 50% reduced Extra Damage from Critical Strikes",[],"",[7841],11379,31600
57,"PlayerDebuffHinderedMsOnFlaskUse","[8,21]",[],[21],"","","",0,"Hindering Flasks","Art/2DArt/UIImages/InGame/Ultimatum/Icons/HinderingFlasks",27491,[],0,"",[9],1,0,"Using a Flask Hinders you by 50% for 4 seconds",[],"",[7842],11358,31601
58,"PlayerDebuffCancelFlaskEffectOnFlaskUse","[8,21]",[],[21],"","","",0,"Drought","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LimitedFlasks",15668,[],0,"",[10],1,0,"Cannot gain Flask Charges",[],"",[7843],11373,31602
59,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",[8],[24924],[],"","","",0,"Ailment and Curse Reflection","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CurseAilmentReflection",11872,[],0,"",[11],1,0,"Curses and Non-damaging Ailments you apply are Reflected\r\nMonsters are unaffected by Curses",[],"",[7844],11358,31603
60,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostHigh",[8],[],[],"","","",0,"Lightning Damage from Mana Costs","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LightningDamageFromMana",58901,[],0,"",[12],1,0,"Take 1000% of Mana costs as Lightning Damage",[],"",[7845],11364,""
61,"PlayerDebuffRandomProjectileDirection","[8,20]",[6080],[20],"","","",0,"Random Projectiles","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,[],0,"",[13],1,0,"Your Projectiles fly in random directions\r\nMonsters fire additional Projectiles",[],"",[7846],11382,""
62,"PlayerDebuffAurasAffectAllies",[8],[],[],"","","",0,"Treacherous Auras","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SharedAuras",12730,[],0,"",[15],1,0,"Your Auras that affect Allies also affect Enemies",[],"",[7847],11385,31604
63,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds",[8],[],[],"","","",0,"Occasional Impotence","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,[],0,"",[44],1,0,"You and your Minions deal no damage for 2 seconds every 8 seconds",[],"",[7848],11208,31605
64,"PlayerDebuffUltimatumLoseChargesEverySecond",[8],"[4762,4763,4764]",[],"","","",0,"Siphoned Charges","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",21966,[],0,"",[45],1,0,"Lose a Power, Frenzy, and Endurance Charge every second\r\nMonsters gain Power, Frenzy, and Endurance Charges on hit",[],"",[7849],11160,31606
65,"MonsterSlowProtection",[8],[24913],[],"","","",0,"Unstoppable Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnstoppableMonsters",11559,[],0,"",[],1,0,"Monsters cannot be Slowed or Stunned",[],"",[],16727,""
66,"MonsterExtraRareModifiers",[8],[24914],[],"","","",0,"Lethal Rare Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",47347,[],0,"",[],1,0,"Rare Monsters have 2 additional Modifiers",[],"",[],16733,""
67,"MonsterBlock",[8],[24915],[],"","","",0,"Shielding Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ShieldingMonsters",36548,[],0,"",[],1,0,"Monsters have 50% chance to Block Attack and Spell Damage",[],"",[],16740,""
68,"MonsterHitsCantBeEvaded",[8],[24916],[],"","","",0,"Precise Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PreciseMonsters",33891,[],0,"",[],1,0,"Monster Hits cannot be Evaded",[],"",[],16746,""
69,"MonsterOverwhelm",[8],[24917],[],"","","",0,"Overwhelming Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",59748,[],0,"",[],1,0,"Monster Hits Overwhelm all Physical Damage Reduction",[],"",[],16752,""
70,"MonsterHitsAreCriticalStrikes",[8],[24918],[],"","","",0,"Deadly Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",38838,[],0,"",[],1,0,"Monster Hits are always Critical Strikes",[],"",[],16758,""
71,"MonsterPhysAsExtraEachElement",[8],[24919],[],"","","",0,"Prismatic Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PrismaticMonsters",39785,[],0,"",[],1,0,"Monsters gain 50% of Physical Damage as Extra Damage of each Element",[],"",[],16765,""
72,"MonsterResistances",[8],[24920],[],"","","",0,"Resistant Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",25457,[],0,"",[],1,0,"Monsters have +50% to all Resistances",[],"",[],16771,""
73,"MonsterSuppressionAndEvasion",[8],[24921],[],"","","",0,"Dexterous Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DexterousMonsters",10506,[],0,"",[],1,0,"Monsters Suppress Spell Damage and gain 500% increased Evasion Rating",[],"",[],16777,""
74,"MonsterRemoveEnergyShieldAndManaOnHit",[8],[24922],[],"","","",0,"Siphoning Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphoningMonsters",45921,[],0,"",[],1,0,"Monster Hits remove 10% of current Energy Shield and Mana",[],"",[],16783,""
75,"GolemCrawlerSpawner",[3],[],[],"","","",0,"","",51637,[],0,"",[],1,0,"","[""Metadata/Monsters/LeagueUltimatum/Spawners/CrawlerSpawner""]","",[],"",""
76,"UltimatumWave2MonsterDamageLife",[23],"[24965,24977]",[],"","","",0,"","",43137,[],0,"",[],1,0,"",[],"",[],"",""
77,"UltimatumWave3MonsterDamageLife",[23],"[24966,24978]",[],"","","",0,"","",44962,[],0,"",[],1,0,"",[],"",[],"",""
78,"UltimatumWave4MonsterDamageLife",[23],"[24967,24979]",[],"","","",0,"","",28996,[],0,"",[],1,0,"",[],"",[],"",""
79,"UltimatumWave5MonsterDamageLife",[23],"[24968,24980]",[],"","","",0,"","",58387,[],0,"",[],1,0,"",[],"",[],"",""
80,"UltimatumWave6MonsterDamageLife",[23],"[24969,24981]",[],"","","",0,"","",12736,[],0,"",[],1,0,"",[],"",[],"",""
81,"UltimatumWave7MonsterDamageLife",[23],"[24970,24982]",[],"","","",0,"","",44166,[],0,"",[],1,0,"",[],"",[],"",""
82,"UltimatumWave8MonsterDamageLife",[23],"[24971,24983]",[],"","","",0,"","",9131,[],0,"",[],1,0,"",[],"",[],"",""
83,"UltimatumWave9MonsterDamageLife",[23],"[24972,24984]",[],"","","",0,"","",61542,[],0,"",[],1,0,"",[],"",[],"",""
84,"UltimatumWave10MonsterDamageLife",[23],"[24973,24985]",[],"","","",0,"","",48891,[],0,"",[],1,0,"",[],"",[],"",""
85,"UltimatumWave11MonsterDamageLife",[23],"[24974,24986]",[],"","","",0,"","",43883,[],0,"",[],1,0,"",[],"",[],"",""
86,"UltimatumWave12MonsterDamageLife",[23],"[24975,24987]",[],"","","",0,"","",24124,[],0,"",[],1,0,"",[],"",[],"",""
87,"UltimatumWave13MonsterDamageLife",[23],"[24976,24988]",[],"","","",0,"","",57717,[],0,"",[],1,0,"",[],"",[],"",""
88,"SpookySupplementSpawner",[3],[],[],"","","",0,"","",36127,[],0,"",[],1,0,"","[""Metadata/Monsters/LeagueUltimatum/Spawners/SpookySupplement""]","",[],"",""
