"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
83,4409,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70]",0,[],"",15,[],[],[],"","","",""
84,4323,"[0,22,29,35,35]",18963,"[54,55]",18961,5,[],[],[],1,"","",""
85,4320,"[0,24,32,38]",18963,"[54,55]",18961,4,[],[],[],1,"","",""
86,4322,"[0,20,26]",18963,"[54,55]",18961,3,[],[],[],1,"","",""
87,4454,"[1,1,1,1]",365,[],"",4,"[19058,19058,19058,19058]","[1,2,3,4]","[1,2,3,4]","","","",1
88,4482,"[0,0]",365,[],"",2,"[17644,17644]","[0,1]","[1,2]","","","",1
89,4470,"[0,0]",365,[],"",2,[],[],[],"","","",""
90,4473,"[0,0]",365,[],"",2,[],[],[],"","","",""
91,4472,"[0,0]",365,[],"",2,[],[],[],"","","",""
92,4471,"[0,0]",365,[],"",2,[],[],[],"","","",""
93,4477,"[0,0,0,0]",365,[],"",4,"[19251,19251,19251,19251]","[1,2,3,4]","[1,2,3,4]","","","",1
94,4514,"[0,22,28,35,35]",19599,"[59,60]",19597,5,[19589],[1],[3],1,"","",""
95,4512,"[0,26]",19599,"[59,60]",19597,2,[1366],[115],[2],1,"","",""
96,4513,"[0,20,32]",19599,"[59,60]",19597,3,[19600],[1],[3],1,"","",""
97,4511,"[0,0,24,38]",19599,"[59,60]",19597,4,[19432],[1],[4],1,"","",""
98,4490,"[0,0]",365,[],"",2,[19626],[1],[2],"","","",""
