"rownum","Id","HASH16","Name","Image","rid","i32","Mods","FlavorText","i32","[rid]","rid","rid"
35,"TukohamaDebilitate",13383,"Jade Blade","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/JadeBlade",9,250,[34929],"A true warrior is never unarmed.",1000,[],518,531
36,"RongokuraiCannotBeSlowed",17619,"Turtle Trinket","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TurtleShell",10,150,[34909],"Slow and steady wins the race.",1000,[],517,530
37,"RongokuraiStunOnRespawn",20122,"Emerging Bellow","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HuntingCharm",10,150,[34910],"\""Get out of my way!\""",1000,[],517,530
38,"RongokuraiKnockback",14654,"Goliath Knuckle","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KnuckleDusterRing",10,200,[34880],"Simple, but effective.",400,[],517,530
39,"RongokuraiTotemLife",6272,"Nightguard","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CarvedBreastplate",10,300,"[34911,34913]","Rongokurai gifts his strength to protect the weak.",800,[],517,530
40,"NoTribeColdResistance",30044,"Summer Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RainDoll",0,150,[34916],"Remember the days that were not so grim and cold as today.",800,[],517,530
41,"NoTribeLife",29574,"Tough Snack","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RhoaSteak",0,250,[34912],"The long chew is half the satisfaction.",1000,[],535,534
42,"NoTribeDamage",4997,"Barbed Dagger","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TeethCharm",0,400,[34917],"For enemies you do not respect.",500,[],517,530
43,"NoTribeRespawnRate",32989,"Battle Call","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ConchTrumpet",0,250,[34915],"If you hear the call, you must answer.",500,[],517,530
44,"NoTribeTotemLife",15920,"Albino Weta","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/AlbinoWeta",0,400,[34914],"A blessing upon all those trees touched by the sacred spirit.",500,[],517,530
