"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
20,4793,10010,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,4794,9990,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,4795,9991,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,4796,9992,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,4797,10017,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,4798,10018,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,4799,10019,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,4800,10002,"Cyclones\r\nCleaves",1
28,4801,10003,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,4802,10004,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,4803,10046,"",3
31,4804,10047,"",3
32,4805,10048,"",3
33,4806,9999,"Vomits Blood\r\nApplies Corrupting Blood",1
34,4807,10000,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,4808,10001,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,4809,10005,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,4810,10006,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,4811,10007,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,4812,10071,"",5
40,4813,10072,"",5
41,4814,10073,"",5
42,4815,10074,"Throws Poisonous Concoction",5
43,4816,10075,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,4817,10076,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,4818,10025,"",2
46,4819,10026,"",2
47,4820,10027,"",2
48,4821,10083,"Creates moving Cursed Ground",3
49,4822,10084,"Creates moving Cursed Ground\r\nUses Smite",3
50,4823,10085,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,4824,10037,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,4825,10038,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,4826,10039,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,4827,10052,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,4828,10053,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,4829,10054,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,4830,10031,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,4831,10032,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,4832,10033,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,4833,9996,"Casts Lightning Burst",0
61,4834,9997,"Casts Lightning Burst\r\nCasts Clarity",0
62,4835,9998,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,4836,10043,"20% increased Physical Weapon Damage per 10 Strength",3
64,4837,10044,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
65,4838,10045,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage",3
66,4839,10080,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call",5
67,4840,10081,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality",5
68,4841,10082,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies",5
69,4842,10040,"Causes Bleeding",3
70,4843,10041,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate",3
71,4844,10042,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving",3
72,4845,10034,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour",2
73,4846,10035,"Summons Constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed",2
74,4847,10036,"Summons Constructs\r\n8% increased Attack Damage per 450 Armour\r\nBuffs nearby Constructs with 100% increased Damage and 30% Attack and Cast Speed",2
75,4848,10011,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life",1
76,4849,10012,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent",1
77,4850,10013,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage",1
78,4851,10014,"",1
79,4852,10015,"",1
80,4853,10016,"",1
81,4854,10055,"Summons Spiders\r\n",4
82,4855,10056,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks",4
83,4856,10057,"Summons Spiders\r\nAlly Spiders deal additional chaos damage with attacks\r\nOwner gains 10% increased Effect of Withered",4
84,4857,10028,"Must be linked to be powered",2
85,4858,10029,"Must be Linked to be powered\r\n50% effects of Links on this",2
86,4859,10030,"Must be Linked to be powered\r\n100% effects of Links on this",2
87,4860,10049,"High Life",3
88,4861,10050,"Higher Life\r\nReleases a caustic cloud when hit",3
89,4862,10051,"Highest Life\r\nReleases a caustic cloud when hit\r\nTaunts on Hit",3
90,4863,9993,"Casts channelled Lightning Beam\r\nCannot inflict Shock",0
91,4864,9994,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion",0
92,4865,9995,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning",0
93,4866,10058,"5% increased Attack Damage per 450 Evasion Rating",4
94,4867,10059,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit",4
95,4868,10060,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste",4
96,4869,10061,"Buffs Owner with Rongokurai's Boon",4
97,4870,10062,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 3% Physical Damage Reduction",4
98,4871,10063,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination",4
99,4872,10022,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams",2
100,4873,10023,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite",2
101,4874,10024,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock",2
102,4875,10064,"Cyclones\r\nUses Molten Fissure",5
103,4876,10065,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike",5
104,4877,10066,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught",5
