"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32","DivCards"
19,1173,9572,"",403,2077,[18],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","","",8,10,12,13,"[9577,9658,9676,9736]"
20,1115,8248,"",350,2019,"[52,66,103,21]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","","",5,7,9,11,"[9551,9565,9791,11522]"
21,1116,9957,"",350,2020,[20],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","","",5,7,9,11,"[9418,9444,9483,9487]"
22,1185,8277,"",413,2088,"[86,102,67,38,23]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","","",15,16,16,16,"[9435,9502,9530,9645]"
23,1186,9555,"",413,2089,[22],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","","",15,16,16,16,"[9427,9505,9626,9661]"
24,1147,8291,"",383,2051,"[63,61,59,43,25]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","","",12,13,14,15,"[9471,9487,9622,9842]"
25,1223,9576,"",383,2124,[24],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","","",12,13,14,15,"[9452,9504,9596,9601]"
26,1157,8284,"",391,2061,"[95,49,27]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","","",16,16,16,16,"[9541,9584,9605,9839]"
27,1158,12077,"",391,2062,[26],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","","",16,16,16,16,"[9494,9536,9543,9573]"
28,1165,8224,"",398,2069,"[113,33,96,94,29]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","","",6,8,10,12,"[9461,9540,9599,9657]"
29,1166,8372,"",398,2070,[28],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","","",6,8,10,12,"[9433,9442,9465,9468]"
30,1169,8280,"",401,2073,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","","",7,9,11,12,"[9445,9556,9690,9728]"
31,1127,8311,"",366,2031,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","","",15,16,16,16,"[9482,9516,9624,9695]"
32,1203,8275,"",428,2105,"[84,0,6]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","","",8,10,12,13,"[9457,9517,9519,9755]"
33,1216,8336,"",440,2117,"[88,65,89,28]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","","",7,9,11,12,"[9462,9585,9659,11235]"
34,1136,8349,"",374,2040,"[50,42,4]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","","",7,9,11,12,"[9437,9442,9486,9539]"
35,1236,8319,"",457,2137,"[84,114,97,30,0]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","","",8,10,12,13,"[9450,9546,9625,9654]"
36,1205,8302,"",429,2107,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","","",4,6,8,10,"[9443,9563,9587,9830]"
37,1191,8347,"",417,2094,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,"",3,5,7,9,"[9478,9683,9762,9820]"
38,1139,8225,"",377,2043,"[70,99,105,22]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","","",16,16,16,16,"[9553,9637,9648,9672]"
39,1243,8337,"",464,2144,"[37,48,2,16]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","","",4,6,8,10,"[9420,9453,9669,9770]"
40,1108,8282,"",343,2012,"[51,104,101,12]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","","",12,13,14,15,"[9415,9447,9847,11236]"
41,1126,8342,"",365,2030,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","","",11,12,13,14,"[9574,9651,9774,9808]"
42,1215,8341,"",439,2116,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","","",8,10,12,13,"[9438,9604,9680,9819]"
43,1133,8239,"",371,2037,"[106,55,57,24]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","","",11,12,13,14,"[9554,9559,9710,11234]"
44,1163,8354,"",396,2067,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","","",13,14,15,16,"[9448,9733,9776,9778]"
45,1167,8243,"",399,2071,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","","",13,14,15,16,"[9446,9679,9782,9800]"
46,1213,8236,"",437,2115,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","","",16,16,16,16,"[9421,9473,9614,9740]"
47,1152,8246,"",388,2056,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","","",10,12,13,14,"[9434,9519,9521,9600]"
48,1101,8222,"",336,2005,"[39,50,90,4]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","","",5,7,9,11,"[9488,9489,9603,9622]"
49,1202,8272,"",427,2104,"[46,26]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","","",16,16,16,16,"[9581,9640,9655,9758]"
50,1212,8235,"",436,2114,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","","",6,8,10,12,"[9437,9486,9539,11371]"
51,1125,8350,"",364,2029,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","","",12,13,14,15,"[9474,9493,9620,9688]"
52,1110,8255,"",345,2014,"[109,97,30,20]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","","",6,8,10,12,"[9436,9618,9630,9773]"
53,1174,8268,"",404,2078,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","","",4,6,8,10,"[9494,9675,9765,9794]"
54,1242,8314,"",463,2143,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","","",11,12,13,14,"[9545,9666,9741,9796]"
55,1230,8281,"",451,2131,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","","",12,13,14,15,"[9432,9534,9790,9805]"
56,1199,8266,"",425,2101,"[55,14]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","","",12,13,14,15,"[9434,9456,9560,9707]"
57,1112,8356,"",347,2016,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","","",10,12,13,14,"[9424,9497,9636,9820]"
58,1195,8252,"",421,2097,"[84,41,74,6]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","","",10,12,13,14,"[9512,9671,9754,9843]"
59,1266,8313,"",359,2154,"[81,93,44,24]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","","",12,13,14,15,"[9476,9680,9693,9743]"
60,1269,8237,"",361,2157,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","","",10,12,13,14,"[9610,9626,9659,9746]"
61,1130,8223,"",368,2034,"[98,93,57,24]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","","",11,12,13,14,"[9448,9550,9559,11677]"
62,1231,8305,"",452,2132,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","","",16,16,16,16,"[9581,9716,9728,9797]"
63,1268,8273,"",330,2156,"[44,55,24,14]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","","",12,13,14,15,"[9427,9484,9803,9813]"
64,1247,8334,"",468,2148,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","","",4,6,8,10,"[9429,9607,9649,9805]"
65,1219,8253,"",442,2120,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","","",8,10,12,13,"[9449,9492,9558,9591]"
66,1238,8322,"",459,2139,"[37,109,20]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","","",4,6,8,10,"[9520,9543,9580,9711]"
67,1096,8351,"",331,2000,"[92,99,22]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","","",16,16,16,16,"[9478,9497,9651,9756]"
68,1129,8220,"",367,2033,"[82,106,88,57,18]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","","",9,11,12,13,"[9498,9579,9785,9816]"
69,1104,8316,"",339,2008,"[53,89,10]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","","",5,7,9,11,"[9536,9675,9785,9830]"
70,1093,8214,"",327,1997,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","","",15,16,16,16,"[9444,9475,9656,9832]"
71,1262,8264,"",470,2151,"[98,42,47,18]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","","",9,11,12,13,"[9467,9733,9765,9840]"
72,1095,8227,"",329,1999,"[37,109,16]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","","",4,6,8,10,"[9459,9572,9655,9773]"
73,1149,8338,"",385,2053,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","","",11,12,13,14,"[9547,9681,9764,9807]"
74,1244,8340,"",465,2145,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","","",11,12,13,14,"[9433,9530,9593,9757]"
75,1208,8247,"",432,2110,"[98,57,18]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","","",9,11,12,13,"[9416,9469,9617,11234]"
76,1151,8299,"",387,2055,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","","",15,16,16,16,"[9500,9532,9569,11372]"
77,1227,8318,"",448,2128,"[70,76,44,14]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","","",14,15,16,16,"[9420,9535,9654,9822]"
78,1159,8283,"",392,2063,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,"",3,5,7,9,"[9445,9470,9556,9797]"
79,1111,8209,"",346,2015,"[76,14]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","","",14,15,16,16,"[9479,9558,9761,9764]"
80,1190,8307,"",416,2093,"[53,64,8]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,"",3,5,7,9,"[9506,9618,9737,9836]"
81,1114,8357,"",349,2018,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","","",13,14,15,16,"[9422,9578,9623,9672]"
82,1194,8339,"",420,2096,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","","",8,10,12,13,"[9476,9501,9507,9639]"
83,1206,8256,"",430,2108,"[82,50,107,42,18]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","","",7,9,11,12,"[9463,9548,9582,9829]"
84,1117,8287,"",351,2021,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","","",9,11,12,13,"[9579,9757,9758,9820]"
85,1098,8212,"",333,2002,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","","",10,12,13,14,"[9668,9720,9722,9723]"
86,1120,8304,"",353,2024,"[31,104,45,22]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","","",14,15,16,16,"[9584,9585,9746,11235]"
87,1241,8358,"",462,2142,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","","",12,13,14,15,"[9513,9571,9784,9800]"
88,1183,8295,"",411,2086,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","","",8,10,12,13,"[9418,9653,9822,11676]"
89,1135,8343,"",373,2039,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","","",6,8,10,12,"[9522,9589,9691,9781]"
90,1100,8219,"",335,2004,"[48,112,2]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","","",4,6,8,10,"[9488,9528,9635,9786]"
91,1148,8344,"",384,2052,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","","",12,13,14,15,"[9495,9535,9555,9588]"
92,1220,8211,"",443,2121,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","","",16,16,16,16,"[9571,9619,9709,9775]"
93,1106,8309,"",341,2010,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","","",12,13,14,15,"[9423,9509,9511,9573]"
94,1168,8278,"",400,2072,"[107,36,64,8,28]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","","",5,7,9,11,"[9415,9517,9537,9683]"
95,1209,8269,"",433,2111,"[46,100,26]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","","",15,16,16,16,"[9441,9499,9635,9658]"
96,1131,8250,"",369,2035,"[82,107,88,28]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","","",7,9,11,12,"[9465,9466,9468,9735]"
97,1182,8297,"",410,2085,"[52,35,42,4]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","","",7,9,11,12,"[9547,9564,9592,9676]"
98,1137,8213,"",375,2041,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","","",10,12,13,14,"[9455,9472,9840,9843]"
99,1179,8363,"",407,2082,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","","",16,16,16,16,"[9416,9451,9646,9763]"
100,1234,8217,"",455,2135,"[31,95,104,12]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","","",14,15,16,16,"[9473,9542,9699,9745]"
101,1109,8232,"",344,2013,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","","",12,13,14,15,"[9505,9742,9814,11232]"
102,1142,8257,"",380,2046,"[70,81,44,22]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","","",14,15,16,16,"[9492,9509,9511,9669]"
103,1184,8301,"",412,2087,"[30,20,0]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","","",6,8,10,12,"[9440,9454,9597,9736]"
104,1092,8361,"",326,1996,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","","",13,14,15,16,"[9521,9598,9604,9743]"
105,1122,8303,"",355,2026,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","","",16,16,16,16,"[9510,9578,9707,9831]"
106,1271,8321,"",471,2159,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","","",10,12,13,14,"[9583,9744,9813,11519]"
107,1113,8352,"",348,2017,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","","",6,8,10,12,"[9516,9597,9666,11675]"
108,1094,8228,"",328,1998,"[65,89,10]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","","",7,9,11,12,"[9464,9582,9598,9739]"
109,1103,8345,"",338,2007,"[72,52,66,4]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","","",5,7,9,11,"[9459,9572,9729,9821]"
110,1119,8221,"",352,2023,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","","",12,13,14,15,"[9670,9715,9775,9779]"
111,1270,8245,"",362,2158,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","","",9,11,12,13,"[9531,9580,9594,9794]"
112,1259,8210,"",438,2149,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","","",5,7,9,11,"[9661,9699,9834,11371]"
113,1198,8261,"",424,2100,"[53,89,8,28]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","","",5,7,9,11,"[9528,9533,9614,9620]"
114,1226,8244,"",447,2127,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","","",9,11,12,13,"[9421,9477,9544,9636]"
115,1248,8324,"",472,2160,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[9421,9473,9477,9544,9546,9614,9625,9644,9730,9740,11373]"
116,1249,8325,"",473,2161,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[9448,9550,11373]"
117,1251,8326,"",474,2162,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[9541,9715,11373]"
118,1250,8327,"",475,2163,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[9588,9669,9803,11373,11519]"
119,1253,8329,"",477,2164,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[9461,9482,9514,9531,9540,9624,9636,9642,9695,9735]"
120,1170,10709,"",401,2074,[],5,8,12,16,16,0,0,0,0,0,"","",1,7,9,11,12,[9609]
121,1128,12704,"",366,2032,[],14,16,16,16,16,0,0,0,0,0,"","",1,15,16,16,16,"[9818,9825]"
122,1273,8370,"",483,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[9452,9507,9516,9530,9557,9597,9639,9666,9680,9700,9781]"
123,1274,8369,"",484,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[9458,9481,9490,9557,9589,9619,9775,9788,9827]"
124,1275,8371,"",485,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[9485,9557,9588,9669,9714,9803,11519]"
125,1276,8367,"",486,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[9432,9460,9489,9493,9506,9522,9534,9557,9607,9618,9630,9649,9688,9790]"
126,1277,8368,"",487,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[9452,9458,9490,9557,9568,9589,9596,9601,9619,9631,9775,9788]"
