"rownum","Id","DisplayedName","Description","ActionType","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","AlternateSkillTargetingBehavioursKey","bool","AIFile","[rid]","bool","bool","bool","TransfigureBase"
10,"cleave","Cleave","The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.",5,"Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43]","[9,10,11,15,16]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg","","Cleave","",22,1,"[3976,4197,4167,5369,17187,17193,17195,17812]","[24,70,433,5406,588,17188,17189,17811]",[],1,1,[5371],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
11,"cleave_alt_x","Cleave of Rage","The character swings both their weapons in an arc, damaging monsters in an area in front of them. Requires dual wielding both an Axe and a Sword.",5,"Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43,3,118]","[9,10,11]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg","","Cleave","",22,1,"[3976,4197,4167,5369,17187,17193,17195,17812]","[24,70,433,5406,588,17188,17189,17811]",[],1,1,[5371],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,10
12,"cleave_alt_y","[DNT] CleaveAltY","The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.",5,"Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43]","[9,10,11,15,16]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg","","Cleave","",22,1,"[3976,4197,4167,5369,17187,17193,17195,17812]","[24,70,433,5406,588,17188,17189,17811]",[],1,1,[5371],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,10
13,"table_charge","Table Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled.",6,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"TableCharge","",22,1,"[4204,4005]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,""
14,"shield_charge_old","Shield Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled.",7,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,""
15,"new_shield_charge","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies.",8,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1,""
16,"shield_charge","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies.",9,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78,27]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
17,"shield_charge_alt_x","[DNT] ShieldChargeAltX","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies.",9,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78,27]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,16
18,"shield_charge_alt_y","[DNT] ShieldChargeAltY","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies.",9,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78,27]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,16
19,"shield_charge_cooldown","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing off-hand damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies.",9,"Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78,27,89]",[26],"In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","ShieldCharge","",22,1,"[4204,4005,17958]","[70,24,17874]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
20,"enduring_cry","Enduring Cry","Performs a warcry, taunting all nearby enemies to attack the user and granting a buff to the user and nearby allies. The user and allied players also gain endurance charges.",10,"Art/2DArt/SkillIcons/WarCryEnduring.dds",[4],"[4,7,8,62,89]",[],"In battle, it's often someone's job to stand in the front line, and take most of the punishment. Few relish this task, but those who do know the secret of the Enduring Cry. This battle shout taunts all nearby enemies, compelling them to attack the offender, while simultaneously boosting his ability to absorb punishment in direct proportion to the number of nearby foes.","http://s3.amazonaws.com/pathofexile/image/skills/strength/enduring_cry.jpg","","EnduringCry","",22,1,"[9616,5506,4498,4361]","[9615,4524,4524,3335]",[],1,1,[12255],8,"","","","[39,16,10,11,17]","","",1,""
21,"enduring_cry_repeatable","","",10,"",[4],"[4,7,8,21,62]",[],"","",1,"","",22,1,[],[],[],1,1,[],8,"","","","[39,16,10,11,17]","","",1,""
22,"inspiring_cry","[DNT] Old Rallying Cry","[DNT] Unused (replaced)",11,"Art/2DArt/SkillIcons/InspiringCry.dds",[4],"[4,7,8,62,89]",[],"","",1,"RallyingCry","",22,1,"[9616,5506,4500,4342]","[9615,4524,4524,215]",[],1,1,[],8,"","","","[39,16,10,11,17]","","",1,""
23,"abyssal_cry","Abyssal Cry","Performs a warcry, Hindering nearby enemies and causing them to explode when killed. The Hinder effect is proportional to the number of surrounding enemies. Taunts all nearby enemies to attack the user. Shares a cooldown with other Warcry skills.",12,"Art/2DArt/SkillIcons/AbyssalCry.dds",[4],"[7,8,41,6,62,89]",[],"","",1,"AbyssalCry","",22,1,"[9616,4060,4343]","[9615,24,215]",[],1,1,[],8,"","","","[39,16,10,11,17,4,18,29,19,26]","","",1,""
24,"leap_slam","Leap Slam","Jump through the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way. Requires an Axe, Mace, Sceptre, Sword or Staff.",13,"Art/2DArt/SkillIcons/iconleapslam.dds","[1,2]","[0,7,19,33,78,91,14]","[9,10,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlam","",22,1,"[4203,4001,4176]","[70,24,433]",[],1,1,[],8,6,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
25,"leap_slam_alt_x","Leap Slam of Groundbreaking","Jump a short distance through the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way. Requires an Axe, Mace, Sceptre, Sword or Staff.",13,"Art/2DArt/SkillIcons/iconleapslam.dds","[1,2]","[0,7,19,33,78,91,14]","[9,10,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlam","",22,1,"[4203,4001,4176]","[70,24,433]",[],1,1,[],8,6,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,24
26,"leap_slam_alt_y","[DNT] LeapSlamAltY","Jump through the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way. Requires an Axe, Mace, Sceptre, Sword or Staff.",13,"Art/2DArt/SkillIcons/iconleapslam.dds","[1,2]","[0,7,19,33,78,91,14]","[9,10,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlam","",22,1,"[4203,4001,4176]","[70,24,433]",[],1,1,[],8,6,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,24
27,"leap_slam_cooldown","Leap Slam","Jump into the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way. Requires an Axe, Mace, Sceptre, Sword or Staff.",13,"Art/2DArt/SkillIcons/iconleapslam.dds","[1,2]","[0,7,19,33,78,91,14,89]","[9,10,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlam","",22,1,"[4203,4001,4176]","[70,24,433]",[],1,1,[],8,6,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
28,"leap_slam_behind","Leap Slam","",13,"Art/2DArt/SkillIcons/iconleapslam.dds",[9],"[0,7,19,33,78,91,14]","[9,10,11,12,32,14,15,16,17,57]","","",1,"","",22,1,[],[],[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
29,"double_strike","Double Strike","Performs two fast strikes with a melee weapon.",14,"Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[0,20,23,19,27]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","Originally perfected by the renowned Duelist Fammal during his reign in the arenas of Oriath, the deadly Double Strike brings fame and renown to those who master it. A Double Strike performs two regular melee attacks in the blink of an eye, dealing twice as much damage in a single span of time. Foes caught unawares will find themselves cut to ribbons or stunned into submission beneath a flurry of blows.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/double_strike.jpg","","DoubleStrike","",22,1,"[3977,4198,4234,7940]","[24,70,553,7941]",[],1,1,[17981],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
30,"double_strike_alt_x","Double Strike of Impaling","Performs two fast strikes with a melee weapon.",14,"Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[0,20,23,19,27]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","Originally perfected by the renowned Duelist Fammal during his reign in the arenas of Oriath, the deadly Double Strike brings fame and renown to those who master it. A Double Strike performs two regular melee attacks in the blink of an eye, dealing twice as much damage in a single span of time. Foes caught unawares will find themselves cut to ribbons or stunned into submission beneath a flurry of blows.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/double_strike.jpg","","DoubleStrike","",22,1,"[3977,4198,4234,7940]","[24,70,553,7941]",[],1,1,[17981],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,29
31,"double_strike_alt_y","Double Strike of Momentum","Performs two fast strikes with a melee weapon, gaining stages which cause this skill to attack faster. All stages are lost when you move.",14,"Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[0,20,23,19]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","Originally perfected by the renowned Duelist Fammal during his reign in the arenas of Oriath, the deadly Double Strike brings fame and renown to those who master it. A Double Strike performs two regular melee attacks in the blink of an eye, dealing twice as much damage in a single span of time. Foes caught unawares will find themselves cut to ribbons or stunned into submission beneath a flurry of blows.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/double_strike.jpg","","DoubleStrike","",22,1,"[3977,4198,4234,7940]","[24,70,553,7941]",[],1,1,[17981],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,29
32,"vaal_double_strike","Vaal Double Strike","Performs two fast strikes with a melee weapon, each of which summons a double of you for a duration to continuously attack monsters in this fashion.",15,"Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[0,20,19,8,37,27,121]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"VaalDoubleStrikeTwo","",22,1,"[3977,4198,4234,7940]","[24,70,553,7941]",[],1,1,[17981],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
33,"vaal_double_strike_old","Vaal Double Strike","Performs two fast strikes with a melee weapon, and summons your double for a duration to continuously attack monsters in this fashion.",16,"Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[0,20,19,8,37,27,121]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"","",22,1,"[3977,4198,4234,7940]","[24,70,553,7941]",[],1,1,[17981],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
34,"elemental_hit","Elemental Hit","Each attack with a melee weapon will choose an element at random, and will only be able to deal damage of that element. If the attack hits an enemy, it will deal damage in an area around them, with the radius being larger if that enemy is suffering from an ailment of the chosen element. It will avoid choosing the same element twice in a row.",17,"Art/2DArt/SkillIcons/iconelementalhit.dds","[1,2]","[0,20,23,19,28,29,30,7,101]","[9,10,15,11,16,12,32,17,14,36,57,7,56,6]","Cold steel tends to solve most problems, but sometimes it's not quite enough. With Elemental Hit, a player infuses their weapon with the heat of a furnace, the electricity of a Summer tempest, or the icy chill of the Winter night. The specific element is randomly chosen, but the result is the same: tons of extra damage dealt, often killing the target with a single blow.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/elemental_hit.jpg","","ElementalHit","",22,1,"[4271,4206,4022,17956]","[1871,70,24,17872]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
35,"elemental_hit_alt_x","Elemental Hit of the Spectrum","Fires a projectile with a wand or bow that deals fire, cold and lightning damage. If the projectile hits an enemy, it will deal damage in an area around them.",17,"Art/2DArt/SkillIcons/iconelementalhit.dds","[1,2]","[0,2,56,14,13,15,28,29,30,40,57,7,31]","[13,8]","Cold steel tends to solve most problems, but sometimes it's not quite enough. With Elemental Hit, a player infuses their weapon with the heat of a furnace, the electricity of a Summer tempest, or the icy chill of the Winter night. The specific element is randomly chosen, but the result is the same: tons of extra damage dealt, often killing the target with a single blow.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/elemental_hit.jpg","","ElementalHit","",22,1,"[4271,4206,4022,17956]","[1871,70,24,17872]",[],1,1,[],8,3,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,34
36,"elemental_hit_alt_y","[DNT] ElementalHitAltY","Each attack with a melee weapon will choose an element at random, and will only be able to deal damage of that element. If the attack hits an enemy, it will deal damage in an area around them, with the radius being larger if that enemy is suffering from an ailment of the chosen element. It will avoid choosing the same element twice in a row.",17,"Art/2DArt/SkillIcons/iconelementalhit.dds","[1,2]","[0,20,23,19,28,29,30,7,101]","[9,10,15,11,16,12,32,17,14,36,57,7,56,6]","Cold steel tends to solve most problems, but sometimes it's not quite enough. With Elemental Hit, a player infuses their weapon with the heat of a furnace, the electricity of a Summer tempest, or the icy chill of the Winter night. The specific element is randomly chosen, but the result is the same: tons of extra damage dealt, often killing the target with a single blow.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/elemental_hit.jpg","","ElementalHit","",22,1,"[4271,4206,4022,17956]","[1871,70,24,17872]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,34
