"rownum","string","[rid]","f32","i32","i32","i32","rid","string","[i32]","i32","i32","rid","[rid]","string","i32","i32","rid"
10,"tsi",[],-6,1000,750,5000,"","","[3014767,7536756,105,0,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3276895,6881375,7602286,7274610,7602222,6881395,0,89,0,0,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225971,7209065,7471220,3014767,7536756,105,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,5439583,7209057,7536740,7274612,7143538,7602222,6881395,0,7077991,6422639,7077985,3014771,7077987,6357093,7536754,7209057,7536740,7274612,7143538,4390958,7077985,5177452,4391022,6881388,7209061,2621556,4390944,6619244,7471201,6815828,5439589]",0,0,"",[],"开椀渀琀爀漀⸀琀猀椀",0,0,""
11,"ows/Act2/2_town/master_2_intro.tsi",[],-3,1000,750,5000,"","","[7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,5439583,7209057,7536740,7274612,7143538,7602222,6881395,0,7077991,6422639,7077985,3014771,7077987,6357093,7536754,7209057,7536740,7274612,7143538,4390958,7077985,5177452,4391022,6881388,7209061,2621556,4390944,6619244,7471201,6815828,5439589,7209057,2097252,3866665,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225972,7209065,7471220,3014767,7536756,105,6094848,0,0,0,6160384,0,0,0,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3473503,6881375,7602286,7274610,7602222,6881395]",0,0,"",[],"琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
12,"眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],3,1000,750,5000,"","","[5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6357075,6553710,7602291,7471215,3014765,7536756,105,6750208,7274604,6357090,7536748,6488110,6619244,7471201,6357107,6553710,7602291,7471215,3014765,6357059,7077996,7209039,7077955,6619241,7602286,2097192,7077955,6357093,5505138,6619240,6357075,6553710,2687008,59,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3407967,6881375,7602286,7274610,7602222,6881395,0,93,0,0,0,94,0,0,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225973,7209065,7471220,3014767,7536756,105,6291456]",0,0,"",[166],"ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
13,"猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],0,1000,750,5000,"","","[1409298176,1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1627411200,1677749760,1946186496,1912631040,771779840,1929409536,26880,1728053248,1862298624,1627415040,1929407488,1660956160,1694526464,1912627456,1627419392,1677749760,1946186496,1912631040,771779840,1627407104,1811966976,1845513984,1811956480,1694525696,1946185216,536881152,1811956480,1627415808,1409315328,1694525440,1627411200,1677749760,687874048,15104,1291845632,1946182912,1677746432,1946181888,788553984,1694520320,1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,872439552,1761632000,1946185216,1862300160,1946168832,1761637120,0,23808,0,0,0,24064,0,0,0,1694518528,1627419648,1627415552,1627419648,1409298176,1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1593849088,1845520640,1912632320,771780352,1929409536,26880,1610612736]",0,0,"",[],"ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
14,"s/Act2/2_town/master_2_intro.tsi",[],0,1000,750,5000,4566,"globals.clearsandstorm.CallOnClient( ClearTheSand );","[5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6357075,6553710,7602291,7471215,3014765,7536756,105,6750208,7274604,6357090,7536748,6488110,6619244,7471201,6357107,6553710,7602291,7471215,3014765,6357059,7077996,7209039,7077955,6619241,7602286,2097192,7077955,6357093,5505138,6619240,6357075,6553710,2687008,59,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3407967,6881375,7602286,7274610,7602222,6881395,0,93,0,0,0,94,0,0,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225973,7209065,7471220,3014767,7536756,105,6291456]",0,0,"",[],"ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
15,"⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-3,1000,750,5000,"","","[6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,5439583,7209057,7536740,7274612,7143538,7602222,6881395,0,7077991,6422639,7077985,3014771,7077987,6357093,7536754,7209057,7536740,7274612,7143538,4390958,7077985,5177452,4391022,6881388,7209061,2621556,4390944,6619244,7471201,6815828,5439589,7209057,2097252,3866665,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225972,7209065,7471220,3014767,7536756,105,6094848,0,0,0,6160384,0,0,0,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3473503,6881375,7602286,7274610,7602222,6881395,0,96]",0,0,"","[170,171]","ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
16,"Act2/2_town/master_2_intro.tsi",[],-6,1000,750,5000,"","","[1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1627411200,1677749760,1946186496,1912631040,771779840,1929409536,26880,1728053248,1862298624,1627415040,1929407488,1660956160,1694526464,1912627456,1627419392,1677749760,1946186496,1912631040,771779840,1627407104,1811966976,1845513984,1811956480,1694525696,1946185216,536881152,1811956480,1627415808,1409315328,1694525440,1627411200,1677749760,687874048,15104,1291845632,1946182912,1677746432,1946181888,788553984,1694520320,1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,872439552,1761632000,1946185216,1862300160,1946168832,1761637120,0,23808,0,0,0,24064,0,0,0,1694518528,1627419648,1627415552,1627419648,1409298176,1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1593849088,1845520640,1912632320,771780352,1929409536,26880,1610612736,0]",0,0,"",[173],"ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
17,"ct2/2_town/master_2_intro.tsi",[],-9,1000,750,5000,"","","[7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6357075,6553710,7602291,7471215,3014765,7536756,105,6750208,7274604,6357090,7536748,6488110,6619244,7471201,6357107,6553710,7602291,7471215,3014765,6357059,7077996,7209039,7077955,6619241,7602286,2097192,7077955,6357093,5505138,6619240,6357075,6553710,2687008,59,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3407967,6881375,7602286,7274610,7602222,6881395,0,93,0,0,0,94,0,0,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225973,7209065,7471220,3014767,7536756,105,6291456,0]",0,0,"",[175],"ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
18,"t2/2_town/master_2_intro.tsi",[],-9,1000,750,5000,"","","[1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,1392533248,1845518592,1929405440,1862300672,1828745728,1946168832,1761637120,0,1811965696,1644195584,1811964160,771781376,1811964672,1627415808,1929409024,1845518592,1929405440,1862300672,1828745728,1124085248,1811964160,1325427712,1124101632,1761635328,1845519616,671118336,1124081664,1694526464,1912627456,1744851968,1392534784,1845518592,536896512,989866240,0,1694518528,1627419648,1627415552,1627419648,1409298176,1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1593848832,1845520640,1912632320,771780352,1929409536,26880,1560281088,0,0,0,1577058304,0,0,0,1291845632,1946182912,1677746432,1946181888,788553984,1694520320,1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,889216768,1761632000,1946185216,1862300160,1946168832,1761637120,0,24576,0]",0,0,"","[177,178]","愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
19,"⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-9,1000,750,5000,4567,"","[3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,5439583,7209057,7536740,7274612,7143538,7602222,6881395,0,7077991,6422639,7077985,3014771,7077987,6357093,7536754,7209057,7536740,7274612,7143538,4390958,7077985,5177452,4391022,6881388,7209061,2621556,4390944,6619244,7471201,6815828,5439589,7209057,2097252,3866665,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225972,7209065,7471220,3014767,7536756,105,6094848,0,0,0,6160384,0,0,0,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3473503,6881375,7602286,7274610,7602222,6881395,0]",0,0,"",[180],"琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
20,"㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-3,1000,750,5000,"","","[1694520320,1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,1392533248,1845518592,1929405440,1862300672,1828745728,1946168832,1761637120,0,1811965696,1644195584,1811964160,771781376,1811964672,1627415808,1929409024,1845518592,1929405440,1862300672,1828745728,1124085248,1811964160,1325427712,1124101632,1761635328,1845519616,671118336,1124081664,1694526464,1912627456,1744851968,1392534784,1845518592,536896512,989866240,0,1694518528,1627419648,1627415552,1627419648,1409298176,1912628480,1627419136,1845520640,1191194368,1811964160,1862298624,1929410304,1090531072,1946182400,788541952,1593848320,1862300672,1845524224,1828728576,1929404672,1694528512,1593864704,1593848832,1845520640,1912632320,771780352,1929409536,26880,1560281088,0,0,0,1577058304,0,0,0,1291845632,1946182912,1677746432,1946181888,788553984,1694520320,1912631808,1761632512,788557312,1627408128,1811966976,1996517120,788558592,1660961024,838890496,838872832,1946181376,1996517120,788557312,1627417856,1946186496,1912628480,889216768,1761632000,1946185216,1862300160,1946168832,1761637120,0,24576]",0,0,"",[],"琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
21,"2_town/master_2_intro.tsi",[],0,1000,750,5000,"","","[7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,5439583,7209057,7536740,7274612,7143538,7602222,6881395,0,7077991,6422639,7077985,3014771,7077987,6357093,7536754,7209057,7536740,7274612,7143538,4390958,7077985,5177452,4391022,6881388,7209061,2621556,4390944,6619244,7471201,6815828,5439589,7209057,2097252,3866665,0,6619213,6357108,6357092,6357108,5505071,7471205,6357106,7209065,4653103,7077985,7274604,7536759,4259887,7602275,3080242,6225970,7274612,7209079,7143471,7536737,6619252,6226034,6225972,7209065,7471220,3014767,7536756,105,6094848,0,0,0,6160384,0,0,0,5046272,7602277,6553697,7602273,3080289,6619220,7471218,6881377,3080302,6357063,7077996,7798895,3080307,6488129,3276916,3276847,7602271,7798895,3080302,6357101,7602291,7471205,3473503,6881375,7602286,7274610,7602222,6881395,0,96,0]",0,0,"",[183],"愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
