"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool","string","string"
15,16,84,"Portrait","",0,"",0,27,"","Portrait","Art/2DArt/UIImages/InGame/Cosmetics/FramePortrait"
16,17,83,"Social Frame","",0,"",0,27,"","Social Frame","Art/2DArt/UIImages/InGame/Cosmetics/FrameSocialFrame"
17,18,34,"Pet","",0,"",0,27,"","Pet","Art/2DArt/UIImages/InGame/Cosmetics/FramePet"
18,19,34,"Pet","",0,"",0,27,"","Pet","Art/2DArt/UIImages/InGame/Cosmetics/FramePet"
19,20,33,"Portal","",0,"",0,27,"","Portal","Art/2DArt/UIImages/InGame/Cosmetics/FramePortal"
20,21,744,"Helmet Attachment",4,0,"",0,21,"","Helmet Attachment","Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmetAttachment"
21,22,61,"HUD","",0,"",0,27,"","HUD","Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1"
22,23,761,"Cursor","",0,"",0,27,"","Cursor","Art/2DArt/UIImages/InGame/Cosmetics/FrameCursor"
23,24,745,"Belt Skin",10,0,"",0,16,"","Belt Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameBelt"
24,25,756,"Amulet Skin",5,0,"",0,17,"","Amulet Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameAmulet"
25,26,757,"Flask Skin",11,0,"",0,27,1,"Flask Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask"
26,27,757,"Flask Skin",11,1,"",0,27,1,"Flask Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask"
27,28,757,"Flask Skin",11,100000,"",0,27,1,"Flask Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask"
28,29,757,"Flask Skin",11,100000,"",0,27,1,"Flask Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask"
29,30,757,"Flask Skin",11,100000,"",0,27,1,"Flask Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask"
30,31,755,"Ring Skin",6,0,"",0,14,"","Ring Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameRing"
31,32,755,"Ring Skin",7,0,"",0,15,"","Ring Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameRing"
32,33,746,"Hip Attachment",10,0,"",0,22,"","Hip Attachment","Art/2DArt/UIImages/InGame/Cosmetics/FrameHipAttachment"
33,34,754,"Alternate Charge Skin","",0,"",0,27,"","Alternate Charge Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameChargeSkin"
34,35,753,"Extra Effect","",0,"",0,27,"","Extra Effect","Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2"
35,36,748,"Weapon Skin",14,0,"",0,2,1,"Weapon 2 Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
36,37,749,"Weapon Effect",14,0,"",0,2,1,"Weapon 2 Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
37,38,751,"Weapon Added Effect",14,0,"",0,27,"","Weapon 2 Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
38,39,748,"Weapon Skin",15,0,"",0,3,1,"Offhand Weapon 2 Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
39,40,749,"Weapon Effect",15,0,"",0,3,1,"Offhand Weapon 2 Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
40,41,751,"Weapon Added Effect",15,0,"",0,27,"","Offhand Weapon 2 Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
41,42,748,"Weapon Skin",79,0,"",0,4,1,"Weapon 3 Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
42,43,749,"Weapon Effect",79,0,"",0,4,1,"Weapon 3 Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
43,44,751,"Weapon Added Effect",79,0,"",0,27,"","Weapon 3 Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
44,45,748,"Weapon Skin",80,0,"",0,5,1,"Offhand Weapon 3 Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
45,46,749,"Weapon Effect",80,0,"",0,5,1,"Offhand Weapon 3 Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
46,47,751,"Weapon Added Effect",80,0,"",0,27,"","Offhand Weapon 3 Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
47,48,762,"Charm Effect",11,2,"",0,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
48,49,762,"Charm Effect",11,3,"",0,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
49,50,762,"Charm Effect",11,4,"",0,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
50,51,762,"Charm Effect",11,2,"",1,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
51,52,762,"Charm Effect",11,3,"",1,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
52,53,762,"Charm Effect",11,4,"",1,27,1,"Charm Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm"
53,54,62,"Passive Jewel Skin",23,0,1,0,27,"","Passive Jewel Skin","Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1"
54,55,10,"Skill Gem Effect","",0,1,0,27,"","Skill Gem Effect","Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1"
55,56,763,"]Character Skin","",0,"",0,26,"","Character Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharacterSkin"
