"rownum","Id","Act","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool"
39,"a4q6",4,"An Indomitable Spirit","Un Esprit indomptable","Eine unbezwingbare Seele","不屈の魂","불굴의 혼백","Um Espírito Indomável","Неукротимый дух","Un espíritu indomable","วิญญาณทรหด","不屈意志","Art/2DArt/QuestIcons/SpiritOfDeshret.dds",6,1,1,[],50,"",""
40,"kirac_mission",0,"","","","","","","","","","","",0,"",3,[],50,"",""
41,"niko_mission",0,"","","","","","","","","","","",0,"",3,[],50,"",""
42,"alva_mission",0,"","","","","","","","","","","",0,"",3,[],50,"",""
43,"einhar_mission",0,"","","","","","","","","","","",0,"",3,[],50,"",""
44,"jun_mission_fort",0,"","","","","","","","","","","",0,"",3,[],50,"",""
45,"jun_mission_cart",0,"","","","","","","","","","","",0,"",3,[],50,"",""
46,"jun_mission_gank",0,"","","","","","","","","","","",0,"",3,[],50,"",""
47,"jun_mission_lab",0,"","","","","","","","","","","",0,"",3,[],50,"",""
48,"jun_mission_safehouse",0,"","","","","","","","","","","",0,"",3,[],50,"",""
49,"jun_mission_catarina",0,"","","","","","","","","","","",0,"",3,[],50,"",""
50,"bandit_respec",0,"","","","","","","","","","","",0,"",0,[],50,"",""
51,"labyrinth_a1",1,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
52,"labyrinth_a2",2,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
53,"labyrinth_a3",3,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
54,"labyrinth_a4",4,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
55,"labyrinth_a5",5,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
56,"labyrinth_a6",6,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
57,"labyrinth_a7",7,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
58,"labyrinth_a8",8,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
59,"labyrinth_a9",9,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
60,"labyrinth_a10",10,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
61,"labyrinth_a11",12,"The Lord's Labyrinth","Le Labyrinthe du Seigneur","Das Labyrinth des Herrschers","皇帝のラビリンス","군주의 미궁","O Labirinto do Lorde","Лабиринт Правителя","El Laberinto del Señor","เขาวงกตนายเหนือหัว","帝王試煉迷宮","Art/2DArt/QuestIcons/LabyrinthQuest.dds",-1,"",2,[],50,"",""
62,"a5q1a",4,"Return to Oriath","Retour à Oriath","Rückkehr nach Oriath","オリアスへの帰還","오리아스로의 귀환","Retorne a Oriath","Возвращение на Ориат","Regreso a Oriath","กลับสู่โอริอาท","重返奧瑞亞","Art/2DArt/QuestIcons/ReturnToOriath.dds",-1,"",0,[],50,"",""
63,"a5q1b",5,"Return to Oriath","Retour à Oriath","Rückkehr nach Oriath","オリアスへの帰還","오리아스로의 귀환","Retorne a Oriath","Возвращение на Ориат","Regreso a Oriath","กลับสู่โอริอาท","重返奧瑞亞","Art/2DArt/QuestIcons/ReturnToOriath.dds",1,"",0,[],50,"",""
64,"a5q2",5,"The Key to Freedom","La Clé de la liberté","Der Schlüssel zur Freiheit","自由への鍵","자유의 열쇠","Chave da Liberdade","Ключ к свободе","La llave a la libertad","กุญแจสู่อิสรภาพ","自由之鑰","Art/2DArt/QuestIcons/KeyToFreedom.dds",2,"",0,[],50,"",""
65,"a5q3",5,"In Service to Science","Au service de la science","Im Dienste der Wissenschaft","科学の発展のために","과학에의 맹신","A Serviço da Ciência","В служении науке","Al servicio de la ciencia","ช่วยเหลือวิทยาศาสตร์","服務至上","Art/2DArt/QuestIcons/ServiceToScience.dds",6,1,1,[],50,"",""
66,"a5q4",5,"Death to Purity","Mort à la Pureté","Tod der Reinheit","浄化に死を","정화를 위한 죽음","Morte à Pureza","Смерть Чистоте","Muerte a la Pureza","พิสุทธิ์จงพินาศ","死得其所","Art/2DArt/QuestIcons/DeathToPurity.dds",4,"",0,[],50,"",""
67,"a5q5",5,"The King's Feast","Le Festin du Roi","Das Festmahl des Königs","王の饗宴","왕의 연회","Banquete do Rei","Пир вождя","El banquete del rey","พิธีเลี้ยงของราชา","國王的盛宴","Art/2DArt/QuestIcons/KingsFeast.dds",5,"",0,[],50,"",""
68,"a5q6",5,"The Ravenous God","Le Dieu vorace","Der gefräßige Gott","貪欲な神","굶주린 신","O Rei Voraz","Ненасытный бог","El Dios voraz","เทพเจ้าผู้กระหายเนื้อ","貪婪之神","Art/2DArt/QuestIcons/RavenousGod.dds",3,"",0,[],50,"",""
69,"a5q7",5,"Kitava's Torments","Les Tourments de Kitava","Kitavas Qualen","キタヴァの苦悩","키타바의 고난","Tormentos de Kitava","Мучения Китавы","Los tormentos de Kitava","วัตถุทารุณของคิทาวา","奇塔弗的折磨","Art/2DArt/QuestIcons/KitavaTorments.dds",7,1,1,[],50,"",""
70,"a6q1",6,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El Rey del mar","ราชันน้ำเค็ม","海洋之王","Art/2DArt/QuestIcons/TheBrineKing.dds",1,"",0,[],50,"",""
71,"a6q2",6,"Essence of Umbra","L'Essence d'Umbra","Essenz von Umbra","アンブラのエッセンス","움브라의 정수","Essência de Umbra","Сущность тьмы","Esencia de umbra","แก่นแท้แห่งอัมบรา","烏姆布拉的精髓","Art/2DArt/QuestIcons/EssenceOfUmbra.dds",2,"",0,[],50,"",""
72,"a6q3",6,"The Father of War","Le Père de la guerre","Der Vater des Kriegs","戦争の父","전쟁의 아버지","O Pai da Guerra","Отец войны","El padre de la guerra","พระบิดาแห่งการศึก","戰爭之父","Art/2DArt/QuestIcons/FatherOfWar.dds",3,"",0,[],50,"",""
73,"a6q4",6,"Fallen from Grace","La Déchéance","In Ungnade gefallen","恩寵から見放されて","사라진 은총","Caído em Desgraça","Впавшие в немилость","Caído en desgracia","สูญสิ้นและสูญศักดิ์","貴族殞落","Art/2DArt/QuestIcons/FallenFromGrace.dds",4,1,1,[],50,"",""
74,"a6q5",6,"Bestel's Epic","Le Poème épique de Bestel","Bestels Heldenepos","ベストルの叙事詩","베스텔의 서사시","Epopeia de Bestel","Эпопея Бестеля","La epopeya de Bestel","มหากาพย์ของเบสเทล","畢斯特之詩","Art/2DArt/QuestIcons/BestelsEpic.dds",5,1,1,[],50,"",""
75,"a6q6",6,"The Puppet Mistress","La Maîtresse marionnettiste","Die Puppenspielerin","傀儡の女主人","꼭두각시 여사","Senhora das Marionetes","Госпожа марионеток","La Titiritera","นายหญิงผู้เชิดหุ่น","傀儡女王","Art/2DArt/QuestIcons/PuppetMistress.dds",6,1,1,[],50,"",""
76,"a6q7",6,"The Cloven One","Le Fourchu","Der Gespaltene","裂けし者","발굽달린 자","O Ser Gretado","Раздвоенный","El Hendido","เทพผู้มีกีบ","堅蹄亡羊","Art/2DArt/QuestIcons/ClovenGod.dds",7,1,1,[],50,"",""
77,"a7q1",7,"The Master of a Million Faces","Le Maître au million de visages","Der Vielgesichtige","無数の顔の支配者","천면의 주인","O Mestre das Milhões de Faces","Хозяин миллиона лиц","El maestro de un millón de rostros","จ้าวล้านหน้า","裝容大師","Art/2DArt/QuestIcons/Ralakesh.dds",5,"",0,[],50,"",""
78,"a7q2",7,"Essence of the Artist","L'Essence de l'Artiste","Essenz des Künstlers","芸術家のエッセンス","예술가의 정수","Essência do Artista","Сущность Творца","Esencia del artista","แก่นแท้แห่งจิตรกร","藝術家的精髓","Art/2DArt/QuestIcons/Maligaro.dds",3,"",0,[],50,"",""
79,"a7q3",7,"Web of Secrets","Tissu de secrets","Netz aus Geheimnissen","秘密の蜘蛛の巣","비밀의 거미줄","Rede de Segredos","Паутина тайн","Telaraña de secretos","ใยแฝงความลับ","秘密網羅","Art/2DArt/QuestIcons/BlackDeath.dds",4,"",0,[],50,"",""
80,"a7q4",7,"The Mother of Spiders","La Mère des Araignées","Die Mutter aller Spinnen","蜘蛛の母","모든 거미의 어머니","A Mãe das Aranhas","Мать пауков","La madre de las arañas","มารดาเหล่าแมงมุม","蜘蛛之母","Art/2DArt/QuestIcons/Arakaali.dds",1,"",0,[],50,"",""
81,"a7q5",7,"The Silver Locket","Le Médaillon argenté","Das silberne Medaillon","銀のロケット","은갑 목걸이","Medalhão Prateado","Серебряный медальон","El relicario de plata","จี้เงิน","銀盒","Art/2DArt/QuestIcons/SilverLocket.dds",6,1,1,[],50,"",""
82,"a7q6",7,"Kishara's Star","L'Étoile de Kishara","Kisharas Stern","キシャラの星","키샤라의 별","Estrela de Kishara","Звезда Кишары","La estrella de Kishara","ดวงดาวของคิชารา","奇夏拉之心","Art/2DArt/QuestIcons/KisharaStar.dds",7,1,1,[],50,"",""
83,"a7q7",7,"Lighting the Way","Des Lueurs dans le noir","Den Weg erleuchten","道を照らす","길을 밝히는 빛","Iluminando o Caminho","Освещая путь","Iluminando el camino","เปลวไฟให้ทาง","點亮路途","Art/2DArt/QuestIcons/LightingTheWay.dds",2,"",0,[],50,"",""
84,"a7q8",7,"In Memory of Greust","À la Mémoire de Greust","Im Andenken an Greust","グルーストの追悼","그루스트를 기리며","Em Memória a Greust","В память о Грусте","En memoria de Greust","อนุสรณ์แก่กรูสท์","緬懷古斯特","Art/2DArt/QuestIcons/GruestMemorial.dds",8,1,1,[],50,"",""
85,"a7q9",7,"Queen of Despair","La Reine du désespoir","Königin der Verzweiflung","絶望の女王","절망의 여왕","Rainha do Desespero","Царица отчаяния","Reina de la desesperación","ราชินีผู้สิ้นหวัง","絕望之后","Art/2DArt/QuestIcons/Gruthkul.dds",9,1,1,[],50,"",""
86,"a8q1",8,"Essence of the Hag","L'Essence de la Mégère","Essenz der Hexe","魔女のエッセンス","마귀의 정수","Essência da Bruxa","Сущность Колдуньи","Esencia de la vieja bruja","แก่นแท้แห่งแม่มด","女巫的精髓","Art/2DArt/QuestIcons/Deodre.dds",1,"",0,[],50,"",""
87,"a8q2",8,"Lunar Eclipse","Éclipse lunaire","Mondfinsternis","皆既月食","월식","Eclipse Solar","Лунное затмение","Eclipse lunar","จันทรุปราคา","月蝕","Art/2DArt/QuestIcons/Lunaris.dds",2,"",0,[],50,"",""
88,"a8q3",8,"Solar Eclipse","Éclipse solaire","Sonnenfinsternis","皆既日食","일식","Eclipse Lunar","Солнечное затмение","Eclipse solar","สุริยุปราคา","日蝕","Art/2DArt/QuestIcons/Solaris.dds",3,"",0,[],50,"",""
89,"a8q4",8,"Reflection of Terror","Le Reflet de la terreur","Reflexion des Schreckens","恐怖の影","공포의 반향","Reflexo do Terror","Отражение ужаса","Reflejo del terror","ภาพสะท้อนแสนสยอง","恐懼的血照","Art/2DArt/QuestIcons/Yugul.dds",4,1,1,[],50,"",""
90,"a8q5",8,"The Wings of Vastiri","Les Ailes des Vastiris","Die Schwingen von Vastiri","ヴァスティリの翼","바스티리의 날개","As Asas de Vastiri","Крылья Вастири","Las alas de Vastiri","ปีกแห่งวาสตีรี","瓦斯提里之翼","Art/2DArt/QuestIcons/WingsOfVastiri.dds",5,1,1,[],50,"",""
91,"a8q6",8,"Love is Dead","L'Amour est mort","Die Liebe ist tot","愛は死す","끝난 사랑","Amor está Morto","Любовь мертва","El amor está muerto","รักสิ้นลม","愛已墜落","Art/2DArt/QuestIcons/LoveIsDead.dds",6,1,1,[],50,"",""
92,"a8q7",8,"The Gemling Legion","La Légion des Sertis","Die Gemmling-Legion","ジェムリングの軍団","마석병 군단","A Legião Gemante","Легион каменитов","La legión gemita","กองพันมณีชน","古靈軍閥","Art/2DArt/QuestIcons/GemlingLegionnares.dds",7,1,1,[],50,"",""
93,"a9q1",9,"Recurring Nightmare","Cauchemar récurrent","Wiederkehrender Albtraum","繰り返す悪夢","반복되는 악몽","Pesadelo Recorrente","Повторяющийся кошмар","Pesadilla recurrente","ฝันร้ายที่หวนคืน","夢魘匪懈","Art/2DArt/QuestIcons/RecurringNightmare.dds",1,"",0,[],50,"",""
94,"a9q2",9,"The Ruler of Highgate","À la tête de Hautevoie","Herrscher über Hohenpforte","ハイゲートの統治者","하이게이트의 지도자","Soberano de Highgate","Правитель Макед","El gobernante de Atalaya","ผู้ปกครองแห่งไฮเกท","統治者之爭","Art/2DArt/QuestIcons/RulerOfHighgate.dds",2,1,1,[],50,"",""
95,"a9q3",9,"The Storm Blade","La Lame de l'ouragan","Die Sturmklinge","ストームブレード","태풍의 칼","A Lâmina da Tempestade","Клинок бури","La cuchilla de tormenta","ดาบวายุ","風暴飛刃","Art/2DArt/QuestIcons/TheStormBlade.dds",3,1,1,[],50,"",""
96,"a9q4",9,"Fastis Fortuna","Fastis Fortuna","Fastis Fortuna","運命のカレンダー","미래를 암시하는 달력","Fastis Fortuna","Фастис Фортуна","Fastis fortuna","ปฏิทินชะตา","天佑勇者","Art/2DArt/QuestIcons/FastisFortuna.dds",4,1,1,[],50,"",""
97,"a9q5",9,"Queen of the Sands","La Reine des sables","Königin der Sande","砂漠の女王","모래의 여왕","Rainha das Areias","Царица песков","La reina de las arenas","ราชินีแห่งผืนทราย","沙瀑女王","Art/2DArt/QuestIcons/QueenOfTheSands.dds",5,1,1,[],50,"",""
