"rownum","NPCKey","i32","DialogueOption (English)","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2 (English)","DialogueOption2 (French)","DialogueOption2 (German)","DialogueOption2 (Japanese)","DialogueOption2 (Korean)","DialogueOption2 (Portuguese)","DialogueOption2 (Russian)","DialogueOption2 (Spanish)","DialogueOption2 (Thai)","DialogueOption2 (Traditional Chinese)","rid","rid","i32","[i32]","i32","rid"
10,1,10,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","關於屠夫．布魯特斯",[130],"[797,0]",[284],"",284,5,"",284,[14],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
11,1,11,"Prison Reward","La Prison (récompense)","Gefängnis – Belohnung","監獄報酬","감옥 보상","Recompensa da Prisão","Тюрьма (награда)","Recompensa de la Prisión","รางวัลภารกิจ เรือนจำ","監獄獎勵",[284],"[797,0]",[798],"",798,6,8,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
12,1,12,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","關於屠夫．布魯特斯",[5],[],[43],"",43,3,"",43,[15],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
13,1,13,"Prison Reward","La Prison (récompense)","Gefängnis – Belohnung","監獄報酬","감옥 보상","Recompensa da Prisão","Тюрьма (награда)","Recompensa de la Prisión","รางวัลภารกิจ เรือนจำ","監獄獎勵",[43],[797],[798],"",798,6,8,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
14,1,14,"Reopened Passage","Le Passage rouvert","Wiedereröffnete Passage","再び開いた通路","다시 열린 통로","Passagem Reaberta","Проход открыт","Pasaje reabierto","เส้นทางที่เปิดอีกครั้ง","通往內陸的道路",[233],[],[285],"","",3,"",285,[16],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
15,1,15,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[33],[9],[8],"",8,5,"",8,[17],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
16,1,16,"Merveil's Lair","L'antre de Merveil","Merveils Versteck","マーヴェイルのねぐら","머베일의 소굴","Covil de Merveil","Логово Мервейл","La guarida de Merveil","รังของเมอร์เวล","海妖的巢穴",[132],"[72,0]","[73,0]","",73,5,"",73,[18],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
17,1,17,"Merveil Reward","Merveil (récompense)","Merveil – Belohnung","マーヴェイル報酬","머베일 보상","Recompensa da Merveil","Мервейл (награда)","Recompensa de Merveil","รางวัลภารกิจ เมอร์เวล","殺死海妖的獎勵",[73],"[72,0]",[38],"",38,6,10,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
18,1,18,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[9],[],"[34,0]","",272,3,"",272,[19],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
19,1,19,"Merveil Reward","Merveil (récompense)","Merveil – Belohnung","マーヴェイル報酬","머베일 보상","Recompensa da Merveil","Мервейл (награда)","Recompensa de Merveil","รางวัลภารกิจ เมอร์เวล","殺死海妖的獎勵",[272],[72],[38],"",38,6,10,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
20,1,20,"Purchase Items","Acheter des objets","Gegenstände kaufen","アイテムを買う","아이템 구입","Comprar Itens","Купить","Comprar objetos","ซื้อไอเทม","購買物品",[],[],[],"","",24,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",1,"",50,[],50,""
21,1,21,"Sell Items","Vendre des objets","Gegenstände verkaufen","アイテムを売る","아이템 판매","Vender Itens","Продать","Vender objetos","ขายไอเทม","販賣物品",[],[],[],"","",25,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",0,"",50,[],50,""
22,0,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[],[2],[14],"",14,3,"",14,[20],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
23,0,1,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[2],[],[14],"","",3,"",14,[21],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
24,0,2,"Hillock Reward","Hillock (récompense)","Hillock – Belohnung","ヒロック報酬","힐록 보상","Recompensa do Hillock","Хиллок (награда)","Recompensa de Hillock","รางวัลภารกิจ ฮิลล็อค","殺死西拉克的獎賞",[0],[2],[12],"",12,6,0,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
25,0,3,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","關於屠夫．布魯特斯",[130],[5],[4],"",4,5,"",4,[22],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
26,0,4,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","關於屠夫．布魯特斯",[5],[6],[28],"",28,5,"",28,[23],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
27,0,5,"Brutus Reward","Brutus (récompense)","Brutus – Belohnung","ブルータス報酬","브루투스 보상","Recompensa de Brutus","Изувер (награда)","Recompensa de Brutus","รางวัลภารกิจ บรูตัส","殺死屠夫的獎賞",[5],[6],[15],"",15,6,7,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
28,0,6,"Lioneye's Watch","Le Guet d'Œil de Lion","Löwenauges Wacht","ライオンアイの見張り場","라이온아이 초소","Vigília de Lioneye","Застава Львиного глаза","Vigilancia de Lioneye","ฐานที่มั่นไลออนอาย","獅眼守望",[],[],[286],"","",3,"",286,[24],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
29,0,7,"Drowned Dead","Les noyés","Ertrunkener","溺れし死者","익사자들","Afogado","Утопленники","Los muertos ahogados","ศพจมน้ำ","淹死的人",[],[],[287],"","",3,"",287,[25],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
30,0,8,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[8],[9],[288],"","",3,"",288,[26],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
31,0,9,"Rhoas","Les rhoas","Rhoas","ロア","로아","Rhoas","Роа","Rhoas","โรอ์","關於恐喙鳥",[30],[],[29],"","",3,"",29,[27],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
32,0,10,"Cannibals","Les cannibales","Kannibalen","人食い人種","식인종","Canibais","Людоеды","Caníbales","มนุษย์กินคน","關於食人族",[126],[],[290],"","",3,"",290,[28],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
33,0,11,"Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","關於畢斯特",[31],[],[291],"","",3,"",291,[29],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
34,0,12,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[9],[],[32],"",32,3,"",32,[30],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
35,0,13,"Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","關於奈莎",[13],[],[292],"","",3,"",292,[31],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
36,0,14,"Glyph Wall","Le mur aux glyphes","Glyphenmauer","グリフの壁","상형 문자 벽","Parede com Glifos","Знаки на стене","Pared de glifos","กำแพงรูปสลัก","石雕之壁",[25],[24],[293],"",293,5,"",293,[32],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
37,0,15,"Strange Glyphs","Les glyphes étranges","Seltsame Glyphen","不思議なグリフ","이상한 상형 문자","Glifos Estranhos","Загадочные знаки","Glifos extraños","รูปสลักประหลาด","奇異的石雕",[23],[24],[294],"",294,5,"",294,[33],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
38,0,16,"Dweller of the Deep","L'Habitant des Profondeurs","Tiefenbewohner","海の住人","심연의 주인","Habitante das Profundezas","Обитатель глубин","Morador de las profundidades","ผู้อาศัยใต้บาดาล","關於深淵巨蟹",[24],[116],[113],"",113,5,"",113,[34],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
39,0,17,"Glyph Reward","Les glyphes (récompense)","Glyphe – Belohnung","グリフ報酬","상형 문자 보상","Recompensa dos Glifos","Глифы (награда)","Recompensa de los glifos","รางวัลภารกิจ รูปสลัก","開啟石雕之壁的獎勵",[24],[36],[35],"",35,6,3,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
40,0,18,"Glyph Reward 2","Les glyphes (2e récompense)","Glyphe – Belohnung 2","グリフ報酬 2","상형 문자 보상 2","Recompensa dos Glifos 2","Глифы (награда 2)","2° recompensa de los glifos","รางวัลภารกิจ รูปสลัก 2","開啟石雕之壁的獎勵2",[24],[2148],[2147],"",2147,6,4,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
41,0,19,"Dweller of the Deep","L'Habitant des Profondeurs","Tiefenbewohner","海の住人","심연의 주인","Habitante das Profundezas","Обитатель глубин","Morador de las profundidades","ผู้อาศัยใต้บาดาล","深淵巨蟹",[115],"[494,0]",[358],"",358,5,"",358,[35],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
42,0,20,"Dweller Reward","L'Habitant (récompense)","Tiefenbewohner – Belohnung","海の住人報酬","심연의 주인 보상","Recompensa do Habitante","Обитатель глубин (награда)","Recompensa del Morador","รางวัลภารกิจ ผู้อาศัย","殺死深淵巨蟹的獎勵",[358],"[494,0]",[359],"",359,6,6,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
43,0,21,"The Fetid Pool","L'Étang fétide","Der Fäulnistümpel","悪臭を放つ池","악취 나는 웅덩이","A Lagoa Fétida","Смрадная заводь","La charca fétida","หนองน้ำเน่าเหม็น","惡水池",[223],"[40,0]",[224],"",224,5,"",224,[36],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
44,0,22,"The Fetid Pool","L'Étang fétide","Der Fäulnistümpel","悪臭を放つ池","악취 나는 웅덩이","A Lagoa Fétida","Смрадная заводь","La charca fétida","หนองน้ำเน่าเหม็น","惡水池",[127],"[40,0,0]",[224],"",224,5,"",224,[37],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
45,0,23,"The Fetid Pool","L'Étang fétide","Der Fäulnistümpel","悪臭を放つ池","악취 나는 웅덩이","A Lagoa Fétida","Смрадная заводь","La charca fétida","หนองน้ำเน่าเหม็น","惡水池",[40],[227],[224],"",224,5,"",224,[36],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
46,0,24,"The Necromancer","Le Nécromancien","Der Nekromant","ネクロマンサー","네크로맨서","O Necromante","Некромант","El nigromante","หมอผี","有關死靈法師",[227],"[507,0]",[506],"",506,5,"",506,[38],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
47,0,25,"Necromancer Reward","Nécromancien (récompense)","Nekromant – Belohnung","ネクロマンサー報酬","네크로맨서 보상","Recompensa do Necromante","Некромант (награда)","Recompensa del Nigromante","รางวัลภารกิจ หมอผี","清除惡水池的獎勵",[506],"[507,0]",[508],"",508,6,5,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
48,0,26,"The Blocked Road","La Route obstruée","Den Wald erreichen","塞がれた道","봉쇄된 길","A Estrada Bloqueada","Перекрытая дорога","El camino bloqueado","ถนนที่ถูกปิดกั้น","被阻斷的道路",[230],[233],[295],"","",5,"",295,[39],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
49,0,27,"Reaching the Forest","Atteindre la forêt","Den Wald erreichen","森へのたどり着き方","숲에 도달하기","Alcançando a Floresta","Дорога до леса","Accediendo al bosque","การเดินทางสู่ป่า","往森林的道路",[508],"[10,0,0]",[229],"",229,5,"",229,[40],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
50,0,28,"Reaching the Forest","Atteindre la forêt","Den Wald erreichen","森へのたどり着き方","숲에 도달하기","Alcançando a Floresta","Дорога до леса","Accediendo al bosque","การเดินทางสู่ป่า","往森林的道路",[3],"[10,0]",[229],"",229,5,"",229,[40],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
51,0,29,"Reopened Passage","Le passage rouvert","Wiedereröffnete Passage","再び開いた通路","다시 열린 통로","Passagem Reaberta","Проход открыт","Pasaje reabierto","เส้นทางที่เปิดอีกครั้ง","通往內陸的道路",[233],[],[296],"","",3,"",296,[41],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
52,0,30,"Goatmen","Les hommes-boucs","Ziegenmenschen","ゴートマン","염소인간","Homens-Cabra","Козероги","Hombres cabra","มนุษย์แพะ","關於堅蹄羊人",[3],[],[347],"","",3,"",347,[42],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
53,0,31,"Letters of Exile","Les Lettres d'exil","Verbannungsurteile","追放の宣告","유배자의 편지","Cartas de Exílio","Приговоры изгнанников","Notas del exilio","หนังสือสั่งเนรเทศ","關於流亡者的書信",[],[],[371],"","",3,"",371,[43],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
54,0,32,"Medicine Chest","Le Coffre de médecine","Medizintruhe","薬箱","약품 상자","Baú de Remédios","Судовая аптечка","Botiquín","หีบยา","關於醫藥箱",[42],[],[378],"","",3,"",378,[44],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
55,0,33,"Purchase Items","Acheter des objets","Gegenstände kaufen","アイテムを買う","아이템 구입","Comprar Itens","Купить","Comprar objetos","ซื้อไอเทม","購買物品",[],[],[],"","",24,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",1,"",50,[],50,""
56,0,34,"Sell Items","Vendre des objets","Gegenstände verkaufen","アイテムを売る","아이템 판매","Vender Itens","Продать","Vender objetos","ขายไอเทม","販賣物品",[],[],[],"","",25,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",0,"",50,[],50,""
57,2,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[],[],[31],"",31,3,"",31,"[45,46,47,48,49,50,51]","",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
58,2,1,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[9],[],[48],"",48,3,"",48,[52],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
59,2,2,"Marceus Lioneye","Marcéus Œil de Lion","Marceus Löwenauge","マルセウス・ライオンアイ","마세우스 라이온아이","Marceus Lioneye","Марк Львиный глаз","Marceus Lioneye","มาร์เซอัส ไลออนอาย","穆希爾斯．獅眼",[418],[],[298],"","",3,"",298,[53],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
60,2,3,"Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","關於奈莎",[13],[],[300],"","",3,"",300,[54],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
61,2,4,"The Medicine Chest","Le Coffre de médecine","Die Medizintruhe","薬箱","약품 상자","O Baú de Remédios","Судовая аптечка","El botiquín","หีบยา","關於醫藥箱",[39],"[42,0]",[44],"",44,5,"",44,[55],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
62,2,5,"Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","關於塔格拉",[14],[],[301],"","",3,"",301,[56],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
63,2,6,"Drowned Dead","Les noyés","Ertrunkener","溺れし死者","익사자들","Afogado","Утопленники","Los muertos ahogados","ศพจมน้ำ","淹死的人",[],[],[302],"","",3,"",302,[57],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
64,2,7,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","關於海妖．莫薇兒",[8],[9],[303],"","",3,"",303,[58],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
65,2,8,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","關於屠夫．布魯特斯",[4],[5],[304],"","",3,"",304,[59],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
66,2,9,"Undead Rhoas","Les rhoas morts-vivants","Untote Rhoas","アンデッドロア","언데드 로아","Rhoas Mortos-Vivos","Роа-нежить","Rhoas no muertos","โรอ์อันเดด","不死恐喙鳥",[223],[228],[305],"","",3,"",305,[60],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
67,2,10,"Captain Fairgraves","Le Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長",[47],"[498,0]",[499],"",499,5,"",499,[61],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
68,2,11,"Captain Fairgraves","Le Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長",[45],[47],[68],"","",3,"",68,[62],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
69,2,12,"Fairgraves Reward","Fairgraves (récompense)","Fairgraves – Belohnung","フェアグレーヴズ報酬","페어그레이브즈 보상","Recompensa do Fairgraves","Фейргрейвс (награда)","Recompensa de Fairgraves","รางวัลภารกิจ แฟร์เกรฟส์","殺死費爾船長的獎賞",[499],"[498,0]",[65],"",65,6,9,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
70,2,13,"Prisoner's Gate","La Porte du Prisonnier","Gefangenenpforte","囚人の門","죄수의 문","Portões da Prisão","Врата заключённых","La puerta del prisionero","ทางผ่านนักโทษ","關於監獄大門",[231],[233],[482],"","",3,"",482,[66],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
71,2,14,"Inspirational Poem","Poème inspirant","Inspirierendes Gedicht","心を揺さぶる詩","찬양 시","Poema Inspirador","Пылкая поэма","Poema inspirador","บทกวีสร้างกำลังใจ","新的勵志歌",[233],[],[268],"",268,3,"",268,[63],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
72,2,15,"Reopened Passage","Le passage rouvert","Wiedereröffnete Passage","再び開いた通路","다시 열린 통로","Passagem Reaberta","Проход открыт","Pasaje reabierto","เส้นทางที่เปิดอีกครั้ง","通往內陸的道路",[268],"[500,0]",[502],"",502,5,"",502,[64],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
73,2,16,"Road Reward","La Route (récompense)","Straße – Belohnung","道報酬","길 보상","Recompensa da Estrada","Путь (награда)","Recompensa del camino","รางวัลภารกิจ ถนน","開路獎賞",[268],"[500,0]",[66],"",66,6,11,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
74,2,17,"Medicine Chest","Le Coffre de médecine","Medizintruhe","薬箱","약품 상자","Baú de Remédios","Судовая аптечка","Botiquín","หีบยา","關於醫藥箱",[42],[233],[117],"",117,3,"",117,[65],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
75,2,18,"Surviving Wraeclast","Survivre à Wraeclast","In Wraeclast überleben","レイクラストで生き残ること","레이클라스트에서 살아남기","Sobreviver em Wraeclast","Жизнь на Рэкласте","Sobreviviendo a Wraeclast","การเอาตัวรอดในเวร์แคลส์ท","在瓦爾克拉斯求生",[229],[231],[299],"","",3,"",299,[67],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
76,2,19,"Gamble for Items","Parier pour des objets","Um Gegenstände wetten","アイテムをギャンブルする","아이템 도박","Pexinxe por Itens","Выкупить","Apostar por objetos","เดิมพันไอเทม","賭博",[],[],[],"","",24,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",1,"",48,[],50,""
77,2,20,"Sell Items","Vendre des objets","Gegenstände verkaufen","アイテムを売る","아이템 판매","Venda Itens","Продать","Vender objetos","ขายไอเทม","販賣物品",[],[],[],"","",25,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",0,"",48,[],50,""
78,9,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[],[],[75],"",75,3,"",75,[75],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
79,9,1,"The Azmeri","Les Azmériens","Die Azmeri","アズメリ","아즈메리","Os Azmeri","Азмири","Los azmeri","ชาวแอสเมรี","阿茲莫里",[],[],[306],"","",3,"",306,[76],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
80,9,2,"Yeena","Yeena","Yeena","イーナ","이이나","Yeena","Йина","Yeena","ยีนา","關於伊娜",[91],[],[307],"","",3,"",307,[77],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
81,9,3,"Greust","Greust","Greust","グルースト","그루스트","Greust","Груст","Greust","กรูสท์","關於古斯特",[92],[],[308],"","",3,"",308,[78],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
82,9,4,"Silk","Fil-de-soie","Silk","シルク","실크","Silk","Шёлк","Silk","ซิลค์","關於斯克",[93],[],[309],"","",3,"",309,[79],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
83,9,5,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","關於赫蓮娜",[243],[],[310],"","",3,"",310,[80],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
