"rownum","i32","Biomes","AdjacentBiomes","WorldAreaBoss","WorldArea","NaturalSpawnWeight","NativePacks","FlavourText","MinWatchstoneTier","i32","MapPin","MapDecoration","rid","CorruptedMapPin","i32"
55,55,[2],[],"",352,[0],[],"A travelling merchant offers wares in perilous times.",0,0,0,54,1,0,4
56,56,"[3,4]",[],"",353,[0],[],"A travelling merchant offers wares in perilous times.",0,0,0,54,1,0,4
57,57,[0],"[2,5]","",354,[0],[],"A travelling merchant offers wares in perilous times.",0,0,0,55,1,0,4
58,58,[0],"[2,3]","",356,[10],[],"A travelling merchant offers wares in perilous times.",0,0,0,55,1,0,4
59,59,"[3,4]",[],"",355,[0],[],"A travelling merchant offers wares in perilous times.",0,0,0,55,1,0,4
60,60,"[4,8]",[],"",298,[0],[499],"Vice wears a mask of simplicity.",0,0,0,56,0,3,0
61,61,[5],[],221,222,[200],[379],"Aeons of wear have rotted steel to its core.",0,0,0,0,0,3,0
62,62,"[3,4]",[],223,224,[200],[521],"Humid air chokes and twists everything it touches.",0,0,0,1,0,3,0
63,63,[4],[],225,226,[200],[530],"The land returns the dead as easily as it received them.",0,0,0,2,3,3,0
64,64,[4],[0],229,230,[200],[402],"Mud and air seethes with warped life.",0,0,0,3,0,3,0
65,65,[3],[],"",380,[20],[],"A fortress of fallen wood.\n\nFully clear this area to claim it as a Hideout.",0,6,0,41,1,0,3
66,66,[0],"[2,3,5,1]","",381,[5],[],"A forgotten grotto, lost to the world.\n\nFully clear this area to claim it as a Hideout.",0,6,0,41,1,0,3
67,67,[5],[],"",382,[20],[],"A fragment of a glorious past.\n\nFully clear this area to claim it as a Hideout.",0,6,0,41,1,0,3
68,68,[2],[],"",383,[20],[],"A moment in time, on the eve of the end.\n\nFully clear this area to claim it as a Hideout.",0,6,0,41,1,0,3
69,69,[8],[],336,337,[200],"[511,512,513]","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.",0,0,0,"",0,3,0
70,70,[7],[],338,339,[100],[441],"These rivers now carry only tides of sand.",0,0,0,"",0,3,0
71,71,"[1,8]",[],340,341,[200],"[486,489]","The cult of Kamasa exploited Utzaal long before its fall.",0,0,0,"",0,3,0
72,72,"[2,8]",[],342,343,[200],[],"Remnants of Vaal artifice still remain.",0,0,0,"",0,3,0
