"rownum","Id","Description","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid"
50,"StrDexConsoleDemoBrineKing","Gladiator (51)",4,51,"[645,468,673,1132,1153,484,755,597,1141,646,73,480,465,485,711,1129,433,343,613,857,55,1284,729,858,342,341,631,647,643,56,728,1300,756,488,500,769,1130,467,629,695,664,1144,1293,1302,804,1140,735,1147,478,856,381,1146,54,1287,1281,1243,1131,1203,734,1145,1201,1202,773]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
51,"DexConsoleDemo","Marksman (40)",3,40,"[310,506,987,268,273,274,340,841,503,729,288,505,513,269,867,843,728,990,500,1694,502,695,770,507,1697,272,271,842,871,321,511,266,307,508,296,1298,501,320,1297,376,710,868,734,322,598,1299,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
52,"DexConsoleDemoAct8","Toxic Archer (61)",3,61,"[310,673,506,987,268,484,615,273,274,340,497,1301,841,875,752,503,691,270,746,613,729,751,509,288,515,505,513,517,269,1038,693,867,843,728,990,1300,756,500,694,769,1694,264,502,695,770,507,1293,675,1697,272,873,1302,271,842,261,266,307,690,508,296,1298,501,320,1297,376,692,710,267,1243,753,868,734,498,1039,874,1299,302,350]",8,124,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
53,"StrDexIntMapDemo","High-level Scion (80)",2,80,[],8,166,[12],"","Explore the endgame with this high-level Scion",""
54,"DexIntMapDemo","High-level Shadow (83)",5,83,[],8,158,[18],"","Explore the endgame with this high-level Shadow",16
55,"StrIntSkillDemo","Totem Caller (50)",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
56,"PCStrInt2ConsoleDemo","Stormcaller (41)",6,41,[],8,68,[17],"","Strike down your enemies with a wide range of lightning skills.",""
57,"PCStrInt2ConsoleDemoKitava","Stormcaller (45)",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
58,"PCDexInt2ConsoleDemo","Abberath Assassin (85)",5,85,[],8,158,[18],"","Explore the endgame with this high-level Shadow",15
59,"PCDexInt2ConsoleDemoKitava","Chaos Weaver (45)",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
60,"PCStrConsoleDemo","Sunderer (40)",0,40,[],8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
61,"PCStrConsoleDemoAct8","Earth Churner (61)",0,61,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
62,"PCIntConsoleDemo","Winter Witch (40)",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
63,"PCIntConsoleDemoBrineKing","Winter Witch (50)",1,50,"[542,192,1028,389,585,1002,535,556,596,219,181,994,182,545,216,390,541,218,840,578,730,1092,996,569,550,595,434,1708,772,732,180,777,337,1050,998,481,540,410,771,653,183,570,527,1027,176,1709,1710,572,191,175,999,1000,1089,997,991,397,780,992,1049,1091,1026,652,1090]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
64,"PCIntConsoleDemoAct8","Cryomancer (60)",1,60,[],8,134,[13],"","Lock your enemies in place with a range of cold skills.",""
65,"PCInt2ConsoleDemo","Necromancer (40)",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
66,"PCStrDexConsoleDemo","Combatant (40)",4,40,"[645,673,1153,484,597,1141,646,480,485,711,1129,343,613,857,55,1284,729,858,342,341,647,643,56,728,1300,756,488,500,769,1130,467,695,1144,1293,1302,804,1140,1147,478,856,381,1146,54,1287,1281,1243,734,1145]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
67,"PCStrDexConsoleDemoBrineKing","Gladiator (50)",4,50,"[645,468,673,1132,1153,484,755,597,1141,646,73,480,465,485,711,1129,433,343,613,857,55,1284,729,858,342,341,631,647,643,56,728,1300,756,488,500,769,1130,467,629,695,664,1144,1293,1302,804,1140,735,1147,478,856,381,1146,54,1287,1281,1243,1131,1203,734,1145,1201,1202,773]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
68,"PCDexConsoleDemo","Marksman (40)",3,40,"[310,506,987,268,273,274,340,841,503,729,288,505,513,269,867,843,728,990,500,1694,502,695,770,507,1697,272,271,842,871,321,511,266,307,508,296,1298,501,320,1297,376,710,868,734,322,598,1299,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
69,"PCDexConsoleDemoAct8","Sharpshooter (60)",3,60,"[310,673,506,987,268,484,615,273,274,340,497,1301,841,875,752,503,691,270,746,613,729,751,509,288,515,505,513,517,269,1038,693,867,843,728,990,1300,756,500,694,769,1694,264,502,695,770,507,1293,675,1697,272,873,1302,271,842,261,266,307,690,508,296,1298,501,320,1297,376,692,710,267,1243,753,868,734,498,1039,874,1299,302,350]",8,134,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
70,"PCStrIntSkillDemo","Totem Caller (50)",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
71,"DexIntDemoArakaali","Cremator (54)",5,54,"[839,389,558,531,545,390,519,541,510,733,85,448,401,525,208,1092,838,595,434,1065,1708,772,399,777,337,998,481,540,475,410,524,1799,398,653,400,527,1788,741,202,1709,754,86,1710,1803,1063,779,623,523,1061,999,1163,1165,1089,1041,1062,397,780,1800,522,1801,1091,77,1789,1090,1177,920,778,78,80]",8,116,[16],"","Burn your enemies to the bone with a mix of fire and lightning spells.",""
72,"AscendancyTest","Hello",1,80,"[1478,1473,1472,410,1479,1471,1477,991,397,992]",8,61,[12],"","",8
73,"PCStrAtlasWarDemo","Juggernaut (85)",0,85,[],8,158,[18],"","Explore the Atlas of Worlds!",0
74,"PCDexAtlasWarDemo","Deadeye (85)",3,85,"[872,673,506,987,379,484,585,215,556,1402,596,405,340,617,262,497,1301,841,344,390,640,782,752,503,374,691,270,499,372,746,421,613,55,729,751,509,288,515,505,1035,772,517,777,337,693,843,56,1403,728,990,1300,785,1404,756,1154,375,1033,694,1694,295,264,502,532,263,695,639,653,770,706,507,1293,1697,272,1302,404,842,373,369,555,511,261,266,1407,1405,690,508,420,296,1147,478,285,501,320,705,692,619,710,267,1408,1243,753,370,593,734,345,498,707,406,611,598,514,302,350,346]",8,158,[18],"","Explore the Atlas of Worlds!",4
75,"PCIntAtlasWarDemo","Necromancer (85)",1,85,[],8,158,[18],"","Explore the Atlas of Worlds!",8
76,"StrExileRoyale","Marauder",0,1,[],9,1370,[],"","",""
77,"DexExileRoyale","Ranger",3,1,[],9,1370,[],"","",""
78,"IntExileRoyale","Witch",1,1,[],9,1370,[],"","",""
79,"DexIntExileRoyale","Shadow",5,1,[],9,1370,[],"","",""
80,"StrDexExileRoyale","Duelist",4,1,[],9,1370,[],"","",""
81,"StrIntExileRoyale","Templar",6,1,[],9,1370,[],"","",""
82,"StrDexIntExileRoyale","Scion",2,1,[],9,1370,[],"","",""
83,"StrEndlessDelve","Marauder",0,1,[],10,316,[],"","",""
84,"DexEndlessDelve","Ranger",3,1,[],10,316,[],"","",""
85,"IntEndlessDelve","Witch",1,1,[],10,316,[],"","",""
86,"DexIntEndlessDelve","Shadow",5,1,[],10,316,[],"","",""
87,"StrDexEndlessDelve","Duelist",4,1,[],10,316,[],"","",""
88,"StrIntEndlessDelve","Templar",6,1,[],10,316,[],"","",""
89,"StrDexIntEndlessDelve","Scion",2,1,[],10,316,[],"","",""
90,"StrEndlessHeist","Marauder",0,1,[],11,1648,[],"","",""
91,"DexEndlessHeist","Ranger",3,1,[],11,1648,[],"","",""
92,"IntEndlessHeist","Witch",1,1,[],11,1648,[],"","",""
93,"DexIntEndlessHeist","Shadow",5,1,[],11,1648,[],"","",""
94,"StrDexEndlessHeist","Duelist",4,1,[],11,1648,[],"","",""
95,"StrIntEndlessHeist","Templar",6,1,[],11,1648,[],"","",""
96,"StrDexIntEndlessHeist","Scion",2,1,[],11,1648,[],"","",""
