"rownum","Id","Act","Name","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool","bool","[rid]","[rid]"
55,"EndgameLeagueExpedition1",10,"The Grand Quest","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",0,[],52,"","","",[],[]
56,"EndgameLeagueExpedition2",10,"The Fallen Hero","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",0,[],52,"","","",[],[]
57,"TormentedSpirits",1,"The Hunt Begins","Art/2DArt/QuestIcons/Four/TormentedSpirit.dds",0,"",1,[],52,"","","",[],[]
58,"EndgameCastaway",10,"The Captain's Hideaway","Art/2DArt/QuestIcons/Four/Castaway.dds",0,"",0,[],52,"","","",[],[]
59,"EndgameUniqueMaps",10,"Endgame Unique Quest","Art/2DArt/QuestIcons/Four/PinnacleOfFlame.dds",0,"",0,[],52,"","","",[],[]
60,"EndgameMapBoss",10,"Powerful Foe","Art/2DArt/QuestIcons/Four/MapBoss.dds",0,"",0,[],52,"","","",[],[]
61,"EndgamePrecursorTower",10,"Precursor Towers","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",0,[],52,"","","",[],[]
62,"EndgameBreachAtlasSkillBooks",10,"Breach Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
63,"EndgameRitualAtlasSkillBooks",10,"Ritual Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
64,"EndgameExpeditionAtlasSkillBooks",10,"Expedition Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
65,"EndgameDeliriumAtlasSkillBooks",10,"Delirium Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
66,"EndgameMapBossAtlasSkillBooks",10,"Map Boss Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
67,"EndgameArbiterBossAtlasSkillBooks",10,"Arbiter Boss Atlas Skill Books","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],52,"","","",[],[]
68,"EndgameTimeBossStandInHourglass",2,"The Trial of Time","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",3,[],52,"",1,"",[],[]
