"rownum","HideoutNPC","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","KalandraAchievement","i32","i32","VeiledMod","AddEnchantment","SortCategory","ModType","bool","i32","Stat1","Stat2","Stat3"
46,6,18,7671,[],[],68,"Infused Ambush",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2119,"",1,"","",""
47,6,19,9948,[],[],68,"Infused Harbinger",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,4983,"",1,"","",""
48,6,20,12595,[],[],68,"Corrupting Tempest",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10108,"",2,"","",""
49,6,21,12596,[],[],68,"Monstrous Treasure",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10109,"",2,"","",""
50,6,22,12597,[],[],68,"Alluring Vaal Side Area",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10110,"",2,"","",""
51,6,23,12598,[],[],68,"Improved Labyrinth Trial",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10111,"",2,"","",""
52,6,24,12599,[],[],68,"Breachstone Bargain",7,[86],0,"",0,0,[],"Rare Monsters drop an additional Reward Type\nArea has an additional random Modifier",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10112,"",3,"","",""
53,6,25,12600,[],[],68,"Enriched Breachstone Bargain",7,[86],0,"",0,0,[],"Rare Monsters drop 2 additional Reward Types\nArea has 2 additional random Modifiers",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10112,"",3,"","",""
54,6,26,12601,[],[],68,"Pure Breachstone Bargain",7,[86],0,"",0,0,[],"Rare Monsters drop 3 additional Reward Types\nArea has 3 additional random Modifiers",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10112,"",3,"","",""
55,6,27,10074,[3],[2],69,"Abyss",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],310,4205,"","",0,5308,"",0,"","",""
56,6,28,9379,[3],[3],71,"Essence",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],297,4205,"","",0,4357,"",0,"","",""
57,6,29,7670,[3],[4],73,"Ambush",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],305,4205,"","",0,2119,"",0,"","",""
58,6,30,11502,[3],[5],76,"Metamorph",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],661,4205,"","",0,7830,"",0,"","",""
59,6,31,11495,[3],[6],79,"Heist",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1105,4205,"","",0,7744,"",0,"","",""
60,6,32,12510,[3],[10],82,"Expedition",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1211,4205,"","",0,8947,"",0,"","",""
61,6,33,11499,[3],[12],83,"Harvest",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1106,4205,"","",0,7749,"",0,"","",""
62,6,34,7692,[3],[2],101,"Onslaught",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],304,4205,"","",0,2128,"",0,"","",""
63,6,35,9638,[3],[4],101,"Breach",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],308,4205,"","",0,4534,"",0,"","",""
64,6,36,7914,[3],[5],101,"Torment",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],309,4205,"","",0,2296,"",0,"","",""
65,6,37,7675,[3],[2],101,"Domination",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],299,4205,"","",0,2122,"",0,"","",""
66,6,38,7667,[3],[2],101,"Invasion",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],311,4205,"","",0,2117,"",0,"","",""
67,6,39,7702,[3],[2],101,"Rampage",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],312,4205,"","",0,2141,"",0,"","",""
68,6,40,8080,[3],[4],101,"Tempest",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],313,4205,"","",0,2430,"",0,"","",""
69,6,41,8796,[14],[3],101,"Talisman",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],314,4205,"","",0,3874,"",0,"","",""
70,6,42,11248,[3],[6],101,"Legion",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],303,4205,"","",0,7300,"",0,"","",""
71,6,43,9947,[3],[6],101,"Harbinger",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],315,4205,"","",0,4983,"",0,"","",""
72,6,44,7704,[3],[5],101,"Beyond",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],302,4205,"","",0,2142,"",0,"","",""
73,6,45,11322,[3],[12],101,"Delirium",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],745,4205,"","",0,7616,"",0,"","",""
74,6,46,8352,[3],[2],101,"Warbands",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],306,4205,"","",0,2676,"",0,"","",""
75,6,47,12423,[3],[12],101,"Ritual",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],1114,4205,"","",0,8949,"",0,"","",""
76,6,48,7689,[3],[3],101,"Anarchy",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],298,4205,"","",0,2140,"",0,"","",""
77,6,49,11283,[3],[8],101,"Blight",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],316,4205,"","",0,4636,"",0,17004,17005,17003
78,6,50,5301,[3],[2],101,"Monster Life I",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,816,"",0,"","",""
79,6,51,5302,[3],[2],101,"Monster Life II",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,816,"",0,"","",""
80,6,52,5303,[3],[2],101,"Monster Life III",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,816,"",0,"","",""
81,6,53,5304,[3],[2],101,"Monster Life IV",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,816,"",0,"","",""
82,6,54,5325,[3],[2],101,"Monster Damage I",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,820,"",0,"","",""
83,6,55,5326,[3],[2],101,"Monster Damage II",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,820,"",0,"","",""
84,6,56,5327,[3],[2],101,"Monster Damage III",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,820,"",0,"","",""
85,6,57,5328,[3],[2],101,"Monster Damage IV",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,820,"",0,"","",""
86,6,58,5168,[3],[6],101,"Area is inhabited by Spiders",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,762,"",0,"","",""
87,6,59,5169,[3],[6],101,"Area is inhabited by Blackguards",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,763,"",0,"","",""
88,6,60,5167,[3],[6],101,"Area is inhabited by Bandits",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,735,"",0,"","",""
89,6,61,5138,[3],[2],101,"Additional Totems",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,727,"",0,"","",""
90,6,62,5145,[3],[3],101,"Additional Rogue Exiles",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,1924,"",0,"","",""
91,6,63,5196,[3],[3],101,"Monsters from Beyond",7,[35],0,"",0,0,[],"","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,2195,"",0,"","",""
92,6,64,5203,[3],[3],101,"Twinned Unique Bosses",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,779,"",0,"","",""
93,0,0,7697,[26],[2],0,"",7,[],0,"",0,0,[],"","","",[249],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2139,"",0,"","",""
94,0,1,7698,[26],[2],0,"",7,[],0,"",0,0,[],"","","",[250],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",1,2135,"",0,"","",""
95,0,2,7701,[26],[2],0,"",7,[],0,"",0,0,[],"","","",[251],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2138,"",0,"","",""
96,0,3,7699,[26],[1],0,"",7,[],0,"",0,0,[],"","","",[247],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2136,"",0,"","",""
97,0,4,7700,[26],[1],0,"",7,[],0,"",0,0,[],"","","",[248],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2137,"",0,"","",""
