"rownum","rid","Tier","Text","i32","[rid]","[i32]","i32","RuneItem","[i32]","Stats","StatsValues","UpgradeTextAudio"
21,1,11,"Marking Ore in Areas grants Gold equal to the amount of Ore",1363,"[17,18,19]","[200,120,80]",45570,[],[],[20574],[1],""
22,2,1,"Establish Smelting",1364,"[5,6]","[3,3]",20,[],[],"[20421,20420]","[2,3]",18656
23,2,2,"Can smelt Petrified Amber Ore",1365,"[15,16]","[4,3]",100,[],[],[20421],[1],18657
24,2,3,"15% increased Smelting Speed",1366,"[15,16,17]","[10,8,6]",585,[],[],[20401],[15],18658
25,2,4,"+2 to Maximum Smelters",1367,"[15,17,10]","[45,35,25]",1865,[],[],[20420],[2],18659
26,2,5,"Can smelt Bismuth Ore",1368,"[16,17]","[100,100]",5030,[],[],[20421],[1],18660
27,2,6,"+2 to Maximum Smelters",1369,"[17,18,10]","[150,100,50]",8875,[],[],[20420],[2],18661
28,2,7,"Can smelt Verisium Ore",1370,"[15,16,18]","[250,200,100]",13905,[],[],[20421],[1],18662
29,2,8,"+2 to Maximum Smelters",1371,"[18,19,11]","[200,120,80]",18765,[],[],[20420],[2],18663
30,2,9,"20% increased Smelting Speed",1372,"[15,18,19]","[400,150,100]",21795,[],[],[20401],[20],18664
31,2,10,"+3 to Maximum Smelters",1373,"[16,18,12]","[400,200,100]",27000,[],[],[20420],[3],18665
32,2,11,"25% increased Smelting Speed",1374,"[17,18,19]","[400,250,150]",44115,[],[],[20401],[25],18666
33,3,1,"Establish Farming",1375,[],[],45,[],[],"[20424,20425,20426]","[2,3,2]",19335
34,3,2,"Can grow Pumpkins",1376,[],[],225,[],[],[20426],[1],19336
35,3,3,"+2 Farming Plot",1377,[],[],1285,[],[],[20424],[2],19337
36,3,4,"10% increased Farming Speed",1378,[15],[80],3280,[],[],[20403],[10],19338
37,3,5,"Can grow Orgourd",1379,[],[],11060,[],[],[20426],[1],19339
38,3,6,"+1 Farming Plot",1380,[],[],19520,[],[],[20424],[1],19340
39,3,7,"Can grow Blue Zanthimum",1381,[],[],30590,[],[],[20426],[1],19341
40,3,8,"15% increased Farming Speed",1382,[15],[800],33000,[],[],[20403],[15],19342
41,3,9,"5% increased Crop yield per different Crop being Farmed",1383,[15],[1000],38000,[],[],[20440],[5],19343
42,3,10,"+1 Farming Plot",1384,[],[],55700,[],[],[20424],[1],19344
43,3,11,"Plots yield 10% increased Crop per adjacent Plot being Farmed",1385,[19],[500],80000,[],[],[20441],[10],19345
44,4,1,"Establish Shipping",1386,[5],[5],10,[],[],"[20427,20428,20429,20443]","[1,2,1,1]",18286
45,4,2,"Can Ship to Ngakanu",1387,"[5,6]","[15,5]",45,[],[],"[20429,20443]",[1],18291
46,4,3,"+2 to Maximum Ship Crew",1388,"[15,16,11]","[14,12,10]",300,[],[],"[20428,20443]","[2,1]",18287
47,4,4,"15% increased Ship Speed",1389,"[16,7]","[25,80]",720,[],[],"[20405,20443]","[15,1]",18289
48,4,5,"Can Ship to Pondium and Te Onui",1390,"[15,16,8]","[80,60,123]",2535,[],[],"[20429,20443]","[2,1]",18294
49,4,6,"+1 Ship",1391,"[17,18]","[140,90]",4610,[],[],"[20427,20443]","[1,1]",18292
50,4,7,"Can Ship to Kalguur",1392,"[15,16,9]","[300,240,250]",8885,[],[],"[20429,20443]","[1,1]",18295
51,4,8,"20% increased Ship Speed",1393,"[17,19]","[450,195]",13930,[],[],"[20405,20443]","[20,1]",18290
52,4,9,"+2 to Maximum Ship Crew",1394,"[18,19,10]","[320,200,150]",16180,[],[],"[20428,20443]","[2,1]",18288
53,4,10,"+1 Ship",1395,"[15,17,18]","[600,400,300]",18790,[],[],"[20427,20443]","[1,1]",18293
54,4,11,"Ports Quotas are 50% more rewarding",1396,"[16,18,19]","[500,300,200]",32745,[],[],"[20794,20443]","[50,1]",18296
55,5,1,"Establish Disenchanting",1397,[],[],745,[],[],"[20422,20423]","[3,1]",18579
56,5,2,"Can Disenchant Rare Items",1398,[],[],1800,[],[],[20423],[1],18451
57,5,3,"15% increased Disenchanting Speed",1399,[20],[1500],4440,[],[],[20402],[15],18452
58,5,4,"+1 to Maximum Disenchanters",1400,"[20,10]","[2500,20]",8065,[],[],[20422],[1],18453
59,5,5,"1% increased Thaumaturgic Dust per Item Quality",1401,[20],[10000],15550,[],[],[20612],[1],18454
60,5,6,"+1 to Maximum Disenchanters",1402,[20],[25000],24375,[],[],[20422],[1],18460
61,5,7,"20% increased Disenchanting Speed",1403,[20],[50000],28310,[],[],[20402],[20],18456
62,5,8,"+1 to Maximum Disenchanters",1404,"[20,11]","[75000,100]",32885,[],[],[20422],[1],18457
63,5,9,"50% increased Thaumaturgic Dust per Corruption Implicit",1405,[20],[100000],38205,[],[],[20614],[50],18458
64,5,10,"50% increased Thaumaturgic Dust per Influence Type",1406,[20],[125000],44375,[],[],[20613],[50],18459
65,5,11,"Can Disenchant Unique Items",1407,[20],[300000],71740,[],[],[20423],[1],18455
66,6,1,"Establish Mapping",1408,"[20,19]","[5000,30]",10645,[],[],"[20430,20431,20485]","[1,2,5]",18155
67,6,2,"Map Devices have +2 Portals",1409,"[20,19]","[10000,45]",13330,[],[],[20431],[2],18156
68,6,3,"Atlas Runners can run Yellow Maps",1410,"[20,19]","[15000,65]",20890,[],[],[20485],[5],18158
69,6,4,"15% increased Mapping Speed",1411,"[20,19]","[20000,75]",22515,[],[],[20404],[15],18163
70,6,5,"+1 Map Device",1412,"[20,19]","[25000,90]",26155,[],[],[20430],[1],18161
71,6,6,"Atlas Runners can run Red Maps",1413,"[20,19]","[30000,100]",28190,[],[],"[20485,20791]","[6,1]",18159
72,6,7,"20% increased effect of Explicit Modifiers on Maps",1414,"[20,19]","[40000,110]",32745,[],[],[20793],[20],18164
73,6,8,"Map Devices have +2 Portals",1415,"[20,19]","[50000,120]",35290,[],[],[20431],[2],18157
74,6,9,"+1 Map Device",1416,"[20,19]","[60000,140]",40995,[],[],[20430],[1],18162
75,6,10,"Tier 16+ Maps have either Maven, Searing Exarch or Eater of Worlds Influence",1417,"[20,19]","[75000,180]",44180,[],[],[20792],[1],18160
76,6,11,"Atlas Runners can run Purple Maps",1418,"[20,19]","[100000,250]",89425,[],[],[20485],[1],18165
77,7,1,"Establish Runesmithing",1419,[],[],70,[],[],[20779],[1],18675
78,7,2,"Can Runesmith using Bound Runes",1420,[],[],445,[11615],[1],[20779],[1],18667
79,7,3,"Can Runesmith using Life Runes",1421,[],[],1080,[11616],[1],[20779],[1],18667
80,7,4,"Can Runesmith using War Runes",1422,[],[],3805,[11617],[1],[20779],[1],18676
81,7,5,"Can Runesmith using River Runes",1423,[],[],6915,[11618],[1],[20779],[1],18677
82,7,6,"Can Runesmith using Bounty Runes",1424,[],[],13330,[11619],[1],[20779],[1],18678
83,7,7,"Can Runesmith using Journey Runes",1425,[],[],20890,[11620],[1],[20779],[1],18679
84,7,8,"Can Runesmith using Mountain Runes",1426,[],[],24265,[11621],[1],[20779],[1],18680
85,7,9,"Can Runesmith using Time Runes",1441,[],[],28190,[11622],[1],[20779],[1],18681
86,7,10,"Can Runesmith using Power Runes",1442,[],[],49120,[11623],[1],[20779],[1],18682
87,8,1,"Establish Recombination",1427,[20],[500],585,[],[],[20591],[1],18148
88,8,2,"Can Recombinate Armour",1428,[20],[1000],5030,[],[],[20591],[1],18149
89,8,3,"Can Recombinate Jewellery",1429,[20],[5000],13905,[],[],[20591],[1],18150
90,8,4,"25% reduced Recombination Cost",1430,[20],[50000],21795,[],[],[20484],[-25],18151
91,8,5,"5% chance for Modifiers to upgrade tier",1431,[20],[100000],25320,[],[],[20592],[5],18152
92,8,6,"Rarer Modifiers are more likely to be retained",1432,[20],[250000],44115,[],[],[20593],[1],18153
93,9,1,"Establish Fishing",1464,[],[],108111110,[],[],[20432],[1],""
94,9,2,"+12% Effishency",1464,[],[],10332115,[],[],[20406],[20],""
95,9,3,"+28% Effishency",1464,[],[],10197115,[],[],[20406],[20],""
96,9,4,"+98% Effishency",1464,[],[],111110,[],[],[20406],[20],""
