"rownum","Metadata","AreaLevel","SpawnsMonsters","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","Script1","bool","bool","Script2","[i32]","i32","i32","i32","i32","i32","i32","i32","i32"
20,"Metadata/Monsters/EtchedBeetles/LargeEtchedBeetle_",1,[664],1000,0,0,800,1300,50,0,65792,"",1,"","","","",12,0,0,0,"","","","IfState( charged, 1, { triggerer.SetStateTo( buildup, 2 ); } );","",1,"",[],0,0,0,0,1000,1000,1,1
21,"Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditSpawnerSwingUp",1,[490],500,0,0,750,1500,0,0,16777472,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge ); triggerer.\r\n\t\tStartImmunityPhase( 0, 1, 1, 1, 0, 0, 0 );","","","",[],0,500,0,0,4,4,1,1
22,"Metadata/Terrain/Gallows/Act2/2_4/Objects/SmallScarabSpawner",1,[664],750,0,0,250,1250,0,0,65792,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,2,2,1,1
23,"Metadata/Monsters/RockSlider/RockSlider_WallSpawner",1,[742],1000,0,0,0,3000,0,0,65792,"",1,"","","","",0,0,0,0,"","","","triggerer.DisableProximityTrigger(); triggerer.DoRandom( { DoAction( Emerge ); }, { DoAction( Emerge2 ); } );","","","",[1],0,2000,0,0,1,1,1,1
24,"Metadata/Monsters/RockSlider/VoltaxicSlider/RockSlider_WallSpawner",1,[745],1000,0,0,0,3000,0,0,65792,"",1,"","","","",0,0,0,0,"","","","triggerer.DisableProximityTrigger(); triggerer.DoRandom( { DoAction( Emerge ); }, { DoAction( Emerge2 ); } );","","","",[1],0,2000,0,0,1,1,1,1
25,"Metadata/Terrain/Gallows/Act2/2_3/Objects/TerracottaStatueSpawner",1,"[769,770]",0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
26,"Metadata/Terrain/Gallows/Act2/2_3/Objects/TerracottaStatueSpawnerBridge",1,"[771,772]",0,0,0,0,0,0,0,0,"",1,"","",1,"",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
27,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot1",1,[788],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1
28,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot2",1,[788],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1
29,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot4",1,[788],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1
30,"Metadata/Effects/Spells/monsters_effects/Act2_FOUR/TwilightOrder/portal_mob",1,"[844,846,848]",1500,0,0,0,3000,0,0,65536,"","",1,"","","",0,0,0,0,"","","","triggerer.SetStateTo( epk, 1 );","","","Delay( 1.0, { Delete(); } );","[1,1,1]",0,0,0,0,5,5,1,1
31,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/DemonSpiderSpawner_ReturnAmbush",1,[661],0,15,60,500,2000,0,0,65792,"","","","","","",0,0,0,4,"","","","","","","",[],0,0,0,730,8,8,8,8
32,"Metadata/Monsters/BogZombie/BogZombieEmitter",1,"[865,866,867,682]",225,10,20,0,0,20,0,0,"",1,"","","","",0,1,0,0,"","","","triggerer.shaman = shaman; triggerer.If( GetHeightAtLocation() <= -20, { IfExists( shaman, { FaceObject( shaman, 1 ); }, { } ); DoAction( Emerge ); AddOnActionEnd( { DoAction( MoveForced, shaman ); }, true ); }, { Delete(); } );","","","","[3,6,5,1]",0,0,0,0,3,3,1,1
33,"Metadata/Monsters/BogZombie/BogZombieEmitterMapSlick",2,"[865,866,867,682]",225,10,20,0,0,20,0,0,"",1,"","","","",0,1,0,0,"","","","","","","","[3,6,5,1]",0,0,0,0,3,3,1,1
34,"Metadata/Monsters/Taniwha/RiverTaniwhaEmitter",1,[988],0,0,0,0,0,0,0,0,"",1,"","",1,"",0,0,8,4,"","","","","","","",[],0,0,0,0,1,1,1,1
35,"Metadata/Terrain/Gallows/Act3/3_3/Objects/TreeNodeMarker",1,[2],0,0,0,500,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
36,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner1",1,[951],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
37,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner2",1,[951],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
38,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner3",1,[951],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
39,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner4",1,[951],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
40,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner5",1,[951],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
41,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SnakeManSpawner1",1,[945],0,0,0,250,0,0,0,1,"",1,"","","","",0,0,0,0,"","","","triggerer.emerge_loc = GetLocation() + RotateLocation( [14, -9] ); triggerer.If( emerge_loc.IsWalkable( 4, walk ), (){ triggerer.SetLocation( emerge_loc, 1 ); triggerer.RotateBy( 90, true, true ); triggerer.SetStateTo( snake_colour, this.GetState( snake_colour ) ); triggerer.TriggerStateBracket( colour, snake_colour ); triggerer.DoAction( Emerge ); }, (){ Delete(); } );","","","",[],0,0,0,0,1,1,1,1
42,"Metadata/Monsters/VaalMonsters/Living/objects/ArchivistRuneMonkey",1,[1116],0,5,20,0,0,0,0,65793,1,"","","",1,"",0,0,0,0,"","","","","",1,"",[],0,0,0,0,1,1,1,1
43,"Metadata/Monsters/VaalMonsters/Living/objects/ArchivistRuneSnake",1,[1115],0,10,20,0,0,0,0,65793,"","","","",1,"",0,0,0,0,"","","","triggerer.FaceNearestPlayer();","",1,"",[],0,0,0,0,1,1,1,1
44,"Metadata/Terrain/Gallows/Act3/3_8/Objects/FishSpawnerBase",1,[521],0,5,20,0,0,0,0,256,1,1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,8,8,8,8
45,"Metadata/Monsters/Cenobite/Objects/SunkenDoorSpawner",1,"[1026,1025,902,903]",0,0,5,500,1000,0,0,0,"","","","",1,"",0,0,1,1,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -5.0, 5.0 ); triggerer.tan_val = triggerer.rot_offset / 28.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 ); triggerer.DoAction( WalkEmerge );","","","","[1,1,3,2]",0,0,0,0,6,10,1,3
46,"Metadata/Terrain/Gallows/Act3/3_11/Rooms/ShowcaseOnly/SunkenDoorSpawner",1,"[1026,1024,1022,902,903]",0,0,2,500,1000,0,0,0,"","","","",1,"",0,0,0,0,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -3.0, 3.0 ); triggerer.tan_val = triggerer.rot_offset / 28.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 ); triggerer.DoAction( WalkEmerge );","","","","[2,1,2,2,2]",0,0,0,0,5,6,1,1
47,"Metadata/Terrain/Gallows/Act3/3_2_2/Objects/BossFightWaveSpawner",1,[953],1000,0,0,1500,2500,0,0,16777216,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,8,8,1,1
48,"Metadata/Terrain/Gallows/Act3/3_11/Objects/BossFightWaveSpawner",1,"[902,903,1022,1026]",5500,0,0,500,5500,20,0,0,"","","","","","",0,0,0,0,"","","","\ttriggerer.filthqueen = FindClosestObject( \""Metadata/Monsters/QueenOfFilth/QueenofFilfthBoss_\""\r\n\t ); triggerer.DoAction(WalkEmergeQoFMinions); triggerer.AddMonsterExplicitMod( BossMinionFlaskChargeIncrease50 );","",1,"",[],0,0,0,0,1,1,1,1
49,"Metadata/Terrain/Gallows/Act3/3_11/Objects/BossFightWaveSpawnerMaps",1,"[902,903,1022,1026]",5500,0,0,500,5500,20,0,0,"","","","","","",0,0,0,0,"","","","\ttriggerer.filthqueen = FindClosestObject( \""Metadata/Monsters/QueenOfFilth/QueenofFilfthBossMap\""\r\n\t ); triggerer.DoAction(WalkEmergeQoFMinionsMap); triggerer.AddMonsterExplicitMod( BossMinionFlaskChargeIncrease50 );","",1,"",[],0,0,0,0,1,1,1,1
50,"Metadata/Monsters/Anchorman/Objects/AnchormanCracks",1,[523],0,0,0,400,600,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.MatchLocator( this, spawner, true, true ); triggerer.DoAction( Emerge );","","","",[],0,0,0,0,1,1,1,1
51,"Metadata/Terrain/Gallows/Act4/4_2_2/Objects/GenericSpawner1",1,"[1233,1234,1235,1236,1237,1238]",1100,0,15,300,800,0,0,256,"",1,"","",1,"",0,0,3,2,"","","","ModifyState( spawn_count, -1); ModifyState( minion_count, +1);","","","","[2,2,1,2,1,2]",0,0,0,0,30,30,1,1
52,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerGround",1,"[1245,1247,1249,1251,1253]",0,0,0,400,800,0,0,256,"",1,1,"",1,"",0,0,3,2,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -4.0, 4.0 ); triggerer.tan_val = triggerer.rot_offset / 18.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 );triggerer.DoAction( WalkEmerge );  triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,2,1,1
53,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerUpper",1,"[1251,1253]",0,0,0,400,800,0,0,256,"",1,1,"",1,"",0,0,3,2,"","","","triggerer.DoAction( Emerge2 ); triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,1,1,1
54,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerProwler",1,[1242],0,0,0,400,800,0,0,256,"",1,1,"",1,"",0,0,0,0,"","","","triggerer.DoAction( Emerge2 ); triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,1,1,1
55,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWall",1,"[1279,1280,1281,1282]",0,0,30,600,2000,0,0,256,"","",1,"","","",0,0,0,0,"","","","triggerer.SetStateTo( visible, 1 );","","","",[],0,0,0,0,1,1,1,1
56,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallArchers",1,[1279],0,0,45,250,750,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","ModifyState( minion_count, +1); this.skill_target = triggerer.GetLocation(); this.effect_height = triggerer.GetHeight(); this.soul = PlayEffect(\""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/KaruiSoulCaster/spawndeath.ao\"", height: effect_height); soul.hostbody = this; soul.FaceObject( hostbody.skill_target);","","","",[],0,0,0,0,1,2,1,1
57,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallCaster",1,"[1280,1277]",0,0,45,250,750,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","ModifyState( minion_count, +1); this.skill_target = triggerer.GetLocation(); this.effect_height = triggerer.GetHeight(); this.soul = PlayEffect(\""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/KaruiSoulCaster/spawndeath.ao\"", height: effect_height); soul.hostbody = this; soul.FaceObject( hostbody.skill_target);","","","","[3,1]",0,0,0,0,1,2,1,1
58,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallHorn",1,"[1281,1284,1282]",0,0,45,250,750,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","ModifyState( minion_count, +1); this.skill_target = triggerer.GetLocation(); this.effect_height = triggerer.GetHeight(); this.soul = PlayEffect(\""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/KaruiSoulCaster/spawndeath.ao\"", height: effect_height); soul.hostbody = this; soul.FaceObject( hostbody.skill_target);","","","","[2,1,2]",0,0,0,0,1,2,1,1
59,"Metadata/Terrain/Gallows/Act5/5_16/Objects/AllySpawner1",1,[1396],0,0,0,6000,9000,0,0,257,"","","","","","",25,0,0,0,"","","","triggerer.Do(\r\n\t\t(){\r\n\t\t\tSetTeam( 1 );\r\n\t\t\tthis.am_ally = 1;\r\n\t\t\tglobals.always_serialised += this;\r\n\t\t\tAddToPlayerWakeGroup();\r\n\t\t\tthis.warpath = FindClosestObject( \""Metadata/Terrain/Gallows/Act5/5_16/Objects/AlliedPath\"" );\r\n\t\t\tSetPathObject( warpath );\r\n\t\t\tSetStateTo( pathing, 1 );\r\n\t\t} );",1,1,"",[],200,0,0,0,3,3,1,1
60,"Metadata/Terrain/Gallows/Act5/5_16/Objects/AllySpawner2",1,[1398],0,0,0,6000,9000,0,0,257,"","","","","","",15,0,0,0,"","","","triggerer.Do(\r\n(){\r\n  SetTeam( 1 );\r\nthis.am_ally = 1;\r\n  globals.always_serialised += this;\r\n  AddToPlayerWakeGroup();\r\n  this.warpath = FindClosestObject( \""Metadata/Terrain/Gallows/Act5/5_16/Objects/AlliedPath\"" );\r\n  SetPathObject( warpath );\r\n  SetStateTo( pathing, 1 );\r\n} );",1,1,"",[],100,0,0,0,2,2,1,1
61,"Metadata/Terrain/Gallows/Act5/5_16/Objects/EnemySpawner1",1,"[845,847,849,858,1344,1346,1373,1431,1432,1433]",0,0,0,13000,15000,0,0,257,"","","","","","",20,0,0,1,"","","","triggerer.Do(\r\n(){\r\n  globals.always_serialised += this;\r\n  this.am_enemy = 1;\r\n  AddToPlayerWakeGroup();\r\n  this.warpath = FindClosestObject( \""Metadata/Terrain/Gallows/Act5/5_16/Objects/EnemyPath\"" );\r\n  SetPathObject( warpath );\r\n  SetStateTo( pathing, 1 );\r\n} );",1,1,"",[],300,0,0,0,3,3,1,1
62,"Metadata/Terrain/Gallows/Act5/5_3_1/Objects/BelowSpawner",1,[1387],0,0,0,0,0,0,0,0,"","","","","","",0,0,10,5,"","","","triggerer.FaceNearestPlayer();","","","",[],0,0,0,0,1,1,1,1
63,"Metadata/Terrain/Gallows/Act5/5_8_2/Objects/CoreSpawners",1,"[1306,1313]",0,0,0,2000,4500,0,0,257,"","","","","","",15,10,3,2,"","","","","","","triggerer.SetMonsterBehaviour( FollowPath );",[],80,0,0,0,1000,1000,1,1
64,"Metadata/Terrain/Gallows/Act2/2_1/Objects/HyenaCaveSpawnerBoss",1,[702],1000,0,0,0,0,0,0,0,"","","","","","",0,10,0,0,"","","","triggerer.SetStateTo( fighting, 1 ); this.rathbreaker.hyena_pets += triggerer; triggerer.rathbreaker = this.rathbreaker; triggerer.If( GetAngleBetween( GetLocation() - rathbreaker.GetLocation(), RotateLocation( [10, 0] ) ) > 90.0, (){ SetStateTo( rotation, 2 ); }, (){ SetStateTo( rotation, 1 ); } ); triggerer.rot_offset = Random( -15.0, 15.0 ); triggerer.tan_val = triggerer.rot_offset / 75.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 ); triggerer.SetStateTo( finished_emerging, 0 ); triggerer.DoAction( WalkEmerge ); triggerer.StartImmunityPhase(0, 1, 1, 1, 0, 0, 0); triggerer.AddOnActionEnd( {EndImmunityPhase();}, true );",1,"","",[],0,0,0,0,1,1,1,1
65,"Metadata/Terrain/Gallows/Act1/1_3/Objects/MudGolemSpawners/MudGolemSpawnerBase01_02",1,[212],0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.ChangeStance( stance2 ); ","","","",[],0,0,0,0,1,1,1,1
66,"Metadata/Terrain/Gallows/Act1/1_3/Objects/MudGolemSpawners/MudGolemSpawnerBase01_06",1,[212],0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.ChangeStance( stance3 ); ","","","",[],0,0,0,0,1,1,1,1
67,"Metadata/Terrain/Gallows/Act1/1_3/Objects/MudGolemSpawners/MudGolemSpawnerBase02_03",1,[212],0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.ChangeStance( stance5 ); ","","","",[],0,0,0,0,1,1,1,1
68,"Metadata/Terrain/Gallows/Act1/1_3/Objects/MudGolemSpawners/MudGolemSpawnerBase02_011",1,[212],0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.ChangeStance( stance4 ); ","","","",[],0,0,0,0,1,1,1,1
69,"Metadata/Terrain/Gallows/Act1/1_3/Objects/MudGolemSpawners/MudGolemSpawnerBase04_01",1,[212],0,0,0,0,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.ChangeStance( stance6 ); ","","","",[],0,0,0,0,1,1,1,1
70,"Metadata/Monsters/PoEM/M1_1/ColosseumTrapDoorSpawner_Beast",1,[],150,2,5,900,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( WalkEmerge ); triggerer.StartImmunityPhase( 1, 1, 1, 1, 0, 0, 0 );","","","",[],0,1500,0,0,2,2,1,1
71,"Metadata/Monsters/PoEM/M1_1/ColosseumTrapDoorSpawner_Gladiator",1,[],150,2,5,900,0,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( WalkEmerge );","","","",[],0,1500,0,0,2,2,1,1
72,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerFloorPyramid",1,[1005],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
73,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerFloorSkitterbot",1,[1011],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
74,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerFloorCycloner",1,[1186],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
75,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerWallGolem",1,[1008],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
76,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerWallMonkey",1,[1012],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
77,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerWallSentinel",1,[999],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
78,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerWallBowlingBall",1,[1191],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = this; this.my_monster = triggerer;","","","",[],0,0,0,0,1,1,1,1
79,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerPillarSentinel",1,[999],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = FindClosestObject( \""Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerPillarController\"", 30 );\r\ntriggerer.my_spawner.my_monsters += triggerer;","","","",[],0,0,0,0,1,1,1,1
80,"Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerPillarBowlingBall",1,[1191],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","triggerer.my_spawner = FindClosestObject( \""Metadata/Terrain/Gallows/Act3/3_6_2/Objects/ConstructSpawnerPillarController\"", 30 );\r\ntriggerer.my_spawner.my_monsters += triggerer;","","","",[],0,0,0,0,1,1,1,1
