"rownum","string","string","rid"
18,"AtlasTouchControls_1","<tutorialgesture>{Welcome to the Atlas of Worlds!}\r\nTo get started, we will introduce \r\nsome controls",7
19,"AtlasTouchControls_2","<tutorialgesture>{[Drag]} to look around",7
20,"AtlasTouchControls_3","<tutorialgesture>{[Pinch]} to zoom in on the Atlas",7
21,"AtlasTouchControls_4","<tutorialgesture>{[Tap]} to select the map",7
22,"AtlasTouchControls_5","[DNT]END OF ATLAS TOUCH CONTROLS TUTORIAL. CLEAN UP TUTORIAL GESTURE STUFF HERE",7
23,"AtlasTouchControls_6","<tutorialgesture>{The Map Device only creates six Portals to an Area}\r\nThis means there are only six Entrances before an Area is closed permanently. Tread carefully!",7
24,"PassiveTreeTouchControls_1","<tutorialgesture>{Introducing the Character Passive Skill Tree!}\r\nSkill points are used to enhance your character",8
25,"PassiveTreeTouchControls_2","<tutorialgesture>{[Tap]} Passive Skill to see its Stats",8
26,"PassiveTreeTouchControls_3","<tutorialgesture>{[Tap]} Assign Mode button\r\nto start Allocating",8
27,"PassiveTreeTouchControls_4","<tutorialgesture>{[Tap]} to select a Passive Skill\r\nto allocate",8
28,"PassiveTreeTouchControls_5","<tutorialgesture>{[Tap-Hold]} Confirm button to apply changes\r\n<tutorialgesture>{[Tap]} Passive Skill again to deselect\r\nand choose another option",8
29,"PassiveTreeTouchControls_6","<tutorialgesture>{Your character has grown in power!}\r\nSkill points are gained through levelling up, \r\nand completing certain quests.",8
30,"PassiveTreeTouchControls_7","[DNT]END OF PASSIVE TREE CONTROLS TUTORIAL. JUST COMPLETE TUTORIAL",8
31,"PortalScroll_1","<tutorialgesture>{Portal Scrolls are used to create Checkpoints}\r\n<tutorialgesture>{[Tap]} the Portal Button to create a portal \r\nback to town.\r\n<tutorialgesture>{Reminder:} You only have six Portals before the Map Device must be Reactivated!",9
32,"PortalScroll_2","[DNT]END OF PORTAL SCROLL TUTORIAL. JUST TURN OFF GLOW AND COMPLETE TUTORIAL",9
33,"Minimap_1","<tutorialgesture>{The Minimap can be used to help navigate the Area}\r\nExpand the map by <tutorialgesture>{[Tapping]} the Minimap",10
34,"Minimap_2","<tutorialgesture>{[Drag]} the Joystick to move the Map\r\nClose the Map Overlay by <tutorialgesture>{[Tapping]} the Joystick",10
35,"Minimap_3","[DNT]END OF MINIMAP TUTORIAL. JUST COMPLETE THE TUTORIAL",10
36,"SkillGemCrafting_1","<tutorialgesture>{Virtue Gem Crafting}\r\nGem Artisans can craft Uncut Gems to unleash Skills within",11
37,"SkillGemCrafting_2","<tutorialgesture>{[Drag]} the Uncut Skill Gem\r\ninto crafting slot",11
38,"SkillGemCrafting_3","<tutorialgesture>{[Swipe]} through the Archetypes\r\nto see available Skills\r\n<tutorialgesture>{[Tap]} the Skill Icons to view the\r\ndetails of the Virtue",11
39,"SkillGemCrafting_4","<tutorialgesture>{[Tap]} the Engrave button \r\nto create a new <gem>{Skill Gem}",11
40,"SkillGemCrafting_4b","<tutorialgesture>{This Skill requirements a higher\r\nItem Level Uncut Skill Gem}\r\nPick a new skill to Engrave",11
41,"SkillGemCrafting_5","<tutorialgesture>{[Drag]} the <gem>{Skill Gem} back to your Inventory",11
42,"SkillGemCrafting_6","<tutorialgesture>{Tutorial Complete!}\r\nWhen you are ready to equip the crafted <gem>{Skill Gem} \r\ngo to the Skills menu and drag it into the slot",11
43,"SkillGemCrafting_7","[DNT]END OF SKILL GEM CRAFTING TUTORIAL. JUST COMPLETE THE TUTORIAL",11
44,"WeaponSets_1","<tutorialgesture>{Your character has two Weapon Sets}\r\nWeapon Sets switch automatically to meet Skill requirements as they are used, but switching weapons takes time!",12
45,"WeaponSets_2","[DNT]END OF TUTORIAL. JUST SET COMPLETE FLAG",12
46,"Identify_1","<tutorialgesture>{You have found an unidentified Item}\r\nAn Item must be identified before\r\nit can be equipped",13
47,"Identify_2","<tutorialgesture>{[Drag]} and use a Scroll of Wisdom\r\non an unidentified Item",13
48,"Identify_3","<tutorialgesture>{The Item is now identified}\r\nIn each Town, There will be a Vendor who will identify all your Items free of charge!",13
49,"Identify_4","[DNT]END OF TUTORIAL. JUST SET COMPLETE FLAG",13
50,"FlaskWell_1","<tutorialgesture>{[Tap]} to use the Well\r\nWells restore Life, Mana, and Flask Charges",14
