"rownum","Id","ObjectEffect1","ObjectEffect2","KillCondition","HASH32","OnKillBeam","i32_76","Stat","Counter","[i32]_112"
28,"MicrotransactionChaosOrbFinisher","",27,2,260879709,"",1,"",[],[]
29,"MicrotransactionExaltedOrbFinisher","",28,2,3707455574,"",1,"",[],[]
30,"MicrotransactionVaalOrbFinisher","",29,2,2630444493,"",1,"",[],[]
31,"MicrotransactionMirrorFinisher","",30,2,2266451354,"",1,"",[],[]
32,"MicrotransactionShaperSlamFinisher","",31,4,2251874440,"",2,"",[],[]
33,"HeadhunterOnRareKill",32,"",2,2086966525,"",0,"",[],[]
34,"DivineArtilleryStrikeRareOnKill","",33,2,2958795120,"",1,"",[],[]
35,"MicrotransactionIceShatterFinisher","",34,2,1581560275,"",1,"",[],[]
36,"MicrotransactionPillarOfFlameOnKill","",35,2,2287398398,"",1,"",[],[]
37,"MtxEldritchHungerArmourHelmetKillstreak","","",3,3850780029,"",0,"",[0],[1]
38,"SolarGuardianBackAttachmentKillstreak","","",3,3479704997,"",0,"",[1],[1]
39,"MTXCrabArmourCrabsOnKill","",36,1,793311404,"",0,"",[],[]
40,"MtxMultislashOnKill","",37,2,1016456034,"",1,"",[],[]
41,"MtxIonCannonOnKill","",38,4,1609154388,"",2,"",[],[]
42,"MtxBloodCycloneOnKill","",39,2,1510511601,"",1,"",[],[]
43,"MtxKaruiElbowDrop","",40,4,4207864293,"",2,"",[],[]
44,"MtxKaomGroundnPound","",41,4,2442825122,"",2,"",[],[]
45,"MtxVerisiumKnight","",42,4,3913661965,"",2,"",[],[]
46,"MtxExplodingHeart","",43,2,1675240250,"",1,"",[],[]
47,"MicrotransactionHokoRareFinisher","",44,2,561894318,"",1,"",[],[]
48,"MicrotransactionBreachClap","",45,2,1193827007,"",1,"",[],[]
49,"MicrotransactionBrambleGhastTentacle","",46,2,538725189,"",1,"",[],[]
50,"MicrotransactionGuillotineExecutioner","",47,4,2468906654,"",2,"",[],[]
51,"MicrotransactionSoulCoaster","",48,4,2816548978,"",2,"",[],[]
52,"MicrotransactionHusbandWife","",49,2,2750565115,"",1,"",[],[]
53,"MicrotransactionQueenofFilth","",50,2,274914374,"",1,"",[],[]
54,"MicrotransactionDeathSoulstealerFinisher","",51,4,411120179,"",2,"",[],[]
55,"MicrotransactionZodiacDragon","",52,2,1364996451,"",1,"",[],[]
56,"MicrotransactionPhrecianMagistrate","",53,10,2240330349,"",0,21419,[],[]
57,"MicrotransactionCryptkeeper","",54,3,165325282,2,0,"",[],[]
58,"MicrotransactionJusticeUniqueFinisher","",55,4,2756628981,"",2,"",[],[]
59,"MicrotransactionCrueltyFinisher","",56,4,1337405944,"",2,"",[],[]
60,"MicrotransactionKetzuli","",57,2,780828281,"",1,"",[],[]
61,"MicrotransactionDoryaniClamp","",58,2,2498319868,"",1,"",[],[]
62,"MicrotransactionDoryaniDevice","",59,2,2849291359,"",1,"",[],[]
63,"MicrotransactionDoryaniFlamethrower","",60,2,61212275,"",1,"",[],[]
64,"MicrotransactionDoryaniLaser","",61,2,2592791279,"",1,"",[],[]
65,"MonarchOfTrathusLionFinisher","",62,4,3693625126,"",2,"",[],[]
66,"HandOfXeshtFinisher","",63,2,1270481599,"",1,"",[],[]
67,"MicrotransactionGhostlyCannons","",64,4,3882057121,"",2,"",[],[]
68,"PlummetingChandelierFinisher","",65,2,583725424,"",1,"",[],[]
69,"PhoenixFireFinisher","",66,2,3631486352,"",1,"",[],[]
70,"GiantCentipedeFinisher","",67,2,2036594178,"",1,"",[],[]
71,"TheEndFinisherEffect","",68,2,2381882797,"",1,"",[],[]
72,"BackttheScrollFinisher","",69,4,3941248189,"",2,"",[],[]
73,"StygianFinisher","",70,2,2576390025,"",1,"",[],[]
74,"BlackholeFreezeFinisher","",71,4,1745896754,"",2,"",[],[]
75,"NightLotusFinisherEffect","",72,2,346052449,"",1,"",[],[]
76,"AbyssalCrystalFinisherEffect","",73,2,4099086640,"",1,"",[],[]
77,"PustuleExplodeFinisherEffect","",74,2,4188986801,"",1,"",[],[]
