"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StatsKeys","CancelOnDeath","i32_43","ShowCount","Maximum_StatsKey","Current_StatsKey","bool_80","i32_81","BuffVisualsKey","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Id2","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","bool_256","rid_257","[i32]_273","string_289","string_289 (French)","string_289 (German)","string_289 (Japanese)","string_289 (Korean)","string_289 (Portuguese)","string_289 (Russian)","string_289 (Spanish)","string_289 (Thai)","string_289 (Traditional Chinese)","[rid]_297","bool_313"
10,"poison","You take chaos damage","Vous subissez des Dégâts de chaos.","Ihr erleidet Chaosschaden.","混沌ダメージを受けている","카오스 피해를 받습니다.","Você sofre dano de caos","Вы получаете урон хаосом","Recibes daño de caos","คุณได้รับความเสียหาย เคออส","你受到混沌傷害。","","","Poisoned","Empoisonnement ","Vergiftet","毒","중독","Envenenado","Отравлен","Envenenado","ติดพิษ","中毒",[8197],1,1,1,"","",1,36,11,"",1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[8197],[14721],"",1,"","","","",[],"","","","","","","","","","",[],""
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","Vous subissez des Dégâts physiques sur la durée en fonction de votre Vie et votre Bouclier d'énergie. Votre Vitesse d'attaque et votre Drain de Vie sont augmentés. Tuer un ennemi réinitialise cet effet, et vous donne une chance d'obtenir une Charge de frénésie.","Ihr erleidet physischen Schaden über Zeit basierend auf Leben und Energieschild, während Angriffsgeschwindigkeit und Lebensraub gleichzeitig erhöht werden. Wird ein Gegner getötet, so wird die Stärkungsdauer verlängert und der Charakter erlangt möglicherweise eine zusätzliche Raserei-Ladung.","ライフおよびエナジーシールドに基づいて物理継続ダメージを受けている。アタックスピードが増加しライフをリーチする。敵を倒すとバフの持続時間が更新され、フレンジーチャージを付与する場合がある。","생명력과 에너지 보호막에 비례하여 지속 물리 피해를 받는 대신, 공격 속도와 생명력 흡수가 증가합니다. 적을 처치하면 버프 지속시간이 초기화되고 격분 충전을 얻을 수 있습니다.","Sofre Dano Degenerativo Físico baseado em Vida e Escudo de Energia, enquanto aumenta a Velocidade de Ataque e Drenagem. Matar um inimigo reinicia a duração do bônus e pode conceder uma Carga de Frenesi.","Вы получаете постепенный физический урон пропорционально количеству жизней и энергетического щита. Повышена скорость атаки и вы похищаете здоровье. Убийство врага обновляет время действия умения и может дать заряд ярости.","Recibes daño físico degenerativo basado en tu vida y escudo de energía, y a su vez aumenta tu velocidad de ataque y absorción de vida. Si matas a un enemigo, se renueva la duración del efecto y puedes recibir una carga de frenesí.","ได้รับความเสียหาย กายภาพ ต่อเนื่องโดยขึ้นอยู่กับ พลังชีวิตและโล่พลังงาน ขณะที่เพิ่มความเร็วในการโจมตีและการ ดูดพลังชีวิต การสังหารศัตรูจะคืนระยะเวลาคงเหลือของบัฟ และทำให้มีโอกาสได้รับ Frenzy Charge 1 ลูก","受到根據生命和能量護盾的持續物理傷害、增加生命偷取和攻擊速度、每擊殺一個敵人獲得一個狂怒能量球。","","","Blood Rage","Rage sanguinaire ","Blutrausch","ブラッドレイジ","피의 격노","Fúria Sangrenta","Кровавый угар","Furia de sangre","บ้าเลือด","鮮血狂怒","[70,3143,2611,3109,1358,12947,3163]",1,2,"","","",1,36,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","",5,"","",0,[],"","",[],"",[456],[],"[70,3143,2611,3109,1358,12947,3163,456]",[],"","","","","","",[],"","","","","","","","","","",[],""
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité. Vous bénéficiez Davantage de Dégâts des sorts.","Ihr erleidet Brandschaden, fügt Umstehenden Brandschaden zu und erleidet mehr Zauberschaden.","燃焼ダメージを受けている。周囲の敵に燃焼ダメージを与え、スペルダメージが増加。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 주고, 주문 피해가 증가합니다.","Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.","Вы получаете и наносите урон от горения окружащим противникам, а ваш урон от заклинаний повышен.","Recibes daño de incendio, infliges daño de incendio a quien esté a tu alrededor, y tienes daño de hechizos aumentado.","คุณได้รับความเสียหาย ติดไฟ, สร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ และมีความเสียหาย เวท เพิ่มขึ้น","點燃自己並對周圍的敵人造成傷害，增加法術傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火","[881,21601,25,880,1945,19811]",1,2,"","","",1,29,15,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[881,21601,25,880,1945,19811]",[],"","","","","","",[],"","","","","","","","","","",[],""
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu de la vertu d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Sühnendes Feuer' verwendet.","ライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 정의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Círculo Ardente","Противник рядом с вами наносит вам урон от горения Праведным огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego justo","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟธรรมะ","附近正在使用正義之火的敵人對你造成燃燒傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火",[2020],"",3,"","","","",36,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",5,1,"",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité. Vous bénéficiez Davantage de Dégâts des sorts.","Ihr erleidet Brandschaden, fügt Umstehenden Brandschaden zu und erleidet mehr Zauberschaden.","燃焼ダメージを受けている。周囲の敵に燃焼ダメージを与え、スペルダメージが増加。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 주고, 주문 피해가 증가합니다.","Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.","Вы получаете и наносите урон от горения окружащим противникам, а ваш урон от заклинаний повышен.","Recibes daño de incendio, infliges daño de incendio a quien esté a tu alrededor, y tienes daño de hechizos aumentado.","คุณได้รับความเสียหาย ติดไฟ, สร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ และมีความเสียหาย เวท เพิ่มขึ้น","點燃自己並對周圍的敵人造成傷害，增加法術傷害。","","","Unrighteous Fire","Feu du vice ","Unredliches Feuer","アンライチャスファイヤー","불의의 화염","Fogo da Injustiça","Нечестивый огонь","Fuego injusto","ไฟอธรรม","邪惡之火","[881,21601,25,880,1945,19811]",1,2,"","","",1,36,26,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[881,21601,25,880,1945,19811]",[],"","","","","","",[],"","","","","","","","","","",[],""
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu impie d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Unredliches Feuer' verwendet.","アンライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 불의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Fogo da Injustiça","Противник рядом с вами наносит вам урон от горения Нечестивым огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego injusto","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟอธรรม","附近正在使用邪惡之火的敵人對你造成燃燒傷害。","","","Unrighteous Fire","Feu du vice ","Unredliches Feuer","アンライチャスファイヤー","불의의 화염","Fogo da Injustiça","Нечестивый огонь","Fuego injusto","ไฟอธรรม","邪惡之火",[2020],"",3,"","","","",36,27,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité. Vous bénéficiez Davantage de Dégâts des sorts.","Ihr erleidet Brandschaden, fügt Umstehenden Brandschaden zu und erleidet mehr Zauberschaden.","燃焼ダメージを受けている。周囲の敵に燃焼ダメージを与え、スペルダメージが増加。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 주고, 주문 피해가 증가합니다.","Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.","Вы получаете и наносите урон от горения окружащим противникам, а ваш урон от заклинаний повышен.","Recibes daño de incendio, infliges daño de incendio a quien esté a tu alrededor, y tienes daño de hechizos aumentado.","คุณได้รับความเสียหาย ติดไฟ, สร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ และมีความเสียหาย เวท เพิ่มขึ้น","點燃自己並對周圍的敵人造成傷害，增加法術傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火","[881,25,2578]",1,2,"","","",1,36,16,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[881,25,2578]",[],"","","","","","",[],"","","","","","","","","","",[],""
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu de la vertu d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Sühnendes Feuer' verwendet.","ライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 정의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Círculo Ardente","Противник рядом с вами наносит вам урон от горения Праведным огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego justo","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟธรรมะ","附近正在使用正義之火的敵人對你造成燃燒傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Círculo Ardente","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火",[2020],"",3,"","","","",36,21,"","",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
18,"invisible_fire_aura","","","","","","","","","","",1,"","","","","","","","","","","","[5012,5012,5012]",1,3,"","","","",36,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","",5,"","",0,[],"","",[],"",[],[],"[5012,5012,5012]",[],"","","","","","",[],"","","","","","","","","","",[],""
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","Vous subissez des Dégâts de brûlure à cause d'une Agonie dévorante.","Ihr erleidet Brandschaden durch Schleichende Agonie.","クリーピングアゴニーから燃焼ダメージを受けている","엄습하는 고통으로 인해 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo à Agonia Rastejante.","Вы получаете урон от горения, находясь рядом с Агонией.","Recibes daño de incendio de una Agonía trepidante","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก ความทุกข์ทรมานที่คืบคลาน","苦難蔓延對你造成燃燒傷害。","","","Creeping Agony","Agonie dévorante ","Schleichende Agonie","クリーピングアゴニー","엄습하는 고통","Agonia Rastejante","Агония","Agonía trepidante","ความทุกข์ทรมานที่คืบคลาน","苦難蔓延",[2020],"",3,"","","","",36,32,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","Vous subissez des Dégâts de brûlure à cause d'un Flamboiement divin.","Ihr erleidet Brandschaden durch eine Göttliche Fackel.","ディバインフレアから燃焼ダメージを受けている","신성한 섬광으로 인해 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo de uma Labareda Divina.","Вы получаете урон от горения, находясь рядом с Божественным разрядом","Recibes daño de incendio de un Estallido divino","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก เปลวศักดิ์สิทธิ์","聖光束對你造成燃燒傷害。","","","Divine Flare","Flamboiement divin ","Göttliche Fackel","ディバインフレア","신성한 섬광","Labareda Divina","Божественный разряд","Estallido divino","เปลวศักดิ์สิทธิ์","聖光束",[2020],"",3,"","","","",36,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","Vous subissez des Dégâts de brûlure à cause d'un Flamboiement divin.","Ihr erleidet Brandschaden durch eine Göttliche Fackel.","ディバインフレアから燃焼ダメージを受けている","신성한 섬광으로 인해 화상 피해를 받고 있습니다.","Você está sofrendo dano incendiário por estar próximo de uma Labareda Divina.","Вы получаете урон от горения, находясь рядом с Божественным разрядом","Recibes daño de incendio de un Estallido divino","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก เปลวศักดิ์สิทธิ์","聖光束對你造成燃燒傷害。","","","Divine Flare","Flamboiement divin ","Göttliche Fackel","ディバインフレア","신성한 섬광","Labareda Divina","Божественный разряд","Estallido divino","เปลวศักดิ์สิทธิ์","聖光束",[2020],"",3,"","","","",36,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2020],[],"","","","","","",[],"","","","","","","","","","",[],""
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","Vous subissez des Dégâts de physiques sur la durée à cause d'un Flamboiement hérétique.","Ihr erleidet physischen Schaden durch eine Ketzerische Fackel.","ヘレティカルフレアから物理継続ダメージを受けている","이단의 섬광으로 인해 지속 물리 피해를 받고 있습니다.","Você está sofrendo dano degenerativo físico por estar próximo de uma Labareda Herética.","Вы получаете урон от горения, находясь рядом с Еретичной вспышкой","Recibes daño físico degenerativo de un Estallido herético","คุณได้รับความเสียหาย กายภาพ ต่อเนื่องจาก เปลวนอกรีต","惡光束對你造成物理傷害。","","","Heretical Flare","Flamboiement hérétique ","Ketzerische Fackel","ヘレティカルフレア","이단의 섬광","Labareda Herética","Еретичная вспышка","Estallido herético","เปลวนอกรีต","惡光束",[355],"",3,"","","","",36,37,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[355],[],"","","","","","",[],"","","","","","","","","","",[],""
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","Vous subissez des Dégâts de foudre sur la durée à cause d'un Flamboiement galvanique.","Ihr erleidet Blitzschaden durch eine Galvanische Fackel.","ガルバニックフレアから雷ダメージを受けている","충격의 섬광으로 인해 번개 피해를 받고 있습니다.","Você está sofrendo dano de raio por estar próximo de uma Labareda Galvânica.","Вы получаете урон от молнии, находясь рядом с Разрядом молнии","Recibes daño de rayo de un Estallido galvánico","คุณได้รับความเสียหาย สายฟ้า ต่อเนื่องจาก เปลวกระแสไฟ","電光束對你造成閃電傷害。","","","Galvanic Flare","Flamboiement galvanique ","Galvanische Fackel","ガルバニックフレア","충격의 섬광","Labareda Galvânica","Разряд молнии","Estallido galvánico","เปลวกระแสไฟ","電光束",[2024],"",3,"","","","",36,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2024],[],"","","","","","",[],"","","","","","","","","","",[],""
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","Vous subissez des Dégâts de froid à cause d'un Glace dévorante.","Ihr erleidet Kälteschaden durch Schleichenden Frost.","クリーピングアイスから冷気ダメージを受けている","엄습하는 얼음으로 인한 냉기 피해를 받고 있습니다.","Você está sofrendo Dano de Gelo da Geleira Rastejante","Вы получаете урон от холода от Ползучего холода","Recibes daño de hielo de Hielo acechante","คุณได้รับความเสียหาย น้ำแข็ง จาก น้ำแข็งที่คืบคลาน","你受到來自冰冷滲透的冰冷傷害。","","","Creeping Ice","Glace dévorante ","Schleichender Frost","クリーピングアイス","엄습하는 얼음","Geleira Rastejante","Ползучий холод","Hielo acechante","เหมันต์ที่คืบคลาน","冰冷滲透",[2022],"",3,"","","","",36,31,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[2022],[],"","","","","","",[],"","","","","","","","","","",[],""
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","Vous subissez des Dégâts de chaos sur la durée.","Ihr erleidet Chaosschaden über Zeit.","混沌継続ダメージを受けている","지속 카오스 피해를 받고 있습니다.","Você está sofrendo Dano Degenerativo de Caos.","Вы получаете постепенный урон хаосом.","Recibes daño de caos degenerativo ","คุณได้รับความเสียหาย เคออส ต่อเนื่อง","你持續受到混沌傷害。","","","Sewage Toxins","Eaux usées ","Abwassertoxine","スーイッジトキシン","오염된 독소","Toxinas do Esgoto","Токсичные нечистоты","Toxinas de drenaje","สารพิษท่อน้ำทิ้ง","汙水毒素",[455],"",3,"","","","",36,725,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",5,"","",0,[],"","",[],"",[],[],[455],[],"","","","","","",[],"","","","","","","","","","",[],""
26,"fire_weapon","Your weapon does additional fire damage","Votre arme inflige des Dégâts de feu supplémentaires.","Eure Waffe fügt zusätzlichen Feuerschaden zu.","武器は追加の火ダメージを与える","무기가 추가 화염 피해를 줍니다.","Sua arma causa dano de fogo adicional","Ваше оружие наносит дополнительный урон от огня","Tu arma inflige daño de fuego adicional","อาวุธของคุณสร้างความเสียหาย ไฟ เพิ่มเติม","你的武器造成額外火焰傷害。","",1,"Fire Weapon","Arme enflammée ","Feuerwaffe","ファイヤーウェポン","화염 무기","Arma de Fogo","Огненное оружие","Arma de fuego","อาวุธไฟ","烈焰武器","[484,449]",1,3,"","","",1,36,38,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[484,449]",[],"","","","","","",[],"","","","","","","","","","",[],""
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","Chaque Charge offre Davantage de Dégâts, et une Augmentation à la Vitesse d'attaque et d'incantation.","Spieler erhalten für jede Raserei-Ladung mehr Schaden und erhöhte Angriffs- und Zaubergeschwindigkeit.","フレンジーチャージの数に応じてダメージが上昇し、アタックスピードおよびキャストスピードが増加。","격분을 충전할 때마다 플레이어의 피해량, 공격 및 시전 속도가 늘어납니다.","Jogadores ganham mais Dano e têm a Velocidade de Ataque e Conjuração aumentada por Carga de Frenesi possuída","Каждый заряд ярости даёт больше урона от атак и повышает скорость атаки и скорость сотворения чар","Los jugadores ganan más daño y velocidad de ataque y de lanzamiento de hechizos aumentadas por cada carga de frenesí que tengan","ผู้เล่นมีความเสียหาย เพิ่มขึ้น อีก และมีความเร็วในการโจมตีและร่าย เพิ่มขึ้น ต่อจำนวน Frenzy Charge ที่มี","每顆狂怒能量球提供更多傷害，增加攻擊、施放速度。","","","Frenzy Charges","Charges de frénésie ","Raserei-Ladungen","フレンジーチャージ","격분 충전","Cargas de Frenesi","Заряды ярости","Cargas de frenesí","Frenzy Charge","狂怒球",[],1,4,1,2698,19801,1,36,40,1,"",3,"",1,1,"",0,"","","","",8587,"",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
