"rownum","Id","Area1","bool_24","FlavourText","Connections","f32_57","f32_61","f32_65","f32_69","f32_73","UniqueArt","StartingNode","NotOnAtlas","DivCards","DivCardsHardmode","Tier","HASH16","IsUniqueMap","Region","Node_DDSFile","IsNormalMap","RequiresSpecificItem","VoidstoneSlot","MapDeviceLayout","QuestStates","bool_200","NodeDisplayName","Area2","bool_233","bool_234","f32_235","bool_239","i32_240","i32_244","i32_248","i32_252","bool_256","i32_257"
10,"MapWorldsIceberg",1105,"",2057,"[78,79,162]",521.883,681.859,208.04,-24.439,9.426,"","","","[3181,3257,3418,3428]","[3181,3257,3418,3428]",12,59084,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Iceberg.dds",1,"","",0,[],1,"",1105,1,1,1,"",0,0,0,0,"",1899
11,"MapWorldsFactory",1214,"",2164,"[69,92,37]",337.249,294.635,207.679,11.653,33.74,"","","","[3156,3209,3517,5082]","[3156,3209,3517,5082]",11,41763,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Factory.dds",1,"","",0,[],1,"",1214,1,1,1,"",0,0,0,0,"",1899
12,"MapWorldsCage",1106,"",2058,"[99,0,59,164]",647.549,527.115,105.432,-6.704,-7.797,"","","","[3102,3415,3445,3491]","[3102,3415,3445,3491]",3,3883,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Cage.dds",1,"","",0,[],1,"",1106,1,1,1,"",0,0,0,0,"",1899
13,"MapWorldsBazaar",1164,"",2116,"[54,56,7,58]",532.992,369.398,189.368,-21,9.254,"","","","[3106,5406,5408,5410]","[3106,5406,5408,5410]",4,36556,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Bazaar.dds",1,"","",0,[],1,"",1164,1,1,1,"",0,0,0,0,"",1899
14,"MapWorldsGraveyard",1097,"",2049,"[24,34]",206.256,336.573,122.065,-3.494,-19.186,"","","","[3144,3183,3362,5312]","[3144,3183,3362,5312]",15,53902,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Graveyard.dds",1,"","",0,[],1,"",1097,1,1,1,"",0,0,0,0,"",1899
15,"MapWorldsInfestedValley",1166,"",2118,"[9,24,157]",169.644,396.751,157.614,-16.626,0.633,"","","","[3120,3161,3222,3448]","[3120,3161,3222,3448]",15,24414,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Infestation.dds",1,"","",0,[],1,"",1166,1,1,1,"",0,0,0,0,"",1899
16,"MapWorldsBelfry",1197,"",2147,"[64,20,39]",736.372,307.088,236.37,-25.386,15.048,"","","","[3179,3323,3352,3442]","[3179,3323,3352,3442]",14,59460,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Belfry.dds",1,"","",0,[],1,"",1197,1,1,1,"",0,0,0,0,"",1899
17,"MapWorldsCourthouse",1117,"",2069,"[41,77,67,61,126]",452.976,628.619,155.114,12.086,-6.346,"","","","[3250,3344,3432,3508]","[3250,3344,3432,3508]",4,49777,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Courthouse.dds",1,"","",0,[],1,"",1117,1,1,1,"",0,0,0,0,"",1899
18,"MapWorldsTerrace",1234,"",2183,"[74,49,33,72]",309.244,568.233,140.999,11.31,5.119,"","","","[3312,3388,3469,5409]","[3312,3388,3469,5409]",7,42558,"",3,"Art/2DItems/Maps/Atlas2Maps/New/HighGardens.dds",1,"","",0,[],1,"",1234,1,1,1,"",0,0,0,0,"",1899
19,"MapWorldsReef",1249,"",2198,"[35,85,94]",531.282,571.374,92.839,15.313,3.912,"","","","[3294,3325,3326,3359]","[3294,3325,3326,3359]",2,53973,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Reef.dds",1,"","",0,[],1,"",1249,1,1,1,"",0,0,0,0,"",1899
20,"MapWorldsTemple",1188,"",2139,"[16,98,70,64,129]",737.517,367.224,253.998,-29.449,-17.697,"","","","[3269,3311,3338,3352]","[3269,3311,3338,3352]",12,45792,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Temple.dds",1,"","",0,[],1,"",1188,1,1,1,"",0,0,0,0,"",1899
21,"MapWorldsColonnade",1209,"",2159,"[68,42,44]",353.929,471.88,121.729,11.879,-8.489,"","","","[3193,3270,3427,3493]","[3193,3270,3427,3493]",5,31349,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Colonnade.dds",1,"","",0,[],1,"",1209,1,1,1,"",0,0,0,0,"",1899
22,"MapWorldsCells",1113,"",2065,"[32,58]",565.08,461.061,103.653,6.29,-12.855,"",1,"","[3131,3194,3302,3493]","[3131,3194,3302,3493]",1,3775,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Cells.dds",1,"","",0,[],1,"",1113,1,1,1,"",0,0,0,0,"",1899
23,"MapWorldsDesertSpring",1237,"",2186,"[82,28,38,57]",728.761,519.803,131.642,-3.763,11.995,"","","","[3340,3359,3392,3456]","[3340,3359,3392,3456]",8,10211,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Oasis.dds",1,"","",0,[],1,"",1237,1,1,1,"",0,0,0,0,"",1899
24,"MapWorldsPark",1232,"",2181,"[14,136,15]",147.098,323.851,133.832,14.988,13.784,"","","","[3096,3107,3246,3282]","[3096,3107,3246,3282]",16,32613,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Park.dds",1,"","",0,[],1,"",1232,1,1,1,"",0,0,0,0,"",1899
25,"MapWorldsRelicChambers",1116,"",2068,"[89,59,26,142]",648.938,435.894,102.985,9.411,1.815,"","","","[3136,3179,3246,5411]","[3136,3179,3246,5411]",5,35162,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Antiquary.dds",1,"","",0,[],1,"",1116,1,1,1,"",0,0,0,0,"",1899
26,"MapWorldsSilo",1274,"",2210,"[25,95]",691.317,455.478,60.18,-17.935,-14.1,"","","","[3341,3416,3475,3485]","[3341,3416,3475,3485]",7,24497,"",1,"Art/2DItems/Maps/Atlas2Maps/New/RobotTunnelSilo.dds",1,"","",0,[],1,"",1274,1,1,1,"",0,0,0,0,"",1899
27,"MapWorldsMuseum",1191,"",2142,"[3,53,130]",205.513,675.249,125.233,15.82,-15.698,"","","","[3188,3320,5244,5359]","[3188,3320,5244,5359]",14,33220,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Museum.dds",1,"","",0,[],1,"",1191,1,1,1,"",0,0,0,0,"",1899
28,"MapWorldsChannel",1132,"",2084,"[23,38,88]",765.391,550.612,118.579,-17.177,19.921,"","","","[3277,3353,3457,3488]","[3277,3353,3457,3488]",10,22278,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Channel.dds",1,"","",0,[],1,"",1132,1,1,1,"",0,0,0,0,"",1899
29,"MapWorldsArsenal",1236,"",2185,"[138,39]",858.45,321.924,104.207,-17.058,-3.598,"","","","[3087,3189,3220,5311]","[3087,3189,3220,5311]",16,25202,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Arsenal.dds",1,"","",0,[],1,"",1236,1,1,1,"",0,0,0,0,"",1899
30,"MapWorldsWaterways",1213,"",2163,"[76,31]",622.928,335.664,158.83,-0.101,0.852,"","","","[3451,3454,3457,3458]","[3451,3454,3457,3458]",10,28402,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Waterways.dds",1,"","",0,[],1,"",1213,1,1,1,"",0,0,0,0,"",1899
31,"MapWorldsAridLake",1102,"",2054,"[64,30,37]",553.107,310.578,188.826,-17.544,5.868,"","","","[3165,3275,3450,3503]","[3165,3275,3450,3503]",11,27782,"",1,"Art/2DItems/Maps/Atlas2Maps/New/AridLake.dds",1,"","",0,[],1,"",1102,1,1,1,"",0,0,0,0,"",1899
32,"MapWorldsSpiderLair",1136,"",2088,"[59,22,54]",610.051,474.585,98.649,-1.514,-16.647,"","","","[3110,3387,3515,4813]","[3110,3387,3515,4813]",2,60607,"",1,"Art/2DItems/Maps/Atlas2Maps/New/SpiderLair.dds",1,"","",0,[],1,"",1136,1,1,1,"",0,0,0,0,"",1899
33,"MapWorldsLaboratory",1165,"",2117,"[67,42,49,18]",338.329,540.25,111.661,18.081,28.719,"","","","[3094,3225,3255,3409]","[3094,3225,3255,3409]",5,43561,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Laboratory.dds",1,"","",0,[],1,"",1165,1,1,1,"",0,0,0,0,"",1899
34,"MapWorldsConservatory",1127,"",2079,"[92,14]",256.945,303.287,73.247,-20.494,24.177,"","","","[3142,3253,3400,5409]","[3142,3253,3400,5409]",14,6755,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Baths.dds",1,"","",0,[],1,"",1127,1,1,1,"",0,0,0,0,"",1899
35,"MapWorldsGhetto",1231,"",2180,"[19,85]",521.094,607.971,71.006,25.686,-16.537,"","","","[3150,3230,3265,4942]","[3150,3230,3265,4942]",3,14879,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Ghetto.dds",1,"","",0,[],1,"",1231,1,1,1,"",0,0,0,0,"",1899
36,"MapWorldsHauntedMansion",1129,"",2081,"[95,89,76]",660.778,373.333,87.71,15.365,23.395,"","","","[3276,3401,3415,3480]","[3276,3401,3415,3480]",7,1215,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Chambers.dds",1,"","",0,[],1,"",1129,1,1,1,"",0,0,0,0,"",1899
37,"MapWorldsDarkForest",1241,"",2190,"[11,31,160]",446.331,311.924,226.516,-1.257,-7.88,"","","","[3115,3235,3259,3383]","[3115,3235,3259,3383]",12,34447,"",0,"Art/2DItems/Maps/Atlas2Maps/New/DarkForest.dds",1,"","",0,[],1,"",1241,1,1,1,"",0,0,0,0,"",1899
38,"MapWorldsPlateau",1185,"",2136,"[28,6,23,45,123]",711.046,590.977,159.35,0.671,1.739,"","","","[3121,3127,3232,5085]","[3121,3127,3232,5085]",9,34832,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Plateau.dds",1,"","",0,[],1,"",1185,1,1,1,"",0,0,0,0,"",1899
39,"MapWorldsGraveTrough",1268,"",2204,"[16,98,29]",818.664,356.928,147.447,-23.571,-13.034,"","","","[3277,3411,3414,5440]","[3277,3411,3414,5440]",15,34760,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Burn.dds",1,"","",0,[],1,"",1268,1,1,1,"",0,0,0,0,"",1899
40,"MapWorldsLookout",1095,"",2047,"[62,91,73]",247.656,472.707,121.394,26.378,-36.285,"","","","[3148,3193,3254,3276]","[3148,3193,3254,3276]",9,48831,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Lookout.dds",1,"","",0,[],1,"",1095,1,1,1,"",0,0,0,0,"",1899
41,"MapWorldsArachnidNest",1163,"",2115,"[67,17,97]",466.145,584.593,105.124,-25.363,-1.953,"","","","[3139,3192,3252,3266]","[3139,3192,3252,3266]",2,36866,"",3,"Art/2DItems/Maps/Atlas2Maps/New/ArachnidNest.dds",1,"","",0,[],1,"",1163,1,1,1,"",0,0,0,0,"",1899
42,"MapWorldsGardens",1162,"",2114,"[5,33,21,144]",355.606,518.272,85.312,2.363,-10.155,"","","","[3228,3401,3469,4815]","[3228,3401,3469,4815]",4,11533,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Terrace.dds",1,"","",0,[],1,"",1162,1,1,1,"",0,0,0,0,"",1899
43,"MapWorldsBurialChambers",1112,"",2064,"[86,63,98,163]",832.746,474.91,163.066,-4.287,9.605,"","","","[3088,3141,3289,3486]","[3088,3141,3289,3486]",14,43016,"",1,"Art/2DItems/Maps/Atlas2Maps/New/BurialChambers.dds",1,"","",0,[],1,"",1112,1,1,1,"",0,0,0,0,"",1899
44,"MapWorldsGeode",1170,"",2122,"[68,48,21]",320.009,448.946,107.52,18.198,-19.239,"","","","[3118,3243,3307,3451]","[3118,3243,3307,3451]",6,58981,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Quarry.dds",1,"","",0,[],1,"",1170,1,1,1,"",0,0,0,0,"",1899
45,"MapWorldsPromenade",1206,"",2156,"[79,6,38,88,132]",711.128,665.158,211.884,-26.282,-9.713,"","","","[3129,3135,5357,5405]","[3129,3135,5357,5405]",10,54757,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Promenade.dds",1,"","",0,[],1,"",1206,1,1,1,"",0,0,0,0,"",1899
46,"MapWorldsSummit",1219,"",2168,"[83,51,68]",403.158,437.217,105.73,17.151,-0.879,"","","","[3134,3256,3331,4814]","[3134,3256,3331,4814]",3,60634,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Summit.dds",1,"","",0,[],1,"",1219,1,1,1,"",0,0,0,0,"",1899
47,"MapWorldsPrimordialPool",1210,"",2160,"[137,53]",149.318,675.326,106.732,8.654,1.913,"","","","[3104,3160,3275,3462]","[3104,3160,3275,3462]",16,25302,"",3,"Art/2DItems/Maps/Atlas2Maps/New/PrimordialPool.dds",1,"","",0,[],1,"",1210,1,1,1,"",0,0,0,0,"",1899
48,"MapWorldsSulphurVents",1128,"",2080,"[44,62,66,91]",289.557,426.666,125.89,26.609,1.729,"","","","[3260,3292,3360,3405]","[3260,3292,3360,3405]",7,6074,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Corrosion.dds",1,"","",0,[],1,"",1128,1,1,1,"",0,0,0,0,"",1899
49,"MapWorldsColdRiver_",1272,"",2208,"[18,33,77,4]",368.164,618.296,152.572,-1.641,-12.56,"","","","[3107,3174,4814,5442]","[3107,3174,4814,5442]",6,38080,"",3,"Art/2DItems/Maps/Atlas2Maps/New/ColdRiver.dds",1,"","",0,[],1,"",1272,1,1,1,"",0,0,0,0,"",1899
50,"MapWorldsToxicSewer",1133,"",2085,"[93,74]",248.797,566.008,65.567,2.031,-23.604,"","","","[3161,3292,3360,5246]","[3161,3292,3360,5246]",10,25747,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Sewer.dds",1,"","",0,[],1,"",1133,1,1,1,"",0,0,0,0,"",1899
51,"MapWorldsColosseum",1239,"",2188,"[46,65]",393.229,475.629,59.668,18.571,-16.335,"","","","[3093,3145,3149,3218]","[3093,3145,3149,3218]",2,16355,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Colosseum.dds",1,"","",0,[],1,"",1239,1,1,1,"",0,0,0,0,"",1899
52,"MapWorldsForkingRiver",1270,"",2206,"[75,90,80]",815.196,658.229,116.146,-2.204,-1.321,"","","","[3138,3170,3379,3428]","[3138,3170,3379,3428]",15,29382,"",2,"Art/2DItems/Maps/Atlas2Maps/New/ForkingRiver.dds",1,"","",0,[],1,"",1270,1,1,1,"",0,0,0,0,"",1899
53,"MapWorldsCrystalOre",1223,"",2172,"[47,27,81,165]",170.335,632.845,102.671,3.625,8.366,"","","","[3308,3351,3381,3472]","[3308,3351,3381,3472]",15,17684,"",3,"Art/2DItems/Maps/Atlas2Maps/New/CrystalOre.dds",1,"","",0,[],1,"",1223,1,1,1,"",0,0,0,0,"",1899
54,"MapWorldsFrozenCabins",1266,"",2203,"[13,59,58,32]",592.887,417.341,166.723,-0.983,3.688,"","","","[3134,3170,3257,3418]","[3134,3170,3257,3418]",3,51403,"",1,"Art/2DItems/Maps/Atlas2Maps/New/FrozenCabins.dds",1,"","",0,[],1,"",1266,1,1,1,"",0,0,0,0,"",1899
55,"MapWorldsCore",1238,"",2187,"[57,70]",734.175,428.572,59.561,11.68,21.663,"","","","[3104,3321,3426,3435]","[3104,3321,3426,3435]",10,35484,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Core.dds",1,"","",0,[],1,"",1238,1,1,1,"",0,0,0,0,"",1899
56,"MapWorldsOvergrownShrine",1220,"",2169,"[13,89,133]",589.716,368.561,117.872,-3.956,11.942,"","","","[3095,3184,3234,3262]","[3095,3184,3234,3262]",5,26468,"",1,"Art/2DItems/Maps/Atlas2Maps/New/OvergrownShrine.dds",1,"","",0,[],1,"",1220,1,1,1,"",0,0,0,0,"",1899
57,"MapWorldsVault",1187,"",2138,"[95,55,23,125]",735.478,471.917,106.678,-18.982,1.434,"","","","[3105,3112,3114,3408]","[3105,3112,3114,3408]",9,57839,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Vault.dds",1,"","",0,[],1,"",1187,1,1,1,"",0,0,0,0,"",1899
58,"MapWorldsRamparts",1155,"",2107,"[54,22,13]",536.063,417.504,107.473,16.683,-3.607,"","","","[3135,3191,3263,3272]","[3135,3191,3263,3272]",2,52736,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Ramparts.dds",1,"","",0,[],1,"",1155,1,1,1,"",0,0,0,0,"",1899
59,"MapWorldsFloodedMine",1103,"",2055,"[54,32,25,12]",650.8,472.679,133.047,-26.231,-2.577,"","","","[3200,3294,3342,3373]","[3200,3294,3342,3373]",4,63065,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Cavern.dds",1,"","",0,[],1,"",1103,1,1,1,"",0,0,0,0,"",1899
60,"MapWorldsCitySquare",1115,"",2067,"[4,72,71]",280.359,636.589,111.674,28.566,-12.7,"","","","[3169,3203,3305,3492]","[3169,3203,3305,3492]",9,44762,"",3,"Art/2DItems/Maps/Atlas2Maps/New/CitySquare.dds",1,"","",0,[],1,"",1115,1,1,1,"",0,0,0,0,"",1899
61,"MapWorldsDunes",1156,"",2108,"[85,8,17,122]",533.308,646.791,158.81,-6.088,-17.291,"","","","[3214,3371,3417,4941]","[3214,3371,3417,4941]",5,53116,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Dunes.dds",1,"","",0,[],1,"",1156,1,1,1,"",0,0,0,0,"",1899
62,"MapWorldsLavaLake",1246,"",2195,"[66,48,40,69,73]",286.549,382.413,180.184,8.584,19.714,"","","","[3092,3148,3227,3260]","[3092,3148,3227,3260]",8,20343,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Corpse.dds",1,"","",0,[],1,"",1246,1,1,1,"",0,0,0,0,"",1899
63,"MapWorldsVaalPyramid",1168,"",2120,"[90,80,104,43]",851.021,557.651,200.972,-0.593,11.065,"","","","[3137,3154,3367,3407]","[3137,3154,3367,3407]",15,28018,"",2,"Art/2DItems/Maps/Atlas2Maps/New/VaalPyramid.dds",1,"","",0,[],1,"",1168,1,1,1,"",0,0,0,0,"",1899
64,"MapWorldsBrambleValley",1265,"",2202,"[16,31,20,158]",603.515,286.712,207.241,47.431,33.017,"","","","[3139,3252,3437,5243]","[3139,3252,3437,5243]",13,44170,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Bramblefall.dds",1,"","",0,[],1,"",1265,1,1,1,"",0,0,0,0,"",1899
65,"MapWorldsForbiddenWoods",1273,"",2209,"[51,83]",436.326,462.107,103.21,-6.261,-15.023,"",1,"","[3192,3203,3266,3512]","[3192,3203,3266,3512]",1,26156,"",0,"Art/2DItems/Maps/Atlas2Maps/New/ForbiddenWoods.dds",1,"","",0,[],1,"",1273,1,1,1,"",0,0,0,0,"",1899
66,"MapWorldsShipyard",1196,"",2146,"[7,62,48,127]",355.98,385.734,171.958,-1.81,-7.659,"","","","[3128,3295,3309,3379]","[3128,3295,3309,3379]",6,11724,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Shipyard.dds",1,"","",0,[],1,"",1196,1,1,1,"",0,0,0,0,"",1899
67,"MapWorldsMesa",1215,"",2165,"[41,5,33,17]",399.693,590.791,155.694,1.036,-12.814,"","","","[3109,3118,3211,3501]","[3109,3118,3211,3501]",3,19999,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Mesa.dds",1,"","",0,[],1,"",1215,1,1,1,"",0,0,0,0,"",1899
68,"MapWorldsAlleyways",1099,"",2051,"[44,46,7,21,87]",382.832,410.181,162.721,1.272,-2.253,"","","","[3151,3272,3355,3433]","[3151,3272,3355,3433]",4,42968,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Alleyways.dds",1,"","",0,[],1,"",1099,1,1,1,"",0,0,0,0,"",1899
69,"MapWorldsAtoll",1146,"",2098,"[11,62,120]",351.116,338.077,112.198,-33.706,3.689,"","","","[3127,3155,3353,3488]","[3127,3155,3353,3488]",10,19776,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Atoll.dds",1,"","",0,[],1,"",1146,1,1,1,"",0,0,0,0,"",1899
70,"MapWorldsFoundry",1271,"",2207,"[55,20,98,119]",770.473,450.954,137.377,-1.245,-28.5,"","","","[3099,3333,3416,3517]","[3099,3333,3416,3517]",11,31509,"",1,"Art/2DItems/Maps/Atlas2Maps/New/ThaumaturgyDungeon.dds",1,"","",0,[],1,"",1271,1,1,1,"",0,0,0,0,"",1899
71,"MapWorldsTribunal",1151,"",2103,"[78,60]",346.394,658.2,137.665,-6.6,1.597,"","","","[3207,3365,5313,5360]","[3207,3365,5313,5360]",10,5132,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Tribunal.dds",1,"","",0,[],1,"",1151,1,1,1,"",0,0,0,0,"",1899
72,"MapWorldsCemetery",1148,"",2100,"[74,4,18,60,121]",274.183,586.798,123.24,17.786,-5.275,"","","","[3144,3318,3411,4811]","[3144,3318,3411,4811]",8,12635,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Cemetery.dds",1,"","",0,[],1,"",1148,1,1,1,"",0,0,0,0,"",1899
73,"MapWorldsLair",1208,"",2158,"[40,62,92,124]",225.108,415.075,133.412,19.555,-3.956,"","","","[3122,3215,3245,3256]","[3122,3215,3245,3256]",10,8823,"",0,"Art/2DItems/Maps/Atlas2Maps/New/Lair.dds",1,"","",0,[],1,"",1208,1,1,1,"",0,0,0,0,"",1899
74,"MapWorldsJungleValley",1140,"",2092,"[72,18,50,91]",274.018,527.294,116.434,13.393,7.982,"","","","[3231,3437,3512,4813]","[3231,3437,3512,4813]",9,4003,"",3,"Art/2DItems/Maps/Atlas2Maps/New/JungleValley.dds",1,"","",0,[],1,"",1140,1,1,1,"",0,0,0,0,"",1899
75,"MapWorldsArachnidTomb",1198,"",2148,"[88,52]",764.967,680.485,79.741,16.454,-30.001,"","","","[3184,3205,3343,3426]","[3184,3205,3343,3426]",14,7465,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Arachnid.dds",1,"","",0,[],1,"",1198,1,1,1,"",0,0,0,0,"",1899
76,"MapWorldsPalace",1245,"",2194,"[95,36,30]",692.439,362.743,129.822,-28.597,16.595,"","","","[3202,3204,3217,3241]","[3202,3204,3217,3241]",9,51878,"",1,"Art/2DItems/Maps/Atlas2Maps/New/Palace.dds",1,"","",0,[],1,"",1245,1,1,1,"",0,0,0,0,"",1899
77,"MapWorldsSiege",1194,"",2145,"[17,4,49]",419.352,653.337,136.087,-29.415,-23.58,"","","","[3150,3264,3492,5410]","[3150,3264,3492,5410]",5,3756,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Boulevard.dds",1,"","",0,[],1,"",1194,1,1,1,"",0,0,0,0,"",1899
78,"MapWorldsStagnation",1264,"",2201,"[10,71,3,143,149]",398.685,684.359,256.183,0.181,-6.094,"","","","[3254,3270,3450,5243]","[3254,3270,3450,5243]",11,3182,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Stagnation.dds",1,"","",0,[],1,"",1264,1,1,1,"",0,0,0,0,"",1899
79,"MapWorldsOrchard",1205,"",2155,"[45,10]",595.75,702.897,200.256,21.147,-24.681,"","","","[3312,3327,3400,3430]","[3312,3327,3400,3430]",11,38855,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Orchard.dds",1,"","",0,[],1,"",1205,1,1,1,"",0,0,0,0,"",1899
80,"MapWorldsGrotto",1122,"",2074,"[139,63,52]",865.408,662.996,177.449,-7.574,-24.181,"","","","[3307,3387,3454,3458]","[3307,3387,3454,3458]",16,19420,"",2,"Art/2DItems/Maps/Atlas2Maps/New/Grotto.dds",1,"","",0,[],1,"",1122,1,1,1,"",0,0,0,0,"",1899
81,"MapWorldsFields",1139,"",2091,"[1,53,161]",153.989,599.555,111.382,18.23,-17.319,"","","","[3109,3158,3211,4941]","[3109,3158,3211,4941]",14,36207,"",3,"Art/2DItems/Maps/Atlas2Maps/New/Fields.dds",1,"","",0,[],1,"",1139,1,1,1,"",0,0,0,0,"",1899
