"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsDropDisabled"
13,12412,1161,666,806,"","æ","Caer Blaidd, Wolfpack's Den","Caer Blaidd, la Tanière de la meute","Caer Blaidd – Wolfsrudelhöhle","カーイルブライズ・群狼の巣","캐어블레이드 늑대의 소굴","Caer Blaidd, Covil dos Lobos","Caer Blaidd, логово стаи","Caer Blaidd, Madriguera de Lobos","Caer Blaidd, Wolfpack's Den","塞爾．佈雷德狼穴",""
14,12481,1121,723,893,1,"™","The Perandus Manor","Le Manoir des Pérandus","Das Perandus-Anwesen","ペランダスの邸宅","페란두스 저택","Mansão Perandus","Особняк Перандусов","La Mansion Perandus","The Perandus Manor","普蘭德斯莊園",1
15,12798,1192,807,1049,"","Õ","The Putrid Cloister","Le Cloître putride","Das faulige Kloster","邪悪な学園","악취 나는 수도원","O Claustro Pútrido","Тлетворная обитель","El Claustro Pútrido","The Putrid Cloister","腐臭迴廊",""
16,12799,1149,809,1051,"","Ð","Hallowed Ground","La Nuit des masques","Nacht des Grauens","聖地","거룩한 대지","Solo Sagrado","Священные земли","Una Noche de Terror","Hallowed Ground","萬聖之地",""
17,13038,1258,962,1512,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．歸徒",""
18,13039,1259,962,1512,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．降師",""
19,13040,1260,962,1512,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．神臨",""
20,13042,1181,964,1533,"","^","The Twilight Temple","Le Temple du Crépuscule","Der Zwielichttempel","黄昏の寺院","황혼의 사원","O Templo do Crepúsculo","Сумеречный храм","El Templo del Crepúsculo","The Twilight Temple","暮色神廟",""
21,13043,1131,968,1534,1,"‹","Doryani's Machinarium","Le Machinarium de Doryani","Doryanis Machinarium","ドリヤニのマシナリウム","도리아니의 기계실","Maquinário de Doryani","Машинариум Дориани","Taller de Maquinas de Doryani","Doryani's Machinarium","多里亞尼的機械迷城",""
22,13044,1157,972,1535,"","›","Pillars of Arun","Les Piliers d'Arun","Säulen von Arun","アルンの柱","아룬의 기둥","Pilares de Arun","Столпы Арун","Pilares de Arun","Pillars of Arun","艾倫之柱",""
23,13671,459,1192,2215,1,"","Altered Distant Memory","Souvenir lointain altéré","Veränderte entfernte Erinnerung","改変された遠い記憶","뒤바뀐 희미한 기억","Memória Distânte Alterada","Изменённое отдалённое воспоминание","Memoria lejana alterada","ความทรงจำที่ห่างไกลที่ถูกแก้ไข","遙遠記憶：編造",""
24,13672,460,1193,2216,1,"","Augmented Distant Memory","Souvenir lointain exacerbé","Verstärkte entfernte Erinnerung","増幅された遠い記憶","강화된 희미한 기억","Memória Distânte Aumentada","Дополненное отдалённое воспоминание","Memoria lejana mejorada","ความทรงจำที่ห่างไกลที่ถูกแต่งเติม","遙遠記憶：增幅",""
25,13673,461,1194,2217,1,"","Twisted Distant Memory","Souvenir lointain déformé","Verdorbene entfernte Erinnerung","歪められた遠い記憶","뒤틀린 희미한 기억","Memória Distânte Distorcida","Искажённое отдалённое воспоминание","Memoria lejana retorcida","ความทรงจำที่ห่างไกลที่ถูกบิดเบือน","遙遠記憶：扭曲",""
26,13674,462,1195,2218,1,"","Rewritten Distant Memory","Souvenir lointain réécrit","Umgeschriebene entfernte Erinnerung","書き換えられた遠い記憶","다시 쓰인 희미한 기억","Memória Distânte Reescrita","Переписанное отдалённое воспоминание","Memoria lejana reescrita","ความทรงจำที่ห่างไกลที่ถูกเขียนใหม่","遙遠記憶：改寫",""
27,13675,458,1196,2219,1,"","Cortex","Le Cortex","Cortex","コーテクス","코텍스","Córtex","Кора","Córtex","Cortex","深沉記憶",""
28,13041,1261,1283,1512,1,"","Infused Beachhead","La Tête de pont infusée","Verstärkter Brückenkopf","強化された侵攻拠点","주입된 교두보","A Cabeça de Ponte Infundida","Усиленный Плацдарм","La cabecera de la playa infundida","Infused Beachhead","神域之殿．煉獄",""
29,13676,458,1197,2219,1,"","Cortex","Le Cortex","Cortex","コーテクス","코텍스","Córtex","Кора","Córtex","Cortex","深沉記憶",""
30,13045,1157,973,1535,1,"","Pillars of Arun","Les Pilliers d'Arun","Säulen von Arun","アルンの柱","아룬의 기둥","Pilares de Arun","Столпы Арун","Pilares de Arun","Pillars of Arun","艾倫之柱",""
31,9887,1189,208,191,1,"","Poorjoy's Asylum","L'Asile de Poorjoy","PoorJoys Zuflucht","プアジョイの収容所","푸어조이의 은신처","Hospício de Poorjoy","Богадельня Паршута","Asilo de Poorjoy","Poorjoy's Asylum","沉淪之間",""
32,14365,1780,1411,1790,1,"","The Tower of Ordeals","La Tour des Épreuves","Der Turm der Prüfungen","試練の塔","시련의 탑","A Torre das Provações","Башня испытаний","La torre de los calvarios","The Tower of Ordeals","磨難之塔",1
