"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","Buff_StatValuesRuthless"
32,"ToggleStatuesMerciless_Cold2","",562,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
33,"ToggleStatuesMerciless_Lightning2","",564,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
34,"ToggleStatuesEndgame_Fire","",559,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
35,"ToggleStatuesEndgame_Cold","",561,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
36,"ToggleStatuesEndgame_Lightning","",563,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
37,"ToggleStatuesEndgame_Fire2","",560,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[30,-20,30,500,0]"
38,"ToggleStatuesEndgame_Cold2","",562,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[30,-20,30,500,0]"
39,"ToggleStatuesEndgame_Lightning2","",564,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[30,-20,30,500,0]"
40,"PowerPylonsCruel_Vulnerability",5030,"",[],"",[]
41,"PowerPylonsCruel_TempChains",5028,"",[],"",[]
42,"PowerPylonsCruel_EleWeakness",5032,"",[],"",[]
43,"PowerPylonsCruel_Vulnerability2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
44,"PowerPylonsCruel_TempChains2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
45,"PowerPylonsCruel_EleWeakness2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
46,"PowerPylonsMerciless_Vulnerability",5029,"",[],"",[]
47,"PowerPylonsMerciless_TempChains",5027,"",[],"",[]
48,"PowerPylonsMerciless_EleWeakness",5031,"",[],"",[]
49,"PowerPylonsMerciless_Vulnerability2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
50,"PowerPylonsMerciless_TempChains2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
51,"PowerPylonsMerciless_EleWeakness2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
52,"PowerPylonsEndgame_Vulnerability",5029,"",[],"",[]
53,"PowerPylonsEndgame_TempChains",5027,"",[],"",[]
54,"PowerPylonsEndgame_EleWeakness",5031,"",[],"",[]
55,"PowerPylonsEndgame_Vulnerability2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
56,"PowerPylonsEndgame_TempChains2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
57,"PowerPylonsEndgame_EleWeakness2","",670,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
58,"ElementalNormal_Fire",1153,634,[20],"",[]
59,"ElementalNormal_Cold",1154,636,[20],"",[]
60,"ElementalNormal_Lightning",1155,638,[20],"",[]
61,"ElementalNormal_Fire2",1156,635,"[20,500,667]","","[20,500,0]"
62,"ElementalNormal_Cold2",1157,637,"[20,500,667]","","[20,500,0]"
63,"ElementalNormal_Lightning2",1158,639,"[20,500,667]","","[20,500,0]"
64,"ElementalCruel_Fire",1153,634,[30],"",[]
65,"ElementalCruel_Cold",1154,636,[30],"",[]
66,"ElementalCruel_Lightning",1155,638,[30],"",[]
67,"ElementalCruel_Fire2",1156,635,"[30,500,667]","","[30,500,0]"
68,"ElementalCruel_Cold2",1157,637,"[30,500,667]","","[30,500,0]"
69,"ElementalCruel_Lightning2",1158,639,"[30,500,667]","","[30,500,0]"
70,"ElementalMerciless_Fire",1153,634,[40],"",[]
71,"ElementalMerciless_Cold",1154,636,[40],"",[]
72,"ElementalMerciless_Lightning",1155,638,[40],"",[]
73,"ElementalMerciless_Fire2",1156,635,"[40,500,667]","","[40,500,0]"
74,"ElementalMerciless_Cold2",1157,637,"[40,500,667]","","[40,500,0]"
75,"ElementalMerciless_Lightning2",1158,639,"[40,500,667]","","[40,500,0]"
76,"ElementalEndgame_Fire",1153,634,[60],"",[]
77,"ElementalEndgame_Cold",1154,636,[60],"",[]
78,"ElementalEndgame_Lightning",1155,638,[60],"",[]
79,"ElementalEndgame_Fire2",1156,635,"[60,500,667]","","[60,500,0]"
80,"ElementalEndgame_Cold2",1157,637,"[60,500,667]","","[60,500,0]"
81,"ElementalEndgame_Lightning2",1158,639,"[60,500,667]","","[60,500,0]"
82,"PortalSummon1_Fire",5044,"",[],"",[]
83,"PortalSummon1_Cold",5045,"",[],"",[]
84,"PortalSummon1_Lightning",5046,"",[],"",[]
85,"PortalSummon2_Fire",5047,670,"[500,667]","","[500,0]"
86,"PortalSummon2_Cold",5048,670,"[500,667]","","[500,0]"
87,"PortalSummon2_Lightning",5049,670,"[500,667]","","[500,0]"
88,"GargoylesNormal_Fire",5035,653,[-20],"",[]
89,"GargoylesNormal_Cold",5034,651,"[20,20]","",[]
90,"GargoylesNormal_Lightning",5033,649,[12],"",[]
91,"GargoylesNormal_Fire2",5038,654,"[-20,500,667]","","[-20,500,0]"
92,"GargoylesNormal_Cold2",5037,652,"[20,20,500,667]","","[20,20,500,0]"
93,"GargoylesNormal_Lightning2",5036,650,"[12,500,667]","","[12,500,0]"
94,"GargoylesCruel_Fire",5035,653,[-20],"",[]
95,"GargoylesCruel_Cold",5034,651,"[20,20]","",[]
96,"GargoylesCruel_Lightning",5033,649,[20],"",[]
97,"GargoylesCruel_Fire2",5038,654,"[-20,500,667]","","[-20,500,0]"
98,"GargoylesCruel_Cold2",5037,652,"[20,20,500,667]","","[20,20,500,0]"
99,"GargoylesCruel_Lightning2",5036,650,"[20,500,667]","","[20,500,0]"
100,"GargoylesMerciless_Fire",5035,653,[-20],"",[]
101,"GargoylesMerciless_Cold",5034,651,"[20,20]","",[]
102,"GargoylesMerciless_Lightning",5033,649,[20],"",[]
103,"GargoylesMerciless_Fire2",5038,654,"[-20,500,667]","","[-20,500,0]"
104,"GargoylesMerciless_Cold2",5037,652,"[20,20,500,667]","","[20,20,500,0]"
105,"GargoylesMerciless_LIghtning2",5036,650,"[20,500,667]","","[20,500,0]"
106,"GargoylesEndgame_Fire",5035,653,[-25],"",[]
107,"GargoylesEndgame_Cold",5034,651,"[30,30]","",[]
108,"GargoylesEndgame_Lightning",5033,649,[20],"",[]
109,"GargoylesEndgame_Fire2",5038,654,"[-25,500,667]","","[-25,500,0]"
110,"GargoylesEndgame_Cold2",5037,652,"[30,30,500,667]","","[30,30,500,0]"
111,"GargoylesEndgame_Lightning2",5036,650,"[20,500,667]","","[20,500,0]"
112,"ChronoStatues1_1",5050,"",[],"",[]
113,"ChronoStatues1_2",5051,"",[],"",[]
114,"ChronoStatues1_3",5052,"",[],"",[]
115,"ChronoStatues2_1",5053,670,"[500,667]","","[500,0]"
116,"ChronoStatues2_2",5054,670,"[500,667]","","[500,0]"
117,"ChronoStatues2_3",5055,670,"[500,667]","","[500,0]"
118,"Pedestals1_1",5056,659,[10],"",[]
119,"Pedestals1_2",5057,657,[25],"",[]
120,"Pedestals1_3",5058,655,[10],"",[]
121,"Pedestals2_1","",660,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,500,0]"
122,"Pedestals2_2","",658,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,500,0]"
123,"Pedestals2_3","",656,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,500,0]"
