"rownum","Id","CraftFamily","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Script","ScriptArgument","HASH16","bool_38","Tier","bool_55","Achievement","bool_72","rid_73","i32_89"
10,"AddGemExperienceUber3",1,"Add 100m experience to a <white>{Gem}","Ajoute 100m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 100m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を100m追加する","<white>{젬}에 경험치 100,000,000 추가","Adiciona 100m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 100м опыта","Agrega 100 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 100 ล้าน ให้​กับ <white>{หิน}","新增 1 億經驗至 1 顆 <white>{寶石}","add_experience_to_gem","100000000",-8147,"",0,"",[],"",562,1
11,"AddGemExperienceUber4",1,"Add 150m experience to a <white>{Gem}","Ajoute 150m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 150m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を150m追加する","<white>{젬}에 경험치 150,000,000 추가","Adiciona 150m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 150м опыта","Agrega 150 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 150 ล้าน ให้​กับ <white>{หิน}","新增 1 億 5000 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","150000000",12820,"",1,"",[],"",562,1
12,"AddGemQualityNormal1",2,"Add +2% quality to a <white>{Gem}","Ajoute +2% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +2% Qualität hinzu","<white>{ジェム}に品質+2%を追加する","<white>{젬}에 퀄리티 +2% 추가","Adiciona +2% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +2% качества","Agrega +2% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +2% ให้​กับ <white>{หิน}","新增 +2% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","2",31564,"",0,"",[],"",562,1
13,"AddGemQualityNormal2",2,"Add +3% quality to a <white>{Gem}","Ajoute +3% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +3% Qualität hinzu","<white>{ジェム}に品質+3%を追加する","<white>{젬}에 퀄리티 +3% 추가","Adiciona +3% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +3% качества","Agrega +3% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +3% ให้​กับ <white>{หิน}","新增 +3% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","3",22945,"",0,"",[],"",562,1
14,"AddGemQualityNormal3",2,"Add +5% quality to a <white>{Gem}","Ajoute +5% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +5% Qualität hinzu","<white>{ジェム}に品質+5%を追加する","<white>{젬}에 퀄리티 +5% 추가","Adiciona +5% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +5% качества","Agrega +5% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +5% ให้​กับ <white>{หิน}","新增 +5% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","5",-31059,"",0,"",[],"",562,1
15,"AddGemQualityNormal4",2,"Add +8% quality to a <white>{Gem}","Ajoute +8% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +8% Qualität hinzu","<white>{ジェム}に品質+8%を追加する","<white>{젬}에 퀄리티 +8% 추가","Adiciona +8% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +8% качества","Agrega +8% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +8% ให้​กับ <white>{หิน}","新增 +8% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","8",23438,"",1,"",[],"",562,1
16,"AddGemQualityCruel1",2,"Add +3% quality to a <white>{Gem}","Ajoute +3% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +3% Qualität hinzu","<white>{ジェム}に品質+3%を追加する","<white>{젬}에 퀄리티 +3% 추가","Adiciona +3% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +3% качества","Agrega +3% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +3% ให้​กับ <white>{หิน}","新增 +3% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","3",-594,"",0,"",[],"",562,1
17,"AddGemQualityCruel2",2,"Add +4% quality to a <white>{Gem}","Ajoute +4% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +4% Qualität hinzu","<white>{ジェム}に品質+4%を追加する","<white>{젬}에 퀄리티 +4% 추가","Adiciona +4% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +4% качества","Agrega +4% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +4% ให้​กับ <white>{หิน}","新增 +4% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","4",-15866,"",0,"",[],"",562,1
18,"AddGemQualityCruel3",2,"Add +6% quality to a <white>{Gem}","Ajoute +6% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +6% Qualität hinzu","<white>{ジェム}に品質+6%を追加する","<white>{젬}에 퀄리티 +6% 추가","Adiciona +6% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +6% качества","Agrega +6% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +6% ให้​กับ <white>{หิน}","新增 +6% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","6",-21347,"",0,"",[],"",562,1
19,"AddGemQualityCruel4",2,"Add +10% quality to a <white>{Gem}","Ajoute +10% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +10% Qualität hinzu","<white>{ジェム}に品質+10%を追加する","<white>{젬}에 퀄리티 +10% 추가","Adiciona +10% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +10% качества","Agrega +10% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +10% ให้​กับ <white>{หิน}","新增 +10% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","10",28494,"",1,"",[],"",562,1
20,"AddGemQualityMerciless1",2,"Add +4% quality to a <white>{Gem}","Ajoute +4% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +4% Qualität hinzu","<white>{ジェム}に品質+4%を追加する","<white>{젬}에 퀄리티 +4% 추가","Adiciona +4% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +4% качества","Agrega +4% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +4% ให้​กับ <white>{หิน}","新增 +4% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","4",-20540,"",0,"",[],"",562,1
21,"AddGemQualityMerciless2",2,"Add +6% quality to a <white>{Gem}","Ajoute +6% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +6% Qualität hinzu","<white>{ジェム}に品質+6%を追加する","<white>{젬}에 퀄리티 +6% 추가","Adiciona +6% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +6% качества","Agrega +6% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +6% ให้​กับ <white>{หิน}","新增 +6% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","6",-28895,"",0,"",[],"",562,1
22,"AddGemQualityMerciless3",2,"Add +10% quality to a <white>{Gem}","Ajoute +10% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +10% Qualität hinzu","<white>{ジェム}に品質+10%を追加する","<white>{젬}에 퀄리티 +10% 추가","Adiciona +10% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +10% качества","Agrega +10% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +10% ให้​กับ <white>{หิน}","新增 +10% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","10",29212,"",0,"",[],"",562,1
23,"AddGemQualityMerciless4",2,"Add +15% quality to a <white>{Gem}","Ajoute +15% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +15% Qualität hinzu","<white>{ジェム}に品質+15%を追加する","<white>{젬}에 퀄리티 +15% 추가","Adiciona +15% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +15% качества","Agrega +15% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +15% ให้​กับ <white>{หิน}","新增 +15% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","15",8790,"",1,"",[],"",562,1
24,"AddGemQualityUber1",2,"Add +8% quality to a <white>{Gem}","Ajoute +8% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +8% Qualität hinzu","<white>{ジェム}に品質+8%を追加する","<white>{젬}에 퀄리티 +8% 추가","Adiciona +8% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +8% качества","Agrega +8% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +8% ให้​กับ <white>{หิน}","新增 +8% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","8",11545,"",0,"",[],"",562,1
25,"AddGemQualityUber2",2,"Add +10% quality to a <white>{Gem}","Ajoute +10% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +10% Qualität hinzu","<white>{ジェム}に品質+10%を追加する","<white>{젬}에 퀄리티 +10% 추가","Adiciona +10% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +10% качества","Agrega +10% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +10% ให้​กับ <white>{หิน}","新增 +10% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","10",-16109,"",0,"",[],"",562,1
26,"AddGemQualityUber3",2,"Add +15% quality to a <white>{Gem}","Ajoute +15% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +15% Qualität hinzu","<white>{ジェム}に品質+15%を追加する","<white>{젬}에 퀄리티 +15% 추가","Adiciona +15% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +15% качества","Agrega +15% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +15% ให้​กับ <white>{หิน}","新增 +15% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","15",-24949,"",0,"",[],"",562,1
27,"AddGemQualityUber4",2,"Add +20% quality to a <white>{Gem}","Ajoute +20% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +20% Qualität hinzu","<white>{ジェム}に品質+20%を追加する","<white>{젬}에 퀄리티 +20% 추가","Adiciona +20% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +20% качества","Agrega +20% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +20% ให้​กับ <white>{หิน}","新增 +20% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","20",26359,"",1,"",[],"",562,1
28,"GemExperienceToFacetorsLensMerciless1",3,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as a <white>{Facetor's Lens}","<white>{Sacrifie} une <white>{Gemme} et vous donne 20% de son expérience sous forme de <white>{Lentille de ciseleur}","<white>{Opfert} eine <white>{Gemme} und erhaltet 20% der Erfahrung der Gemme gespeichert als <white>{Linse des Facettenschleifers}","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の20%を<white>{宝石加工のレンズ}として保存する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 20%를 <white>{무아지경의 렌즈}로 획득","<white>{Sacrifique} uma <white>{Gema} para receber 20% do total de experiência da gema como uma <white>{Lente de Facetor}","<white>{Пожертвовать камнем} и получить 20% от итогового накопленного им опыта в виде <white>{линзы награнения}","<white>{Sacrifica} una <white>{gema} para obtener el 20% de la experiencia total de la gema almacenada en una <white>{Lente del facetador}","<white>{สังเวย หิน} เพื่อ​นำ 20% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​ใน <white>{Facetor's Lens}","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 20% 寶石總保存經驗的<white>{費斯特之鏡}","sacrifice_gem_for_currency","experience 20",-23220,"",1,"",[],"",562,0
29,"GemExperienceToFacetorsLensMerciless2",3,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as a <white>{Facetor's Lens}","<white>{Sacrifie} une <white>{Gemme} et vous donne 40% de son expérience sous forme de <white>{Lentille de ciseleur}","<white>{Opfert} eine <white>{Gemme} und erhaltet 40% der Erfahrung der Gemme gespeichert als <white>{Linse des Facettenschleifers}","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の40%を<white>{宝石加工のレンズ}として保存する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 40%를 <white>{무아지경의 렌즈}로 획득","<white>{Sacrifique} uma <white>{Gema} para receber 40% do total de experiência da gema como uma <white>{Lente de Facetor}","<white>{Пожертвовать камнем} и получить 40% от итогового накопленного им опыта в виде <white>{линзы награнения}","<white>{Sacrifica} una <white>{gema} para obtener el 40% de la experiencia total de la gema almacenada en una <white>{Lente del facetador}","<white>{สังเวย หิน} เพื่อ​นำ 40% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​ใน <white>{Facetor's Lens}","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 40% 寶石總保存經驗的<white>{費斯特之鏡}","sacrifice_gem_for_currency","experience 40",7845,"",2,"",[],"",562,0
30,"GemExperienceToFacetorsLensUber1",3,"<white>{Sacrifice} a <white>{Gem} to gain 30% of the gem's total experience stored as a <white>{Facetor's Lens}","<white>{Sacrifie} une <white>{Gemme} et vous donne 30% de son expérience sous forme de <white>{Lentille de ciseleur}","<white>{Opfert} eine <white>{Gemme} und erhaltet 30% der Erfahrung der Gemme gespeichert als <white>{Linse des Facettenschleifers}","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の30%を<white>{宝石加工のレンズ}として保存する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 30%를 <white>{무아지경의 렌즈}로 획득","<white>{Sacrifique} uma <white>{Gema} para receber 30% do total de experiência da gema como uma <white>{Lente de Facetor}","<white>{Пожертвовать камнем} и получить 30% от итогового накопленного им опыта в виде <white>{линзы награнения}","<white>{Sacrifica} una <white>{gema} para obtener el 30% de la experiencia total de la gema almacenada en una <white>{Lente del facetador}","<white>{สังเวย หิน} เพื่อ​นำ 30% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​ใน <white>{Facetor's Lens}","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 30% 寶石總保存經驗的<white>{費斯特之鏡}","sacrifice_gem_for_currency","experience 30",21369,"",1,"",[],"",562,0
31,"GemExperienceToFacetorsLensUber2",3,"<white>{Sacrifice} a <white>{Gem} to gain 60% of the gem's total experience stored as a <white>{Facetor's Lens}","<white>{Sacrifie} une <white>{Gemme} et vous donne 60% de son expérience sous forme de <white>{Lentille de ciseleur}","<white>{Opfert} eine <white>{Gemme} und erhaltet 60% der Erfahrung der Gemme gespeichert als <white>{Linse des Facettenschleifers}","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の60%を<white>{宝石加工のレンズ}として保存する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 60%를 <white>{무아지경의 렌즈}로 획득","<white>{Sacrifique} uma <white>{Gema} para receber 60% do total de experiência da gema como uma <white>{Lente de Facetor}","<white>{Пожертвовать камнем} и получить 60% от итогового накопленного им опыта в виде <white>{линзы награнения}","<white>{Sacrifica} una <white>{gema} para obtener el 60% de la experiencia total de la gema almacenada en una <white>{Lente del facetador}","<white>{สังเวย หิน} เพื่อ​นำ 60% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​ใน <white>{Facetor's Lens}","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 60% 寶石總保存經驗的<white>{費斯特之鏡}","sacrifice_gem_for_currency","experience 60",14336,"",2,"",[],"",562,0
32,"GemExperienceToCharacterExperienceCruel1",4,"<white>{Sacrifice} a <white>{Gem} to gain 10% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 10% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 10% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の10%をキャラクターの経験値として保存する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 10%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 10% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 10% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 10% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 10% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 10% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","10",8194,"",1,"",[],"",562,0
33,"GemExperienceToCharacterExperienceCruel2",4,"<white>{Sacrifice} a <white>{Gem} to gain 15% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 15% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 15% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の15%をキャラクターの経験値として追加する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 15%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 15% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 15% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 15% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 15% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 15% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","15",18989,"",2,"",[],"",562,0
34,"GemExperienceToCharacterExperienceMerciless1",4,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 20% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 20% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の20%をキャラクターの経験値として追加する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 20%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 20% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 20% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 20% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 20% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 20% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","20",-5142,"",1,"",[],"",562,0
