"rownum","Id","string_8","i32_16","string_20","string_20 (French)","string_20 (German)","string_20 (Japanese)","string_20 (Korean)","string_20 (Portuguese)","string_20 (Russian)","string_20 (Spanish)","string_20 (Thai)","string_20 (Traditional Chinese)","i32_28","i32_32","i32_36","rid_40","i32_56","rid_60","i32_76","i32_80","[rid]_84","[i32]_100","row_116","bool_124","[rid]_125","bool_141"
36,"CoralForestCorner2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_Cnr_02.arm",12,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
37,"CoralForestT1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_T_01.arm",13,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
38,"CoralForestT2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_T_02.arm",13,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
39,"CoralForestCross1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_All_01.arm",15,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
40,"CoralForestCross2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_All_02.arm",15,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
41,"CoralForestCross3","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_Generic_All_03.arm",15,"Undersea Groves","Bosquets sous-marins","Unterwasserwälder","海底の木立","바다 밑 숲","Bosques Subaquáticos","Подводные рощи","Bosques submarinos","แมกไม้ทะเล","海底幽林",0,0,0,1,8,"",3,5,[],[],"","","[11739,11760]",""
42,"CoralForestAbyssalPit1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_AbyssPit_01.arm",15,"Pelagic Abyss","Abysse pélagique","Pelagischer Abgrund","外洋のアビス","원양 심연","Abismo Pelágico","Морская пучина","Abismo pelágico","อะบิสก้นสมุทร","遠洋深淵",0,0,0,1,8,"",4,6,[],[],"",1,"[11735,11756]",""
43,"CoralForestAbyssalPit2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_AbyssPit_02.arm",15,"Pelagic Abyss","Abysse pélagique","Pelagischer Abgrund","外洋のアビス","원양 심연","Abismo Pelágico","Морская пучина","Abismo pelágico","อะบิสก้นสมุทร","遠洋深淵",0,0,0,1,8,"",4,6,[],[],"",1,"[11735,11756]",""
44,"CoralForestEldritchHorrors1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_EldritchHorrors_01.arm",4,"Eldritch Depths","Profondeurs surnaturelles","Unheimliche Tiefen","エルドリッチの深み","섬뜩한 지하","Profundezas Sobrenaturais","Мистические глубины","Profundidades sobrenaturales","เบื้องลึกผิดธรรมชาติ","異能深溝",0,0,0,1,8,"",4,6,[],[],"",1,"[11730,11751]",""
45,"CoralForestEldritchHorrors2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_EldritchHorrors_02.arm",1,"Eldritch Depths","Profondeurs surnaturelles","Unheimliche Tiefen","エルドリッチの深み","섬뜩한 지하","Profundezas Sobrenaturais","Мистические глубины","Profundidades sobrenaturales","เบื้องลึกผิดธรรมชาติ","異能深溝",0,0,0,1,8,"",4,6,[],[],"",1,"[11730,11751]",""
46,"CoralForestStarfishPillars1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_StarfishPillars_01.arm",5,"Sea Pillars","Piliers marins","Meeressäulen","海の柱","바다 기둥","Pilares Marítimos","Морские колонны","Pilares marinos","เสาท้องทะเล","海洋之柱",0,0,0,1,8,"",4,6,[],[],"",1,"[11737,11758]",""
47,"CoralForestStarfishPillars2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_StarfishPillars_02.arm",5,"Sea Pillars","Piliers marins","Meeressäulen","海の柱","바다 기둥","Pilares Marítimos","Морские колонны","Pilares marinos","เสาท้องทะเล","海洋之柱",0,0,0,1,8,"",4,6,[],[],"",1,"[11737,11758]",""
48,"CoralForestVaalRuins1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_VaalRuins_01.arm",13,"Lost Ruins","Ruines perdues","Verlorene Ruinen","失われた遺跡","사라진 유적","Ruínas Perdidas","Затерянные руины","Ruinas abandonadas","ซากปรักหักพังสาบสูญ","失落遺跡",0,0,0,1,8,"",4,6,[23256],[1],"",1,"[11733,11754]",""
49,"CoralForestVaalRuins2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralForest/Rooms/CoralForest_VaalRuins_02.arm",13,"Lost Ruins","Ruines perdues","Verlorene Ruinen","失われた遺跡","잃어버린 폐허","Ruínas Perdidas","Затерянные руины","Ruinas abandonadas","ซากปรักหักพังสาบสูญ","失落遺跡",0,0,0,1,8,"",4,6,[23256],[1],"",1,"[11733,11754]",""
50,"CoralReefEnd1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_End_01.arm",4,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",4,6,[],[],"","","[11736,11757]",""
51,"CoralReefEnd2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_End_02.arm",4,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",4,6,[],[],"","","[11736,11757]",""
52,"CoralReefStraight1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_St_01.arm",5,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",4,6,[],[],"","","[11736,11757]",""
53,"CoralReefStraight2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_St_02.arm",5,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
54,"CoralReefCorner1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_Cnr_01.arm",6,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
55,"CoralReefCorner2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_Cnr_02.arm",6,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
56,"CoralReefT1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_T_01.arm",13,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
57,"CoralReefT2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_T_02.arm",13,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
58,"CoralReefCross1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_All_01.arm",15,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
59,"CoralReefCross2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_All_02.arm",15,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
60,"CoralReefCross3","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_Generic_All_03.arm",15,"Seafloor Ridges","Crêtes sous-marines","Meeresrücken","海底の尾根","해저 마루","Dorsais Marinhas","Донные хребты","Cordilleras submarinas","สันเขาใต้ทะเล","海底山脊",0,0,0,2,8,"",3,5,[],[],"","","[11736,11757]",""
61,"CoralReefBrineKingShrines1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_BrineKingShrines_01.arm",12,"Brine King's Domain","Domaine du Roi des Embruns","Reich des Gischtkönigs","ブラインキングの領域","염수왕의 영토","Domínio do Rei da Salmoura","Владения Морского царя","Dominio del rey del mar","แดนราชันน้ำเค็ม","海洋王的領域",0,0,0,2,8,"",4,6,"[23022,23279]","[1,15]","",1,"[11727,11748]",""
62,"CoralReefBrineKingShrines2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_BrineKingShrines_02.arm",12,"Brine King's Domain","Domaine du Roi des Embruns","Reich des Gischtkönigs","ブラインキングの領域","염수왕의 영토","Domínio do Rei da Salmoura","Владения Морского царя","Dominio del rey del mar","แดนราชันน้ำเค็ม","海洋王的領域",0,0,0,2,8,"",4,6,"[23022,23279]","[1,15]","",1,"[11727,11748]",""
63,"CoralReefDeepSeaDiver1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_DeepSeaDiver_01.arm",12,"Diving Shoals","Hauts-fonds plongeants","Tauchplätze","潜水の浅瀬","잠수 모래톱","Bancos de Mergulho","Водолазная отмель","Bancos de buceo","สันดอนดำน้ำ","潛水沙洲",0,0,0,2,8,"",2,4,[],[],"",1,"[11729,11750]",""
64,"CoralReefDeepSeaDiver2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_DeepSeaDiver_02.arm",12,"Diving Shoals","Hauts-fonds plongeants","Tauchplätze","潜水の浅瀬","잠수 모래톱","Bancos de Mergulho","Водолазная отмель","Bancos de buceo","สันดอนดำน้ำ","潛水沙洲",0,0,0,2,8,"",2,4,[],[],"",1,"[11729,11750]",""
65,"CoralReefKaruiTotem1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_KaruiTotem_01.arm",8,"Sunken Totems","Totems engloutis","Gesunkene Totems","沈んだトーテム","가라앉은 토템","Totens Submersos","Затонувшие тотемы","Tótems hundidos","โทเทมใต้น้ำ","沉沒圖騰",0,0,0,2,8,"",2,4,[],[],"",1,"[11738,11759]",""
66,"CoralReefKaruiTotem2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_KaruiTotem_02.arm",8,"Sunken Totems","Totems engloutis","Gesunkene Totems","沈んだトーテム","가라앉은 토템","Totens Submersos","Затонувшие тотемы","Tótems hundidos","โทเทมใต้น้ำ","沉沒圖騰",0,0,0,2,8,"",2,4,[],[],"",1,"[11738,11759]",""
67,"CoralReefTreasureClams1","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_TreasureClams_01.arm",4,"Clam-infested Shelf","Plateau infesté de palourdes","Muschelbewachsenes Schelf","貝が群生する海棚","조개투성이 선반","Prateleira Infestada de Mariscos","Поросший ракушками шельф","Repisa infestada de almejas","โขดหินหอยเกาะ","蛤蜊之架",0,0,0,2,8,"",2,4,[],[],"",1,"[11728,11749]",""
68,"CoralReefTreasureClams2","Metadata/Terrain/Leagues/Deepwater/BiomeCoralReef/Rooms/CoralReef_TreasureClams_02.arm",4,"Clam-infested Shelf","Plateau infesté de palourdes","Muschelbewachsenes Schelf","貝が群生する海棚","조개투성이 선반","Prateleira Infestada de Mariscos","Поросший ракушками шельф","Repisa infestada de almejas","โขดหินหอยเกาะ","蛤蜊之架",0,0,0,2,8,"",2,4,[],[],"",1,"[11728,11749]",""
69,"ThermalVentsCross1","Metadata/Terrain/Leagues/Deepwater/BiomeThermalVents/Rooms/ThermalVents_Generic_All_01.arm",15,"[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1","[DNT] ThermalVentsCross1",0,0,0,3,8,"",3,6,[],[],"","",[],""
