"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
11,"AtlasPassiveInfoBonus","{0}/{1} points from Atlas Bonus Objectives","{0}/{1} points provenant d'Objectifs bonus de l'Atlas","{0}/{1} Punkte von Atlas-Bonuszielen","{0}/{1} アトラスパッシブポイント - ボーナス目標から","아틀라스 부가 목표를 완료하여 획득한 포인트: {0}/{1}포인트","{0}/{1} pontos dos Objetivos Bônus do Atlas","{0}/{1} от дополнительных заданий Атласа","{0}/{1} puntos de objetivos bonus del Atlas","{0}/{1} แต้มจากภารกิจโบนัสแอตลาส","{0}/{1} 點來自輿圖特殊目標","","","","","","","","","","","","","","","","","","","","",1208954878,"","","","","","","","","","","","","","","","","","","",""
12,"AtlasPassiveInfoQuest","({1}/{2} from {0})","({1}/{2} de « {0} »)","({1}/{2} von {0})","({1}/{2} - {0}から)","({0} 완료로 {1}/{2}포인트 획득)","({1}/{2} de {0})","({1}/{2} от {0})","({1}/{2} de {0})","({1}/{2} แต้มจาก {0})","({1}/{2} 來自 {0})","","","","","","","","","","","","","","","","","","","","",2042252757,"","","","","","","","","","","","","","","","","","","",""
13,"AtlasPassiveInfoQuestTotal","{0}/{1} points from quests:","{0}/{1} points provenant de quêtes :","{0}/{1} Punkte von Quests:","{0}/{1} ポイント - クエストから","퀘스트를 완료하여 획득한 포인트: {0}/{1}포인트","{0}/{1} pontos de missões:","{0}/{1} от заданий:","{0}/{1} puntos de misiones:","{0}/{1} แต้มจากเควสต์:","{0}/{1} 點來自任務：","","","","","","","","","","","","","","","","","","","","",-568626981,"","","","","","","","","","","","","","","","","","","",""
14,"BugReportInstructions","Bug report submitted and reference added to your clipboard. Please post any relevant information to the Bug Reports forum along with the reference ID.","Signalement de bug soumis et numéro de référence ajoutée au presse-papiers. Veuillez poster toute information pertinente dans le forum de signalement des bugs avec le numéro de référence. ","Fehlerbericht eingereicht und Referenz-ID zu deiner Zwischenablage hinzugefügt. Bitte füge alle relevanten Informationen im Forum für Fehlerberichte zusammen mit der Referenz-ID ein.","バグレポートが送信され、参照情報がクリップボードに追加されました。関連情報を参照IDとともにバグ報告フォーラムに投稿してください。","버그 신고가 제출되고 참조 ID가 클립보드에 추가되었습니다. 관련 정보가 있을 경우 참조 ID와 함께 버그 신고 포럼에 게시해주십시오.","Relatório de bug enviado e referência adicionada à sua área de transferência. Por favor, poste qualquer informação relevante no fórum de Relatórios de Bugs junto com o ID de referência.","Отчёт об ошибке отправлен и справочная информация скопирована в буфер обмена. Пожалуйста, опубликуйте все подробности касательно ошибки на форуме сообщений об ошибках и оставьте справочный ID.","Informe de error enviado y referencia añadida a tu portapapeles. Publica cualquier información relevante en el foro de Reportes de errores junto con el ID de referencia.","ส่งรายงานบัคสำเร็จและแนบไอดีอ้างอิงลงไปในคลิปบอร์ดของคุณแล้ว กรุณาโพสต์ข้อมูลที่เกี่ยวข้องลงในเว็บบอร์ดรายงานบัคของเราพร้อมกับไอดีอ้างอิงดังกล่าว","已提交錯誤回報，識別資訊已新增至你的剪貼簿。請將任何相關資訊及識別號碼上傳到錯誤回報論壇。","","","","","","","","","","","Please post your bug report number and a short description of the bug you're encountering in the \""Console Bug Reports\"" section of the Path of Exile forums at pathofexile.com.","Merci d'indiquer le numéro de votre signalement de bug ainsi qu'une courte description du problème rencontré dans la section « Signalements de bugs – Consoles » du forum sur fr.pathofexile.com.","Bitte übermittle deine Fehlerberichtnummer und eine kurze Beschreibung des Fehlers im Forenbereich \""Konsole: Fehlerberichte\"" auf de.pathofexile.com.","バグレポート番号と起こったバグの詳細を、pathofexile.comのPath of Exileフォーラム内の「コンソールバグレポート」セクションに投稿してください。","버그 신고 번호와 현재 겪고 계신 버그에 대한 간략한 설명을 pathofexile.com에 있는 \""콘솔 버그 신고\"" 섹션에 남겨주십시오.","Por favor, poste o número do seu relatório de bug com uma breve descrição do bug que encontrou na sessão \""Relatórios de Bugs dos Consoles\"" no fórum do Path of Exile em br.pathofexile.com.","Пожалуйста, разместите номер вашего отчёта об ошибке и краткое описание проблемы в разделе форума \""Ошибки игры на консолях\"" на ru.pathofexile.com.","Publica el número de reporte del error y una pequeña descripción del error que has encontrado en la sección del foro de Path of Exile \""Reportes de errores de consolas\"" en es.pathofexile.com.","กรุณาโพสต์ตัวเลขการรายงานบัคของคุณพร้อมรายละเอียดสั้นๆ เกี่ยวกับบัคที่คุณพบในหมวด \""รายงานบัคระบบคอนโซล\"" ภายในเว็บบอร์ด Path of Exile ที่ pathofexile.com","請在 pathofexile.tw 網站的《流亡黯道》論壇＞「Console錯誤通報」處回報你的錯誤通報編號以及你所遇到錯誤的簡短描述。",178533524,"Please post your bug report number and a short description of the bug you're encountering in the \""Console Bug Reports\"" section of the Path of Exile forums at pathofexile.com.","Merci d'indiquer le numéro de votre signalement de bug ainsi qu'une courte description du problème rencontré dans la section « Signalements de bugs – Consoles » du forum sur fr.pathofexile.com.","Bitte übermittle deine Fehlerberichtnummer und eine kurze Beschreibung des Fehlers im Forenbereich \""Konsole: Fehlerberichte\"" auf de.pathofexile.com.","バグレポート番号と起こったバグの詳細を、pathofexile.comのPath of Exileフォーラム内の「コンソールバグレポート」セクションに投稿してください。","버그 신고 번호와 현재 겪고 계신 버그에 대한 간략한 설명을 pathofexile.com에 있는 \""콘솔 버그 신고\"" 섹션에 남겨주십시오.","Por favor poste seu relatório de bug e uma descrição curta do bug que encontrou na seção \""Relatórios de Bugs no Console\"" dos fórums do Path of Exile em pathofexile.com.","Пожалуйста, разместите номер вашего отчёта об ошибке и краткое описание проблемы в разделе форума \""Ошибки игры на консолях\"" на ru.pathofexile.com.","Publica el número de reporte del error y una pequeña descripción del error que has encontrado en la sección del foro de Path of Exile \""Reportes de errores de consolas\"" en es.pathofexile.com.","กรุณาโพสต์ตัวเลขการรายงานบัคของคุณพร้อมรายละเอียดสั้นๆ เกี่ยวกับบัคที่คุณพบในหมวด \""รายงานบัคระบบคอนโซล\"" (Console Bug Reports) ภายในเว็บบอร์ด Path of Exile ที่ pathofexile.com","請在 pathofexile.com 網站的《流亡黯道》論壇＞「Console錯誤通報」處回報你的錯誤通報編號以及你所遇到錯誤的簡短描述。","","","","","","","","","",""
15,"NoLocalPlayer","Player not found in this area.","Joueur introuvable dans cette zone.","Spieler in diesem Gebiet nicht gefunden.","そのプレイヤーは同じエリアにはいません","이 지역에서 플레이어를 찾을 수 없습니다.","Jogador não encontrado nesta área.","В этой области игрока нет.","No se encontró al jugador en esta área.","ไม่พบผู้เล่นในด่านนี้","該玩家不在這張地圖","","","","","","","","","","","","","","","","","","","","",2038616933,"","","","","","","","","","","","","","","","","","","",""
16,"PvPTeam1","Red","Rouge","Rot","赤","빨강","Vermelho","Красные","Rojo","แดง","紅","","","","","","","","","","","","","","","","","","","","",1296032131,"","","","","","","","","","","","","","","","","","","",""
17,"PvPTeam2","Blue","Bleue","Blau","青","파랑","Azul","Синие","Azul","ฟ้า","藍","","","","","","","","","","","","","","","","","","","","",460309644,"","","","","","","","","","","","","","","","","","","",""
18,"PvPTeam3","Green","Verte","Grün","緑","초록","Verde","Зеленые","Verde","เขียว","綠","","","","","","","","","","","","","","","","","","","","",-979122138,"","","","","","","","","","","","","","","","","","","",""
19,"PvPGainPoint","{0} Team gains a point","L'équipe {0} marque un point","Team {0} erhält einen Punkt","{0}チームがポイントを獲得しました","{0} 팀 포인트 획득","Equipe {0} recebe um ponto","{0} получают очко","El equipo {0} gana un punto","ทีม {0} ได้รับหนึ่งแต้ม","{0} 隊獲得一分","","","","","","","","","","","","","","","","","","","","",-1708303633,"","","","","","","","","","","","","","","","","","","",""
20,"PvPWinMatch","{0} Team has won the match","L'équipe {0} a gagné la partie","Team {0} hat das Match gewonnen","{0}チームが試合に勝利しました","{0} 팀 경기 승리","Equipe {0} venceu a partida","{0} побеждают в матче","El equipo {0} ha ganado el combate","ทีม {0} เป็นผู้ชนะการแข่งขัน","{0} 隊獲勝","","","","","","","","","","","","","","","","","","","","",545507044,"","","","","","","","","","","","","","","","","","","",""
21,"PvPRoundDraw","Draw","Match nul","Unentschieden","引き分け","무승부","Empate","Ничья","Empate","เสมอ","平手","","","","","","","","","","","","","","","","","","","","",-2102602787,"","","","","","","","","","","","","","","","","","","",""
22,"PvPMatchDraw","Match ended in a draw","La partie s'est terminée sur un nul","Match endete in einem Unentschieden","試合は引き分けで終わりました","경기 무승부","A partida terminou em empate","Матч завершился вничью","El combate ha finalizado en empate","การแข่งขันจบลงด้วยการเสมอ","比賽以平手作收","","","","","","","","","","","","","","","","","","","","",-888590208,"","","","","","","","","","","","","","","","","","","",""
23,"PvPMatchPointChange","Point Change: <valuedefault>{{{0}}}","Modification des points : <valuedefault>{{{0}}}","Punktänderung: <valuedefault>{{{0}}}","ポイントの変化: <valuedefault>{{{0}}}","포인트 변동: <valuedefault>{{{0}}}","Mudança na Pontuação: <valuedefault>{{{0}}}","Изменение очков: <valuedefault>{{{0}}}","Variación de puntos: <valuedefault>{{{0}}}","คะแนนที่เปลี่ยน <valuedefault>{{{0}}}","分數變動：{0}","","","","","","","","","","","","","","","","","","","","",255069204,"","","","","","","","","","","","","","","","","","","",""
24,"PvPMatchRatingChange","Rating Change: <valuedefault>{{{0}}}","Modification du classement : <valuedefault>{{{0}}}","Wertungsänderung: <valuedefault>{{{0}}}","レートの変化: <valuedefault>{{{0}}}","등급 변동: <valuedefault>{{{0}}}","Mudança na Classificação: <valuedefault>{{{0}}}","Изменение рейтинга: <valuedefault>{{{0}}}","Variación de ranking: <valuedefault>{{{0}}}","เรทที่เปลี่ยน <valuedefault>{{{0}}}","積分變動：{0}","","","","","","","","","","","","","","","","","","","","",-1508538350,"","","","","","","","","","","","","","","","","","","",""
25,"PvPMatchLeoReputationGained","Leo Reputation Gained: <valuedefault>{{{0}}}","Réputation acquise auprès de Léo : <valuedefault>{{{0}}}","Ansehen bei Leo erhalten: <valuedefault>{{{0}}}","リオからの評価を獲得: <valuedefault>{{{0}}}","획득한 레오 평판: <valuedefault>{{{0}}}","Reputação do Leo Obtida: <valuedefault>{{{0}}}","Получено благосклонности Лео: <valuedefault>{{{0}}}","Reputación Ganada de Leo: <valuedefault>{{{0}}}","ได้รับชื่อเสียงจากลีโอ <valuedefault>{{{0}}}","獲得里歐友好度：{0}","","","","","","","","","","","","","","","","","","","","",150416678,"","","","","","","","","","","","","","","","","","","",""
26,"PvPTimeLeft","Time Left: <valuedefault>{{{0}}}","Temps restant : <valuedefault>{{{0}}}","Zeit verbleibend: <valuedefault>{{{0}}}","残り時間: <valuedefault>{{{0}}}","남은 시간: <valuedefault>{{{0}}}","Tempo Restante: <valuedefault>{{{0}}}","Осталось времени: <valuedefault>{{{0}}}","Tiempo restante: <valuedefault>{{{0}}}","เหลือเวลาอีก <valuedefault>{{{0}}}","剩餘時間：{0}","","","","","","","","","","","","","","","","","","","","",1753808341,"","","","","","","","","","","","","","","","","","","",""
27,"PvPRoundXOfY","Round <valuedefault>{{{0}}} of <valuedefault>{{{1}}}","Manche <valuedefault>{{{0}}} sur <valuedefault>{{{1}}}","Runde <valuedefault>{{{0}}} von <valuedefault>{{{1}}}","ラウンド <valuedefault>{{{0}}} / <valuedefault>{{{1}}}","라운드 <valuedefault>{{{0}}} / <valuedefault>{{{1}}}","Rodada <valuedefault>{{{0}}} de <valuedefault>{{{1}}}","Раунд <valuedefault>{{{0}}} из <valuedefault>{{{1}}}","Ronda <valuedefault>{{{0}}} de <valuedefault>{{{1}}}","รอบ <valuedefault>{{{0}}} ใน <valuedefault>{{{1}}}","第 {0} 之 {1} 回合","","","","","","","","","","","","","","","","","","","","",676189538,"","","","","","","","","","","","","","","","","","","",""
28,"PvPFlagTaken","{0} Team's flag has been taken","Le drapeau de l'équipe {0} a été capturé.","Flagge von Team {0} wurde entwendet","{0}チームの旗が持ち去られました","{0} 팀이 깃발을 빼앗겼습니다","A bandeira da Equipe {0} foi tomada","{0} потеряли флаг","La bandera del equipo {0} ha sido capturada","ธงของทีม {0} ถูกชิงไปแล้ว","{0} 隊的旗子已被奪取","","","","","","","","","","","","","","","","","","","","",-260297289,"","","","","","","","","","","","","","","","","","","",""
29,"PvPFlagCaptured","{0} Team captured a flag","L'équipe {0} a capturé un drapeau.","Team {0} hat eine Flagge erobert","{0}チームが旗をキャプチャーしました","{0} 팀이 깃발을 획득하였습니다","A Equipe {0} capturou uma bandeira","{0} захватили флаг","El equipo {0} capturó una bandera","ทีม {0} ชิงธงสำเร็จ","{0} 隊奪取了一面旗子","","","","","","","","","","","","","","","","","","","","",-1428555414,"","","","","","","","","","","","","","","","","","","",""
30,"PvPFlagReturned","{0} Team's flag has been returned","Le drapeau de l'équipe {0} a été récupéré.","Flagge von Team {0} wurde zurückgebracht","{0}チームの旗が戻りました","{0} 팀의 깃발이 적에게 넘어갔습니다","A bandeira da Equipe {0} foi devolvida","{0} вернули флаг","La bandera del equipo {0} ha sido regresada","ธงของทีม {0} ถูกคืนที่แล้ว","{0} 隊的旗子已被歸還","","","","","","","","","","","","","","","","","","","","",-1369156424,"","","","","","","","","","","","","","","","","","","",""
31,"PositiveNumber","+{0}","+{0}","+{0}","+{0}","+{0}","+{0}","+{0}","+{0}","+{0}","+{0}","","","","","","","","","","","","","","","","","","","","",1108423905,"","","","","","","","","","","","","","","","","","","",""
32,"NegativeNumber","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","","","","","","","","","","","","","","","","","","","","",-945341044,"","","","","","","","","","","","","","","","","","","",""
33,"Percentage","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","","","","","","","","","","","","","","","","","","","","",1677860568,"","","","","","","","","","","","","","","","","","","",""
34,"NumberRange","{0}-{1}","{0} à {1}","{0}-{1}","{0}から{1}","{0}~{1}","{0}-{1}","{0}–{1}","{0}-{1}","{0}-{1}","{0}-{1}","","","","","","","","","","","","","","","","","","","","",309782114,"","","","","","","","","","","","","","","","","","","",""
35,"TimeS","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0} ","","","","","","","","","","","","","","","","","","","","",2051226451,"","","","","","","","","","","","","","","","","","","",""
36,"TimeMS","{0} and {1}","{0} et {1}","{0} und {1}","{0} {1}","{0}, {1}","{0} e {1}","{0} и {1}","{0} y {1}","{0} และ {1}","{0} 及 {1}","","","","","","","","","","","","","","","","","","","","",1065249420,"","","","","","","","","","","","","","","","","","","",""
37,"TimeHMS","{0}, {1}, and {2}","{0}, {1} et {2}","{0}, {1} und {2}","{0} {1} {2}","{0}, {1}, {2}","{0}, {1}, e {2}","{0}, {1} и {2}","{0}, {1}, y {2}","{0}, {1} และ {2}","{0}、{1} 以及 {2}","","","","","","","","","","","","","","","","","","","","",-311416786,"","","","","","","","","","","","","","","","","","","",""
38,"TimeDHMS","{0}, {1}, {2}, and {3}","{0}, {1}, {2} et {3}","{0}, {1}, {2} und {3}","{0} {1} {2} {3}","{0}, {1}, {2}, {3}","{0}, {1}, {2}, e {3}","{0}, {1}, {2} и {3}","{0}, {1}, {2}, y {3}","{0}, {1}, {2} และ {3}","{0}、{1}、{2} 以及 {3}","","","","","","","","","","","","","","","","","","","","",-136264335,"","","","","","","","","","","","","","","","","","","",""
39,"TimeSeconds1","1 second","1 seconde","1 Sekunde","1秒","1초","1 segundo","1 секунда","1 segundo","1 วินาที","一秒","","","","","","","","","","","","","","","","","","","","",-1487273061,"","","","","","","","","","","","","","","","","","","",""
40,"TimeSecondsN","{0} seconds","{0} secondes","{0} Sekunden","{0}秒","{0}초","{0} segundos","{0} сек.","{0} segundos","{0} วินาที","{0} 秒","","","","","","","","","","","","","","","","","","","","",-1404289852,"","","","","","","","","","","","","","","","","","","",""
41,"TimeMinutes1","1 minute","1 minute","1 Minute","1分","1분","1 minuto","1 минуту","1 minuto","1 นาที","一分","","","","","","","","","","","","","","","","","","","","",665305349,"","","","","","","","","","","","","","","","","","","",""
42,"TimeMinutesN","{0} minutes","{0} minutes","{0} Minuten","{0}分","{0}분","{0} minutos","{0} мин.","{0} minutos","{0} นาที","{0} 分","","","","","","","","","","","","","","","","","","","","",1365658360,"","","","","","","","","","","","","","","","","","","",""
43,"TimeHours1","1 hour","1 heure","1 Stunde","1時間","1시","1 hora","1 час","1 hora","1 ชั่วโมง","1 小時","","","","","","","","","","","","","","","","","","","","",-1575515812,"","","","","","","","","","","","","","","","","","","",""
44,"TimeHoursN","{0} hours","{0} heures","{0} Stunden","{0}時間","{0}시","{0} horas","{0} час.","{0} horas","{0} ชั่วโมง","{0} 小時","","","","","","","","","","","","","","","","","","","","",1661968187,"","","","","","","","","","","","","","","","","","","",""
45,"TimeDays1","1 day","1 jour","1 Tag","1日","1일","1 dia","1 день","1 día","1 วัน","1 天","","","","","","","","","","","","","","","","","","","","",-880658942,"","","","","","","","","","","","","","","","","","","",""
46,"TimeDaysN","{0} days","{0} jours","{0} Tage","{0}日","{0}일","{0} dias","{0} дн.","{0} días","{0} วัน","{0} 天","","","","","","","","","","","","","","","","","","","","",1637934387,"","","","","","","","","","","","","","","","","","","",""
47,"Stairs","Stairs","Escalier","Treppe","階段","계단","Escadas","Проход","Escaleras","บันได","樓梯","","","","","","","","","","","","","","","","","","","","",2138038182,"","","","","","","","","","","","","","","","","","","",""
48,"MerveilArenaName","Merveil's Lair","L'Antre de Merveil","Merveils Versteck","マーヴェイルの隠れ家","머베일의 소굴","Covil da Merveil","Логово Мервейл","Guarida de Merveil","รังเมอร์เวล","莫薇兒的巢穴","","","","","","","","","","","","","","","","","","","","",-897687675,"","","","","","","","","","","","","","","","","","","",""
49,"BrutusArenaName","The Warden's Chambers","Les Appartements du Geôlier","Die Wärtergemächer","監獄長の拷問部屋","간수의 방","Os Aposentos do Carcereiro","Палаты Смотрителя","Las Cámaras del Guardián","ห้องพัศดี","典獄長的房間","","","","","","","","","","","","","","","","","","","","",732914757,"","","","","","","","","","","","","","","","","","","",""
50,"BrutusAreaName","The Warden's Quarters","Les Quartiers du Geôlier","Das Wärterquartier","監獄長の宿舎","간수의 숙소","O Quartel do Carcereiro","Палаты Смотрителя","Los Cuarteles del Guardián","ห้องพักพัศดี","監獄宿舍","","","","","","","","","","","","","","","","","","","","",379298330,"","","","","","","","","","","","","","","","","","","",""
51,"OversoulArenaName","Pyramid Apex","Sommet de la pyramide","Pyramidenspitze","ピラミッドの頂上","피라미드 최상층","Topo da Pirâmide","Вершина пирамиды","Cúspide de la Pirámide","ยอดพีระมิด","金字塔頂端","","","","","","","","","","","","","","","","","","","","",911990357,"","","","","","","","","","","","","","","","","","","",""
52,"WeaverArenaName","The Weaver's Nest","Nid de la Tisseuse","Das Nest der Weberin","蜘蛛の巣","거미의 둥지","O Ninho da Weaver","Гнездо Ткачихи","El Nido de la Tejedora","รังผู้ชักใย","織網者巢穴","","","","","","","","","","","","","","","","","","","","",1998328170,"","","","","","","","","","","","","","","","","","","",""
53,"MapWeaverArenaName","The Loom Chamber","Chambre de tissage","Die Webkammer","蜘蛛の巣だらけの部屋","직공의 방","A Câmara do Tear","Покои ткачей","La Cámara de los Telares","ถ้ำโยงใย","織網大廳","","","","","","","","","","","","","","","","","","","","",-1563392760,"","","","","","","","","","","","","","","","","","","",""
54,"MapTropicalIslandCave","Cave","Grotte","Höhle","洞窟","동굴","Caverna","Пещера","Cueva","ถ้ำ","洞穴","","","","","","","","","","","","","","","","","","","","",-161923539,"","","","","","","","","","","","","","","","","","","",""
55,"MapDungeonTransition","Opening","Ouverture","Öffnung","広間","들어가기","Abertura","Проход","Comienzo","ทางเข้า","開啟","","","","","","","","","","","","","","","","","","","","",214387983,"","","","","","","","","","","","","","","","","","","",""
56,"ChatSuppressionToggled","Chat suppression {0}","Suppression de messages : {0}","Chat-Unterdrückung {0}","チャット表示制限 {0}","채팅 중지 {0}","Supressão do chat {0}","Подавление чата {0}","Supresión del chat {0}","ระงับการแชท {0}","聊天關閉 {0}","","","","","","","","","","","","","","","","","","","","",750697920,"","","","","","","","","","","","","","","","","","","",""
57,"ON","ON","MARCHE","EIN","オン","켜기","LIGADO","ВКЛ.","Activado","เปิด","開啟","","","","","","","","","","","","","","","","","","","","",40041830,"","","","","","","","","","","","","","","","","","","",""
