"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterAbilities (French)","MonsterAbilities (German)","MonsterAbilities (Japanese)","MonsterAbilities (Korean)","MonsterAbilities (Portuguese)","MonsterAbilities (Russian)","MonsterAbilities (Spanish)","MonsterAbilities (Thai)","MonsterAbilities (Traditional Chinese)","MonsterCategory"
10,4916,10173,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage","Se reforme après avoir été tué\r\nExplose lors de sa mort pour infligeant 5% de sa vie sous forme de dégâts physiques, de feu et de foudre","Setzt sich nach dem Tod wieder zusammen\r\nExplodiert bei Tod und verursacht 5% des Lebens als physischen, Feuer- und Blitzschaden","死亡後に再構築する\r\n死亡時に爆発しライフの5%を物理、火、雷ダメージとして与える","죽은 후 재구성\r\n사망 시 폭발하여 생명력의 5%를 물리, 화염, 번개 피해","É Reformado após ser morto\r\nExplode ao morrer, causando 5% da vida como Dano Físico, Fogo e Raio.","Возрождается после смерти\r\nПри смерти взрывается, нанося 5% от здоровья в виде физического урона, урона от огня и молнии","Se reconstruye después de morir\r\nExplota al morir para infligir el 5% de su vida como daño físico, de fuego y de rayo","คืนร่าง หลังจากที่ถูกสังหาร\r\nระเบิดเมื่อตาย สร้างความเสียหาย กายภาพ, ไฟ, สายฟ้า เท่ากับ 5% ของ พลังชีวิต","被擊殺後復活\r\n死亡時爆炸，5% 生命的物理、火焰和閃電傷害",2
11,4917,10174,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches","Se reforme après avoir été tué\r\nExplose lors de sa mort pour infligeant 5% de sa vie sous forme de dégâts physiques, de feu et de foudre\r\nL'Explosion Calcine","Setzt sich nach dem Tod wieder zusammen\r\nExplodiert bei Tod und verursacht 5% des Lebens als physischen, Feuer- und Blitzschaden\r\nExplosion versengt","死亡後に再構築する\r\n死亡時に爆発しライフの5%を物理、火、雷ダメージとして与える\r\n爆発は焦げを付与する","죽은 후 재구성\r\n사망 시 폭발하여 생명력의 5%를 물리, 화염, 번개 피해\r\n폭발이 그을림 유발","É Reformado após ser morto\r\nExplode ao morrer, causando 5% da vida como Dano Físico, Fogo e Raio.\r\nExplosão Cáustica","Возрождается после смерти\r\nПри смерти взрывается, нанося 5% от здоровья в виде физического урона, урона от огня и молнии\r\nВзрыв Опаляет","Se reconstruye después de morir\r\nExplota al morir para infligir el 5% de su vida como daño físico, de fuego y de rayo\r\nLa explosión calcina","คืนร่าง หลังจากที่ถูกสังหาร\r\nระเบิดเมื่อตาย สร้างความเสียหาย กายภาพ, ไฟ, สายฟ้า เท่ากับ 5% ของ พลังชีวิต\r\nการระเบิด สร้างสถานะ แผดเผา","被擊殺後復活\r\n死亡時爆炸，5% 生命的物理、火焰和閃電傷害\r\n爆炸焦灼",2
12,4918,10252,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers","Utilise Barrage de canons\r\nUtilise Raz-de-marée\r\nInvoque des Geysers","Zaubert Kanonen-Sperrfeuer\r\nZaubert Flutwelle\r\nBeschwört Geysire","キャノンバラージをキャストする\r\nタイダルウェーブをキャストする\r\n噴出孔を召喚する","대포 연발 사격 시전\r\n해일 시전\r\n간헐천 소환","Conjura Barragem de Canhões\r\nConjura Maremoto\r\nConvoca Gêisers","Сотворяет пушечную очередь\r\nСотворяет приливную волну\r\nПризывает гейзеры","Lanza Aluvión de cañones\r\nLanza Oleada\r\nInvoca géiseres","ร่าย ปืนใหญ่ระดมยิง\r\nร่าย คลื่นน้ำ\r\nอัญเชิญ บ่อปะทุ","施放砲擊彈幕\r\n施放潮汐波\r\n召喚湧泉",5
13,4919,10253,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision","Utilise Barrage de canons\r\nUtilise Raz-de-marée\r\nInvoque des Geysers\r\nPrécision","Zaubert Kanonen-Sperrfeuer\r\nZaubert Flutwelle\r\nBeschwört Geysire\r\nZaubert Präzision","キャノンバラージをキャストする\r\nタイダルウェーブをキャストする\r\n噴出孔を召喚する\r\nプレシジョンをキャストする","대포 연발 사격 시전\r\n해일 시전\r\n간헐천 소환\r\n정밀함","Conjura Barragem de Canhões\r\nConjura Maremoto\r\nConvoca Gêisers\r\nPrecisão","Сотворяет пушечную очередь\r\nСотворяет приливную волну\r\nПризывает гейзеры\r\nТочность","Lanza Aluvión de cañones\r\nLanza Oleada\r\nInvoca géiseres\r\nGolpe preciso","ร่าย ปืนใหญ่ระดมยิง\r\nร่าย คลื่นน้ำ\r\nอัญเชิญ บ่อปะทุ\r\nเที่ยงตรง (Precision)","施放砲擊彈幕\r\n施放潮汐波\r\n召喚湧泉\r\n精準",5
14,4920,10254,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby Allies take reduced Cold Damage","Utilise Barrage de canons\r\nUtilise Raz-de-marée\r\nInvoque des Geysers\r\nPrécision\r\nLes alliés à proximité subissent des dégâts de froid réduits","Zaubert Kanonen-Sperrfeuer\r\nZaubert Flutwelle\r\nBeschwört Geysire\r\nPräzision\r\nVerbündete im Umkreis erleiden verringerten Kälteschaden","キャノンバラージをキャストする\r\nタイダルウェーブをキャストする\r\n噴出孔を召喚する\r\nプレシジョンをキャストする\r\n近くの味方が受ける冷気ダメージが減少する","대포 연발 사격 시전\r\n해일 시전\r\n간헐천 소환\r\n정밀함\r\n주변 동료들이 받는 냉기 피해 감소","Conjura Barragem de Canhões\r\nConjura Maremoto\r\nConvoca Gêisers\r\nPrecisão\r\nAliados Próximos têm +10 Fortificações","Сотворяет пушечную очередь\r\nСотворяет приливную волну\r\nПризывает гейзеры\r\nТочность\r\nБлижайшие союзники получают уменьшенный урон от холода","Lanza Aluvión de cañones\r\nLanza Oleada\r\nInvoca géiseres\r\nGolpe preciso\r\nLos aliados cercanos reciben daño de hielo reducido","ร่าย ปืนใหญ่ระดมยิง\r\nร่าย คลื่นน้ำ\r\nอัญเชิญ บ่อปะทุ\r\nเที่ยงตรง (Precision)\r\nเพื่อนที่อยู่ใกล้ ได้รับความเสียหาย น้ำแข็ง ลดลง","施放砲擊彈幕\r\n施放潮汐波\r\n召喚湧泉\r\n精準\r\n附近友方降低受到的冰冷傷害",5
15,4921,10262,"Cyclones\r\nLacerates\r\nRains down blades","Utilise Cyclone\r\nUtilise Lacération\r\nFait pleuvoir des lames","Nutzt Wirbelsturm\r\nNutzt Zerfleischen\r\nLässt Klingen herabregnen","サイクロン\r\nラセレイト\r\n刃を降らせる","회오리바람\r\n피부 찢기\r\n칼날을 비처럼 떨어뜨림","Ciclone\r\nLaceração\r\nChuva de lâminas","Использует Вихрь\r\nИспользует Разрубание\r\nВыпускает дождь клинков","Ciclones\r\nLacera\r\nTira una lluvia de cuchillas","พายุหมุน (Cyclone)\r\nฉีกร่าง (Lacerate)\r\nส่งดาบลงมาเป็นฝน","旋風斬\r\n破空斬\r\n刀雨降落",2
16,4922,10263,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks","Utilise Cyclone\r\nUtilise Lacération\r\nFait pleuvoir des lames\r\nLes alliés à proximité ont 20% de chances d'Empaler avec les attaques","Wirbelsturm\r\nZerfleischen\r\nLässt Klingen herabregnen\r\nVerbündete im Umkreis haben 20% Chance auf Aufspießen mit Angriffen","サイクロン\r\nラセレイト\r\n刃を降らせる\r\n近くの味方は20%の確率で串刺しを付与する","회오리바람\r\n피부 찢기\r\n칼날을 비처럼 떨어뜨림\r\n주변 동료들이 공격 시 꿰뚫을 확률 20% 증가","Ciclone\r\nLaceração\r\nChuva de lâminas\r\nAliados Próximos têm Efeito do Empalamento aumentado em 20%","Использует Вихрь\r\nИспользует Разрубание\r\nВыпускает дождь клинков\r\nБлижайшие союзники получают 20% шанс наложить Прокол атаками","Ciclones\r\nLacera\r\nTira una lluvia de cuchillas\r\nLos aliados cercanos tienen un 20% de probabilidad de empalar con ataques","พายุหมุน (Cyclone)\r\nฉีกร่าง (Lacerate)\r\nส่งดาบลงมาเป็นฝน\r\nเพื่อนที่อยู่ใกล้ มีโอกาสสร้างสถานะ ทิ่มแทง 20% เมื่อโจมตี","旋風斬\r\n破空斬\r\n刀雨降落\r\n附近友方的攻擊增加 20% 穿刺機率",2
17,4923,10264,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks\r\nNearby allies have 30% increased Impale Effect","Utilise Cyclone\r\nUtilise Lacération\r\nFait pleuvoir des lames\r\nLes alliés à proximité ont 20% de chances d'Empaler avec les attaques\r\nLes alliés à proximité ont 30% d'Augmentation de l'Effet de l'Empalement","Wirbelsturm\r\nZerfleischen\r\nLässt Klingen herabregnen\r\nVerbündete im Umkreis haben 20% Chance auf Aufspießen mit Angriffen\r\nVerbündete im Umkreis haben 30% erhöhte Wirkung von Aufspießen","サイクロン\r\nラセレイト\r\n刃を降らせる\r\n近くの味方は20%の確率で串刺しを付与する\r\n近くの味方の串刺し効果が30%増加する","회오리바람\r\n피부 찢기\r\n칼날을 비처럼 떨어뜨림\r\n주변 동료들이 공격 시 꿰뚫을 확률 20% 증가\r\n주변 동료들의 꿰뚫기 효과 30% 증가","Ciclone\r\nLaceração\r\nChuva de lâminas\r\nAliados Próximos têm Efeito do Empalamento aumentado em 20%\r\nEmpalamentos dos aliados próximos duram por um acerto adicional","Использует Вихрь\r\nИспользует Разрубание\r\nВыпускает дождь клинков\r\nБлижайшие союзники получают 30% усиление эффекта Прокола\r\nБлижайшие союзники получают 20% шанс наложить Прокол атаками","Ciclones\r\nLacera\r\nTira una lluvia de cuchillas\r\nLos aliados cercanos tienen un 20% de probabilidad de empalar con ataques\r\nLos aliados cercanos tienen el efecto del empalamiento aumentado un 30%","พายุหมุน (Cyclone)\r\nฉีกร่าง (Lacerate)\r\nส่งดาบลงมาเป็นฝน\r\nเพื่อนที่อยู่ใกล้ มีโอกาสสร้างสถานะ ทิ่มแทง 20% เมื่อโจมตี\r\nเพื่อนที่อยู่ใกล้ มีผลของสถานะ ทิ่มแทง เพิ่มขึ้น 30%","旋風斬\r\n破空斬\r\n刀雨降落\r\n附近友方的攻擊增加 20% 穿刺機率\r\n附近友方增加 30% 穿刺效果\r\n",2
18,4924,10193,"Throws Physical Projectiles","Envoie des Projectiles physiques","Wirft physische Projektile","物理投射物を投げる","물리 투사체 투척","Arremessa Projéteis Físicos","Бросает физические снаряды","Dispara proyectiles físicos","โยน โพรเจกไทล์กายภาพ","投擲物理投射物",1
19,4925,10194,"Throws Physical Projectiles\r\n100% increased Impale Effect","Envoie des Projectiles physiques\r\n100% d'Augmentation de l'Effet de l'Empalement","Wirft physische Projektile\r\n100% erhöhte Wirkung von Aufspießen","物理投射物を投げる\r\n串刺しの効果が100％増加する","물리 투사체 투척\r\n꿰뚫기 효과 100% 증가","Arremessa Projéteis Físicos\r\nEfeito do Empalamento aumentado em 100%","Бросает физические снаряды\r\n100% усиление эффекта Прокола","Dispara proyectiles físicos\r\nEfecto del empalamiento aumentado un 100%","โยน โพรเจกไทล์กายภาพ\r\nเพิ่มผลของสถานะ ทิ่มแทง 100%","投擲物理投射物\r\n增加 100% 穿刺效果",1
20,4926,10195,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect","Envoie des Projectiles physiques\r\n100% d'Augmentation de l'Effet de l'Empalement\r\nLe propriétaire gagne 10% d'Augmentation de l'Effet de l'Empalement","Wirft physische Projektile\r\n100% erhöhte Wirkung von Aufspießen\r\nBesitzer erhält 10% erhöhte Wirkung von Aufspießen","物理投射物を投げる\r\n串刺しの効果が100％増加する\r\n所有者は串刺しの効果10％増加を得る","물리 투사체 투척\r\n꿰뚫기 효과 100% 증가\r\n소유자의 꿰뚫기 효과 10% 증가","Arremessa Projéteis Físicos\r\nEfeito do Empalamento aumentado em 100%\r\nDono recebe Efeito de Empalamento aumentado em 10%","Бросает физические снаряды\r\n100% усиление эффекта Прокола\r\nВладелец получает 10% усиление эффекта Прокола","Dispara proyectiles físicos\r\nEfecto del empalamiento aumentado un 100%\r\nSu dueño gana efecto del empalamiento aumentado un 10%","โยน โพรเจกไทล์กายภาพ\r\nเพิ่มผลของสถานะ ทิ่มแทง 100%\r\nเจ้าของ มีผลของสถานะ ทิ่มแทง เพิ่มขึ้น 10%","投擲物理投射物\r\n增加 100% 穿刺效果\r\n持有者增加 10% 穿刺效果",1
21,4927,10175,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive","Attaque avec des épées quand il n'est pas Défensif\r\nTire des Mortiers quand il est Défensif","Greift mit Schwertern an, wenn offensiv\r\nFeuert Mörser, wenn defensiv","防御的ではない場合に剣でアタックする\r\n防御的な場合に迫撃を放つ","방어적이 아닐 때 검으로 공격\r\n방어적일 때 박격포 발사","Ataca com espadas quando não Defensivo\r\nDispara Morteiros quando Defensivo","Атакует мечами, если не обороняется\r\nОбстреливает мортирами, если обороняется","Ataca con espadas cuando no está defensivo\r\nDispara morteros cuando está defensivo","โจมตีด้วยดาบ เมื่อไม่ ปกป้อง\r\nยิง ระเบิดไฟ เมื่อ ปกป้อง","當沒有防禦時，使用劍攻擊\r\n當防禦時，發射迫擊砲",0
22,4928,10176,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit","Attaque avec des épées quand il n'est pas Défensif\r\nTire des Mortiers quand il est Défensif\r\nInflige Flétrissure pour 2 secondes au Toucher","Greift mit Schwertern an, wenn offensiv\r\nFeuert Mörser, wenn defensiv\r\nVerursacht bei Treffer für 2 Sekunden Verkümmerung","防御的ではない場合に剣でアタックする\r\n防御的な場合に迫撃を放つ\r\nヒット時に衰弱を2秒間付与する","방어적이 아닐 때 검으로 공격\r\n방어적일 때 박격포 발사\r\n명중 시 2초 동안 위축 유발","Ataca com espadas quando não Defensivo\r\nDispara Morteiros quando Defensivo\r\nInflige Definhamento por 2 segundos ao Acertar","Атакует мечами, если не обороняется\r\nОбстреливает мортирами, если обороняется\r\nНакладывает Истощение на 2 секунды при попадании","Ataca con espadas cuando no está defensivo\r\nDispara morteros cuando está defensivo\r\nAplica marchitamiento durante 2 segundos con cada golpe","โจมตีด้วยดาบ เมื่อไม่ ปกป้อง\r\nยิง ระเบิดไฟ เมื่อ ปกป้อง\r\nสร้างสถานะ เหี่ยวเฉา 2 วินาที เมื่อปะทะ","當沒有防禦時，使用劍攻擊\r\n當防禦時，發射迫擊砲\r\n擊中時造成 2 秒凋零",0
23,4929,10177,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies","Attaque avec des épées quand il n'est pas Défensif\r\nTire des Mortiers quand il est Défensif\r\nInflige Flétrissure pour 2 secondes au Toucher\r\nCrée une Aura de chaos lorsqu'il touche des ennemis Empoisonnés","Greift mit Schwertern an, wenn offensiv\r\nFeuert Mörser, wenn defensiv\r\nVerursacht bei Treffer für 2 Sekunden Verkümmerung\r\nErzeugt Aura des Chaos, wenn vergiftete Gegner getroffen werden","防御的ではない場合に剣でアタックする\r\n防御的な場合に迫撃を放つ\r\nヒット時に衰弱を2秒間付与する\r\n毒状態の敵をヒットした時に混沌のオーラを生成する","방어적이 아닐 때 검으로 공격\r\n방어적일 때 박격포 발사\r\n명중 시 2초 동안 위축 유발\r\n중독된 적 명중 시 카오스 오라 생성","Ataca com espadas quando não Defensivo\r\nDispara Morteiros quando Defensivo\r\nInflige Definhamento por 2 segundos ao Acertar\r\nCria Aura de Caos ao acertar inimigos Envenenados","Атакует мечами, если не обороняется\r\nОбстреливает мортирами, если обороняется\r\nНакладывает Истощение на 2 секунды при попадании\r\nСоздаёт ауру хаоса при попадании по отравленным врагам","Ataca con espadas cuando no está defensivo\r\nDispara morteros cuando está defensivo\r\nAplica marchitamiento durante 2 segundos con cada golpe\r\nCrea Aura de caos al golpear a los enemigos envenenados","โจมตีด้วยดาบ เมื่อไม่ ปกป้อง\r\nยิง ระเบิดไฟ เมื่อ ปกป้อง\r\nสร้างสถานะ เหี่ยวเฉา 2 วินาที เมื่อปะทะ\r\nสร้าง ออร่าเคออส เมื่อปะทะศัตรูที่ติดสถานะ พิษ","當沒有防禦時，使用劍攻擊\r\n當防禦時，發射迫擊砲\r\n擊中時造成 2 秒凋零\r\n當擊中中毒的敵人時，製造混沌光環",0
24,4930,10202,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier","Les Sorts ont 1% de chance de coup critique de base\r\nA 400% de Multiplicateur de coup critique de base","Zauber haben 1% kritische Basistrefferchance\r\nHat 400% zu Basis-Multiplikator für kritische Treffer","スペルは1％の基礎クリティカル率を持つ\r\n400％の基礎クリティカルダメージ倍率を持つ","주문의 기본 치명타 확률 1%\r\n기본 치명타 피해 배율 400%","Magias têm 1% de Chance de Crítico Base\r\nTem 400% de Multiplicador de Crítico Base","Чары имеют 1% базовый шанс критического удара\r\nИмеет 400% базовый множитель критического удара","Los hechizos tienen una probabilidad de golpe crítico base del 1%\r\nTiene un multiplicador de golpe crítico base de 400%","เวท มีโอกาสคริติคอลพื้นฐาน 1%\r\nมีตัวคูณคริติคอลพื้นฐาน 400%","法術有 1% 基礎暴擊率\r\n有 400% 基礎暴擊加成",1
25,4931,10203,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier","Les Sorts ont 1% de chance de coup critique de base\r\nA 400% de Multiplicateur de coup critique de base\r\nLes alliés à proximité ont +30% au Multiplicateur de coup critique","Zauber haben 1% kritische Basistrefferchance\r\nHat 400% zu Basis-Multiplikator für kritische Treffer\r\nVerbündete im Umkreis haben +30% zu Multiplikator für kritische Treffer","スペルは1％の基礎クリティカル率を持つ\r\n400％の基礎クリティカルダメージ倍率を持つ\r\n周囲の味方はクリティカルダメージ倍率 +30%を持つ","주문의 기본 치명타 확률 1%\r\n기본 치명타 피해 배율 400%\r\n주변 동료들의 치명타 피해 배율 +30%","Magias têm 1% de Chance de Crítico Base\r\nTem 400% de Multiplicador de Crítico Base\r\nAliados próximos têm +30% de Multiplicador de Golpes Críticos","Чары имеют 1% базовый шанс критического удара\r\nИмеет 400% базовый множитель критического удара\r\nБлижайшие союзники получают +30% множитель критического удара","Los hechizos tienen una probabilidad de golpe crítico base del 1%\r\nTiene un multiplicador de golpe crítico base de 400%\r\nLos aliados cercanos tienen +30% al multiplicador de golpe crítico","เวท มีโอกาสคริติคอลพื้นฐาน 1%\r\nมีตัวคูณคริติคอลพื้นฐาน 400%\r\nเพื่อนที่อยู่ใกล้ มีตัวคูณคริติคอล +30%","法術有 1% 基礎暴擊率\r\n有 400% 基礎暴擊加成\r\n附近友方 +30% 暴擊加成",1
26,4932,10204,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry","Les Sorts ont 1% de chance de coup critique de base\r\nA 400% de Multiplicateur de coup critique de base\r\nLes alliés à proximité ont +30% au Multiplicateur de coup critique\r\nUtilise Zèle","Zauber haben 1% kritische Basistrefferchance\r\nHat 400% zu Basis-Multiplikator für kritische Treffer\r\nVerbündete im Umkreis haben +30% zu Multiplikator für kritische Treffer\r\nZaubert Glaubenseifer","スペルは1％の基礎クリティカル率を持つ\r\n400％の基礎クリティカルダメージ倍率を持つ\r\n周囲の味方はクリティカルダメージ倍率 +30%を持つ\r\nゼロトリーをキャストする","주문의 기본 치명타 확률 1%\r\n기본 치명타 피해 배율 400%\r\n주변 동료들의 치명타 피해 배율 +30%\r\n열광 시전","Magias têm 1% de Chance de Crítico Base\r\nTem 400% de Multiplicador de Crítico Base\r\nAliados próximos têm +30% de Multiplicador de Golpes Críticos\r\nConjura Fanatismo","Чары имеют 1% базовый шанс критического удара\r\nИмеет 400% базовый множитель критического удара\r\nБлижайшие союзники получают +30% множитель критического удара\r\nСотворяет Фанатизм","Los hechizos tienen una probabilidad de golpe crítico base del 1%\r\nTiene un multiplicador de golpe crítico base de 400%\r\nLos aliados cercanos tienen +30% al multiplicador de golpe crítico\r\nLanza Exaltación","เวท มีโอกาสคริติคอลพื้นฐาน 1%\r\nมีตัวคูณคริติคอลพื้นฐาน 400%\r\nเพื่อนที่อยู่ใกล้ มีตัวคูณคริติคอล +30%\r\nร่าย คลั่งศาสนา (Zealotry)","法術有 1% 基礎暴擊率\r\n有 400% 基礎暴擊加成\r\n附近友方 +30% 暴擊加成\r\n施放狂熱",1
27,4933,10187,"Cyclones\r\nCleaves","Utilise Cyclone\r\nUtilise Taillade","Nutzt Wirbelsturm\r\nNutzt Spalten","クリーヴ\r\nサイクロン","회오리바람\r\n회전베기","Ciclone\r\nCutilada","Использует Вихрь\r\nИспользует Рассечение","Ciclones\r\nAtaca con Hendidura","พายุหมุน (Cyclone)\r\nปาด (Cleave)","旋風斬\r\n劈砍",1
28,4934,10188,"Cyclones\r\nCleaves\r\nMaims on hit","Utilise Cyclone\r\nUtilise Taillade\r\nMutile au Toucher","Nutzt Wirbelsturm\r\nNutzt Spalten\r\nVerstümmelt bei Treffer","クリーヴ\r\nサイクロン\r\nヒット時に重傷を付与する","회오리바람\r\n회전베기\r\n명중 시 힘줄 절단","Ciclone\r\nCutilada\r\nMutila ao acertar","Использует Вихрь\r\nИспользует Рассечение\r\nНакладывает Увечье при нанесении удара","Ciclones\r\nAtaca con Hendidura\r\nLisia con cada golpe","พายุหมุน (Cyclone)\r\nปาด (Cleave)\r\nสร้างสถานะ ขาหัก เมื่อปะทะ","旋風斬\r\n劈砍\r\n擊中時癱瘓",1
29,4935,10189,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim","Utilise Cyclone\r\nUtilise Taillade\r\nMutile au Toucher\r\nLe propriétaire gagne 10% d'Augmentation de l'Effet de la Mutilation","Nutzt Wirbelsturm\r\nNutzt Spalten\r\nVerstümmelt bei Treffer\r\nBesitzer erhält 10% erhöhte Wirkung von Verstümmeln","クリーヴ\r\nサイクロン\r\nヒット時に重傷を付与する\r\n所有者は重傷の効果10％増加を得る","회오리바람\r\n회전베기\r\n명중 시 힘줄 절단\r\n소유자의 힘줄 절단 효과 10% 증가","Ciclone\r\nCutilada\r\nMutila ao acertar\r\nDono recebe Efeito da Mutilação aumentado em 10%","Использует Вихрь\r\nИспользует Рассечение\r\nНакладывает Увечье при нанесении удара\r\nВладелец получает 10% усиление эффекта Увечья","Ciclones\r\nAtaca con Hendidura\r\nLisia con cada golpe\r\nSu dueño gana efecto de la lisiadura aumentado un 10%","พายุหมุน (Cyclone)\r\nปาด (Cleave)\r\nสร้างสถานะ ขาหัก เมื่อปะทะ\r\nเจ้าของ มีผลของสถานะ ขาหัก เพิ่มขึ้น 10%","旋風斬\r\n劈砍\r\n擊中時癱瘓\r\n持有者增加 10% 癱瘓效果",1
30,4936,10231,"","","","","","","","","","",3
31,4937,10232,"","","","","","","","","","",3
32,4938,10233,"","","","","","","","","","",3
33,4939,10184,"Vomits Blood\r\nApplies Corrupting Blood","Vomi du Sang\r\nApplique Sang corrompu","Erbricht Blut\r\nWendet Verderbendes Blut an","血を吐く\r\n穢れた血を付与する","피 구토\r\n타락한 피 적용","Vomita Sangue\r\nAplica Sangue Corrompido","Изрыгает кровь\r\nНакладывает Осквернённую кровь","Vomita sangre\r\nAplica Sangre corrupta","อาเจียนเป็นเลือด\r\nสร้างสถานะ โลหิตมลทิน","吐血\r\n套用腐化之血",1
34,4940,10185,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood","Vomi du Sang\r\nApplique Sang corrompu\r\nAbsorbe le Sang corrompu puis le fait exploser, infligeant des Dégâts physiques basés sur les Dégâts de Sang corrompu","Erbricht Blut\r\nWendet Verderbendes Blut an\r\nAbsorbiert Verderbendes Blut, lässt es explodieren und verursacht physischen Schaden basierend auf dem Schaden des Verderbendes Blut zu","血を吐く\r\n穢れた血を付与する\r\n穢れた血を吸収して爆発し、穢れた血のダメージに基づいて物理ダメージを与える","피 구토\r\n타락한 피 적용\r\n타락한 피를 흡수하고 폭발시켜 타락한 피의 피해에 비례하는 물리 피해를 줌","Vomita Sangue\r\nAplica Sangue Corrompido\r\nAbsorve Sangue Corrompido, explodindo e causando Dano Físico baseado no dano do Sangue Corrompido","Изрыгает кровь\r\nНакладывает Осквернённую кровь\r\nНакладывает Осквернённую кровь, взрывая её и нанося физический урон на основе урона Осквернённой крови","Vomita sangre\r\nAplica Sangre corrupta\r\nAbsorbe la sangre corrupta, la hace explotar e inflige daño físico en función del daño de la sangre corrupta","อาเจียนเป็นเลือด\r\nสร้างสถานะ โลหิตมลทิน\r\nดูดกลืน โลหิตมลทิน ทำให้มันระเบิดและสร้างความเสียหาย กายภาพ ตามความเสียหายของสถานะ โลหิตมลทิน","吐血\r\n套用腐化之血\r\n吸收腐化之血，使它爆炸和根據腐化之血的傷害造成物理傷害",1
35,4941,10186,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride","Vomi du Sang\r\nApplique Sang corrompu\r\nAbsorbe le Sang corrompu puis le fait exploser, infligeant des Dégâts physiques basés sur les Dégâts de Sang corrompu\r\nUtilise Fierté","Erbricht Blut\r\nWendet Verderbendes Blut an\r\nAbsorbiert Verderbendes Blut, lässt es explodieren und verursacht physischen Schaden basierend auf dem Schaden des Verderbendes Blut zu\r\nZaubert Stolz","血を吐く\r\n穢れた血を付与する\r\n穢れた血を吸収して爆発し、穢れた血のダメージに基づいて物理ダメージを与える\r\nプライドをキャストする","피 구토\r\n타락한 피 적용\r\n타락한 피를 흡수하고 폭발시켜 타락한 피의 피해에 비례하는 물리 피해를 줌\r\n자부심 시전","Vomita Sangue\r\nAplica Sangue Corrompido\r\nAbsorve Sangue Corrompido, explodindo e causando Dano Físico baseado no dano do Sangue Corrompido\r\nConjura Orgulho","Изрыгает кровь\r\nНакладывает Осквернённую кровь\r\nНакладывает Осквернённую кровь, взрывая её и нанося физический урон на основе урона Осквернённой крови\r\nСотворяет Гордость","Vomita sangre\r\nAplica Sangre corrupta\r\nAbsorbe la sangre corrupta, la hace explotar e inflige daño físico en función del daño de la sangre corrupta\r\nLanza Orgullo","อาเจียนเป็นเลือด\r\nสร้างสถานะ โลหิตมลทิน\r\nดูดกลืน โลหิตมลทิน ทำให้มันระเบิดและสร้างความเสียหาย กายภาพ ตามความเสียหายของสถานะ โลหิตมลทิน\r\nร่าย โอหัง (Pride)","吐血\r\n套用腐化之血\r\n吸收腐化之血，使它爆炸和根據腐化之血的傷害造成物理傷害\r\n施放驕傲",1
36,4942,10190,"Attacks with Dualstrike\r\nPeriodically enrages","Attaque avec Frappes simultanées\r\nS'enrage périodiquement","Greift mit Doppelschlag an\r\nWird regelmäßig wütend","デュアルストライクで攻撃する\r\n定期的に怒る","쌍수 타격으로 공격\r\n주기적으로 격앙됨","Ataca com Golpe Combinado\r\nSe enfurece periodicamente","Атакует Парным ударом\r\nПериодически впадает в ярость","Ataca con Golpe dual\r\nEnfurece periódicamente","โจมตีด้วย ฟาดคู่ (Dual Strike)\r\nเดือดดาล เป็นระยะ","雙持打擊攻擊\r\n持續盛怒",1
