"rownum","BaseItemType","ValueMulti","Client","Client (French)","Client (German)","Client (Japanese)","Client (Korean)","Client (Portuguese)","Client (Russian)","Client (Spanish)","Client (Thai)","Client (Traditional Chinese)"
10,4044,0.85,"Nishem","Nishem","Nishem","ニシェム","니쉼","Nishem","Нишем","Nishem","นิเชม","尼西姆"
11,4045,0.85,"Aline Koltz","Aline Koltz","Aline Koltz","アリーン・コルツ","알린 콜츠","Aline Koltz","Алина Кольтц","Aline Koltz","อลีน โคล์ตส์","艾琳．科爾茲"
12,4046,0.85,"Count Geonor","Conte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Геонор","Conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵"
13,4047,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
14,4048,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
15,4049,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
16,4050,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
17,4051,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
18,4052,1.2,"Selwyn Eddard","Selwyn Eddard","Selwyn Eddard","セルウィン・エダード","셀윈 에다드","Selwyn Eddard","Селвин Эддард","Selwyn Eddard","เซลวิน เอ็ดดาร์ด","塞爾溫．愛達德"
19,4053,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
20,4054,1.2,"Grond Ironeye","Grond Œil de fer","Grond Eisenauge","グロンド・アイアンアイ","츠베트 마트베이","Grond Olho de Ferro","Гронд Железный Глаз","Grond Ojodehierro","กรอนด์ ไอรอนอาย","格朗德．鐵眼"
21,4055,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
22,4056,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
23,4057,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
24,4058,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
25,4059,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administradora Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
26,4060,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administradora Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
27,4061,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
28,4062,1.2,"Remus Hestor","Remus Hestor","Remus Hestor","リーマス・へスター","레무스 헤스터","Remus Hestor","Ремус Гестор","Remus Hestor","รีมัส เฮสเทอร์","雷木斯．赫斯托"
29,4063,1.2,"Nishem","Nishem","Nishem","ニシェム","니쉼","Nishem","Нишем","Nishem","นิเชม","尼西姆"
30,4064,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
31,4065,1.2,"Anton Laffrey","Anton Laffrey","Anton Laffrey","アントン・ラフレイ","안톤 라프리","Anton Laffrey","Антон Лаффрей","Anton Laffrey","แอนตัน แลฟฟรีย์","安東．拉弗里"
32,4066,1.5,"Tsvet Matvei","Tsvet Matveï","Tsvet Matvei","ツヴェット・マトヴェイ","츠베트 마트베이","Tsvet Matvei","Цвет Матвей","Tsvet Matvei","สเวต์ มัตเว","斯維．瑪菲伊"
33,4067,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
34,4068,1.5,"The Midnight Tinkerer","L'Horloger de minuit","Der Mitternachtstüftler","真夜中の修理人","심야의 수선공","O Faz-Tudo da Meia-Noite","Полуночный изобретатель","El inventor de medianoche","นักประดิษฐ์ราตรี","午夜匠師"
35,4069,1.5,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
36,4070,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
37,4071,1.5,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
38,4072,3,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administrador Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
39,4073,3,"Cardinal Uthelius","Cardinal Uthélius","Kardinal Uthelius","枢機卿ウテリウス","우셀리우스 추기경","Cardial Uthelius","Кардинал Утелиус","Cardenal Uthelius","พระคาร์ดินัลอูเธเลียส","紅衣主教．烏斯留斯"
40,4074,3,"Castor Pollinius III","Castor Pollinius III","Castor Pollinius III","カストル・ポリニウス3世","카스토르 폴리니우스 III","Castor Pollinius III","Кастор Поллиний III","Castor Pollinius III","แคสทอร์ พอลลิเนียสที่สาม","雙子波利尼烏斯三世"
41,4075,0.3,"","","","","","","","","",""
42,4076,0.3,"","","","","","","","","",""
43,4077,0.3,"","","","","","","","","",""
44,4078,0.3,"","","","","","","","","",""
45,4079,0.3,"","","","","","","","","",""
46,4080,0.3,"","","","","","","","","",""
47,4081,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
48,4082,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
49,4083,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
50,4084,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
51,4085,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
52,4086,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
53,4087,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
54,4088,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
55,4089,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
56,4090,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
57,4091,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
58,4092,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
59,4093,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
60,4094,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
61,4095,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
62,4096,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
63,4097,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
64,4098,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
65,4099,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
66,4100,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
67,4101,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
68,4102,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
69,4103,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
70,4104,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
71,4105,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
72,4106,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
73,4107,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
74,4109,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
75,4110,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
76,4111,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
77,4112,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
78,4113,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
79,4114,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
