"rownum","string_0","rid_8","i32_24","i32_28","rid_32","i32_48"
80,"rechargerate30",139,8,15,23,0
81,"rechargerate40",139,10,20,30,0
82,"rechargerate50",139,13,25,38,0
83,"rechargerate60",139,15,30,45,0
84,"rechargerate70",139,18,35,53,0
85,"rechargerate80",139,20,40,60,0
86,"rechargerate90",139,23,45,68,0
87,"rechargerate100",139,25,50,75,0
88,"fasterrecharge0",140,0,0,0,0
89,"fasterrecharge10",140,2,4,6,0
90,"fasterrecharge20",140,4,8,12,0
91,"fasterrecharge30",140,6,12,18,0
92,"fasterrecharge40",140,8,16,24,0
93,"fasterrecharge50",140,10,20,30,0
94,"fasterrecharge60",140,12,24,36,0
95,"fasterrecharge70",140,14,28,42,0
96,"fasterrecharge80",140,16,32,48,0
97,"fasterrecharge90",140,18,36,54,0
98,"fasterrecharge100",140,20,40,60,0
99,"spellsuppression0",14960,0,0,0,0
100,"spellsuppression10",14960,2,4,6,0
101,"spellsuppression20",14960,4,8,12,0
102,"spellsuppression30",14960,6,12,18,0
103,"spellsuppression40",14960,8,16,24,0
104,"spellsuppression50",14960,10,20,30,0
105,"spellsuppression60",14960,12,24,36,0
106,"spellsuppression70",14960,14,28,42,0
107,"spellsuppression80",14960,16,32,48,0
108,"spellsuppression90",14960,18,36,54,0
109,"spellsuppression100",14960,20,40,60,0
110,"life0",125,38,75,100,0
111,"life10",125,41,83,110,0
112,"life20",125,45,90,120,0
113,"life30",125,49,98,130,0
114,"life40",125,53,105,140,0
115,"life50",125,56,113,150,0
116,"life60",125,60,120,160,0
117,"life70",125,64,128,170,0
118,"life80",125,68,135,180,0
119,"life90",125,71,143,190,0
120,"life100",125,75,150,200,0
121,"damage_verylow",24,60,120,150,0
122,"damage_low",24,80,160,200,0
123,"damage_medium",24,100,200,250,0
124,"damage_high",24,120,240,300,0
125,"damage_veryhigh",24,140,280,350,0
126,"crit_chance_low",556,25,50,80,0
127,"crit_chance_med",556,50,100,160,0
128,"crit_chance_high",556,75,150,250,0
129,"crit_multi_low",95,15,35,50,0
130,"crit_multi_med",95,25,60,90,0
131,"crit_multi_high",95,40,100,150,0
132,"dot_multi_low",10326,10,20,30,0
133,"dot_multi_med",10326,15,30,45,0
134,"dot_multi_high",10326,20,40,60,0
135,"attack_speed_low",70,8,16,24,0
136,"attack_speed_med",70,12,24,36,0
137,"attack_speed_high",70,15,30,45,0
138,"cast_speed_low",218,6,12,18,0
139,"cast_speed_med",218,9,18,27,0
140,"cast_speed_high",218,12,24,36,0
141,"trap_throw_speed",314,12,24,36,0
142,"accuracy_low",84,15,35,50,0
143,"accuracy_med",84,25,60,90,0
144,"accuracy_high",84,40,100,150,0
145,"accuracy_resolute_technique",2869,1,1,1,0
146,"freeze_chance",457,10,20,25,0
147,"chill_effect",3622,15,30,45,0
148,"ignite_chance",613,20,40,60,0
149,"ignite_duration",204,10,20,25,0
150,"shock_chance",661,15,30,45,0
151,"shock_effect",3623,15,30,45,0
152,"poison_chance",3425,20,40,60,0
153,"poison_duration",3422,10,20,25,0
154,"bleed_chance",3690,20,40,60,0
155,"bleed_duration",5452,10,20,25,0
156,"impale_chance",8567,20,40,60,0
157,"impale_effect",8589,15,30,45,0
158,"stun_chance",108,15,30,45,0
159,"stun_duration",342,10,20,25,0
160,"ignore_phys_reduction",18592,20,40,60,0
161,"minion_damage_verylow",490,60,120,150,0
162,"minion_damage_low",490,80,160,200,0
163,"minion_damage_medium",490,100,200,250,0
164,"minion_damage_high",490,120,240,300,0
165,"minion_damage_veryhigh",490,140,280,350,0
166,"minion_life",161,25,50,75,0
167,"minion_life_regen",2140,30,60,90,0
168,"minion_crit_chance",11924,50,100,160,0
169,"minion_crit_damage",12190,25,60,90,0
170,"minion_attack_speed",2137,8,16,24,0
171,"minion_cast_speed",2138,6,12,18,0
172,"minion_damage_applies_to_you",4956,1,1,1,0
173,"minion_instability",854,1,1,1,0
174,"base_phasing_without_visual",14054,1,1,1,0
175,"block_attack_low",1090,6,12,18,0
176,"block_attack_high",1090,9,18,27,0
177,"block_spell_low",2136,6,12,18,0
178,"block_spell_high",2136,9,18,27,0
