"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","Tags","TagWeight"
10,"NonEleBowRanger11","With gems came power - and with power came fewer survivors of the militia's 'justice'.","Avec les gemmes vint le pouvoir, et avec le pouvoir vinrent de moins en moins de survivants de la « justice » de la milice.","Mit den Gemmen wuchs die Macht – und mit der Macht gab es immer weniger Überlebende der 'Rechtsprechung' der Miliz.","宝石と共に力がやってきた……そして力と共に民兵の正義執行を生き伸びる者たちは減っていった。","마석은 힘을 가져다주었고, 그 힘은 민병대의 '정의'로부터 살아남는 이들의 수를 줄였다.","Com as gemas veio o poder, e com o poder, menos sobreviventes da \""justiça\"" da milícia.","С камнями пришла власть – а с властью стало меньше выживших в результате «правосудия».","Con las gemas llegó el poder; y con el poder, llegaron menos supervivientes de la \""justicia\"" de la milicia.","มณี​ก่อ​ให้​เกิด​พลัง พลัง​ทำให้​มี​ผู้​รอดชีวิต​จาก 'ความยุติธรรม' ของ​ทหารอาสา​น้อย​ลง","古靈寶石帶來力量，也讓民兵們更肆無忌憚地取人性命。",60423,"[1194,1253]","[0,1000]"
11,"NonEleBowRanger12","\""They called it peace when the killing slowed. Not justice - just fewer people left to fight back... and even fewer who would dare.\"" ","Ils ont appelé cela « paix » quand les massacres avaient ralenti. Ce n'était pas de la justice, il y avait juste moins de gens pour se défendre… et encore moins de gens qui oseraient se défendre. ","\""Sie nannten es Frieden, als das Töten nachließ. Keine Gerechtigkeit – es waren nur weniger Leute übrig, die sich noch wehren konnten ... und noch weniger, die es wagten.\""","「殺しが減った時、奴らはそれを平和と呼んだ。正義じゃなくな。立ち向かえる者たちが減り……立ち向かおうと思う者は更に少なくなった。」","\""살육이 잦아들자 사람들은 이를 평화라고 불렀지만, 정의는 아니었다. 그저 맞서 싸울 수 있는 사람이 줄었고, 그럴 용기가 있는 사람은 더더욱 줄어든 것일 뿐.\""","\""Chamaram de paz quando a matança deu uma trégua. Mas não era justiça, só restavam menos pessoas para lutar... e ainda menos para se atrever a isso.\"" ","«‎Миром назвали замедление убийств. Не правосудие – просто меньше осталось людей, способных отбиваться... и ещё меньше тех, кто рискнёт».","\""Lo llamaron paz cuando se ralentizaron las muertes. No justicia, solo es que quedaba menos gente que pudiera resistir... e incluso menos que se atrevieran\"". ","\""เมื่อ​การ​เข่น​ฆ่า​ซาลง พวกเขา​เรียก​ว่า​เป็น​ความสงบ ไม่ใช่​ความ​ยุติธรรม เพียง​แต่​มี​คน​น้อย​ลง... และ​มี​คน​กล้า​ขัดขืน​น้อย​กว่า​นั้น\""","「當這樣的殺戮不再屍橫遍野，代表活口已所剩無幾，其中膽敢造次的人更是屈指可數。」",8705,"[1194,1253]","[0,1000]"
12,"NonEleBowRangerNoble1","{0} Cyaxan once kept order in Korathin's worst quarter. Now she keeps trophies instead.","Elle maintenait autrefois l'ordre dans le pire quartier de Korathin. Elle collectionne désormais des trophées.","Einst hielt {0} Cyaxan in den schlimmsten Vierteln von Korathin die Ordnung aufrecht. Stattdessen sammelt sie jetzt Trophäen.","{0}・シアクサンはかつてコラシンの最悪の区画で秩序を守っていた。今の彼女が守っているのは戦利品だ。","한때 코라틴 최악의 구역에서 질서를 유지하던 {0} 사이악산은 이제 전리품을 수집한다.","{0} Cyaxan já botou ordem no pior bairro de Korathin. Hoje, coleciona troféus dos que cruzam seu caminho.","{0} Шиазан когда-то держала в руках порядок в худшем квартале Корафина. Теперь держит трофеи.","{0} Cyaxan antes mantenía el orden en el peor barrio de Korathin. Ahora colecciona trofeos en su lugar.","{0} ไคแย็กซัน​เคย​รักษา​ความสงบ​ใน​ตรอก​ที่​แย่​ที่สุด​ใน​โคราธิน บัดนี้​เธอ​รักษา​ทรัพย์​สมบัติ​แทน","{0}．塞亞珊當初維持科拉廷的秩序，現在則是毫無忌憚地搜刮民脂民膏。",38775,"[1255,1257]","[1000,1000]"
13,"NonEleBowRangerNoble2","{0} was born of Cyaxan stock, raised on slum smoke and discipline.","Née de la lignée de Cyaxan, élevée dans la discipline et la fumée des bas-quartiers.","{0} wurde in das Haus Cyaxan geboren, aufgewachsen mit dem Rauch der Slums und Disziplin.","{0}はシアクサンの血から生まれ、スラムの煙と規律の中で育てられた。","{0}은(는) 사이악산 혈통을 타고 태어나, 빈민가의 매연과 규율 속에서 자라났다.","{0}, cyaxana de sangue, criada entre fumaça de favela e disciplina.","{0} родилась от девиц Шиазана, выросла на дыму трущоб и наказаниях.","{0} nació en el linaje de Cyaxan, y se crió con el humo y la disciplina de las barriadas.","{0} เกิด​ใน​สกุล​ขุนนางไคแย็กซัน โต​มา​กับ​ควัน​สลัม​และ​ระเบียบ​วินัย","{0}出身塞亞珊家族，自幼便目睹貧民窟的紛亂，但謹遵紀律的教誨。",24942,"[1255,1257]","[1000,1000]"
14,"NonEleBowRangerNoble3","{0} Cyaxan: a name once feared across the Trarthan militia ranks - feared even more now she's off the leash.","Un nom autrefois craint parmi les rangs de la milice trarthienne, désormais encore plus craint depuis qu'elle est libre.","{0} Cyaxan: Ein Name, der einst von allen Mitgliedern der trarthanischen Miliz gefürchtet wurde – jetzt umso mehr, da sie allein arbeitet.","{0}・シアクサン：かつてトラーサス民兵の間で恐れられた名だ……そして首輪が外れた今、以前よりも更に恐れられている。","{0} 사이악산. 한때 트라투스의 민병대라면 누구나 두려워하던 자. 그리고 고삐가 풀린 지금, 그 두려움은 더욱 커지기만 했다.","{0} Cyaxan. A milícia já temeu seu nome. Agora que ela está solta, sentem pavor.","{0} Шиазан: имя, когда-то наводившее страх в рядах ополчения Тератны – теперь страха ещё больше, раз она сорвалась с поводка.","{0} Cyaxan: un nombre que temían en todos los rangos de la milicia trarthana y ahora, al ir por libre, aún la temen más.","{0} ไคแย็กซัน: ชื่อนี้​เป็น​ที่​กลัวเกรง​ใน​หมู่​ทหาร​อาสา​ทาร์ทาน ใน​เมื่อ​หลุด​จาก​การ​ควบคุม​แล้ว เธอ​ก็​เป็น​ที่​กลัวเกรง​ยิ่ง​ไป​กว่า​นั้น","{0}．塞亞珊：曾是備受特拉特斯民兵們敬畏的角色……在她離開之後，民兵們對她畏懼更甚。",38714,"[1255,1257]","[1000,1000]"
15,"NonEleBowRangerNoble4","Trarthus was barren after the Vaal Cataclysm... until the Empire began exiling their unwanted to its bleak shores.","Trarthus était une terre stérile après le cataclysme vaal… jusqu'à ce que l'Empire commence à exiler ses indésirables sur ses rivages mornes.","Nach der Katastrophe der Vaal war Trarthus öde und unwirtlich … bis das Kaiserreich begann, seine Ausgestoßenen an seine trostlose Küsten zu verbannen.","ヴァールの大災害の後、トラーサスには何もなかった……帝国が不要な者たちをその荒涼とした地へと追放し始めるまでは。","바알의 대재앙이 일어난 후, 트라투스는 황폐한 땅이었다... 제국이 그곳의 황량한 해안으로 원치 않는 자들을 유배하기 전까지는.","Trarthus se tornou um deserto depois do Cataclisma Vaal... até o Império começar a exilar seus indesejados para aquelas praias sombrias.","После Катаклизма ваал Тератна опустела... пока Империя не начала изгонять нежеланных людей на её мрачные берега.","Trarthus era árido tras el Cataclismo vaal... hasta que el Imperio empezó a exiliar a sus indeseados a sus lúgubres costas.","\""ทาร์ทัส​รกร้าง​หลัง​จาก​วัน​มหาภัย​พิบัติ... จน​กระทั่ง​จักรวรรดิ​เริ่ม​ขับ​ไล่​ผู้​​ที่ไม่​พึง​ประสงค์​มา​ยัง​ชายฝั่ง​หนาวเหน็บ​แห่งนี้","特拉特斯在瓦爾浩劫後變成了一片廢墟……直到帝國把人驅逐到這片荒蕪之地。",9808,"[1255,1257]","[1000,1000]"
16,"NonEleBowRangerNoble5","\""Our ancestors were exiled so that the Eternal Empire could have its thousand-year peace. I don't give a damn about Wraeclast.\""","« Nos ancêtres ont été exilés pour assurer une paix millénaire à l'Empire éternel. Je me contrefiche de Wraeclast. »","\""Unsere Vorfahren wurden verbannt, damit das Ewige Kaiserreich seinen Tausendjährigen Frieden haben konnte. Wraeclast ist mir scheißegal.\""","「私たちの先祖は永遠なる帝国が千年の平和を得るために追放されたんだ。私はレイクラストのことなんてどうでもいい。」","\""우리의 선조들은 영원한 제국이 천년성대를 누릴 수 있도록 유배되었지. 레이클라스트 같은 건 어찌 되든 내 알 바 아니다.\""","\""Nossos ancestrais foram exilados para que o Império Eterno tivesse mil anos de paz. E quer saber? Que se dane Wraeclast.\""","«Наших предков изгнали, чтобы Вечная Империя могла тысячу лет прожить в мире. Плевать я хотела на Рэкласт».","\""Nuestros ancestros fueron exiliados para que el Imperio eterno pudiera tener sus mil años de paz. Me importa un pimiento Wraeclast\"".","\""บรรพชน​ของ​เรา​ถูก​เนรเทศ​เพื่อ​ให้​จักรวรรดิ​นิรันดร์​ได้​มี​สันติสุข​มา​พันปี เวร์แคลส์ท​จะ​เป็น​ยังไง​ก็​เรื่อง​ของ​มัน\""","「我們的祖先遭到流放，這樣不朽帝國才能有千年的安寧。我才不管那該死的瓦爾克拉斯。」",3719,"[1255,1257]","[1000,1000]"
17,"EleBowRanger1","Gems from Trarthus have their own trademarks. Like the populace, they are more brutal.","Les gemmes de Trarthus ont leurs propres signes caractéristiques. Comme la populace, elles sont plus brutales.","Gemmen aus Trarthus haben ihre eigenen Merkmale. Sie sind brutaler, so wie die Bevölkerung.","トラーサスの宝石にはそれらしい特徴があるのさ。住んでる奴らと同じように、普通のものより残虐なんだ。","트라투스의 마석은 여느 마석과는 다르며, 그곳의 주민들을 닮아 더욱 잔혹하다.","As gemas de Trarthus têm um estilo próprio: são brutais, como o povo de lá.","Камни из Тератны имеют собственные отличия. Как и население, они более жестоки.","Las gemas de Trarthus tienen sus propias características. Como su gente, son más brutales.","มณี​จาก​ทาร์ทัส​มี​แบบ​ฉบับ​เป็น​ของ​ตัวเอง มัน​เหี้ยมโหด​กว่า​มณี​ทั่วไป ไม่​ต่าง​จาก​ประชาชน","特拉特斯的寶石與眾不同，和當地人民一樣，暴戾之氣更甚。",53790,"[1194,1258]","[0,1000]"
18,"EleBowRanger2","Keitan slaves built the walls of Korathin. Kylian Cyaxan filled them with vice before the mortar had dried.","Les esclaves keitiens ont bâti les murs de Korathin. Kylian Cyaxan les a emplis de vice avant que le mortier ne sèche.","Keitische Sklaven erbauten die Mauern von Korathin. Kylian Cyaxan füllte sie mit Lasterhaftigkeit, noch bevor der Mörtel getrocknet war.","コラシンの外壁はケイタの奴隷によって建てられた。そして漆喰が渇き切る前に、キリアン・シアクサンによって背徳を仕込まれた。","케이타의 노예들이 코라틴의 벽을 세웠고, 그 벽돌이 채 마르기도 전에 킬리안 사이악산이 그 안을 타락으로 채웠다.","Escravos de Keitan levantaram as muralhas de Korathin. Kylian Cyaxan encheu tudo de pecado antes mesmo de o cimento secar.","Киитские рабы возвели стены Корафина. Килиан Шиазан наполнил их пороком ещё до того, как высох раствор.","Los esclavos de Keita construyeron los muros de Korathin. Kylian Cyaxan los llenó de vicio antes de que se hubiera secado el mortero.","ทาส​บ้าน​เคย์ทา​สร้าง​กำแพง​โคราธิน​ขึ้น​มา ไคเลียน ไคแย็กซัน​ทำให้​พวก​เขา​มัวเมา​ไป​กับ​อบายมุข​ก่อน​ที่​ปูน​จะ​แห้ง","凱塔家族的奴隸們樹立起科拉廷的高牆，奇里安．塞亞珊在泥漿乾透前，在其中埋下罪惡。",19164,"[1194,1258]","[0,1000]"
19,"EleBowRanger3","Cyaxan brothels bore no name. But those who entered often forget their own. ","Les bordels de Cyaxan n'avaient pas de nom. Mais les gens qui y allaient oubliaient souvent le leur. ","Cyaxanische Bordelle hatten keine Namen. Aber die, die sie betraten, vergaßen oft die Ihren. ","シアクサンの娼館には名がなかった。だが立ち寄った者たちはしばしば自分の名を忘れてしまった。","사이악산의 사창가에는 이름이 없었다. 그러나 그 안에 들어서는 이들은 자신의 이름을 잊곤 했다.","Os bordéis cyaxanos não tinham nome. Mas quem entrava neles se esquecia de si mesmo. ","Шиазанские бордели имени не носили. Но те, кто туда заходил, часто забывали собственное.","Los burdeles de Cyaxan no tenían nombre. Pero aquellos que entraban a menudo olvidaban el suyo. ","ซ่อง​ของ​บ้าน​ไคแย็กซัน​ไม่มี​ชื่อ แต่​ผู้​ที่​เข้าไป​มัก​ลืม​ชื่อ​ของ​ตนเอง","塞亞珊家族的風俗場所以無名著稱，而光顧的雅客們往往會忘卻自己的一切。 ",23012,"[1194,1258]","[0,1000]"
20,"EleBowRanger4","First came desire. Then came dependency. Cyaxan offered both - by design.","D'abord vint le désir. Puis vint la dépendance. Cyaxan proposait les deux, volontairement.","Erst kam die Begierde. Dann die Abhängigkeit. Cyaxan bot beides – so war es geplant.","最初は欲求がやってきた。そして依存だ。シアクサンは両方を与えた……狙い通りにな。","먼저 갈망이 찾아왔고, 의존성이 그 뒤를 따랐다. 사이악산은 그 둘을 모두 제공했으니, 이는 전부 그들의 계획대로였다.","Primeiro vinha o desejo. Depois, o vício. Cyaxan oferecia os dois de caso pensado.","Сначала рождалось желание. Потом приходила зависимость. Шиазан предлагал то и другое – так было задумано.","Primero llegó el deseo. Luego la dependencia. Cyaxan ofrecía ambos, intencionadamente.","เริ่ม​จาก​ความ​ปรารถนา ตาม​มา​ด้วย​การ​เสพติด ไคแย็กซัน​จงใจ​ให้​ทั้ง​สอง​อย่าง​​มา​ตั้งแต่​แรก","人們會因慾望而產生依賴，塞亞珊家族則是操縱這門藝術的佼佼者。",51626,"[1194,1258]","[0,1000]"
21,"EleBowRanger5","The courtesans were Cyaxan's first pushers. Pleasure and powder ensured each customer returned - shaking a little more each time.  ","Les courtisanes étaient les premières vendeuses de Cyaxan. Le plaisir et la poudre assuraient que chaque client reviendrait, tremblant un peu plus à chaque fois.  ","Die Kurtisanen waren Haus Cyaxans erste Drogenhändlerinnen. Die Befriedigung und das Pulver stellten sicher, dass jeder Kunde zurückkehrte – jedes Mal ein wenig zittriger.","娼婦たちがシアクサンの最初の売人だった。快楽と粉により客が戻って来ることが保証された……毎回少しずつ震えが激しくなってな。","처음 사이악산의 마약을 퍼뜨린 것은 매춘부들이었다. 그 쾌락과 약물을 찾아 돌아오지 않는 고객은 없었으며, 그때마다 그들의 몸은 조금씩 더 떨리고 있었다.","As cortesãs foram as primeiras traficantes de Cyaxan. Com prazer e pó, faziam os clientes voltarem tremendo cada vez mais.  ","Первым рычагом Шиазана были куртизанки. Удовольствие и порошок гарантировали, что каждый гость вернётся – каждый раз чуть более трясущимся.","Los cortesanos fueron los primeros incitadores de Cyaxan. El placer y las sustancias garantizaban que cada cliente regresara, temblando un poco más cada vez.","โสเภณี​เป็น​คนขาย​ยา​คนแรกๆ ของ​ไคแย็กซัน ทั้งความ​เริงรมย์​ทั้ง​ผง​การันตี​ว่า​ลูกค้า​แต่ละคน​จะ​กลับ​มา​ใหม่... อย่าง​สั่นเทา​ขึ้น​ไป​ทุกที","塞亞珊家族的眾花魁是灌迷湯的箇中好手。在歡愉時分灑下的迷藥讓來客們難抵再次造訪的渴望，陷入其中而無法自拔。 ",5179,"[1194,1258]","[0,1000]"
