"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotGroup"
51,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",241,591,265,52,1,1,1,0
52,"Metadata/Items/Currency/CurrencyRemoveModShard",232,196,265,53,1,1,1,0
53,"Metadata/Items/Currency/CurrencyRemoveMod",224,197,180,54,1,1,1,0
54,"Metadata/Items/Currency/CurrencyRerollMapType",226,845,365,55,1,1,1,0
55,"Metadata/Items/Currency/CurrencyRerollMapTypeShard",234,845,450,56,1,1,1,0
56,"Metadata/Items/Currency/CurrencyUpgradeMapTier",227,760,365,57,1,1,1,0
57,"Metadata/Items/Currency/CurrencyRerollUnique",230,111,450,58,1,1,1,0
58,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",225,196,450,59,1,1,1,0
59,"Metadata/Items/Currency/CurrencyStrongboxQuality",228,281,450,60,1,1,1,0
60,"Metadata/Items/AtlasExiles/ApplyInfluence",3791,725,262,61,1,1,1,1
61,"Metadata/Items/Currency/CurrencyRerollUniqueShard",237,111,534,62,1,1,1,0
62,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard",233,196,534,63,1,1,1,0
63,"Metadata/Items/Currency/CurrencyUpgradeMapTierShard",235,760,450,64,1,1,1,0
64,"Metadata/Items/Currency/CurrencyStrongboxQualityShard",236,281,534,65,1,1,1,0
65,"Metadata/Items/AtlasExiles/AddModToRareCrusader",3787,725,85,66,1,1,1,1
66,"Metadata/Items/AtlasExiles/AddModToRareRedeemer",3788,633,173,67,1,1,1,1
67,"Metadata/Items/AtlasExiles/AddModToRareHunter",3789,633,85,68,1,1,1,1
68,"Metadata/Items/AtlasExiles/AddModToRareWarlord",3790,725,173,69,1,1,1,1
69,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",10,676,450,70,1,1,1,0
70,"Metadata/Items/Currency/CurrencyUpgradeInfluenceMod",3987,633,262,71,1,1,1,1
71,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",202,591,367,72,1,1,"",0
72,"Metadata/Items/Currency/CurrencyEnkindlingOrb",4087,308,78,73,1,1,1,0
73,"Metadata/Items/Currency/CurrencyInstillingOrb",4088,393,78,74,1,1,1,0
74,"Metadata/Items/Currency/CurrencyRerollRareVeiled",3,591,366,75,1,1,1,0
75,"Metadata/Items/Currency/CurrencyRerollDefences",25,676,534,76,1,1,1,0
76,"Metadata/Items/Currency/CurrencyCleansingFireOrb1",325,146,262,77,1,1,1,1
77,"Metadata/Items/Currency/CurrencyCleansingFireOrb2",326,239,262,78,1,1,1,1
78,"Metadata/Items/Currency/CurrencyCleansingFireOrb3",327,146,354,79,1,1,1,1
79,"Metadata/Items/Currency/CurrencyCleansingFireOrb4",328,239,354,80,1,1,1,1
80,"Metadata/Items/Currency/CurrencyGreatTangleOrb1",329,146,85,81,1,1,1,1
81,"Metadata/Items/Currency/CurrencyGreatTangleOrb2",330,239,85,82,1,1,1,1
82,"Metadata/Items/Currency/CurrencyGreatTangleOrb3",331,146,173,83,1,1,1,1
83,"Metadata/Items/Currency/CurrencyGreatTangleOrb4",332,239,173,84,1,1,1,1
84,"Metadata/Items/Currency/CurrencyConflictOrb",333,192,462,85,1,1,1,1
85,"Metadata/Items/Currency/CurrencyEldritchRerollRare",4540,633,373,86,1,1,1,1
86,"Metadata/Items/Currency/CurrencyEldritchAddModToRare",4541,678,464,87,1,1,1,1
87,"Metadata/Items/Currency/CurrencyEldritchRemoveMod",4542,722,373,88,1,1,1,1
88,"Metadata/Items/Currency/CurrencyHellscapeRerollRare",4112,353,85,89,1,1,1,1
89,"Metadata/Items/Currency/CurrencyHellscapeAddModToRare",4113,436,85,90,1,1,1,1
90,"Metadata/Items/Currency/CurrencyHellscapeWeaponQuality",4116,521,85,91,1,1,1,1
91,"Metadata/Items/Currency/CurrencyHellscapeArmourQuality",4115,353,173,92,1,1,1,1
92,"Metadata/Items/Currency/CurrencyHellscapeUpgradeModTier",4117,436,173,93,1,1,1,1
93,"Metadata/Items/Currency/CurrencyHellscapeUpgradeToUnique",4114,521,173,94,1,1,1,1
94,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketLinks",4110,353,262,95,1,1,1,1
95,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketNumbers",4111,436,262,96,1,1,1,1
96,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketColours",4109,521,262,97,1,1,1,1
97,"Metadata/Items/Currency/HarvestSeedRed",4629,146,569,98,1,1,1,1
98,"Metadata/Items/Currency/HarvestSeedGreen",4630,239,569,99,1,1,1,1
99,"Metadata/Items/Currency/HarvestSeedBlue",4631,635,569,100,1,1,1,1
100,"Metadata/Items/Currency/HarvestSeedBoss",4632,724,569,101,1,1,1,1
101,"Metadata/Items/Currency/CurrencyFractureRare",231,27,450,102,1,1,1,0
102,"Metadata/Items/Currency/CurrencyFractureRareShard",242,27,534,103,1,1,1,0
103,"Metadata/Items/Currency/CurrencyHinekorasLock",4690,27,366,104,1,1,1,0
104,"Metadata/Items/DivinationCards/DivinationCardDeck",3121,761,534,105,1,1,1,0
105,"Metadata/Items/Currency/CurrencyMapQualityRarity",27,44,85,106,1,1,1,1
106,"Metadata/Items/Currency/CurrencyMapQualityPackSize",28,44,173,107,1,1,1,1
107,"Metadata/Items/Currency/CurrencyMapQualityScarabs",30,44,262,108,1,1,1,1
108,"Metadata/Items/Currency/CurrencyMapQualityCurrency",31,44,354,109,1,1,1,1
109,"Metadata/Items/Currency/CurrencyMapQualityDivinationCards",29,44,442,110,1,1,1,1
110,"Metadata/Items/Currency/CurrencyRerollRareVeiledChaos",4,676,366,111,1,1,1,0
111,"Metadata/Items/Currency/CurrencyStackedScarab",203,266,860,112,1,1,"",0
112,"Metadata/Items/Currency/CurrencyAddZanaInfluence",54,813,384,113,1,1,1,1
113,"Metadata/Items/Currency/CurrencyRemoveZanaInfluence",55,813,472,114,1,1,1,1
114,"Metadata/Items/Currency/CurrencyMoreZanaInfluencedItems",56,813,562,115,1,1,1,1
115,"Metadata/Items/Currency/CurrencyAddModToRareShaper",52,813,85,116,1,1,1,1
116,"Metadata/Items/Currency/CurrencyAddModToRareElder",53,813,173,117,1,1,1,1
