"rownum","string_0","rid_8","rid_24","string_40","string_48","string_48 (French)","string_48 (German)","string_48 (Japanese)","string_48 (Korean)","string_48 (Portuguese)","string_48 (Russian)","string_48 (Spanish)","string_48 (Thai)","string_48 (Traditional Chinese)","i32_56","i32_60","rid_64"
14,"Farming1",12,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 2","Parcelle 2","Anbaufläche 2","区画 2","경작지 2","Plantação 2","Участок 2","Parcela 2","แปลง 2","農地 2",1056,615,""
15,"Farming2",13,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 3","Parcelle 3","Anbaufläche 3","区画 3","경작지 3","Plantação 3","Участок 3","Parcela 3","แปลง 3","農地 3",1038,420,""
16,"Farming3",14,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 4","Parcelle 4","Anbaufläche 4","区画 4","경작지 4","Plantação 4","Участок 4","Parcela 4","แปลง 4","農地 4",912,505,""
17,"Farming4",15,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 5","Parcelle 5","Anbaufläche 5","区画 5","경작지 5","Plantação 5","Участок 5","Parcela 5","แปลง 5","農地 5",756,385,""
18,"Farming5",16,3,"Art/2DArt/UIImages/InGame/Village/VillageMap/FarmPlotSubJobButton","Plot 6","Parcelle 6","Anbaufläche 6","区画 6","경작지 6","Plantação 6","Участок 6","Parcela 6","แปลง 6","農地 6",883,303,""
19,"Disenchanting0",17,4,"Art/2DArt/UIImages/InGame/Village/VillageMap/DisenchantingJobButton","Disenchanting","Désenchantement","Entzauberung","解呪","인챈트 해제","Desencantando","Распыление","Desencantamiento","การสลายไอเทม","破幻",1583,717,""
20,"MappingParent","",5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MappingJobButton","Map Devices","Dispositifs cartographiques","Kartenapparate","マップデバイス","지도 장치","Dispositivos de Mapa","Картоходство","Artefactos de mapas","เครื่องเปิดแผนที่","地圖裝置",1084,1084,""
21,"Mapping0",18,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 1","Dispositif cartographique 1","Kartenapparat 1","マップデバイス 1","지도 장치 1","Dispositivo de Mapa 1","Машина 1","Artefacto de mapas 1","เครื่องเปิดแผนที่ 1","地圖裝置 1",1175,876,""
22,"Mapping1",19,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 2","Dispositif cartographique 2","Kartenapparat 2","マップデバイス 2","지도 장치 2","Dispositivo de Mapa 2","Машина 2","Artefacto de mapas 2","เครื่องเปิดแผนที่ 2","地圖裝置 2",1309,982,""
23,"Mapping2",20,5,"Art/2DArt/UIImages/InGame/Village/VillageMap/MapDeviceSubJobButton","Map Device 3","Dispositif cartographique 3","Kartenapparat 3","マップデバイス 3","지도 장치 3","Dispositivo de Mapa 3","Машина 3","Artefacto de mapas 3","เครื่องเปิดแผนที่ 3","地圖裝置 3",1329,786,""
24,"ShippingParent","",6,"Art/2DArt/UIImages/InGame/Village/VillageMap/ShippingJobButton","Shipping","Navigation","Schiffstransport","輸送","운송","Exportando","Мореходство","Comercio","การขนส่ง","運送",1665,998,""
25,"Shipping0",21,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","","","","","","","","","","",2041,1014,""
26,"Shipping1",22,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","","","","","","","","","","",1803,1167,""
27,"Shipping2",23,6,"Art/2DArt/UIImages/InGame/Village/VillageMap/BoatSubJobButton","","","","","","","","","","",1528,1342,""
