"rownum","Id","Tag","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
30,"channelling","Channelling","Canalisation","Kanalisieren","チャネリング","집중 유지","Canalização","Поддерживаемое","Canalización","แชนเนล","引導","","","",""
31,"herald","Herald","Héraut","Herold","ヘラルド","전령","Arauto","Вестник","Heraldo","สาสน์","捷光環",6259,"","",21148
32,"brand","Brand","Symbole","Zeichen","ブランド","낙인","Runa","Клеймо","Marca","ตราเวท","烙印","","","",""
33,"physical","Physical","Physique","Physisch","物理","물리","Físico","Физический","Físico","กายภาพ","物理",23076,"",10393,21540
34,"guard","Guard","Protection","Wächter","ガード","수호","Guarda","Оборона","Protección","คุ้มกัน","守護","","","",""
35,"travel","Travel","Trajet","Fortbewegung","トラベル","이동 전용","Viajar","Смещение","Viaje","เดินทาง","快行","","","",""
36,"strike","Strike","Frappe","Schlag","ストライク","타격","Golpear","Удар","Golpe","ฟาด","打擊","","","",""
37,"blink","Blink","Transfert","Spurt","ブリンク","점멸","Ilusão","Скачок","Traslación","ก้าวพริบตา","閃現","","","",""
38,"nova","Nova","Nova","Nova","ノヴァ","폭발","Nova","Кольцо","Nova","กระจาย","新星","","","",""
39,"banner","","","","","","","","","","","","","",""
40,"slam","Slam","Fracas","Hieb","スラム","강타","Impacto","Мощный","Embate","ทุบ","重擊","","","",""
41,"stance","Stance","Posture","Haltung","スタンス","태세","Postura","Стойка","Postura","กระบวนท่า","姿態","","","",""
42,"hex","Hex","Calamité","Verhexung","呪術","사술","Feitiço","Порча","Maleficio","สาปสะกด","咒術",13260,"","",""
43,"mark","Mark","Marque","Mal","呪印","징표","Marca","Метка","Señal","สาปแช่ง","印記","","","",""
44,"orb","Orb","Orbe","Sphäre","オーブ","보주","Orbe","Сфера","Orbe","ลูกแก้ว","球體","","","",""
45,"random_element","Prismatic","Prismatique","Prismatisch","プリズマティック","분광","Prismático","Радужный","Prismática","สุ่มธาตุ","三相","","","",""
46,"arcane","Arcane","Arcane","Arkan","アーケイン","비전","Arcana","Колдовской","Arcana","อาคม","秘能","","","",""
47,"critical","Critical","Critique","Kritisch","クリティカル","치명타","Crítico","Критический","Crítico","คริติคอล","暴擊","","","",""
48,"exceptional","Exceptional","Exceptionnel","Außergewöhnlich","希少","특출난","Excepcional","Исключительный","Excepcional","ดีเด่น","卓越","","","",""
49,"link","Link","Lien","Verbindung","リンク","연결","Vínculo","Связь","Vínculo","ประสาน","連結","","","",17984
50,"blessing","Blessing","Bénédiction","Segnung","ブレッシング","축복","Bênção","Благословение","Bendición","พร","祝福","","","",""
51,"awakened","","","","","","","","","","","","","",""
52,"retaliation","Retaliation","Riposte","Gegenschlag","報復","보복","Retaliação","Ответный удар","Represalia","โต้กลับ","復仇","","","",""
53,"pact","Pact","Pacte","Pakt","契約","맹약","Pacto","Пакт","Pacto","ปฏิญาณ","誓約","","","",""
