"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","i32_218","i32_222","Pickup_AchievementItemsKeys","SMFiles","Identify_AchievementItemsKeys","EPKFile","Corrupt_AchievementItemsKeys","IsAlternateArt","bool_299","CreateCorruptedJewelAchievementItemsKey","AnimationLocation","string_324","string_332","string_340","string_348","string_356","string_364","string_372","string_380","string_388","string_396","string_404","string_412","IsAtlasOfWorldsMapIcon","IsTier16Icon","KalandraAchievement","bool_438","HeistAchievement","string_455","Composition","UniqueStat1","UniqueStat2","UniqueStat3","UniqueStat4","[rid]_531","[rid]_547","bool_563","string_564","string_572","string_580","[rid]_588"
10,"CurrencyMapQualityScarabs","Art/2DItems/Currency/MavenChisel3.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,52753,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
11,"CurrencyMapQualityCurrency_","Art/2DItems/Currency/MavenChisel4.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,7391,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
12,"CurrencyDuplicate","Art/2DItems/Currency/CurrencyDuplicate.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,20709,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
13,"CurrencyUpgradeToRare","Art/2DItems/Currency/CurrencyUpgradeToRare.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,6755,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
14,"CurrencyUpgradeRandomly","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,38365,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
15,"CurrencyPassiveRefund","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,19672,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
16,"CurrencyAtlasPassiveRefund","Art/2DItems/Currency/RegretOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,33914,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
17,"CurrencyUpgradeToMagic","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,43671,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
18,"CurrencyRerollMagic","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,49758,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
19,"CurrencyConvertToNormal","Art/2DItems/Currency/CurrencyConvertToNormal.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,545,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
20,"CurrencyRerollSockets","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,24908,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
21,"CurrencyAddModToRare","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,14330,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
22,"CurrencyUpgradeMagicToRare","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,33779,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
23,"CurrencyAddModToMagic","Art/2DItems/Currency/CurrencyAddModToMagic.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,22415,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
24,"CurrencyGraftAddModToMagic","Art/2DItems/Currency/Chayula/GraftedAugmentation.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,60230,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
25,"CurrencyGraftUpgradeMagicToRare","Art/2DItems/Currency/Chayula/GraftedRegal.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,53442,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
26,"CurrencyGraftAddModToRare_","Art/2DItems/Currency/Chayula/GraftedExalted.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,55290,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
27,"CurrencyMutatedAddModToMagic","Art/2DItems/Currency/Chayula/FoulbornAugmentation.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,43675,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
28,"CurrencyMutatedUpgradeMagicToRare","Art/2DItems/Currency/Chayula/FoulbornRegal.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,4157,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
29,"CurrencyMutatedAddModToRare","Art/2DItems/Currency/Chayula/FoulbornExalted.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,40105,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
30,"CurrencyPortal","Art/2DItems/Currency/CurrencyPortal.dds","Metadata/Items/Currency/CurrencyScrollBlue.ao",27,60719,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
31,"CurrencyFlaskQuality","Art/2DItems/Currency/CurrencyFlaskQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,10110,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
32,"CurrencyGemQuality","Art/2DItems/Currency/CurrencyGemQuality.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,32367,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
33,"CurrencyExtra1","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,54985,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
34,"CurrencyExtra2","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,65456,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
35,"CurrencyExtra3","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,34429,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
36,"CurrencyExtra4","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,25204,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
37,"CurrencyIdentificationShard","Art/2DItems/Currency/CurrencyIdentificationFragment.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",27,14444,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
38,"CurrencyUpgradeToMagicShard","Art/2DItems/Currency/CurrencyUpgradeToMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",33,15636,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
39,"CurrencyRerollMagicShard","Art/2DItems/Currency/CurrencyRerollMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",33,44709,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
40,"CurrencyUpgradeToRareShard","Art/2DItems/Currency/CurrencyUpgradeToRareShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",33,8302,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
41,"CurrencyRerollSocketColours","Art/2DItems/Currency/CurrencyRerollSocketColours.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,41400,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
42,"CurrencyRerollSocketLinks","Art/2DItems/Currency/CurrencyRerollSocketLinks.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,53044,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
43,"CurrencyRerollSocketNumbers","Art/2DItems/Currency/CurrencyRerollSocketNumbers.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",182,65003,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
44,"CurrencyModValues","Art/2DItems/Currency/CurrencyModValues.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,1662,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
45,"CurrencyRerollImplicit","Art/2DItems/Currency/CurrencyImplicitMod.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,31806,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
46,"CurrencyRerollDefences","Art/2DItems/Currency/SacredOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,63092,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
47,"CurrencyRhoaFeather","Art/2DItems/Currency/CurrencyRhoaFeather.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,49543,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
48,"CurrencyBrokenMirror","Art/2DItems/Currency/Deepwater/BrokenMirrorofKalandra.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,49323,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
49,"CurrencyAlbinoCrabClaw","Art/2DItems/Currency/Deepwater/AlbinoCrabClaw.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,7107,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
50,"CurrencyImprintOrb","Art/2DItems/Currency/CurrencyImprintOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,40942,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
51,"CurrencyImprint","Art/2DItems/Currency/CurrencyImprint.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,53629,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
52,"CurrencyCorrupt","Art/2DItems/Currency/CurrencyVaal.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,30986,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
53,"CurrencyMoreCorrupt_","Art/2DItems/Currency/SuperVaal.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,52280,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
54,"CurrencyGraftCorrupt","Art/2DItems/Currency/Chayula/UnstableImplant.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,57126,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
55,"CurrencyRerollGem","Art/2DItems/Currency/GemcuttersLense.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,6326,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
56,"CurrencyGarenaPassiveRefundPurchasable","Art/2DItems/Garena/Refund.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,3919,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
57,"CurrencyEnchantment","Art/2DItems/Currency/Enchantment.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4753,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
58,"CurrencyEnchantmentCorrupt","Art/2DItems/Currency/TaintedBlessing.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,16014,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
59,"CurrencyIncursionCorrupt1","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,30918,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
60,"CurrencyIncursionCorrupt2","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,27859,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
61,"CurrencyIncursionCorruptGem","Art/2DItems/Currency/IncursionGemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,2664,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
62,"CurrencyPerandusCoin","Art/2DItems/Currency/CurrencyCoin.dds","Metadata/Items/Currency/CurrencyCoin.ao",10,33657,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
63,"CurrencyProphecySilverCoin","Art/2DItems/Currency/SilverObol.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,1997,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
64,"CurrencyAncestralSilverCoin","Art/2DItems/Currency/Ancestors/NavaliCoin.dds","Metadata/Items/Currency/CurrencyOrb.ao",487,2716,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
65,"CurrencyHinekorasLock","Art/2DItems/Currency/HinekorasLock.dds","Metadata/Items/Currency/HinekorasLockDrop.ao",486,61459,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
66,"CurrencyRefractingFog_","Art/2DItems/Currency/Delirium.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,58834,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
67,"CurrencyAncestralOmenOnDeathPreventExpLoss","Art/2DItems/Currency/Azmeri/VoodooOmens1Blue.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,61195,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
68,"CurrencyAncestralOmenOnDeathCreatePortal","Art/2DItems/Currency/Azmeri/VoodooOmens2Blue.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,16268,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
69,"CurrencyAncestralOmenOnCriticalLifeAvoidDamage_","Art/2DItems/Currency/Azmeri/VoodooOmens1Yellow.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,26436,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
70,"CurrencyAncestralOmenOnCriticalLifeRecoverFlaskCharges","Art/2DItems/Currency/Azmeri/VoodooOmens2Yellow.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,25740,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
71,"CurrencyAncestralOmenOnLevelingUpGainSoulEater","Art/2DItems/Currency/Azmeri/VoodooOmens3Blue.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,16399,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
72,"CurrencyAncestralOmenOnLevelingUpSpawnAccelerationShrine","Art/2DItems/Currency/Azmeri/VoodooOmens1Yellow.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,28707,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
73,"CurrencyAncestralOmenOnChanceMakeUnique","Art/2DItems/Currency/Azmeri/VoodooOmens1Purple.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,37142,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
74,"CurrencyAncestralOmenOnJewellersMakeFullSockets","Art/2DItems/Currency/Azmeri/VoodooOmens2Purple.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,48425,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
75,"CurrencyAncestralOmenOnFusingMakeFullLinks","Art/2DItems/Currency/Azmeri/VoodooOmens3Purple.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,6636,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
76,"CurrencyAncestralOmenOnChromaticAddWhiteSockets","Art/2DItems/Currency/Azmeri/VoodooOmens4Purple.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,49178,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
77,"CurrencyAncestralOmenOnDeathNearbyEnemiesMoreDamage","Art/2DItems/Currency/Azmeri/VoodooOmens1Blue.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,38907,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
78,"CurrencyAncestralOmenOnDeathGemsGainExperience__","Art/2DItems/Currency/Azmeri/VoodooOmens1Blue.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,46601,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
79,"CurrencyAncestralOmenOnCriticalLifeRecoupLife","Art/2DItems/Currency/Azmeri/VoodooOmens1Yellow.dds","Metadata/Items/Currency/AncestorOmenDropNew.ao",557,23379,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","","",[]
