"rownum","WorldArea","MonsterPacks","i32_32","i32_36"
132,148,"[2812,2814,2793,2805]",2,0
133,150,"[2818,2820,2828]",2,0
134,151,"[2827,2831,2819,2832]",2,0
135,152,"[2821,2832]",2,0
136,153,"[2833,2834,2822]",2,0
137,154,"[2827,2820,2828]",2,0
138,155,"[2827,2820,2828]",2,0
139,156,"[2831,2824,2825,2835,2819]",2,0
140,157,"[2829,2823,2817]",2,0
141,158,"[2830,2826]",2,0
142,168,"[2626,2631,2632,2621,2633,2634,2635,2638,2620,2645,2646,2653,2654,2655,2656,2658,2622,2623,2659,2661,2660,2662,2664,2663,2665,2666,2624,2667,2668,2669,2670,2671,2683,2672,2678,2681,2685,2682,2675,2679,2684,2677,2676,2680,2688,2689,2691,2692,2693,2694,2695,2696,2697,2698,2699,2700,2701,2702,2703,2704,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,2716,2717,2718,2719,2720,2721,2722,2723,2724,2725,2726,2733,2734,2728,2737,2730,2738,2739,2743,2740,2741,2736,2727,2735,2731,2742,2729,2751,2744,2750,2749,2752,2753,2765,2761,2754,2745,2764,2766,2746,2755,2767,2747,2768,2756,2757,2758,2759,2748,2760,2773,2791,2774,2784,2778,2789,2790,2785,2782,2775,2781,2770,2776,2786,2780,2779,2783,2772,2794,2792,2805,2815,2806,2816,2798,2802,2804,2807,2808,2799,2803,2809,2800,2810,2801,2795,2813,2796,2797,2811,2812,2814,2793,2818,2820,2828,2827,2831,2819,2832,2821,2833,2834,2822,2824,2825,2835,2829,2823,2817,2830,2826]",4,0
