"rownum","XOffset","YOffset","UnlockQuest","UnlockText","UnlockText (French)","UnlockText (German)","UnlockText (Japanese)","UnlockText (Korean)","UnlockText (Portuguese)","UnlockText (Russian)","UnlockText (Spanish)","UnlockText (Thai)","UnlockText (Traditional Chinese)"
10,5,1,1464,"Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","Complete 20 Atlas Bonus Objectives","擊敗深層記憶中的維那利斯"
11,0,2,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
12,2,2,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
13,3,2,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
14,5,2,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
15,0,3,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
16,5,3,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
17,0,4,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
18,2,4,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
19,3,4,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
20,5,4,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
21,0,5,1466,"Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","Complete 60 Atlas Bonus Objectives","擊敗塑界者"
22,1,5,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
23,2,5,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
24,3,5,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
25,4,5,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
26,5,5,350,"Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","Complete the \""Call to Arms\"" quest","已解鎖"
27,0,6,362,"Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","Defeat The Elder in The Shaper's Realm","擊敗塑者之域中的異界尊師"
28,1,6,363,"Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","Defeat The Maven","擊敗釋界"
29,2,6,364,"Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","Defeat The Eater of Worlds","擊敗吞噬天地"
30,3,6,365,"Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","Defeat The Searing Exarch","擊敗灼烙總督"
31,4,6,361,"Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","Defeat The Shaper","完成釋界之邀：恐懼"
