"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","[i32]_89","AppearanceChestsKey","ChestsKey","Achievement"
13,"GrandmasterVaalVessel",463,460,0,"[8002,7873,7882,9612,9330,7988]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",285,[]
14,"GrandmasterLargeStrongbox",464,460,0,"[7881,7872,9330,7988]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
15,"BarrelOfSpiders",469,465,30,"[9678,8008,7929]",100,[],"Metadata/Chests/Barrels/Barrel1.ao",1,[],364,284,"[9356,9918]"
16,"DeshretsStorm",681,841,35,"[12889,7916,12891,7982,7977]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",267,"[9356,9918]"
17,"AshesOfTheCondemned",682,842,40,"[7904,7915,7874,7886]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",284,"[9356,9918]"
18,"MutewindCache",683,843,56,"[7918,12886,7875,7989]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",284,"[9356,9918]"
19,"RedbladeCache",684,844,56,"[7917,12885,7875,7989]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",284,"[9356,9918]"
20,"BrinerotCache",685,845,56,"[7919,12887,7875,7989]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",284,"[9356,9918]"
21,"RenegadesCache",686,846,56,"[7920,12888,7875,7989]",10,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",284,"[9356,9918]"
22,"ProphecyWickedKing4",786,1029,0,"[7943,12975,12976,12977]",0,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",264,"[9356,9918]"
23,"VaultsOfAtziriUnique",809,1051,0,[9330],0,[],"Metadata/Chests/VaalChests/VaalChest.ao",1,[],"",289,[]
24,"BreachUniqueBox",811,1060,0,[7942],0,[],"Metadata/Chests/CocoonChests/Cocoon1.ao",1,[],"",503,[]
25,"DivinationCardUniqueBox",866,848,0,"[9688,8042,8710]",0,[],"Metadata/Chests/UniqueStrongboxes/DivinationCardUniqueStrongbox.ao",1,[],"",1652,"[9356,9918]"
26,"WeylamsWarChest",877,847,40,"[7947,9684,13589,13976]",60,[],"Metadata/Chests/UniqueStrongboxes/WarChest.ao","",[],"",263,"[9356,9918]"
27,"ForgottenReliquaryChest",902,1192,0,[13789],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",527,[]
28,"ForgottenReliquaryChest2",903,1193,0,[13790],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",528,[]
29,"ForgottenReliquaryChestVaal",904,1194,0,[13791],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",529,[]
30,"ForgottenReliquaryVenarius",905,1195,0,[13792],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",530,[]
31,"ForgottenReliquaryEaterOfWorlds",906,1196,0,[13793],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",531,[]
32,"ForgottenReliquaryMaven",907,1197,0,[13794],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",532,[]
33,"ForgottenReliquarySearingExarch",908,1198,0,[13795],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",533,[]
34,"ForgottenReliquarySirus",909,1199,0,[13796],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",534,[]
35,"ForgottenReliquaryShaper",910,1200,0,[13797],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",535,[]
36,"ForgottenReliquaryUberElder",911,1201,0,[13798],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",536,[]
37,"ForgottenReliquaryNeglect",912,1202,0,[13799],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",537,[]
38,"ForgottenReliquaryBenevolence",913,1203,0,[13800],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",538,[]
39,"ForgottenReliquaryIgnorance",914,1204,0,[13801],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",539,[]
40,"ForgottenReliquaryCosmic",915,1205,0,[13802],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",540,[]
41,"EmpyreanApparatus2",378,385,68,"[7903,7897,8710]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",270,"[9356,9918]"
42,"EmpyreanApparatus3",378,385,72,"[7903,7897,8710]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",271,"[9356,9918]"
43,"EmpyreanApparatus4",378,385,76,"[7903,7897,8710]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",272,"[9356,9918]"
44,"EmpyreanApparatus5",378,385,80,"[7903,7897,8710]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",273,"[9356,9918]"
45,"BookStandUniqueBox",972,666,0,[7866],0,[],"Metadata/Chests/StrongBoxes/BookStandStrongBox.ao","",[],"",286,[]
46,"VaalStrongboxSacrifice",1182,2219,0,[20996],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest02.ao",1,[],"",1653,"[9356,9918]"
47,"VaalStrongboxMortal",1183,2220,0,[20997],0,[],"Metadata/Chests/VaalChests/VaalUniqueChest03.ao",1,[],"",1654,"[9356,9918]"
