"rownum","Id","BuffDefinition","bool_24","i32_25","Stat","bool_45","i32_46","Rarity","bool_66","Mods","i32_83","Animation","i32_103","ActiveSkill1","ActiveSkill2","i32_139","i32_143"
46,"EssenceWith4Affixes",[],"",1,[],"",1,"","",[],1,[],1,"","",4,0
47,"HasAffixesX4",[],"",1,[],"",1,"","",[],0,[],1,"","",4,0
48,"HasSpecialEssences",[],"",1,[],"",1,"","","[13293,13294,13295,13296]",0,[],1,"","",0,1
49,"IsChilled",[],"",1,[1841],"",1,"","",[],0,[],1,"","",0,0
50,"Has5UniqueMetamorphBodyParts",[],"",1,[16586],"",5,"","",[],0,[],1,"","",0,0
51,"HasEmpowerment50",[],"",1,[16450],"",50,"","",[],0,[],1,"","",0,0
52,"HasAffixesX5",[],"",1,[],"",1,"","",[],0,[],1,"","",5,0
53,"HasShriekingEssencex3",[],"",1,[],"",1,"","","[13188,13280,13273,13248,13241,13181,13205,13213,13218,13263,13193,13285,13254,13232,13289,13228,13196,13266,13235,13224]",3,[],1,"","",0,3
54,"IsGodTouched",[],"",1,[],"",1,"","","[33232,33233,33234,33236,33237,33238,33239,33240,33241]",0,[],1,"","",0,1
55,"HasEssenceX6",[],"",1,[],"",1,"","",[],6,[],1,"","",0,0
56,"IsCrucibleMob",[],"",1,[18428],"",1,"","",[],0,[],1,"","",0,0
57,"IsMaxPowerMetamorph",[],"",1,[18589],"",1,"","",[],0,[],1,"","",0,0
58,"IsHarvestTier3OrAbove",[],"",1,[18729],"",3,"","",[],0,[],1,"","",0,0
59,"IsRedBeast",[],"",1,[11954],"",1,"","",[],0,[],1,"","",0,0
60,"IsPossessedx3",[],"",1,[2671],"",1,"","","[9551,9503,9510,9526,9488,9529,9559,9562,9519,9513,9494,9539,9571,9572,9573,9574,9575,9536,21155,21152,9548,9516,9542,9523,9507,9532,9568,9565,9491,21149,9555,9497,9500]",0,[],1,"","",0,3
61,"HasAffixesX6",[],"",1,[],"",1,"","",[],0,[],1,"","",6,0
62,"IsWardenWisped",[],"",1,[19812],"",1,"","",[],0,[],1,"","",0,0
63,"IsVoodooWisped",[],"",1,[19813],"",1,"","",[],0,[],1,"","",0,0
64,"IsPrimalistWisped",[],"",1,[19814],"",1,"","",[],0,[],1,"","",0,0
65,"Has10RelicsOrMore",[],"",1,[14859],"",10,"","",[],0,[],1,"","",0,0
66,"TripleWisped",[],"",1,[19694],"",3,"","",[],0,[],1,"","",0,0
67,"DoubleWisped",[],"",1,[19694],"",2,"","",[],0,[],1,"","",0,0
68,"BlackMorriganEnraged",[],"",1,[4888],"",25,"","",[],0,[],1,"","",0,0
69,"HasDeafeningEssencex3",[],"",1,[],"",1,"","","[13189,13281,13274,13249,13242,13182,13206,13214,13219,13264,13194,13286,13255,13233,13290,13229,13197,13267,13236,13225]",3,[],1,"","",0,3
70,"IsRunic",[],"",1,[19515],"",1,"","",[],0,[],1,"","",0,0
71,"NecropolisT1Mod",[],"",1,[],"",1,"","","[36963,36970,36977,36984,37016,37073,37079,37082,37113,37120,37127]",0,[],1,"","",0,1
72,"NecropolisT2Mod",[],"",1,[],"",1,"","","[36964,36971,36978,36985,36991,36996,37000,37004,37008,37017,37012,37019,37023,37029,37032,37035,37038,37041,37044,37047,37050,37057,37061,37067,37074,37080,37083,37114,37121,37128]",0,[],1,"","",0,1
73,"NecropolisT3Mod",[],"",1,[],"",1,"","","[36965,36972,36979,36986,36992,36997,37001,37005,37009,37018,37013,37020,37024,37030,37033,37036,37039,37042,37045,37048,37051,37054,37058,37062,37068,37070,37075,37076,37077,37078,37081,37084,37085,37089,37115,37122,37129,37135]",0,[],1,"","",0,1
74,"NecropolisT4Mod",[],"",1,[],"",1,"","","[36966,36973,36980,36987,36993,36998,37002,37006,37010,37014,37021,37025,37031,37034,37037,37040,37043,37046,37049,37052,37055,37059,37063,37065,37066,37069,37071,37086,37090,37092,37095,37098,37101,37104,37107,37110,37116,37123,37130,37134]",0,[],1,"","",0,1
75,"NecropolisT5Mod",[],"",1,[],"",1,"","","[36967,36974,36981,36988,36994,36999,37003,37007,37011,37015,37022,37026,37053,37056,37060,37064,37072,37087,37091,37093,37096,37099,37102,37105,37108,37111,37117,37124,37131]",0,[],1,"","",0,1
76,"NecropolisT6Mod",[],"",1,[],"",1,"","","[36968,36975,36982,36989,36995,37027,37088,37094,37097,37100,37103,37106,37109,37112,37118,37125,37132]",0,[],1,"","",0,1
77,"NecropolisT7Mod",[],"",1,[],"",1,"","","[36969,36976,36983,36990,37028,37119,37126,37133]",0,[],1,"","",0,1
78,"NecropolisUpsideMod",[],"",1,[],"",1,"","","[37136,37139,37142,37145,37148,37151,37154,37157,37160,37163,37166,37169,37172,37175,37178,37181,37184,37187,37190,37193,37196,37199,37202,37205,37208,37211,37214,37217,37220,37223,37226,37229,37232,37235,37238,37241,37244,37247,37250,37253,37256,37259,37262,37265,37266,37267,37268,37271,37274,37277,37278,37279,37280,37281,37282,37283,37284,37287,37290,37293,37294,37295,37296,37297,37300,37303,37306,37309,37312,37315,37318,37321,37324,37325,37326,37327,37328,37329,37330,37331,37332,37137,37140,37143,37146,37149,37152,37155,37158,37161,37164,37167,37170,37173,37176,37179,37182,37185,37188,37191,37194,37197,37200,37203,37206,37209,37212,37215,37218,37221,37224,37227,37230,37233,37236,37239,37242,37245,37248,37251,37254,37257,37260,37263,37269,37272,37275,37285,37288,37291,37298,37301,37304,37307,37310,37313,37316,37319,37322,37138,37141,37144,37147,37150,37153,37156,37159,37162,37165,37168,37171,37174,37177,37180,37183,37186,37189,37192,37195,37198,37201,37204,37207,37210,37213,37216,37219,37222,37225,37228,37231,37234,37237,37240,37243,37246,37249,37252,37255,37258,37261,37264,37270,37273,37276,37286,37289,37292,37299,37302,37305,37308,37311,37314,37317,37320,37323]",0,[],1,"","",0,1
79,"NecropolisMod",[],"",1,[20084],"",1,"","",[],0,[],1,"","",0,0
80,"NecropolisAbberathMod",[],"",1,[],"",1,"","","[37142,37143,37144,37274,37275,37276]",0,[],1,"","",0,1
81,"NecropolisGruthkulMod",[],"",1,[],"",1,"","","[37277,37278,37279]",0,[],1,"","",0,1
82,"NecropolisLunarisMod",[],"",1,[],"",1,"","","[37145,37146,37147,37148,37149,37150,37151,37152,37153,37154,37155,37156,37157,37158,37159,37160,37161,37162,37163,37164,37165,37166,37167,37168,37169,37170,37171,37172,37173,37174,37175,37176,37177,37178,37179,37180,37181,37182,37183,37184,37185,37186,37187,37188,37189,37190,37191,37192,37193,37194,37195,37196,37197,37198,37199,37200,37201,37202,37203,37204]",0,[],1,"","",0,1
83,"NecropolisProsperoMod",[],"",1,[],"",1,"","","[37136,37137,37138,37139,37140,37141,37268,37269,37270,37271,37272,37273]",0,[],1,"","",0,1
84,"NecropolisRyslathaMod",[],"",1,[],"",1,"","","[37290,37291,37292]",0,[],1,"","",0,1
85,"NecropolisSolarisMod",[],"",1,[],"",1,"","","[37205,37206,37207,37208,37209,37210,37211,37212,37213,37214,37215,37216,37217,37218,37219,37220,37221,37222,37223,37224,37225,37226,37227,37228,37229,37230,37231,37232,37233,37234,37235,37236,37237,37238,37239,37240,37241,37242,37243,37244,37245,37246,37247,37248,37249,37250,37251,37252,37253,37254,37255,37256,37257,37258,37259,37260,37261,37262,37263,37264]",0,[],1,"","",0,1
86,"NecropolisTangmazuMod",[],"",1,[],"",1,"","","[37282,37284,37285,37286,37287,37288,37289]",0,[],1,"","",0,1
87,"NecropolisThruldanaMod",[],"",1,[],"",1,"","","[37281,37283]",0,[],1,"","",0,1
88,"NecropolisTsoagothMod",[],"",1,[],"",1,"","","[37265,37266,37267]",0,[],1,"","",0,1
89,"NecropolisViridiMod",[],"",1,[],"",1,"","","[37280,37293,37295,37296]",0,[],1,"","",0,1
90,"HasAffixesX3",[],"",1,[],"",1,"","",[],0,[],1,"","",3,0
91,"HasAnyWisp",[],"",1,"[19812,19813,19814]","",1,"","",[],0,[],1,"","",0,0
