"rownum","Id","ArmFiles","TdtFiles","bool_40","[string]_41","[i32]_57","row_73","WorldAreasKey","bool_97","i32_98"
34,"Sanctum_1_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_1.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1878,"",54
35,"Sanctum_1_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_1.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1879,"",54
36,"Sanctum_2_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1883,"",54
37,"Sanctum_2_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1884,"",54
38,"Sanctum_2_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1885,"",54
39,"Sanctum_3_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1889,"",54
40,"Sanctum_3_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1890,"",54
41,"Sanctum_3_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1891,"",54
42,"Sanctum_4_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1895,"",54
43,"Sanctum_4_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1896,"",54
44,"Sanctum_4_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1897,"",54
45,"Crucible","[""Metadata/Terrain/Leagues/Crucible/crucible_encounter.arm""]",[],"",[],[0],"","","",54
46,"Village","[""Metadata/Terrain/Leagues/Settlers/Node/ore_node.arm""]",[],"",[],[0],"","","",54
47,"MemoryLineInitiator","[""Metadata/Terrain/EndGame/MapAtlasMemory/memory_tear.arm""]",[],"",[],[0],"","","",54
48,"MercenaryEncounterWitch1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Witch1.arm""]",[],"",[],[0],"","","",54
49,"MercenaryEncounterWitch2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Witch2.arm""]",[],"",[],[0],"","","",54
50,"MercenaryEncounterShadow1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Shadow1.arm""]",[],"",[],[0],"","","",54
51,"MercenaryEncounterShadow2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Shadow2.arm""]",[],"",[],[0],"","","",54
52,"MercenaryEncounterMarauder1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Marauder1.arm""]",[],"",[],[0],"","","",54
53,"MercenaryEncounterMarauder2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Marauder2.arm""]",[],"",[],[0],"","","",54
54,"MercenaryEncounterScion1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Scion1.arm""]",[],"",[],[0],"","","",54
55,"MercenaryEncounterTemplar1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Templar1.arm""]",[],"",[],[0],"","","",54
56,"MercenaryEncounterTemplar2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Templar2.arm""]",[],"",[],[0],"","","",54
57,"MercenaryEncounterRanger1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Ranger1.arm""]",[],"",[],[0],"","","",54
58,"MercenaryEncounterRanger2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Ranger2.arm""]",[],"",[],[0],"","","",54
59,"MercenaryEncounterDuelist1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Duelist1.arm""]",[],"",[],[0],"","","",54
60,"MercenaryEncounterDuelist2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Duelist2.arm""]",[],"",[],[0],"","","",54
61,"BrequelSkyHiveEncounter","[""Metadata/Terrain/Leagues/Breach/brequel_sky_fortress_entrance.arm""]",[],"","[""link""]",[0],"",1921,"",54
62,"BrequelExpandingEncounter","[""Metadata/Terrain/Leagues/Breach/brequelportal.arm""]",[],"",[],[0],"","","",54
63,"BrequelHiveEncounter","[""Metadata/Terrain/Leagues/Breach/brequel_established.arm""]",[],"",[],[0],"","","",54
64,"BrequelBossEncounter","[""Metadata/Terrain/Leagues/Breach/brequel_boss_entrance.arm""]",[],"",[],[0],"","","",54
65,"FaridunEncounter","[""Metadata/Terrain/Leagues/Faridun/faridun_encounter.arm""]",[],"",[],[0],"","","",54
66,"DeepwaterEncounterGiantCoral","[""Metadata/Terrain/Leagues/Deepwater/TerrainFeatures/DeepwaterEncounter_GiantCoral_01.arm""]",[],"",[],[0],"","","",54
67,"DeepwaterEncounterCursedTreasure","[""Metadata/Terrain/Leagues/Deepwater/TerrainFeatures/DeepwaterEncounter_CursedTreasure_01.arm""]",[],"",[],[0],"","","",54
68,"DeepwaterEncounterBrinerotStores","[""Metadata/Terrain/Leagues/Deepwater/TerrainFeatures/DeepwaterEncounter_BrinerotStores_01.arm""]",[],"",[],[0],"","","",54
69,"EmptyRoom","[""Metadata/Terrain/generic_empty_room.arm""]",[],"",[],[8],"","","",54
